state,district,year,horse_gram_winter_yield_tonne_per_hectare
,,2004 - 2005,
,,2006 - 2007,
,,2012 - 2013,
,Satna,2005 - 2006,
,Sehore,2018 - 2019,
,Seoni,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,Shahdol,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Shivpuri,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,Ujjain,2008 - 2009,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Kiphire,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kohima,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Longleng,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Mokokchung,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Mon,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Nuiland,2022 - 2023,
,Peren,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Tuensang,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Wokha,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Zunheboto,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.24
,,2006 - 2007,0.27
,,2007 - 2008,0.24
,,2008 - 2009,0.24
,,2009 - 2010,0.32
,,2010 - 2011,0.29
,,2011 - 2012,0.27
,,2012 - 2013,0.34
,,2013 - 2014,0.34
,,2014 - 2015,0.37
,,2015 - 2016,0.34
,,2016 - 2017,0.41
,,2017 - 2018,0.4
,,2018 - 2019,0.38
,,2019 - 2020,0.39
,,2020 - 2021,0.44
,,2021 - 2022,0.42
,,2022 - 2023,0.43
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.27
,,2006 - 2007,0.23
,,2007 - 2008,0.22
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.36
,,2011 - 2012,0.17
,,2012 - 2013,0.42
,,2013 - 2014,0.42
,,2014 - 2015,0.35
,,2015 - 2016,0.26
,,2016 - 2017,0.47
,,2017 - 2018,0.33
,,2018 - 2019,0.26
,,2019 - 2020,0.28
,,2020 - 2021,0.4
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Baleshwar,2002 - 2003,
,,2004 - 2005,1.0
,,2005 - 2006,0.41
,,2006 - 2007,0.35
,,2007 - 2008,0.4
,,2008 - 2009,0.5
,,2009 - 2010,0.51
,,2010 - 2011,0.33
,,2012 - 2013,0.55
,,2013 - 2014,0.2
,,2014 - 2015,0.2
,,2015 - 2016,2.0
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.36
,,2006 - 2007,0.31
,,2007 - 2008,0.28
,,2008 - 2009,0.31
,,2009 - 2010,0.35
,,2010 - 2011,0.36
,,2011 - 2012,0.3
,,2012 - 2013,0.33
,,2013 - 2014,0.32
,,2014 - 2015,0.28
,,2015 - 2016,0.28
,,2016 - 2017,0.32
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.27
,,2020 - 2021,0.31
,,2021 - 2022,0.27
,,2022 - 2023,0.35
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.3
,,2005 - 2006,0.27
,,2006 - 2007,0.2
,,2007 - 2008,0.23
,,2008 - 2009,0.5
,,2009 - 2010,0.25
,,2010 - 2011,
,,2011 - 2012,0.14
,,2013 - 2014,
,,2018 - 2019,0.9
,,2019 - 2020,1.38
,,2020 - 2021,0.3
,,2021 - 2022,0.47
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.25
,,2009 - 2010,0.28
,,2010 - 2011,0.21
,,2011 - 2012,0.17
,,2012 - 2013,0.31
,,2013 - 2014,0.24
,,2014 - 2015,0.23
,,2015 - 2016,0.16
,,2016 - 2017,0.32
,,2017 - 2018,0.37
,,2018 - 2019,0.21
,,2019 - 2020,0.23
,,2020 - 2021,0.25
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.46
,,2007 - 2008,0.47
,,2008 - 2009,0.45
,,2009 - 2010,0.48
,,2010 - 2011,0.42
,,2011 - 2012,0.43
,,2012 - 2013,0.42
,,2013 - 2014,0.37
,,2014 - 2015,0.57
,,2015 - 2016,0.45
,,2016 - 2017,0.34
,,2017 - 2018,0.51
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.46
,,2021 - 2022,0.49
,,2022 - 2023,0.47
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.26
,,2005 - 2006,0.4
,,2006 - 2007,0.32
,,2007 - 2008,0.29
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.33
,,2011 - 2012,0.26
,,2012 - 2013,0.36
,,2013 - 2014,0.34
,,2014 - 2015,0.36
,,2015 - 2016,0.31
,,2016 - 2017,0.38
,,2017 - 2018,0.43
,,2018 - 2019,0.33
,,2019 - 2020,0.34
,,2020 - 2021,0.33
,,2021 - 2022,0.41
,,2022 - 2023,0.35
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.32
,,2006 - 2007,0.3
,,2007 - 2008,0.32
,,2008 - 2009,0.36
,,2009 - 2010,0.41
,,2010 - 2011,0.44
,,2011 - 2012,0.32
,,2012 - 2013,0.5
,,2013 - 2014,0.41
,,2014 - 2015,0.46
,,2015 - 2016,0.4
,,2016 - 2017,0.52
,,2017 - 2018,0.36
,,2018 - 2019,0.4
,,2019 - 2020,0.39
,,2020 - 2021,0.42
,,2021 - 2022,0.44
,,2022 - 2023,0.39
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.23
,,2005 - 2006,0.19
,,2006 - 2007,0.22
,,2007 - 2008,0.21
,,2008 - 2009,0.18
,,2009 - 2010,0.2
,,2010 - 2011,0.2
,,2011 - 2012,0.13
,,2012 - 2013,0.2
,,2013 - 2014,0.2
,,2014 - 2015,0.2
,,2015 - 2016,0.19
,,2016 - 2017,0.28
,,2017 - 2018,0.28
,,2018 - 2019,0.22
,,2019 - 2020,0.26
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.29
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.19
,,2005 - 2006,0.19
,,2006 - 2007,0.2
,,2007 - 2008,0.21
,,2008 - 2009,0.23
,,2009 - 2010,0.24
,,2010 - 2011,0.23
,,2011 - 2012,0.2
,,2012 - 2013,0.23
,,2013 - 2014,0.27
,,2014 - 2015,0.28
,,2015 - 2016,0.24
,,2016 - 2017,0.26
,,2017 - 2018,0.21
,,2018 - 2019,0.25
,,2019 - 2020,0.24
,,2020 - 2021,0.25
,,2021 - 2022,0.24
,,2022 - 2023,0.25
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.37
,,2005 - 2006,0.33
,,2006 - 2007,0.51
,,2007 - 2008,0.49
,,2008 - 2009,0.47
,,2009 - 2010,0.49
,,2010 - 2011,0.47
,,2011 - 2012,0.48
,,2012 - 2013,0.47
,,2013 - 2014,0.42
,,2014 - 2015,0.5
,,2015 - 2016,0.47
,,2016 - 2017,0.46
,,2017 - 2018,0.46
,,2018 - 2019,0.39
,,2019 - 2020,0.35
,,2020 - 2021,0.39
,,2021 - 2022,0.31
,,2022 - 2023,0.38
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.28
,,2006 - 2007,0.32
,,2007 - 2008,0.41
,,2008 - 2009,0.36
,,2009 - 2010,0.38
,,2010 - 2011,0.32
,,2011 - 2012,0.24
,,2012 - 2013,0.35
,,2013 - 2014,0.24
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,0.32
,,2018 - 2019,0.25
,,2019 - 2020,0.26
,,2020 - 2021,0.21
,,2021 - 2022,0.18
,,2022 - 2023,0.21
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.37
,,2005 - 2006,0.36
,,2006 - 2007,0.34
,,2007 - 2008,0.31
,,2008 - 2009,0.31
,,2009 - 2010,0.43
,,2010 - 2011,0.29
,,2011 - 2012,0.16
,,2012 - 2013,0.42
,,2013 - 2014,0.34
,,2014 - 2015,0.35
,,2015 - 2016,0.32
,,2016 - 2017,0.43
,,2017 - 2018,0.36
,,2018 - 2019,0.28
,,2019 - 2020,0.27
,,2020 - 2021,0.32
,,2021 - 2022,0.33
,,2022 - 2023,0.32
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.22
,,2005 - 2006,0.23
,,2006 - 2007,0.24
,,2007 - 2008,0.23
,,2008 - 2009,0.21
,,2009 - 2010,0.27
,,2010 - 2011,0.3
,,2011 - 2012,0.18
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.17
,,2016 - 2017,0.42
,,2017 - 2018,0.37
,,2018 - 2019,0.4
,,2019 - 2020,0.43
,,2020 - 2021,0.42
,,2021 - 2022,0.41
,,2022 - 2023,0.47
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.22
,,2007 - 2008,0.24
,,2008 - 2009,0.2
,,2009 - 2010,0.28
,,2010 - 2011,0.19
,,2011 - 2012,0.19
,,2012 - 2013,0.26
,,2013 - 2014,0.25
,,2014 - 2015,0.25
,,2015 - 2016,0.15
,,2016 - 2017,0.23
,,2017 - 2018,0.32
,,2018 - 2019,0.53
,,2019 - 2020,0.36
,,2020 - 2021,0.49
,,2021 - 2022,0.42
,,2022 - 2023,0.46
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.36
,,2005 - 2006,0.29
,,2006 - 2007,0.39
,,2007 - 2008,0.43
,,2008 - 2009,0.37
,,2009 - 2010,0.41
,,2010 - 2011,0.39
,,2011 - 2012,0.42
,,2012 - 2013,0.41
,,2013 - 2014,0.32
,,2014 - 2015,0.43
,,2015 - 2016,0.42
,,2016 - 2017,0.4
,,2017 - 2018,0.41
,,2018 - 2019,0.62
,,2019 - 2020,0.54
,,2020 - 2021,0.52
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.17
,,2005 - 2006,0.21
,,2006 - 2007,0.23
,,2007 - 2008,0.21
,,2008 - 2009,0.18
,,2009 - 2010,0.21
,,2010 - 2011,0.26
,,2011 - 2012,0.21
,,2012 - 2013,0.28
,,2013 - 2014,0.29
,,2014 - 2015,0.3
,,2015 - 2016,0.24
,,2016 - 2017,0.49
,,2017 - 2018,0.44
,,2018 - 2019,0.29
,,2019 - 2020,0.32
,,2020 - 2021,0.36
,,2021 - 2022,0.4
,,2022 - 2023,0.41
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.36
,,2005 - 2006,0.23
,,2006 - 2007,0.33
,,2007 - 2008,0.27
,,2008 - 2009,0.31
,,2009 - 2010,0.27
,,2010 - 2011,0.25
,,2011 - 2012,0.36
,,2012 - 2013,0.33
,,2013 - 2014,0.29
,,2014 - 2015,0.29
,,2015 - 2016,0.4
,,2016 - 2017,0.37
,,2017 - 2018,0.27
,,2018 - 2019,0.1
,,2019 - 2020,0.17
,,2020 - 2021,0.24
,,2021 - 2022,0.46
,,2022 - 2023,0.42
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.32
,,2006 - 2007,0.31
,,2007 - 2008,0.31
,,2008 - 2009,0.32
,,2009 - 2010,0.29
,,2010 - 2011,0.41
,,2011 - 2012,0.26
,,2012 - 2013,0.42
,,2013 - 2014,0.45
,,2014 - 2015,0.33
,,2015 - 2016,0.3
,,2016 - 2017,0.43
,,2017 - 2018,0.45
,,2018 - 2019,0.39
,,2019 - 2020,0.43
,,2020 - 2021,0.38
,,2021 - 2022,0.38
,,2022 - 2023,0.34
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.32
,,2006 - 2007,0.25
,,2007 - 2008,0.28
,,2008 - 2009,0.23
,,2009 - 2010,0.26
,,2010 - 2011,0.35
,,2011 - 2012,0.15
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2014 - 2015,0.26
,,2015 - 2016,0.18
,,2016 - 2017,0.3
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.37
,,2020 - 2021,0.34
,,2021 - 2022,0.3
,,2022 - 2023,0.57
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.23
,,2005 - 2006,0.25
,,2006 - 2007,0.31
,,2007 - 2008,0.41
,,2008 - 2009,0.28
,,2009 - 2010,0.34
,,2010 - 2011,0.28
,,2011 - 2012,0.28
,,2012 - 2013,0.4
,,2013 - 2014,0.27
,,2014 - 2015,0.36
,,2015 - 2016,0.3
,,2016 - 2017,0.41
,,2017 - 2018,0.51
,,2018 - 2019,0.37
,,2019 - 2020,0.45
,,2020 - 2021,0.46
,,2021 - 2022,0.46
,,2022 - 2023,0.48
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.35
,,2005 - 2006,0.37
,,2006 - 2007,0.38
,,2007 - 2008,0.45
,,2008 - 2009,0.29
,,2009 - 2010,0.37
,,2010 - 2011,0.36
,,2011 - 2012,0.18
,,2012 - 2013,0.44
,,2013 - 2014,0.55
,,2014 - 2015,0.42
,,2015 - 2016,0.38
,,2016 - 2017,0.57
,,2017 - 2018,0.54
,,2018 - 2019,0.5
,,2019 - 2020,0.52
,,2020 - 2021,0.57
,,2021 - 2022,0.63
,,2022 - 2023,0.65
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.24
,,2005 - 2006,0.28
,,2006 - 2007,0.29
,,2007 - 2008,0.27
,,2008 - 2009,0.29
,,2009 - 2010,0.32
,,2010 - 2011,0.32
,,2011 - 2012,0.23
,,2012 - 2013,0.34
,,2013 - 2014,0.29
,,2014 - 2015,0.32
,,2015 - 2016,0.25
,,2016 - 2017,0.36
,,2017 - 2018,0.45
,,2018 - 2019,0.32
,,2019 - 2020,0.39
,,2020 - 2021,0.35
,,2021 - 2022,0.31
,,2022 - 2023,0.37
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.14
,,2005 - 2006,0.11
,,2006 - 2007,0.12
,,2007 - 2008,0.24
,,2008 - 2009,0.17
,,2009 - 2010,0.17
,,2010 - 2011,0.22
,,2011 - 2012,0.17
,,2012 - 2013,0.22
,,2013 - 2014,0.27
,,2014 - 2015,0.25
,,2015 - 2016,0.24
,,2016 - 2017,0.31
,,2017 - 2018,0.29
,,2018 - 2019,0.22
,,2019 - 2020,0.32
,,2020 - 2021,0.27
,,2021 - 2022,0.2
,,2022 - 2023,0.16
,Puri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.26
,,2006 - 2007,0.31
,,2007 - 2008,0.25
,,2008 - 2009,0.3
,,2009 - 2010,0.34
,,2010 - 2011,0.34
,,2011 - 2012,0.31
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.36
,,2015 - 2016,0.43
,,2016 - 2017,0.39
,,2017 - 2018,0.26
,,2018 - 2019,0.43
,,2019 - 2020,0.44
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.4
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.27
,,2006 - 2007,0.32
,,2007 - 2008,0.33
,,2008 - 2009,0.27
,,2009 - 2010,0.34
,,2010 - 2011,0.38
,,2011 - 2012,0.29
,,2012 - 2013,0.37
,,2013 - 2014,0.37
,,2014 - 2015,0.39
,,2015 - 2016,0.23
,,2016 - 2017,0.38
,,2017 - 2018,0.39
,,2018 - 2019,0.37
,,2019 - 2020,0.36
,,2020 - 2021,0.34
,,2021 - 2022,0.39
,,2022 - 2023,0.33
,Sambalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.37
,,2006 - 2007,0.32
,,2007 - 2008,0.29
,,2008 - 2009,0.32
,,2009 - 2010,0.4
,,2010 - 2011,0.29
,,2011 - 2012,0.31
,,2012 - 2013,0.45
,,2013 - 2014,0.45
,,2014 - 2015,0.41
,,2015 - 2016,0.31
,,2016 - 2017,0.47
,,2017 - 2018,0.51
,,2018 - 2019,0.58
,,2019 - 2020,0.41
,,2020 - 2021,0.54
,,2021 - 2022,0.58
,,2022 - 2023,0.56
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.26
,,2005 - 2006,0.28
,,2006 - 2007,0.3
,,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.38
,,2010 - 2011,0.35
,,2011 - 2012,0.26
,,2012 - 2013,0.35
,,2013 - 2014,0.34
,,2014 - 2015,0.33
,,2015 - 2016,0.32
,,2016 - 2017,0.44
,,2017 - 2018,0.38
,,2018 - 2019,0.54
,,2019 - 2020,0.42
,,2020 - 2021,0.22
,,2021 - 2022,0.28
,,2022 - 2023,0.26
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.33
,,2005 - 2006,0.35
,,2006 - 2007,0.41
,,2007 - 2008,0.33
,,2008 - 2009,0.34
,,2009 - 2010,0.3
,,2010 - 2011,0.31
,,2011 - 2012,0.3
,,2012 - 2013,0.47
,,2013 - 2014,0.46
,,2014 - 2015,0.44
,,2015 - 2016,0.27
,,2016 - 2017,0.43
,,2017 - 2018,0.5
,,2018 - 2019,0.3
,,2019 - 2020,0.47
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.43
Tamil Nadu,Ariyalur,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuddalore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Dharmapuri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dindigul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kallakurichi,2020 - 2021,
,,2021 - 2022,
,Kanchipuram,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanniyakumari,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Karur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madurai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Namakkal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanathapuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
