state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2011 - 2012,0.69
,,2012 - 2013,0.73
,,2013 - 2014,0.73
,,2014 - 2015,0.74
,,2015 - 2016,0.74
,,2016 - 2017,0.76
,,2017 - 2018,0.77
,,2018 - 2019,0.84
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,Kamrup,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.52
,,2008 - 2009,0.47
,,2009 - 2010,0.6
,,2010 - 2011,0.49
,,2011 - 2012,0.6
,,2012 - 2013,0.69
,,2013 - 2014,0.69
,,2014 - 2015,0.75
,,2015 - 2016,0.76
,,2016 - 2017,0.8
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,1.11
,Kamrup metro,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.51
,,2008 - 2009,0.47
,,2009 - 2010,0.48
,,2010 - 2011,0.49
,,2011 - 2012,0.62
,,2012 - 2013,0.64
,,2013 - 2014,0.64
,,2014 - 2015,0.66
,,2015 - 2016,0.67
,,2016 - 2017,0.68
,,2017 - 2018,0.69
,,2018 - 2019,0.76
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,Karbi anglong,2000 - 2001,0.56
,,2001 - 2002,0.56
,,2002 - 2003,0.56
,,2003 - 2004,0.56
,,2004 - 2005,0.83
,,2005 - 2006,0.71
,,2006 - 2007,0.71
,,2007 - 2008,0.75
,,2008 - 2009,0.69
,,2009 - 2010,0.81
,,2010 - 2011,0.98
,,2011 - 2012,0.77
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2014 - 2015,0.87
,,2015 - 2016,0.87
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.91
,,2019 - 2020,0.93
,,2020 - 2021,0.83
,Karimganj,2000 - 2001,0.55
,,2001 - 2002,0.55
,,2002 - 2003,0.56
,,2003 - 2004,0.55
,,2004 - 2005,0.55
,,2005 - 2006,0.55
,,2006 - 2007,0.55
,,2007 - 2008,0.56
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.56
,,2011 - 2012,0.57
,,2012 - 2013,0.68
,,2013 - 2014,0.68
,,2014 - 2015,0.69
,,2015 - 2016,0.69
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2018 - 2019,0.8
,,2019 - 2020,0.81
,,2020 - 2021,0.84
,Kokrajhar,2000 - 2001,0.72
,,2001 - 2002,0.72
,,2002 - 2003,0.72
,,2003 - 2004,0.72
,,2004 - 2005,0.72
,,2005 - 2006,0.72
,,2006 - 2007,0.71
,,2007 - 2008,0.72
,,2008 - 2009,0.72
,,2009 - 2010,0.71
,,2010 - 2011,0.71
,,2011 - 2012,0.73
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.84
,,2015 - 2016,0.84
,,2016 - 2017,0.85
,,2017 - 2018,0.88
,,2018 - 2019,0.9
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,Lakhimpur,2000 - 2001,0.56
,,2001 - 2002,0.56
,,2002 - 2003,0.56
,,2003 - 2004,0.56
,,2004 - 2005,0.56
,,2005 - 2006,0.56
,,2006 - 2007,0.56
,,2007 - 2008,0.55
,,2008 - 2009,0.56
,,2009 - 2010,0.56
,,2010 - 2011,0.56
,,2011 - 2012,0.78
,,2012 - 2013,0.87
,,2013 - 2014,0.87
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.89
,,2017 - 2018,0.98
,,2018 - 2019,1.0
,,2019 - 2020,1.02
,,2020 - 2021,1.02
,Majuli,2020 - 2021,0.89
,Marigaon,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.66
,,2012 - 2013,0.67
,,2013 - 2014,0.68
,,2014 - 2015,0.76
,,2015 - 2016,0.77
,,2016 - 2017,0.78
,,2017 - 2018,0.88
,,2018 - 2019,0.91
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,Nagaon,2000 - 2001,0.62
,,2001 - 2002,0.63
,,2002 - 2003,0.63
,,2003 - 2004,0.63
,,2004 - 2005,0.63
,,2005 - 2006,0.63
,,2006 - 2007,0.63
,,2007 - 2008,0.63
,,2008 - 2009,0.62
,,2009 - 2010,0.63
,,2010 - 2011,0.62
,,2011 - 2012,0.73
,,2012 - 2013,0.73
,,2013 - 2014,0.73
,,2014 - 2015,0.74
,,2015 - 2016,0.74
,,2016 - 2017,0.74
,,2017 - 2018,0.77
,,2018 - 2019,0.77
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,Nalbari,2000 - 2001,0.74
,,2001 - 2002,0.74
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.44
,,2005 - 2006,0.74
,,2006 - 2007,0.64
,,2007 - 2008,0.45
,,2008 - 2009,0.61
,,2009 - 2010,0.72
,,2010 - 2011,0.58
,,2011 - 2012,0.65
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.68
,,2015 - 2016,0.68
,,2016 - 2017,0.69
,,2017 - 2018,0.78
,,2018 - 2019,0.81
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,Sivasagar,2000 - 2001,0.86
,,2001 - 2002,0.86
,,2002 - 2003,0.85
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.76
,,2006 - 2007,0.77
,,2007 - 2008,0.82
,,2008 - 2009,0.78
,,2009 - 2010,0.78
,,2010 - 2011,0.75
,,2011 - 2012,0.57
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.69
,,2017 - 2018,0.79
,,2018 - 2019,0.8
,,2019 - 2020,1.48
,,2020 - 2021,1.48
,Sonitpur,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.46
,,2009 - 2010,0.94
,,2010 - 2011,0.45
,,2011 - 2012,0.48
,,2012 - 2013,0.58
,,2013 - 2014,0.57
,,2014 - 2015,0.58
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,0.7
,,2018 - 2019,0.68
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,South salmara mancachar,2020 - 2021,1.49
,Tinsukia,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2004 - 2005,0.61
,,2005 - 2006,0.6
,,2006 - 2007,0.61
,,2007 - 2008,0.61
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.77
,,2012 - 2013,0.78
,,2013 - 2014,0.78
,,2014 - 2015,0.79
,,2015 - 2016,0.79
,,2016 - 2017,0.73
,,2017 - 2018,0.74
,,2018 - 2019,0.79
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,Udalguri,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.05
,,2012 - 2013,0.65
,,2013 - 2014,0.65
,,2014 - 2015,0.66
,,2015 - 2016,0.66
,,2016 - 2017,0.67
,,2017 - 2018,0.77
,,2018 - 2019,0.9
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,West karbi anglong,2020 - 2021,0.93
Bihar,Araria,2000 - 2001,0.64
,,2001 - 2002,0.95
,,2002 - 2003,0.67
,,2003 - 2004,0.46
,,2004 - 2005,0.69
,,2005 - 2006,0.66
,,2007 - 2008,0.7
,,2008 - 2009,0.71
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,0.67
,,2004 - 2005,0.7
,,2005 - 2006,1.0
,,2008 - 2009,1.44
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aurangabad,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.63
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2007 - 2008,1.4
,,2008 - 2009,1.5
,Banka,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.69
,,2003 - 2004,0.5
,,2004 - 2005,0.67
,,2005 - 2006,1.0
,,2007 - 2008,1.33
,,2008 - 2009,1.33
,Begusarai,2000 - 2001,0.78
,,2001 - 2002,0.7
,,2002 - 2003,0.58
,,2003 - 2004,0.72
,,2004 - 2005,0.71
,,2005 - 2006,0.83
,,2007 - 2008,1.88
,,2008 - 2009,2.34
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2000 - 2001,1.05
,,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.75
,,2005 - 2006,0.97
,,2007 - 2008,1.38
,,2008 - 2009,1.38
,,2020 - 2021,
,,2022 - 2023,
,Bhojpur,2003 - 2004,1.0
,,2005 - 2006,0.87
,,2008 - 2009,0.67
,Buxar,2000 - 2001,2.0
,,2001 - 2002,1.5
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2022 - 2023,
,Darbhanga,2000 - 2001,1.05
,,2001 - 2002,1.03
,,2002 - 2003,0.67
,,2003 - 2004,0.51
,,2004 - 2005,1.23
,,2005 - 2006,0.65
,,2022 - 2023,
,Gaya,2000 - 2001,1.06
,,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,0.69
,,2004 - 2005,0.73
,,2005 - 2006,0.98
,,2007 - 2008,1.33
,,2008 - 2009,1.4
,Gopalganj,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.75
,,2003 - 2004,0.67
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2021 - 2022,
,,2022 - 2023,
,Jehanabad,2000 - 2001,1.07
,,2001 - 2002,1.0
,,2002 - 2003,0.65
,,2003 - 2004,0.67
,,2004 - 2005,0.71
,,2005 - 2006,0.97
,,2007 - 2008,1.25
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaimur (bhabua),2000 - 2001,1.81
,,2001 - 2002,1.49
,,2002 - 2003,0.59
,,2003 - 2004,1.0
,,2004 - 2005,0.54
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,0.72
,,2001 - 2002,1.23
,,2002 - 2003,0.71
,,2003 - 2004,0.56
,,2004 - 2005,0.71
,,2005 - 2006,0.64
,,2007 - 2008,1.0
,,2008 - 2009,0.83
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khagaria,2000 - 2001,0.86
,,2001 - 2002,1.76
,,2002 - 2003,1.37
,,2003 - 2004,0.72
,,2004 - 2005,0.97
,,2005 - 2006,1.31
,,2007 - 2008,0.58
,,2008 - 2009,0.94
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishanganj,2000 - 2001,0.72
,,2001 - 2002,0.92
,,2002 - 2003,0.69
,,2003 - 2004,0.56
,,2004 - 2005,0.71
,,2005 - 2006,0.64
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lakhisarai,2000 - 2001,0.8
,,2001 - 2002,1.0
,,2002 - 2003,0.68
,,2003 - 2004,0.72
,,2004 - 2005,0.75
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhepura,2000 - 2001,1.0
,,2002 - 2003,0.6
,,2003 - 2004,0.79
,,2004 - 2005,0.7
,,2005 - 2006,0.65
,,2007 - 2008,0.71
,,2008 - 2009,1.43
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhubani,2000 - 2001,1.08
,,2001 - 2002,0.75
,,2002 - 2003,0.64
,,2003 - 2004,0.6
,,2004 - 2005,0.86
,,2005 - 2006,0.64
,,2007 - 2008,0.62
,,2008 - 2009,0.63
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Muzaffarpur,2000 - 2001,0.59
,,2001 - 2002,0.59
,,2002 - 2003,0.64
,,2003 - 2004,0.54
,,2004 - 2005,0.65
,,2005 - 2006,0.63
,,2007 - 2008,0.44
,,2008 - 2009,0.94
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalanda,2000 - 2001,1.83
,,2001 - 2002,1.49
,,2002 - 2003,0.72
,,2003 - 2004,1.0
,,2004 - 2005,0.55
,,2005 - 2006,0.85
,,2007 - 2008,0.45
,,2008 - 2009,0.63
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,1.08
,,2001 - 2002,1.0
,,2002 - 2003,0.7
,,2003 - 2004,0.75
,,2004 - 2005,0.71
,,2005 - 2006,1.0
,,2007 - 2008,1.25
,,2008 - 2009,1.0
,Pashchim champaran,2000 - 2001,0.7
,,2001 - 2002,0.76
,,2002 - 2003,0.66
,,2003 - 2004,0.45
,,2004 - 2005,0.73
,,2005 - 2006,1.91
,,2007 - 2008,1.82
,,2008 - 2009,1.75
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patna,2000 - 2001,2.14
,,2001 - 2002,1.66
,,2002 - 2003,0.51
,,2003 - 2004,1.43
,,2004 - 2005,0.41
,,2005 - 2006,0.49
,,2007 - 2008,0.59
,,2008 - 2009,0.47
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2000 - 2001,0.51
,,2001 - 2002,0.73
,,2002 - 2003,1.08
,,2003 - 2004,1.24
,,2004 - 2005,0.72
,,2005 - 2006,0.62
,,2007 - 2008,2.51
,,2008 - 2009,1.82
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purnia,2000 - 2001,0.86
,,2001 - 2002,0.8
,,2002 - 2003,0.75
,,2003 - 2004,0.83
,,2004 - 2005,0.76
,,2005 - 2006,0.57
,,2007 - 2008,0.57
,,2008 - 2009,1.62
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtas,2000 - 2001,1.03
,,2001 - 2002,1.07
,,2002 - 2003,0.6
,,2003 - 2004,0.85
,,2004 - 2005,0.83
,,2005 - 2006,1.0
,,2007 - 2008,0.43
,,2008 - 2009,0.69
,Saharsa,2002 - 2003,0.67
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2007 - 2008,0.5
,,2008 - 2009,1.42
,Samastipur,2000 - 2001,1.05
,,2001 - 2002,0.64
,,2002 - 2003,0.64
,,2003 - 2004,0.62
,,2004 - 2005,0.79
,,2005 - 2006,0.64
,,2007 - 2008,0.62
,,2008 - 2009,0.62
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saran,2001 - 2002,1.0
,,2003 - 2004,0.6
,,2007 - 2008,1.31
,,2008 - 2009,1.44
,Sheohar,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2004 - 2005,0.5
,,2005 - 2006,1.67
,,2007 - 2008,1.86
,,2008 - 2009,1.8
,Sitamarhi,2000 - 2001,0.69
,,2001 - 2002,0.75
,,2002 - 2003,0.7
,,2003 - 2004,0.52
,,2004 - 2005,0.7
,,2005 - 2006,1.67
,,2007 - 2008,1.89
,,2008 - 2009,1.81
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siwan,2003 - 2004,1.0
,,2004 - 2005,0.72
,,2005 - 2006,0.94
,,2007 - 2008,1.5
,,2008 - 2009,1.4
,,2020 - 2021,
,,2022 - 2023,
,Supaul,2000 - 2001,1.06
,,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.72
,,2005 - 2006,0.64
,,2007 - 2008,0.7
,,2008 - 2009,1.41
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vaishali,2000 - 2001,0.69
,,2001 - 2002,0.73
,,2002 - 2003,0.56
,,2003 - 2004,0.55
,,2004 - 2005,0.78
,,2005 - 2006,1.6
,,2007 - 2008,1.88
,,2008 - 2009,1.81
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Chhattisgarh,Balod,2011 - 2012,1.08
,,2012 - 2013,1.22
,,2013 - 2014,1.15
,,2014 - 2015,0.28
,,2015 - 2016,1.1
,,2016 - 2017,0.71
,,2019 - 2020,0.5
,,2020 - 2021,0.75
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Baloda bazar,2011 - 2012,0.91
,,2012 - 2013,0.95
,,2013 - 2014,0.76
,,2014 - 2015,0.51
,,2015 - 2016,0.53
,,2016 - 2017,0.89
,,2017 - 2018,0.41
,,2018 - 2019,0.68
,,2019 - 2020,0.65
,,2020 - 2021,0.51
,,2021 - 2022,0.63
,,2022 - 2023,0.78
,Balrampur,2011 - 2012,0.96
,,2012 - 2013,0.79
,,2013 - 2014,0.66
,,2014 - 2015,0.52
,,2015 - 2016,0.42
,,2016 - 2017,0.63
,,2017 - 2018,0.18
,,2018 - 2019,0.69
,,2019 - 2020,0.64
,,2020 - 2021,0.58
,,2021 - 2022,0.65
,,2022 - 2023,0.67
,Bastar,2000 - 2001,0.22
,,2001 - 2002,0.47
,,2002 - 2003,0.83
,,2003 - 2004,0.62
,,2004 - 2005,0.55
,,2005 - 2006,0.24
,,2006 - 2007,0.36
,,2007 - 2008,0.65
,,2008 - 2009,0.5
,,2009 - 2010,0.62
,,2010 - 2011,0.39
,,2011 - 2012,0.71
,,2012 - 2013,0.94
,,2013 - 2014,0.64
,,2014 - 2015,0.43
,,2015 - 2016,0.38
,,2016 - 2017,0.53
,,2017 - 2018,0.32
,,2018 - 2019,0.53
,,2019 - 2020,0.44
,,2020 - 2021,0.37
,,2021 - 2022,0.43
,,2022 - 2023,0.54
,Bemetara,2011 - 2012,1.1
,,2012 - 2013,1.19
,,2013 - 2014,0.75
,,2014 - 2015,0.51
,,2015 - 2016,1.1
,,2016 - 2017,0.8
,,2017 - 2018,0.69
,,2018 - 2019,0.04
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.89
,,2022 - 2023,1.0
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.64
,,2008 - 2009,0.4
,,2009 - 2010,0.29
,,2010 - 2011,0.32
,,2011 - 2012,0.69
,,2012 - 2013,0.74
,,2013 - 2014,0.65
,,2014 - 2015,0.45
,,2015 - 2016,0.15
,,2016 - 2017,0.33
,,2017 - 2018,0.23
,,2018 - 2019,0.23
,,2019 - 2020,0.52
,,2020 - 2021,0.67
,,2021 - 2022,0.42
,,2022 - 2023,0.4
,Bilaspur,2000 - 2001,0.21
,,2001 - 2002,0.43
,,2002 - 2003,0.77
,,2003 - 2004,0.54
,,2004 - 2005,0.5
,,2005 - 2006,0.24
,,2006 - 2007,0.33
,,2007 - 2008,0.6
,,2008 - 2009,0.47
,,2009 - 2010,0.72
,,2010 - 2011,0.45
,,2011 - 2012,0.74
,,2012 - 2013,0.91
,,2013 - 2014,0.66
,,2014 - 2015,0.48
,,2015 - 2016,0.37
,,2016 - 2017,0.54
,,2017 - 2018,0.27
,,2018 - 2019,0.57
,,2019 - 2020,0.61
,,2020 - 2021,0.7
,,2021 - 2022,0.55
,,2022 - 2023,0.55
,Dantewada,2000 - 2001,0.21
,,2001 - 2002,0.44
,,2002 - 2003,0.46
,,2003 - 2004,0.55
,,2004 - 2005,0.35
,,2005 - 2006,0.19
,,2006 - 2007,0.48
,,2007 - 2008,0.65
,,2008 - 2009,0.41
,,2009 - 2010,0.29
,,2010 - 2011,0.31
,,2011 - 2012,0.68
,,2012 - 2013,0.74
,,2013 - 2014,0.74
,,2014 - 2015,0.44
,,2015 - 2016,0.54
,,2016 - 2017,0.29
,,2017 - 2018,0.22
,,2018 - 2019,0.12
,,2019 - 2020,0.4
,,2020 - 2021,0.33
,,2021 - 2022,0.41
,,2022 - 2023,0.4
,Dhamtari,2000 - 2001,0.32
,,2001 - 2002,0.65
,,2002 - 2003,1.05
,,2003 - 2004,0.75
,,2004 - 2005,0.64
,,2005 - 2006,0.31
,,2006 - 2007,0.43
,,2007 - 2008,0.8
,,2008 - 2009,0.63
,,2009 - 2010,0.85
,,2010 - 2011,0.53
,,2011 - 2012,0.97
,,2012 - 2013,1.12
,,2013 - 2014,0.34
,,2014 - 2015,0.59
,,2015 - 2016,0.45
,,2016 - 2017,0.66
,,2017 - 2018,0.51
,,2018 - 2019,0.74
,,2019 - 2020,0.67
,,2020 - 2021,0.64
,,2021 - 2022,0.72
,,2022 - 2023,0.81
,Durg,2000 - 2001,0.25
,,2001 - 2002,0.62
,,2002 - 2003,1.04
,,2003 - 2004,0.78
,,2004 - 2005,0.67
,,2005 - 2006,0.32
,,2006 - 2007,0.46
,,2007 - 2008,0.88
,,2008 - 2009,0.58
,,2009 - 2010,0.97
,,2010 - 2011,0.65
,,2011 - 2012,1.07
,,2012 - 2013,1.27
,,2013 - 2014,0.8
,,2014 - 2015,0.64
,,2015 - 2016,0.52
,,2016 - 2017,0.92
,,2017 - 2018,1.0
,,2018 - 2019,0.7
,,2019 - 2020,0.45
,,2020 - 2021,0.71
,,2021 - 2022,0.74
,,2022 - 2023,0.92
,Gariyaband,2011 - 2012,0.91
,,2012 - 2013,0.98
,,2013 - 2014,0.91
,,2014 - 2015,0.45
,,2015 - 2016,0.49
,,2016 - 2017,0.91
,,2017 - 2018,0.25
,,2018 - 2019,0.66
,,2019 - 2020,0.97
,,2020 - 2021,3.22
,,2021 - 2022,1.61
,,2022 - 2023,0.67
,Gaurella-pendra-marwahi,2019 - 2020,0.6
,,2020 - 2021,0.43
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Janjgir-champa,2000 - 2001,0.21
,,2001 - 2002,0.5
,,2002 - 2003,0.76
,,2003 - 2004,0.63
,,2004 - 2005,0.5
,,2005 - 2006,0.23
,,2006 - 2007,0.34
,,2007 - 2008,0.62
,,2008 - 2009,0.49
,,2009 - 2010,0.73
,,2010 - 2011,0.52
,,2011 - 2012,0.94
,,2012 - 2013,1.08
,,2013 - 2014,0.78
,,2014 - 2015,0.5
,,2015 - 2016,0.48
,,2016 - 2017,0.71
,,2017 - 2018,0.1
,,2018 - 2019,0.74
,,2019 - 2020,0.76
,,2020 - 2021,0.63
,,2021 - 2022,0.61
,,2022 - 2023,0.8
,Jashpur,2000 - 2001,0.27
,,2001 - 2002,0.53
,,2002 - 2003,0.95
,,2003 - 2004,0.69
,,2004 - 2005,0.52
,,2005 - 2006,0.26
,,2006 - 2007,0.38
,,2007 - 2008,0.68
,,2008 - 2009,0.57
,,2009 - 2010,0.75
,,2010 - 2011,0.49
,,2011 - 2012,0.97
,,2012 - 2013,1.03
,,2013 - 2014,0.76
,,2014 - 2015,0.54
,,2015 - 2016,0.43
,,2016 - 2017,0.62
,,2017 - 2018,0.86
,,2018 - 2019,0.62
,,2019 - 2020,0.53
,,2020 - 2021,0.49
,,2021 - 2022,0.6
,,2022 - 2023,0.68
,Kabirdham,2000 - 2001,0.2
,,2001 - 2002,0.6
,,2002 - 2003,1.05
,,2003 - 2004,0.75
,,2004 - 2005,0.55
,,2005 - 2006,0.27
,,2006 - 2007,0.41
,,2007 - 2008,0.81
,,2008 - 2009,0.54
,,2009 - 2010,0.83
,,2010 - 2011,0.55
,,2011 - 2012,1.05
,,2012 - 2013,1.21
,,2013 - 2014,0.88
,,2014 - 2015,0.69
,,2015 - 2016,0.42
,,2016 - 2017,0.76
,,2017 - 2018,1.67
,,2018 - 2019,0.75
,,2019 - 2020,0.59
,,2020 - 2021,0.51
,,2021 - 2022,0.68
,,2022 - 2023,0.67
,Kanker,2000 - 2001,0.23
,,2001 - 2002,0.55
,,2002 - 2003,0.6
,,2003 - 2004,0.76
,,2004 - 2005,0.52
,,2005 - 2006,0.24
,,2006 - 2007,0.33
,,2007 - 2008,0.65
,,2008 - 2009,0.4
,,2009 - 2010,0.56
,,2010 - 2011,0.45
,,2011 - 2012,0.71
,,2012 - 2013,0.76
,,2013 - 2014,0.44
,,2014 - 2015,0.36
,,2015 - 2016,0.29
,,2016 - 2017,0.55
,,2017 - 2018,0.01
,,2018 - 2019,0.45
,,2019 - 2020,0.5
,,2020 - 2021,0.38
,,2021 - 2022,0.44
,,2022 - 2023,0.53
,Khairgarh chhuikhadan gandai,2022 - 2023,0.9
,Kondagaon,2011 - 2012,0.72
,,2012 - 2013,0.94
,,2013 - 2014,0.63
,,2014 - 2015,0.42
,,2015 - 2016,0.44
,,2016 - 2017,0.63
,,2017 - 2018,0.19
,,2018 - 2019,0.66
,,2019 - 2020,0.65
,,2020 - 2021,0.51
,,2021 - 2022,0.59
,,2022 - 2023,0.67
,Korba,2000 - 2001,0.2
,,2001 - 2002,0.47
,,2002 - 2003,0.71
,,2003 - 2004,0.51
,,2004 - 2005,0.38
,,2005 - 2006,0.21
,,2006 - 2007,0.27
,,2007 - 2008,0.51
,,2008 - 2009,0.49
,,2009 - 2010,0.49
,,2010 - 2011,0.45
,,2011 - 2012,0.82
,,2012 - 2013,0.81
,,2013 - 2014,0.59
,,2014 - 2015,0.44
,,2015 - 2016,0.25
,,2016 - 2017,0.49
,,2017 - 2018,0.39
,,2018 - 2019,0.47
,,2019 - 2020,0.44
,,2020 - 2021,0.46
,,2021 - 2022,0.51
,,2022 - 2023,0.55
,Korea,2000 - 2001,0.2
,,2001 - 2002,0.52
,,2002 - 2003,0.91
,,2003 - 2004,0.36
,,2004 - 2005,0.42
,,2005 - 2006,0.19
,,2006 - 2007,0.3
,,2007 - 2008,0.54
,,2008 - 2009,0.48
,,2009 - 2010,0.44
,,2010 - 2011,0.32
,,2011 - 2012,0.95
,,2012 - 2013,0.86
,,2013 - 2014,0.52
,,2014 - 2015,0.48
,,2015 - 2016,0.23
,,2016 - 2017,0.51
,,2017 - 2018,0.54
,,2018 - 2019,0.46
,,2019 - 2020,0.42
,,2020 - 2021,0.34
,,2021 - 2022,0.48
,,2022 - 2023,0.53
,Mahasamund,2000 - 2001,0.36
,,2001 - 2002,0.59
,,2002 - 2003,0.87
,,2003 - 2004,0.66
,,2004 - 2005,0.55
,,2005 - 2006,0.26
,,2006 - 2007,0.41
,,2007 - 2008,0.8
,,2008 - 2009,0.59
,,2009 - 2010,0.76
,,2010 - 2011,0.48
,,2011 - 2012,0.97
,,2012 - 2013,1.21
,,2013 - 2014,0.8
,,2014 - 2015,0.58
,,2015 - 2016,0.44
,,2016 - 2017,0.64
,,2017 - 2018,0.19
,,2018 - 2019,0.66
,,2019 - 2020,0.61
,,2020 - 2021,0.54
,,2021 - 2022,0.59
,,2022 - 2023,0.67
,Manendragarh chirimiri bharatpur,2022 - 2023,0.5
,Mohla manpur ambagarh chouki,2022 - 2023,0.93
,Mungeli,2011 - 2012,0.74
,,2012 - 2013,1.06
,,2013 - 2014,0.66
,,2014 - 2015,0.5
,,2015 - 2016,0.51
,,2016 - 2017,0.75
,,2017 - 2018,1.6
,,2018 - 2019,0.7
,,2019 - 2020,0.68
,,2020 - 2021,0.57
,,2021 - 2022,0.63
,,2022 - 2023,0.73
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.61
,,2008 - 2009,0.38
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.82
