state,district,year,urad_summer_yield_tonne_per_hectare
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2021 - 2022,
,,2022 - 2023,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tripura,Dhalai,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gomati,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khowai,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North tripura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sepahijala,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South tripura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unakoti,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West tripura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.54
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.8
,,2011 - 2012,1.25
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.27
,Aligarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.42
,,2003 - 2004,0.56
,,2007 - 2008,0.68
,,2008 - 2009,0.94
,,2009 - 2010,0.71
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,1.02
,,2013 - 2014,0.93
,,2014 - 2015,0.84
,,2015 - 2016,0.33
,,2016 - 2017,0.65
,,2017 - 2018,0.6
,,2018 - 2019,1.02
,,2019 - 2020,1.15
,,2020 - 2021,1.16
,,2021 - 2022,1.05
,,2022 - 2023,0.89
,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.41
,,2003 - 2004,0.41
,,2007 - 2008,0.46
,,2008 - 2009,0.65
,,2009 - 2010,0.56
,,2010 - 2011,0.93
,,2011 - 2012,0.96
,,2012 - 2013,1.02
,,2013 - 2014,0.58
,,2014 - 2015,0.22
,,2015 - 2016,0.42
,,2016 - 2017,0.54
,,2017 - 2018,0.38
,,2018 - 2019,1.06
,,2019 - 2020,0.7
,,2020 - 2021,0.62
,,2021 - 2022,0.75
,,2022 - 2023,0.73
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.29
,,2003 - 2004,0.46
,,2007 - 2008,0.24
,,2008 - 2009,0.49
,,2009 - 2010,0.46
,,2010 - 2011,0.36
,,2011 - 2012,0.47
,,2012 - 2013,0.65
,,2013 - 2014,0.5
,,2014 - 2015,0.55
,,2015 - 2016,0.63
,,2016 - 2017,0.65
,,2017 - 2018,0.42
,,2018 - 2019,0.78
,,2019 - 2020,0.4
,,2020 - 2021,0.35
,,2021 - 2022,0.49
,,2022 - 2023,1.31
,Amethi,2010 - 2011,
,,2011 - 2012,0.52
,,2012 - 2013,0.64
,,2013 - 2014,0.45
,,2014 - 2015,0.55
,,2015 - 2016,0.53
,,2016 - 2017,0.54
,,2017 - 2018,0.52
,,2018 - 2019,0.58
,,2019 - 2020,0.45
,,2020 - 2021,0.54
,,2021 - 2022,0.49
,,2022 - 2023,0.79
,Amroha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2013 - 2014,0.6
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.8
,,2019 - 2020,0.67
,,2020 - 2021,
,,2021 - 2022,0.67
,,2022 - 2023,0.9
,Auraiya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.84
,,2003 - 2004,0.88
,,2007 - 2008,0.65
,,2008 - 2009,0.98
,,2009 - 2010,0.8
,,2010 - 2011,1.03
,,2011 - 2012,0.85
,,2012 - 2013,0.81
,,2013 - 2014,0.71
,,2014 - 2015,0.7
,,2015 - 2016,0.73
,,2016 - 2017,0.93
,,2017 - 2018,0.8
,,2018 - 2019,1.05
,,2019 - 2020,0.94
,,2020 - 2021,1.3
,,2021 - 2022,1.46
,,2022 - 2023,1.55
,Azamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.57
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.79
,,2019 - 2020,0.71
,,2020 - 2021,0.76
,,2021 - 2022,0.73
,,2022 - 2023,0.89
,Baghpat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.4
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.76
,,2021 - 2022,0.73
,,2022 - 2023,0.89
,Bahraich,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.78
,,2019 - 2020,0.72
,,2020 - 2021,0.76
,,2021 - 2022,0.74
,,2022 - 2023,0.89
,Ballia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.45
,,2007 - 2008,0.5
,,2008 - 2009,0.65
,,2009 - 2010,0.67
,,2010 - 2011,0.61
,,2011 - 2012,0.67
,,2012 - 2013,0.68
,,2013 - 2014,0.59
,,2014 - 2015,0.56
,,2015 - 2016,0.6
,,2016 - 2017,0.68
,,2017 - 2018,0.63
,,2018 - 2019,0.79
,,2020 - 2021,0.79
,,2021 - 2022,0.73
,,2022 - 2023,0.89
,Balrampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.46
,,2007 - 2008,0.56
,,2008 - 2009,0.61
,,2009 - 2010,0.61
,,2010 - 2011,0.63
,,2011 - 2012,0.57
,,2012 - 2013,0.7
,,2013 - 2014,
,,2014 - 2015,0.57
,,2015 - 2016,0.57
,,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.8
,,2019 - 2020,0.71
,,2020 - 2021,0.76
,,2021 - 2022,0.71
,,2022 - 2023,0.92
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.55
,,2015 - 2016,0.56
,,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,1.0
,Barabanki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.23
,,2007 - 2008,0.48
,,2008 - 2009,0.43
,,2009 - 2010,0.37
,,2010 - 2011,0.47
,,2011 - 2012,0.58
,,2012 - 2013,0.48
,,2013 - 2014,0.45
,,2014 - 2015,0.38
,,2015 - 2016,0.49
,,2016 - 2017,0.42
,,2017 - 2018,0.44
,,2018 - 2019,0.79
,,2019 - 2020,0.91
,,2020 - 2021,0.96
,,2021 - 2022,0.46
,,2022 - 2023,0.42
,Bareilly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.5
,,2007 - 2008,0.58
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2010 - 2011,0.67
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.78
,,2019 - 2020,
,,2020 - 2021,0.76
,,2021 - 2022,0.73
,,2022 - 2023,0.89
,Basti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.7
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.57
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.78
,,2019 - 2020,0.71
,,2020 - 2021,0.75
,,2021 - 2022,0.73
,,2022 - 2023,0.89
,Bijnor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.63
,,2009 - 2010,0.61
,,2010 - 2011,0.62
,,2011 - 2012,0.65
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.57
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.78
,,2019 - 2020,0.72
,,2020 - 2021,0.76
,,2021 - 2022,
,,2022 - 2023,0.91
,Budaun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.5
,,2007 - 2008,0.57
,,2008 - 2009,0.67
,,2009 - 2010,0.57
,,2010 - 2011,0.62
,,2011 - 2012,0.57
,,2012 - 2013,0.68
,,2013 - 2014,0.55
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.64
,,2017 - 2018,0.64
,,2018 - 2019,0.82
,,2019 - 2020,
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.9
,Bulandshahr,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.4
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.76
,,2021 - 2022,0.74
,,2022 - 2023,0.89
,Chandauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.75
,,2007 - 2008,0.5
,,2008 - 2009,0.63
,,2009 - 2010,0.83
,,2010 - 2011,0.72
,,2011 - 2012,0.86
,,2012 - 2013,0.75
,,2013 - 2014,0.8
,,2014 - 2015,0.55
,,2015 - 2016,0.67
,,2016 - 2017,0.69
,,2017 - 2018,0.75
,,2018 - 2019,0.88
,,2019 - 2020,0.93
,,2020 - 2021,1.31
,,2021 - 2022,
,,2022 - 2023,
,Chitrakoot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.67
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.43
,,2008 - 2009,0.57
,,2009 - 2010,1.0
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.75
,,2013 - 2014,0.5
,,2014 - 2015,0.57
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,0.75
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Etah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.42
,,2003 - 2004,0.55
,,2007 - 2008,0.68
,,2008 - 2009,0.94
,,2009 - 2010,0.71
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,1.02
,,2013 - 2014,0.93
,,2014 - 2015,0.83
,,2015 - 2016,0.33
,,2016 - 2017,0.65
,,2017 - 2018,0.61
,,2018 - 2019,1.01
,,2019 - 2020,1.15
,,2020 - 2021,1.16
,,2021 - 2022,1.06
,,2022 - 2023,0.89
,Etawah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.84
,,2003 - 2004,0.88
,,2007 - 2008,0.65
,,2008 - 2009,0.98
,,2009 - 2010,0.8
,,2010 - 2011,1.03
,,2011 - 2012,0.85
,,2012 - 2013,0.81
,,2013 - 2014,0.71
,,2014 - 2015,0.7
,,2015 - 2016,0.73
,,2016 - 2017,0.93
,,2017 - 2018,0.8
,,2018 - 2019,0.93
,,2019 - 2020,0.94
,,2020 - 2021,1.04
,,2021 - 2022,1.13
,,2022 - 2023,1.24
,Faizabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.26
,,2003 - 2004,0.48
,,2007 - 2008,0.41
,,2008 - 2009,0.27
,,2009 - 2010,0.46
,,2010 - 2011,0.57
,,2011 - 2012,0.59
,,2012 - 2013,0.71
,,2013 - 2014,0.36
,,2014 - 2015,0.33
,,2015 - 2016,0.29
,,2016 - 2017,0.37
,,2017 - 2018,0.26
,,2018 - 2019,0.4
,,2019 - 2020,0.45
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.37
,Farrukhabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.84
,,2003 - 2004,0.88
,,2007 - 2008,0.65
,,2008 - 2009,0.98
,,2009 - 2010,0.8
,,2010 - 2011,1.03
,,2011 - 2012,0.85
,,2012 - 2013,0.81
,,2013 - 2014,0.71
,,2014 - 2015,0.7
,,2015 - 2016,0.73
,,2016 - 2017,0.93
,,2017 - 2018,0.8
,,2018 - 2019,0.71
,,2019 - 2020,0.94
,,2020 - 2021,0.92
,,2021 - 2022,0.93
,,2022 - 2023,1.24
,Fatehpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.4
,,2003 - 2004,0.41
,,2007 - 2008,0.49
,,2008 - 2009,0.6
,,2009 - 2010,0.56
,,2010 - 2011,0.91
,,2011 - 2012,0.96
,,2012 - 2013,0.77
,,2013 - 2014,0.58
,,2014 - 2015,0.22
,,2015 - 2016,0.53
,,2016 - 2017,0.62
,,2017 - 2018,0.61
,,2018 - 2019,0.76
,,2019 - 2020,0.71
,,2020 - 2021,1.07
,,2021 - 2022,0.67
,,2022 - 2023,0.71
,Firozabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.42
,,2003 - 2004,0.55
,,2007 - 2008,0.68
,,2008 - 2009,0.94
,,2009 - 2010,1.05
,,2010 - 2011,0.79
,,2011 - 2012,1.41
,,2012 - 2013,0.93
,,2013 - 2014,0.82
,,2014 - 2015,1.1
,,2015 - 2016,0.96
,,2016 - 2017,0.61
,,2017 - 2018,0.9
,,2018 - 2019,0.75
,,2019 - 2020,1.4
,,2020 - 2021,0.76
,,2021 - 2022,0.91
,,2022 - 2023,1.28
,Gautam buddha nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.4
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.7
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,
,,2016 - 2017,0.66
,,2017 - 2018,0.63
,,2018 - 2019,0.78
,,2019 - 2020,
,,2020 - 2021,0.75
,,2021 - 2022,
,,2022 - 2023,
,Ghaziabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.41
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.63
,,2011 - 2012,0.67
,,2012 - 2013,0.69
,,2013 - 2014,0.5
,,2014 - 2015,0.55
,,2015 - 2016,0.6
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.83
,,2019 - 2020,
,,2020 - 2021,0.83
,,2021 - 2022,
,,2022 - 2023,
,Ghazipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.48
,,2003 - 2004,0.6
,,2007 - 2008,0.53
,,2008 - 2009,0.6
,,2009 - 2010,0.81
,,2010 - 2011,0.74
,,2011 - 2012,0.85
,,2012 - 2013,0.76
,,2013 - 2014,0.81
,,2014 - 2015,0.56
,,2015 - 2016,0.65
,,2016 - 2017,0.7
,,2017 - 2018,0.78
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.83
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Gonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.53
,,2003 - 2004,0.49
,,2007 - 2008,0.56
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.66
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.76
,,2021 - 2022,0.73
,,2022 - 2023,0.9
,Gorakhpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.57
,,2003 - 2004,0.67
,,2007 - 2008,0.6
,,2008 - 2009,0.64
,,2009 - 2010,0.63
,,2010 - 2011,0.67
,,2011 - 2012,0.63
,,2012 - 2013,0.67
