State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2014 - 2015,,,,"6,162.50","12,644.20",2.05,,,,,,,,,,,,
,,2015 - 2016,,,,"5,878.90","13,228.00",2.25,,,,,,,,,,,,
,,2016 - 2017,,,,"4,684.70","12,082.00",2.58,,,,,,,,,,,,
,,2017 - 2018,,,,"5,099.80","10,729.33",2.1,,,,,,,,,,,,
,,2018 - 2019,,,,"5,222.85","11,055.78",2.12,,,,,,,,,,,,
,,2019 - 2020,,,,"5,630.47","17,771.58",3.16,,,,,,,,,,,,
,,2022 - 2023,,,,"4,915.15","10,369.04",2.11,,,,,,,,,,,,
,3. South andamans,2002 - 2003,"10,695.80","31,600.82",2.95,,,,,,,,,,,,,,,
,,2003 - 2004,"10,509.37","30,760.70",2.93,,,,,,,,,,,,,,,
,,2004 - 2005,"10,681.98","29,119.66",2.73,,,,,,,,,,,,,,,
,,2005 - 2006,"8,683.38","25,870.98",2.98,,,,,,,,,,,,,,,
,,2006 - 2007,921.87,"2,539.64",2.75,,,,,,,,,,,,,,,
,,2010 - 2011,,,,"1,595.50","3,788.00",2.37,,,,,,,,,,,,
,,2011 - 2012,,,,784.45,"1,813.30",2.31,,,,,,,,,,,,
,,2012 - 2013,,,,320,390.3,1.22,,,,,,,,,,,,
,,2013 - 2014,,,,317.3,792,2.5,,,,,,,,,,,,
,,2014 - 2015,,,,267.5,464.3,1.74,,,,,,,,,,,,
,,2015 - 2016,,,,216.1,438.8,2.03,,,,,,,,,,,,
,,2016 - 2017,,,,185.1,502.18,2.71,,,,,,,,,,,,
,,2017 - 2018,,,,239.75,500.28,2.09,,,,,,,,,,,,
,,2018 - 2019,,,,164.16,378.57,2.31,,,,,,,,,,,,
,,2019 - 2020,,,,67.55,205.37,3.04,,,,,,,,,,,,
,,2022 - 2023,,,,73.5,153.06,2.08,,,,,,,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,"56,605.00","1,69,077.00",2.99,,,,"2,100.00","6,297.00",3,,,,,,,,,
,2. Anakapalli,2022 - 2023,"58,204.00","1,82,929.00",3.14,,,,"1,202.00","3,552.00",2.96,,,,,,,,,
,3. Anantapur,2000 - 2001,"39,905.00","1,17,680.00",2.95,,,,"22,099.00","57,236.00",2.59,,,,,,,,,
,,2001 - 2002,"32,878.00","95,609.00",2.91,,,,"38,119.00","1,08,906.00",2.86,,,,,,,,,
,,2002 - 2003,"29,066.00","66,329.00",2.28,,,,"10,960.00","20,462.00",1.87,,,,,,,,,
,,2003 - 2004,"17,515.00","44,891.00",2.56,,,,"10,826.00","25,463.00",2.35,,,,,,,,,
,,2004 - 2005,"24,335.00","85,051.00",3.5,,,,"9,240.00","21,622.00",2.34,,,,,,,,,
,,2005 - 2006,"25,008.00","69,972.00",2.8,,,,"23,142.00","55,587.00",2.4,,,,,,,,,
,,2006 - 2007,"22,349.00","67,427.00",3.02,,,,"10,846.00","31,974.00",2.95,,,,,,,,,
,,2007 - 2008,"30,000.00","95,000.00",3.17,,,,"14,000.00","37,000.00",2.64,,,,,,,,,
,,2008 - 2009,"30,306.00","94,615.00",3.12,,,,"18,416.00","49,815.00",2.7,,,,,,,,,
,,2009 - 2010,"32,226.00","1,01,512.00",3.15,,,,"19,428.00","46,899.00",2.41,,,,,,,,,
,,2010 - 2011,"34,973.00","1,02,007.00",2.92,,,,"24,828.00","69,394.00",2.79,,,,,,,,,
,,2011 - 2012,"37,720.00","94,531.00",2.51,,,,"10,948.00","25,542.00",2.33,,,,,,,,,
,,2012 - 2013,"22,000.00","58,000.00",2.64,,,,"7,000.00","18,000.00",2.57,,,,,,,,,
,,2013 - 2014,"28,114.00","59,377.00",2.11,,,,"12,283.00","28,558.00",2.33,,,,,,,,,
,,2014 - 2015,"22,658.00","68,155.00",3.01,,,,"6,553.00","14,377.00",2.19,,,,,,,,,
,,2015 - 2016,"20,033.00","61,012.00",3.05,,,,"13,590.00","36,639.00",2.7,,,,,,,,,
,,2016 - 2017,"17,983.00","44,138.00",2.45,,,,"4,904.00","13,293.00",2.71,,,,,,,,,
,,2017 - 2018,"12,293.00","30,831.00",2.51,,,,"18,621.00","55,528.00",2.98,,,,,,,,,
,,2018 - 2019,"21,938.00","58,673.00",2.67,,,,"9,066.00","22,629.00",2.5,,,,,,,,,
,,2019 - 2020,"18,209.00","65,726.00",3.61,,,,"14,331.00","44,922.00",3.13,,,,,,,,,
,,2020 - 2021,"20,037.00","54,581.00",2.72,,,,"15,698.00","49,344.00",3.14,,,,,,,,,
,,2021 - 2022,"23,267.00","48,411.00",2.08,,,,"9,099.00","23,669.00",2.6,,,,,,,,,
,,2022 - 2023,"21,151.00","78,103.00",3.69,,,,"5,844.00","25,885.00",4.43,,,,,,,,,
,4. Annamayya,2022 - 2023,"11,171.00","36,351.00",3.25,,,,"4,735.00","16,067.00",3.39,,,,,,,,,
,5. Bapatla,2022 - 2023,"99,437.00","4,12,133.00",4.14,,,,"15,942.00","68,806.00",4.32,,,,,,,,,
,6. Chittoor,2000 - 2001,"33,776.00","89,236.00",2.64,,,,"41,442.00","97,181.00",2.34,,,,,,,,,
,,2001 - 2002,"24,377.00","55,311.00",2.27,,,,"62,049.00","1,70,573.00",2.75,,,,,,,,,
,,2002 - 2003,"20,137.00","50,020.00",2.48,,,,"30,034.00","76,827.00",2.56,,,,,,,,,
,,2003 - 2004,"18,495.00","38,562.00",2.08,,,,"27,286.00","46,714.00",1.71,,,,,,,,,
,,2004 - 2005,"19,055.00","43,331.00",2.27,,,,"25,822.00","69,177.00",2.68,,,,,,,,,
,,2005 - 2006,"16,240.00","37,173.00",2.29,,,,"66,351.00","1,93,612.00",2.92,,,,,,,,,
,,2006 - 2007,"17,049.00","42,520.00",2.49,,,,"29,164.00","85,101.00",2.92,,,,,,,,,
,,2007 - 2008,"15,000.00","42,000.00",2.8,,,,"37,000.00","1,16,000.00",3.14,,,,,,,,,
,,2008 - 2009,"17,596.00","46,242.00",2.63,,,,"37,927.00","1,18,636.00",3.13,,,,,,,,,
,,2009 - 2010,"19,758.00","56,192.00",2.84,,,,"35,155.00","1,13,937.00",3.24,,,,,,,,,
,,2010 - 2011,"18,019.00","53,639.00",2.98,,,,"43,558.00","1,31,502.00",3.02,,,,,,,,,
,,2011 - 2012,"17,342.00","55,719.00",3.21,,,,"33,764.00","1,13,211.00",3.35,,,,,,,,,
,,2012 - 2013,"13,000.00","45,000.00",3.46,,,,"35,000.00","1,26,000.00",3.6,,,,,,,,,
,,2013 - 2014,"15,206.00","48,766.00",3.21,,,,"34,654.00","1,20,249.00",3.47,,,,,,,,,
,,2014 - 2015,"13,304.00","44,462.00",3.34,,,,"27,661.00","87,962.00",3.18,,,,,,,,,
,,2015 - 2016,"9,476.00","32,587.00",3.44,,,,"78,677.00","3,01,962.00",3.84,,,,,,,,,
,,2016 - 2017,"22,905.00","78,527.00",3.43,,,,"23,795.00","91,674.00",3.85,,,,,,,,,
,,2017 - 2018,"15,061.00","53,768.00",3.57,,,,"49,751.00","1,92,387.00",3.87,,,,,,,,,
,,2018 - 2019,"17,422.00","64,122.00",3.68,,,,"26,519.00","95,645.00",3.61,,,,,,,,,
,,2019 - 2020,"10,664.00","42,981.00",4.03,,,,"43,855.00","1,57,410.00",3.59,,,,,,,,,
,,2020 - 2021,"29,724.00","1,08,006.00",3.63,,,,"60,423.00","2,14,905.00",3.56,,,,,,,,,
,,2021 - 2022,"38,721.00","1,35,704.00",3.5,,,,"48,121.00","1,70,829.00",3.55,,,,,,,,,
,,2022 - 2023,"12,287.00","36,828.00",3,,,,"7,601.00","25,869.00",3.4,,,,,,,,,
,7. East godavari,2000 - 2001,"2,53,966.00","6,83,423.00",2.69,,,,"1,62,861.00","6,83,202.00",4.2,,,,,,,,,
,,2001 - 2002,"2,20,811.00","5,79,850.00",2.63,,,,"1,65,779.00","7,50,150.00",4.53,,,,,,,,,
,,2002 - 2003,"1,94,809.00","5,51,115.00",2.83,,,,"1,06,427.00","4,91,906.00",4.62,,,,,,,,,
,,2003 - 2004,"2,34,673.00","7,62,453.00",3.25,,,,"1,65,321.00","8,69,092.00",5.26,,,,,,,,,
,,2004 - 2005,"2,24,521.00","7,43,614.00",3.31,,,,"1,62,903.00","7,66,296.00",4.7,,,,,,,,,
,,2005 - 2006,"2,17,411.00","3,48,727.00",1.6,,,,"1,70,012.00","8,00,927.00",4.71,,,,,,,,,
,,2006 - 2007,"2,27,930.00","5,47,716.00",2.4,,,,"1,68,963.00","8,45,829.00",5.01,,,,,,,,,
,,2007 - 2008,"2,42,000.00","7,15,000.00",2.95,,,,"1,69,000.00","8,03,000.00",4.75,,,,,,,,,
,,2008 - 2009,"2,40,231.00","7,16,609.00",2.98,,,,"1,69,861.00","7,96,648.00",4.69,,,,,,,,,
,,2009 - 2010,"2,02,153.00","6,16,567.00",3.05,,,,"1,04,423.00","4,56,537.00",4.37,,,,,,,,,
,,2010 - 2011,"2,37,640.00","4,57,704.00",1.93,,,,"1,72,888.00","8,49,917.00",4.92,,,,,,,,,
,,2011 - 2012,"1,97,445.00","5,89,741.00",2.99,,,,"1,39,649.00","5,87,084.00",4.2,,,,,,,,,
,,2012 - 2013,"2,32,000.00","3,56,000.00",1.53,,,,"1,69,000.00","7,46,000.00",4.41,,,,,,,,,
,,2013 - 2014,"2,35,159.00","4,34,104.00",1.85,,,,"1,69,523.00","7,77,602.00",4.59,,,,,,,,,
,,2014 - 2015,"2,26,072.00","6,81,833.00",3.02,,,,"1,68,045.00","8,81,396.00",5.24,,,,,,,,,
,,2015 - 2016,"2,27,836.00","6,96,471.00",3.06,,,,"1,53,904.00","7,49,102.00",4.87,,,,,,,,,
,,2016 - 2017,"2,20,489.00","7,37,644.00",3.35,,,,"1,63,470.00","8,89,386.00",5.44,,,,,,,,,
,,2017 - 2018,"2,25,683.00","7,71,836.00",3.42,,,,"1,60,856.00","9,00,954.00",5.6,,,,,,,,,
,,2018 - 2019,"2,22,214.00","8,30,017.00",3.74,,,,"1,63,384.00","8,93,711.00",5.47,,,,,,,,,
,,2019 - 2020,"2,21,042.00","7,44,209.00",3.37,,,,"1,66,544.00","8,88,271.00",5.33,,,,,,,,,
,,2020 - 2021,"2,20,431.00","4,98,020.00",2.26,,,,"1,78,180.00","9,26,819.00",5.2,,,,,,,,,
,,2021 - 2022,"2,29,825.00","5,33,960.00",2.32,,,,"2,00,800.00","9,13,712.00",4.55,,,,,,,,,
,,2022 - 2023,"76,252.00","2,79,665.00",3.67,,,,"55,830.00","3,01,259.00",5.4,,,,,,,,,
,8. Eluru,2022 - 2023,"89,222.00","3,59,679.00",4.03,,,,"32,041.00","1,83,937.00",5.74,,,,,,,,,
,9. Guntur,2000 - 2001,"2,92,899.00","9,87,363.00",3.37,,,,"12,692.00","49,600.00",3.91,,,,,,,,,
,,2001 - 2002,"2,72,468.00","9,35,110.00",3.43,,,,"44,917.00","1,81,060.00",4.03,,,,,,,,,
,,2002 - 2003,"2,02,953.00","6,46,811.00",3.19,,,,"2,716.00","7,385.00",2.72,,,,,,,,,
,,2003 - 2004,"1,70,487.00","4,82,990.00",2.83,,,,"5,772.00","16,837.00",2.92,,,,,,,,,
,,2004 - 2005,"2,40,404.00","8,33,961.00",3.47,,,,"21,247.00","70,922.00",3.34,,,,,,,,,
,,2005 - 2006,"2,88,879.00","8,92,636.00",3.09,,,,"31,434.00","1,11,559.00",3.55,,,,,,,,,
,,2006 - 2007,"2,88,638.00","7,83,941.00",2.72,,,,"28,933.00","1,00,947.00",3.49,,,,,,,,,
,,2007 - 2008,"2,83,000.00","9,76,000.00",3.45,,,,"24,000.00","85,000.00",3.54,,,,,,,,,
,,2008 - 2009,"2,81,491.00","9,59,321.00",3.41,,,,"51,358.00","1,87,662.00",3.65,,,,,,,,,
,,2009 - 2010,"1,90,526.00","6,83,226.00",3.59,,,,"1,12,342.00","3,83,423.00",3.41,,,,,,,,,
,,2010 - 2011,"2,71,072.00","6,49,760.00",2.4,,,,"58,393.00","2,01,806.00",3.46,,,,,,,,,
,,2011 - 2012,"2,81,790.00","10,80,921.00",3.84,,,,"11,012.00","39,060.00",3.55,,,,,,,,,
,,2012 - 2013,"1,75,000.00","6,08,000.00",3.47,,,,"8,000.00","30,000.00",3.75,,,,,,,,,
,,2013 - 2014,"2,80,060.00","9,12,716.00",3.26,,,,"48,107.00","1,83,288.00",3.81,,,,,,,,,
,,2014 - 2015,"2,55,607.00","10,00,190.00",3.91,,,,"29,695.00","1,11,742.00",3.76,,,,,,,,,
,,2015 - 2016,"1,60,608.00","4,65,820.00",2.9,,,,"2,610.00","9,051.00",3.47,,,,,,,,,
,,2016 - 2017,"1,63,747.00","6,85,336.00",4.19,,,,"12,193.00","50,195.00",4.12,,,,,,,,,
,,2017 - 2018,"1,83,828.00","7,66,563.00",4.17,,,,"18,663.00","86,279.00",4.62,,,,,,,,,
,,2018 - 2019,"2,16,433.00","8,57,796.00",3.96,,,,"30,405.00","1,21,397.00",3.99,,,,,,,,,
,,2019 - 2020,"2,20,272.00","8,77,858.00",3.99,,,,"26,430.00","1,05,191.00",3.98,,,,,,,,,
,,2020 - 2021,"2,13,628.00","6,68,086.00",3.13,,,,"41,657.00","1,63,101.00",3.92,,,,,,,,,
,,2021 - 2022,"2,22,643.00","6,53,977.00",2.94,,,,"31,529.00","1,12,621.00",3.57,,,,,,,,,
,,2022 - 2023,"61,705.00","2,58,966.00",4.2,,,,650,"2,586.00",3.98,,,,,,,,,
,10. Kadapa,2000 - 2001,"60,412.00","1,70,120.00",2.82,,,,"7,426.00","6,134.00",0.83,,,,,,,,,
,,2001 - 2002,"38,218.00","96,883.00",2.54,,,,"37,550.00","98,231.00",2.62,,,,,,,,,
,,2002 - 2003,"27,457.00","56,424.00",2.05,,,,"9,203.00","16,446.00",1.79,,,,,,,,,
,,2003 - 2004,"23,356.00","60,025.00",2.57,,,,"10,767.00","24,032.00",2.23,,,,,,,,,
,,2004 - 2005,"46,932.00","1,49,619.00",3.19,,,,"5,689.00","11,424.00",2.01,,,,,,,,,
,,2005 - 2006,"45,556.00","85,828.00",1.88,,,,"21,197.00","55,791.00",2.63,,,,,,,,,
,,2006 - 2007,"41,908.00","1,14,493.00",2.73,,,,"4,997.00","10,963.00",2.19,,,,,,,,,
,,2007 - 2008,"45,000.00","1,39,000.00",3.09,,,,"17,000.00","45,000.00",2.65,,,,,,,,,
,,2008 - 2009,"50,183.00","87,168.00",1.74,,,,"14,883.00","41,271.00",2.77,,,,,,,,,
,,2009 - 2010,"52,423.00","1,53,757.00",2.93,,,,"12,894.00","34,169.00",2.65,,,,,,,,,
,,2010 - 2011,"53,345.00","80,657.00",1.51,,,,"17,037.00","48,896.00",2.87,,,,,,,,,
,,2011 - 2012,"47,290.00","1,41,161.00",2.99,,,,"6,606.00","17,499.00",2.65,,,,,,,,,
,,2012 - 2013,"24,000.00","62,000.00",2.58,,,,"7,000.00","19,000.00",2.71,,,,,,,,,
,,2013 - 2014,"51,753.00","1,48,842.00",2.88,,,,"10,959.00","29,447.00",2.69,,,,,,,,,
,,2014 - 2015,"42,124.00","1,55,648.00",3.69,,,,"3,761.00","10,189.00",2.71,,,,,,,,,
,,2015 - 2016,"18,625.00","50,337.00",2.7,,,,"21,638.00","72,790.00",3.36,,,,,,,,,
,,2016 - 2017,"44,388.00","1,46,747.00",3.31,,,,"5,941.00","18,893.00",3.18,,,,,,,,,
,,2017 - 2018,"30,717.00","70,496.00",2.3,,,,"24,262.00","69,268.00",2.85,,,,,,,,,
,,2018 - 2019,"39,041.00","1,26,779.00",3.25,,,,"6,799.00","20,932.00",3.08,,,,,,,,,
,,2019 - 2020,"32,647.00","99,769.00",3.06,,,,"9,162.00","29,795.00",3.25,,,,,,,,,
,,2020 - 2021,"36,780.00","70,201.00",1.91,,,,"23,407.00","77,665.00",3.32,,,,,,,,,
,,2021 - 2022,"52,146.00","87,223.00",1.67,,,,"18,356.00","54,028.00",2.94,,,,,,,,,
,,2022 - 2023,"27,616.00","88,721.00",3.21,,,,"10,431.00","37,475.00",3.59,,,,,,,,,
,11. Kakinada,2022 - 2023,"89,585.00","2,83,866.00",3.17,,,,"65,539.00","3,26,035.00",4.97,,,,,,,,,
,12. Konaseema,2022 - 2023,"56,241.00","1,73,335.00",3.08,,,,"70,549.00","4,11,301.00",5.83,,,,,,,,,
,13. Krishna,2000 - 2001,"2,81,343.00","8,68,787.00",3.09,,,,"1,12,917.00","4,08,308.00",3.62,,,,,,,,,
,,2001 - 2002,"2,45,114.00","7,14,507.00",2.91,,,,"98,472.00","3,58,635.00",3.64,,,,,,,,,
,,2002 - 2003,"2,43,910.00","7,61,243.00",3.12,,,,"2,185.00","5,688.00",2.6,,,,,,,,,
,,2003 - 2004,"2,22,367.00","5,26,565.00",2.37,,,,"7,486.00","19,359.00",2.59,,,,,,,,,
,,2004 - 2005,"2,45,306.00","8,04,849.00",3.28,,,,"10,017.00","31,584.00",3.15,,,,,,,,,
,,2005 - 2006,"2,54,919.00","6,97,203.00",2.73,,,,"1,04,332.00","4,09,399.00",3.92,,,,,,,,,
,,2006 - 2007,"2,51,433.00","5,21,221.00",2.07,,,,"94,862.00","3,55,638.00",3.75,,,,,,,,,
,,2007 - 2008,"2,61,000.00","9,44,000.00",3.62,,,,"94,000.00","3,55,000.00",3.78,,,,,,,,,
,,2008 - 2009,"2,73,878.00","9,59,395.00",3.5,,,,"1,20,655.00","4,67,900.00",3.88,,,,,,,,,
,,2009 - 2010,"2,28,196.00","7,84,310.00",3.44,,,,"1,08,442.00","4,24,984.00",3.92,,,,,,,,,
,,2010 - 2011,"2,60,350.00","7,22,978.00",2.78,,,,"94,991.00","3,67,710.00",3.87,,,,,,,,,
,,2011 - 2012,"2,62,826.00","9,80,105.00",3.73,,,,"9,203.00","31,437.00",3.42,,,,,,,,,
,,2012 - 2013,"2,53,000.00","9,08,000.00",3.59,,,,"11,000.00","43,000.00",3.91,,,,,,,,,
,,2013 - 2014,"2,64,371.00","7,73,285.00",2.92,,,,"98,951.00","4,02,236.00",4.07,,,,,,,,,
,,2014 - 2015,"2,35,212.00","7,88,901.00",3.35,,,,"52,830.00","2,09,894.00",3.97,,,,,,,,,
,,2015 - 2016,"2,10,818.00","7,07,083.00",3.35,,,,"9,861.00","55,555.00",5.63,,,,,,,,,
,,2016 - 2017,"2,15,895.00","8,33,499.00",3.86,,,,"15,514.00","64,217.00",4.14,,,,,,,,,
,,2017 - 2018,"2,35,984.00","9,30,721.00",3.94,,,,"22,744.00","1,01,234.00",4.45,,,,,,,,,
,,2018 - 2019,"2,45,815.00","10,22,427.00",4.16,,,,"28,199.00","1,24,621.00",4.42,,,,,,,,,
,,2019 - 2020,"2,43,863.00","9,45,538.00",3.88,,,,"71,173.00","3,15,771.00",4.44,,,,,,,,,
,,2020 - 2021,"2,50,926.00","8,12,833.00",3.24,,,,"87,691.00","3,85,723.00",4.4,,,,,,,,,
,,2021 - 2022,"2,47,769.00","8,46,875.00",3.42,,,,"20,744.00","81,496.00",3.93,,,,,,,,,
,,2022 - 2023,"1,62,774.00","6,46,104.00",3.97,,,,"4,653.00","18,907.00",4.06,,,,,,,,,
,14. Kurnool,2000 - 2001,"93,188.00","3,07,427.00",3.3,,,,"13,909.00","38,083.00",2.74,,,,,,,,,
,,2001 - 2002,"43,617.00","1,21,779.00",2.79,,,,"38,162.00","98,534.00",2.58,,,,,,,,,
,,2002 - 2003,"47,948.00","1,00,499.00",2.1,,,,"10,974.00","24,856.00",2.26,,,,,,,,,
,,2003 - 2004,"34,618.00","1,00,635.00",2.91,,,,"4,966.00","11,377.00",2.29,,,,,,,,,
,,2004 - 2005,"61,465.00","2,10,702.00",3.43,,,,"12,058.00","37,549.00",3.11,,,,,,,,,
,,2005 - 2006,"88,555.00","2,92,586.00",3.3,,,,"20,079.00","65,980.00",3.29,,,,,,,,,
,,2006 - 2007,"80,692.00","2,70,238.00",3.35,,,,"12,475.00","36,764.00",2.95,,,,,,,,,
,,2007 - 2008,"90,000.00","3,32,000.00",3.69,,,,"19,000.00","51,000.00",2.68,,,,,,,,,
,,2008 - 2009,"84,066.00","2,79,856.00",3.33,,,,"27,383.00","97,073.00",3.55,,,,,,,,,
,,2009 - 2010,"81,908.00","2,56,454.00",3.13,,,,"44,772.00","1,57,911.00",3.53,,,,,,,,,
,,2010 - 2011,"1,04,110.00","2,91,475.00",2.8,,,,"32,967.00","1,05,626.00",3.2,,,,,,,,,
,,2011 - 2012,"91,984.00","3,33,882.00",3.63,,,,"14,738.00","46,042.00",3.12,,,,,,,,,
,,2012 - 2013,"72,000.00","2,77,000.00",3.85,,,,"17,000.00","60,000.00",3.53,,,,,,,,,
,,2013 - 2014,"92,596.00","3,40,383.00",3.68,,,,"32,298.00","1,18,017.00",3.65,,,,,,,,,
,,2014 - 2015,"91,569.00","3,61,514.00",3.95,,,,"23,329.00","82,748.00",3.55,,,,,,,,,
,,2015 - 2016,"46,316.00","1,45,993.00",3.15,,,,"9,276.00","25,589.00",2.76,,,,,,,,,
,,2016 - 2017,"79,264.00","3,22,068.00",4.06,,,,"29,451.00","1,12,817.00",3.83,,,,,,,,,
,,2017 - 2018,"59,592.00","2,06,963.00",3.47,,,,"42,498.00","1,55,500.00",3.66,,,,,,,,,
,,2018 - 2019,"88,858.00","3,46,199.00",3.9,,,,"21,039.00","74,787.00",3.55,,,,,,,,,
,,2019 - 2020,"82,759.00","3,29,605.00",3.98,,,,"38,714.00","1,51,604.00",3.92,,,,,,,,,
,,2020 - 2021,"83,979.00","2,47,240.00",2.94,,,,"38,959.00","1,53,005.00",3.93,,,,,,,,,
,,2021 - 2022,"85,481.00","2,65,761.00",3.11,,,,"31,675.00","1,17,219.00",3.7,,,,,,,,,
,,2022 - 2023,"11,676.00","39,426.00",3.38,,,,"4,657.00","15,492.00",3.33,,,,,,,,,
,15. Nandyal,2022 - 2023,"64,432.00","2,50,121.00",3.88,,,,"33,764.00","1,43,722.00",4.26,,,,,,,,,
,16. Ntr,2022 - 2023,"46,135.00","1,80,573.00",3.91,,,,"17,847.00","68,413.00",3.83,,,,,,,,,
,17. Palnadu,2022 - 2023,"38,621.00","1,44,751.00",3.75,,,,"19,852.00","72,261.00",3.64,,,,,,,,,
,18. Parvathipuram manyam,2022 - 2023,"71,419.00","2,37,456.00",3.32,,,,"1,394.00","4,471.00",3.21,,,,,,,,,
,19. Prakasam,2000 - 2001,"50,601.00","1,56,559.00",3.09,,,,"96,893.00","3,16,840.00",3.27,,,,,,,,,
,,2001 - 2002,"40,841.00","1,34,204.00",3.29,,,,"1,06,540.00","3,85,888.00",3.62,,,,,,,,,
,,2002 - 2003,"19,256.00","46,927.00",2.44,,,,"46,223.00","1,04,325.00",2.26,,,,,,,,,
,,2003 - 2004,"14,621.00","41,992.00",2.87,,,,"31,497.00","79,278.00",2.52,,,,,,,,,
,,2004 - 2005,"27,435.00","95,446.00",3.48,,,,"66,134.00","2,20,491.00",3.33,,,,,,,,,
,,2005 - 2006,"54,390.00","1,44,351.00",2.65,,,,"95,020.00","3,40,932.00",3.59,,,,,,,,,
,,2006 - 2007,"41,191.00","1,24,809.00",3.03,,,,"79,875.00","2,97,215.00",3.72,,,,,,,,,
,,2007 - 2008,"47,000.00","1,73,000.00",3.68,,,,"80,000.00","2,87,000.00",3.59,,,,,,,,,
,,2008 - 2009,"47,434.00","1,67,774.00",3.54,,,,"83,957.00","3,14,503.00",3.75,,,,,,,,,
,,2009 - 2010,"32,959.00","1,17,730.00",3.57,,,,"96,240.00","3,71,390.00",3.86,,,,,,,,,
,,2010 - 2011,"48,878.00","1,43,300.00",2.93,,,,"1,07,903.00","3,76,150.00",3.49,,,,,,,,,
,,2011 - 2012,"39,122.00","1,34,932.00",3.45,,,,"79,396.00","2,92,098.00",3.68,,,,,,,,,
,,2012 - 2013,"18,000.00","64,000.00",3.56,,,,"34,000.00","1,26,000.00",3.71,,,,,,,,,
,,2013 - 2014,"58,034.00","2,13,391.00",3.68,,,,"80,544.00","3,18,874.00",3.96,,,,,,,,,
,,2014 - 2015,"31,764.00","1,21,783.00",3.83,,,,"73,533.00","2,84,132.00",3.86,,,,,,,,,
,,2015 - 2016,"14,187.00","61,438.00",4.33,,,,"30,198.00","1,17,249.00",3.88,,,,,,,,,
,,2016 - 2017,"19,297.00","64,177.00",3.33,,,,"20,775.00","79,721.00",3.84,,,,,,,,,
,,2017 - 2018,"27,547.00","1,07,543.00",3.9,,,,"19,806.00","74,035.00",3.74,,,,,,,,,
,,2018 - 2019,"27,778.00","1,02,036.00",3.67,,,,"37,490.00","1,26,566.00",3.38,,,,,,,,,
,,2019 - 2020,"29,872.00","1,11,711.00",3.74,,,,"50,503.00","1,91,440.00",3.79,,,,,,,,,
,,2020 - 2021,"26,622.00","90,446.00",3.4,,,,"61,737.00","2,11,429.00",3.42,,,,,,,,,
,,2021 - 2022,"33,260.00","1,02,419.00",3.08,,,,"56,252.00","1,84,207.00",3.27,,,,,,,,,
,,2022 - 2023,"12,432.00","41,051.00",3.3,,,,"14,091.00","50,943.00",3.62,,,,,,,,,
,20. Spsr nellore,2000 - 2001,"55,041.00","1,71,563.00",3.12,,,,"1,32,867.00","3,67,510.00",2.77,,,,,,,,,
