State,District,Year,Arecanut,,,,,,,,
,,2008 - 2009,,,,"1,562.00","2,024.00",1.3,,,
,,2009 - 2010,,,,"1,563.00","1,721.00",1.1,,,
,,2010 - 2011,,,,,,,"1,563.00","1,721.00",1.1
,,2011 - 2012,,,,,,,"1,566.00","2,330.00",1.49
,,2012 - 2013,,,,,,,"1,559.00","2,155.00",1.38
,,2013 - 2014,,,,,,,"1,590.00","1,387.00",0.87
,,2014 - 2015,,,,,,,"1,572.00",936,0.6
,,2015 - 2016,,,,,,,"1,577.00",952,0.6
,,2016 - 2017,,,,,,,"1,580.00",763,0.48
,,2017 - 2018,,,,,,,"1,579.00",902,0.57
,,2018 - 2019,,,,,,,"1,576.00",854,0.54
,,2019 - 2020,,,,,,,"1,610.00",848,0.53
,,2020 - 2021,,,,,,,"1,617.00",723,0.45
,,2021 - 2022,,,,,,,"1,617.00",723,0.45
,,2022 - 2023,,,,,,,"1,542.00",690,0.45
,5. Cachar,2000 - 2001,,,,"4,565.00","3,106.00",0.68,,,
,,2001 - 2002,,,,"4,575.00","2,143.00",0.47,,,
,,2002 - 2003,,,,"4,580.00","1,566.00",0.34,,,
,,2003 - 2004,,,,"4,464.00","1,222.00",0.27,,,
,,2005 - 2006,,,,"4,184.00","1,133.00",0.27,,,
,,2006 - 2007,,,,"4,545.00","1,037.00",0.23,,,
,,2007 - 2008,,,,"4,295.00","1,805.00",0.42,,,
,,2008 - 2009,,,,"4,446.00","2,821.00",0.63,,,
,,2009 - 2010,,,,"4,478.00","2,435.00",0.54,,,
,,2010 - 2011,,,,,,,"4,478.00","2,435.00",0.54
,,2011 - 2012,,,,,,,"4,293.00","2,432.00",0.57
,,2012 - 2013,,,,,,,"4,331.00","2,233.00",0.52
,,2013 - 2014,,,,,,,"4,467.00","1,605.00",0.36
,,2014 - 2015,,,,,,,"4,352.00","3,347.00",0.77
,,2015 - 2016,,,,,,,"4,252.00","2,563.00",0.6
,,2016 - 2017,,,,,,,"4,186.00","1,590.00",0.38
,,2017 - 2018,,,,,,,"4,151.00","1,575.00",0.38
,,2018 - 2019,,,,,,,"4,200.00","1,341.00",0.32
,,2019 - 2020,,,,,,,"4,200.00","1,463.00",0.35
,,2020 - 2021,,,,,,,"4,240.00","1,767.00",0.42
,,2021 - 2022,,,,,,,"4,240.00","1,767.00",0.42
,,2022 - 2023,,,,,,,"4,070.00","1,701.00",0.42
,6. Charaideo,2019 - 2020,,,,,,,"1,230.00",831,0.68
,,2020 - 2021,,,,,,,"1,197.00",784,0.65
,,2021 - 2022,,,,,,,"1,197.00",784,0.65
,,2022 - 2023,,,,,,,"1,220.00",282,0.23
,7. Chirang,2006 - 2007,,,,"2,008.00","1,541.00",0.77,,,
,,2007 - 2008,,,,"2,207.00","1,865.00",0.85,,,
,,2008 - 2009,,,,"2,260.00","2,451.00",1.08,,,
,,2009 - 2010,,,,"2,588.00","2,496.00",0.96,,,
,,2010 - 2011,,,,,,,"2,588.00","2,496.00",0.96
,,2011 - 2012,,,,,,,"2,912.00","2,524.00",0.87
,,2012 - 2013,,,,,,,"2,267.00","2,232.00",0.98
,,2013 - 2014,,,,,,,"2,291.00","1,555.00",0.68
,,2014 - 2015,,,,,,,"2,366.00","2,204.00",0.93
,,2015 - 2016,,,,,,,"2,350.00","1,773.00",0.75
,,2016 - 2017,,,,,,,"3,143.00","2,542.00",0.81
,,2017 - 2018,,,,,,,"3,150.00","4,394.00",1.39
,,2018 - 2019,,,,,,,"3,150.00","1,489.00",0.47
,,2019 - 2020,,,,,,,"3,407.00","4,683.00",1.37
,,2020 - 2021,,,,,,,"3,107.00","1,815.00",0.58
,,2021 - 2022,,,,,,,"3,107.00","1,815.00",0.58
,,2022 - 2023,,,,,,,"3,592.00","2,098.00",0.58
,8. Darrang,2000 - 2001,,,,"4,749.00","2,976.00",0.63,,,
,,2001 - 2002,,,,"4,800.00","3,842.00",0.8,,,
,,2002 - 2003,,,,"5,060.00","3,052.00",0.6,,,
,,2003 - 2004,,,,"5,072.00","3,036.00",0.6,,,
,,2005 - 2006,,,,"5,080.00","3,645.00",0.72,,,
,,2006 - 2007,,,,"1,781.00","2,005.00",1.13,,,
,,2007 - 2008,,,,"1,144.00",797,0.7,,,
,,2008 - 2009,,,,"1,685.00",673,0.4,,,
,,2009 - 2010,,,,"1,807.00","1,083.00",0.6,,,
,,2010 - 2011,,,,,,,"1,807.00","1,083.00",0.6
,,2011 - 2012,,,,,,,"1,800.00",762,0.42
,,2012 - 2013,,,,,,,"1,840.00","1,041.00",0.57
,,2013 - 2014,,,,,,,"1,671.00","1,042.00",0.62
,,2014 - 2015,,,,,,,"1,530.00",780,0.51
,,2015 - 2016,,,,,,,"1,531.00","1,366.00",0.89
,,2016 - 2017,,,,,,,"1,533.00",561,0.37
,,2017 - 2018,,,,,,,"1,527.00",772,0.51
,,2018 - 2019,,,,,,,"1,539.00",597,0.39
,,2019 - 2020,,,,,,,"1,542.00",643,0.42
,,2020 - 2021,,,,,,,"1,541.00",665,0.43
,,2021 - 2022,,,,,,,"1,541.00",665,0.43
,,2022 - 2023,,,,,,,"1,541.00",665,0.43
,9. Dhemaji,2000 - 2001,,,,836,"1,130.00",1.35,,,
,,2001 - 2002,,,,852,"1,588.00",1.86,,,
,,2002 - 2003,,,,852,765,0.9,,,
,,2003 - 2004,,,,861,729,0.85,,,
,,2005 - 2006,,,,978,"1,163.00",1.19,,,
,,2006 - 2007,,,,"1,420.00","1,434.00",1.01,,,
,,2007 - 2008,,,,960,795,0.83,,,
,,2008 - 2009,,,,257,444,1.73,,,
,,2009 - 2010,,,,960,747,0.78,,,
,,2010 - 2011,,,,,,,960,747,0.78
,,2011 - 2012,,,,,,,975,952,0.98
,,2012 - 2013,,,,,,,990,967,0.98
,,2013 - 2014,,,,,,,962,352,0.37
,,2014 - 2015,,,,,,,945,583,0.62
,,2015 - 2016,,,,,,,960,954,0.99
,,2016 - 2017,,,,,,,362,154,0.43
,,2017 - 2018,,,,,,,758,934,1.23
,,2018 - 2019,,,,,,,777,566,0.73
,,2019 - 2020,,,,,,,778,417,0.54
,,2020 - 2021,,,,,,,783,655,0.84
,,2021 - 2022,,,,,,,783,655,0.84
,,2022 - 2023,,,,,,,519,425,0.82
,10. Dhubri,2000 - 2001,,,,"2,207.00","1,837.00",0.83,,,
,,2001 - 2002,,,,"2,264.00","1,880.00",0.83,,,
,,2002 - 2003,,,,"2,003.00","2,117.00",1.06,,,
,,2003 - 2004,,,,"2,110.00","1,412.00",0.67,,,
,,2005 - 2006,,,,"1,830.00","3,007.00",1.64,,,
,,2006 - 2007,,,,"1,315.00","1,138.00",0.87,,,
,,2007 - 2008,,,,"1,327.00","1,037.00",0.78,,,
,,2008 - 2009,,,,"1,080.00","1,413.00",1.31,,,
,,2009 - 2010,,,,"1,186.00",602,0.51,,,
,,2010 - 2011,,,,,,,"1,186.00",602,0.51
,,2011 - 2012,,,,,,,"1,262.00",866,0.69
,,2012 - 2013,,,,,,,"1,253.00","2,353.00",1.88
,,2013 - 2014,,,,,,,"1,258.00",610,0.48
,,2014 - 2015,,,,,,,"1,251.00",991,0.79
,,2015 - 2016,,,,,,,"1,254.00",986,0.79
,,2016 - 2017,,,,,,,"1,454.00","1,688.00",1.16
,,2017 - 2018,,,,,,,"1,261.00","1,111.00",0.88
,,2018 - 2019,,,,,,,"1,254.00","1,253.00",1
,,2019 - 2020,,,,,,,"1,043.00","1,370.00",1.31
,,2020 - 2021,,,,,,,"1,035.00",859,0.83
,,2021 - 2022,,,,,,,"1,035.00",859,0.83
,,2022 - 2023,,,,,,,985,804,0.82
,11. Dibrugarh,2000 - 2001,,,,"3,100.00","2,545.00",0.82,,,
,,2001 - 2002,,,,"3,100.00","2,469.00",0.8,,,
,,2002 - 2003,,,,"3,105.00","2,685.00",0.86,,,
,,2003 - 2004,,,,"2,756.00","4,280.00",1.55,,,
,,2005 - 2006,,,,"2,137.00","2,081.00",0.97,,,
,,2006 - 2007,,,,982,"1,461.00",1.49,,,
,,2007 - 2008,,,,"1,000.00","1,266.00",1.27,,,
,,2008 - 2009,,,,"1,029.00","1,096.00",1.07,,,
,,2009 - 2010,,,,"1,100.00","1,569.00",1.43,,,
,,2010 - 2011,,,,,,,"1,100.00","1,569.00",1.43
,,2011 - 2012,,,,,,,"1,400.00","1,595.00",1.14
,,2012 - 2013,,,,,,,"1,480.00","1,866.00",1.26
,,2013 - 2014,,,,,,,"1,518.00","1,187.00",0.78
,,2014 - 2015,,,,,,,"1,466.00",508,0.35
,,2015 - 2016,,,,,,,"1,492.00",994,0.67
,,2016 - 2017,,,,,,,"1,586.00",498,0.31
,,2017 - 2018,,,,,,,"1,515.00",852,0.56
,,2018 - 2019,,,,,,,"1,505.00",631,0.42
,,2019 - 2020,,,,,,,"1,505.00",457,0.3
,,2020 - 2021,,,,,,,"1,550.00","1,272.00",0.82
,,2021 - 2022,,,,,,,"1,550.00","1,272.00",0.82
,,2022 - 2023,,,,,,,"1,460.00",851,0.58
,12. Dima hasao,2000 - 2001,,,,350,299,0.85,,,
,,2001 - 2002,,,,320,283,0.88,,,
,,2002 - 2003,,,,350,233,0.67,,,
,,2003 - 2004,,,,395,443,1.12,,,
,,2005 - 2006,,,,387,357,0.92,,,
,,2006 - 2007,,,,490,283,0.58,,,
,,2007 - 2008,,,,482,181,0.38,,,
,,2008 - 2009,,,,91,52,0.57,,,
,,2009 - 2010,,,,269,166,0.62,,,
,,2010 - 2011,,,,,,,269,166,0.62
,,2011 - 2012,,,,,,,"1,310.00","1,308.00",1
,,2012 - 2013,,,,,,,"1,588.00",903,0.57
,,2013 - 2014,,,,,,,"1,742.00",583,0.33
,,2014 - 2015,,,,,,,"1,742.00","1,232.00",0.71
,,2015 - 2016,,,,,,,"1,742.00","1,065.00",0.61
,,2016 - 2017,,,,,,,"1,770.00","1,367.00",0.77
,,2017 - 2018,,,,,,,"1,905.00","1,413.00",0.74
,,2018 - 2019,,,,,,,"1,885.00","1,826.00",0.97
,,2019 - 2020,,,,,,,"1,885.00","1,209.00",0.64
,,2020 - 2021,,,,,,,"1,890.00","1,369.00",0.72
,,2021 - 2022,,,,,,,"1,890.00","1,369.00",0.72
,,2022 - 2023,,,,,,,"1,983.00","1,436.00",0.72
,13. Goalpara,2000 - 2001,,,,"2,850.00","5,110.00",1.79,,,
,,2001 - 2002,,,,"2,860.00","1,990.00",0.7,,,
,,2002 - 2003,,,,"2,860.00","3,028.00",1.06,,,
,,2003 - 2004,,,,"2,900.00","2,896.00",1,,,
,,2005 - 2006,,,,"3,077.00","4,028.00",1.31,,,
,,2006 - 2007,,,,"3,150.00","3,976.00",1.26,,,
,,2007 - 2008,,,,"3,155.00","3,790.00",1.2,,,
,,2008 - 2009,,,,"3,160.00","4,168.00",1.32,,,
,,2009 - 2010,,,,"3,200.00","4,609.00",1.44,,,
,,2010 - 2011,,,,,,,"3,200.00","4,609.00",1.44
,,2011 - 2012,,,,,,,"2,476.00","2,995.00",1.21
,,2012 - 2013,,,,,,,"2,487.00","3,354.00",1.35
,,2013 - 2014,,,,,,,"2,500.00","2,314.00",0.93
,,2014 - 2015,,,,,,,"1,644.00","1,921.00",1.17
,,2015 - 2016,,,,,,,"1,590.00","1,762.00",1.11
,,2016 - 2017,,,,,,,"2,208.00","2,673.00",1.21
,,2017 - 2018,,,,,,,"2,256.00","3,595.00",1.59
,,2018 - 2019,,,,,,,"2,270.00","3,494.00",1.54
,,2019 - 2020,,,,,,,"2,270.00","2,769.00",1.22
,,2020 - 2021,,,,,,,"2,307.00","2,480.00",1.07
,,2021 - 2022,,,,,,,"2,307.00","2,480.00",1.07
,,2022 - 2023,,,,,,,"2,335.00",30,0.01
,14. Golaghat,2000 - 2001,,,,"4,738.00","3,573.00",0.75,,,
,,2001 - 2002,,,,"4,790.00","3,361.00",0.7,,,
,,2002 - 2003,,,,"4,845.00","3,557.00",0.73,,,
,,2003 - 2004,,,,"5,086.00","2,940.00",0.58,,,
,,2005 - 2006,,,,"5,080.00","4,060.00",0.8,,,
,,2006 - 2007,,,,"4,398.00","3,346.00",0.76,,,
,,2007 - 2008,,,,"4,565.00","4,070.00",0.89,,,
,,2008 - 2009,,,,"6,038.00","4,733.00",0.78,,,
,,2009 - 2010,,,,"6,061.00","5,076.00",0.84,,,
,,2010 - 2011,,,,,,,"6,061.00","5,076.00",0.84
,,2011 - 2012,,,,,,,"6,306.00","5,619.00",0.89
,,2012 - 2013,,,,,,,"6,369.00","5,061.00",0.79
,,2013 - 2014,,,,,,,"6,221.00","4,344.00",0.7
,,2014 - 2015,,,,,,,"5,223.00","3,308.00",0.63
,,2015 - 2016,,,,,,,"5,223.00","4,471.00",0.86
,,2016 - 2017,,,,,,,"5,223.00","3,022.00",0.58
,,2017 - 2018,,,,,,,"5,223.00","3,279.00",0.63
,,2018 - 2019,,,,,,,"5,223.00","3,447.00",0.66
,,2019 - 2020,,,,,,,"5,195.00","3,224.00",0.62
,,2020 - 2021,,,,,,,"5,026.00","4,098.00",0.82
,,2021 - 2022,,,,,,,"5,026.00","4,098.00",0.82
,,2022 - 2023,,,,,,,"1,772.00","1,115.00",0.63
,15. Hailakandi,2000 - 2001,,,,"2,600.00","1,601.00",0.62,,,
,,2001 - 2002,,,,"2,650.00","4,092.00",1.54,,,
,,2002 - 2003,,,,"2,700.00",916,0.34,,,
,,2003 - 2004,,,,"2,690.00",548,0.2,,,
,,2005 - 2006,,,,"2,695.00","1,118.00",0.41,,,
,,2006 - 2007,,,,"2,900.00","1,190.00",0.41,,,
,,2007 - 2008,,,,"2,850.00",783,0.27,,,
,,2008 - 2009,,,,"2,805.00","1,425.00",0.51,,,
,,2009 - 2010,,,,"2,800.00","2,015.00",0.72,,,
,,2010 - 2011,,,,,,,"2,800.00","2,015.00",0.72
,,2011 - 2012,,,,,,,"3,000.00","1,611.00",0.54
,,2012 - 2013,,,,,,,"2,925.00","1,294.00",0.44
,,2013 - 2014,,,,,,,"2,687.00","7,944.00",2.96
,,2014 - 2015,,,,,,,"2,668.00","9,450.00",3.54
,,2015 - 2016,,,,,,,"2,672.00","2,800.00",1.05
,,2016 - 2017,,,,,,,"2,674.00","4,634.00",1.73
,,2017 - 2018,,,,,,,"2,680.00","4,036.00",1.51
,,2018 - 2019,,,,,,,"2,702.00","2,641.00",0.98
,,2019 - 2020,,,,,,,"2,690.00","4,477.00",1.66
,,2020 - 2021,,,,,,,"2,700.00","3,146.00",1.17
,,2021 - 2022,,,,,,,"2,700.00","3,146.00",1.17
,,2022 - 2023,,,,,,,"2,700.00","3,222.00",1.19
,16. Hojai,2019 - 2020,,,,,,,684,417,0.61
,,2020 - 2021,,,,,,,680,420,0.62
,,2021 - 2022,,,,,,,680,420,0.62
,,2022 - 2023,,,,,,,675,417,0.62
,17. Jorhat,2000 - 2001,,,,"2,286.00",688,0.3,,,
,,2001 - 2002,,,,"2,415.00","2,291.00",0.95,,,
,,2002 - 2003,,,,"2,500.00","1,374.00",0.55,,,
,,2003 - 2004,,,,"2,325.00",992,0.43,,,
,,2005 - 2006,,,,"2,329.00","1,117.00",0.48,,,
,,2006 - 2007,,,,"2,504.00","1,423.00",0.57,,,
,,2007 - 2008,,,,"2,540.00","1,653.00",0.65,,,
,,2008 - 2009,,,,"2,959.00","2,481.00",0.84,,,
,,2009 - 2010,,,,"2,980.00","1,881.00",0.63,,,
,,2010 - 2011,,,,,,,"2,980.00","1,881.00",0.63
,,2011 - 2012,,,,,,,"2,737.00","2,017.00",0.74
,,2012 - 2013,,,,,,,"2,532.00","1,610.00",0.64
,,2013 - 2014,,,,,,,"2,856.00","1,885.00",0.66
,,2014 - 2015,,,,,,,"2,889.00","2,112.00",0.73
,,2015 - 2016,,,,,,,"2,834.00","1,805.00",0.64
,,2016 - 2017,,,,,,,"2,890.00","2,199.00",0.76
,,2017 - 2018,,,,,,,"2,935.00","2,817.00",0.96
,,2018 - 2019,,,,,,,"2,950.00","2,470.00",0.84
,,2019 - 2020,,,,,,,"2,565.00","1,951.00",0.76
,,2020 - 2021,,,,,,,"2,567.00","1,658.00",0.65
,,2021 - 2022,,,,,,,"2,567.00","1,658.00",0.65
,,2022 - 2023,,,,,,,"2,569.00","1,659.00",0.65
,18. Kamrup,2000 - 2001,,,,"5,256.00","4,407.00",0.84,,,
,,2001 - 2002,,,,"5,316.00","3,505.00",0.66,,,
,,2002 - 2003,,,,"5,325.00","2,232.00",0.42,,,
,,2003 - 2004,,,,"5,375.00","6,073.00",1.13,,,
,,2005 - 2006,,,,"4,880.00","6,140.00",1.26,,,
,,2006 - 2007,,,,"4,522.00","2,786.00",0.62,,,
,,2007 - 2008,,,,"4,527.00","5,780.00",1.28,,,
