State,District,Year,Cotton(lint),,,,,,,,,,,
,,2010 - 2011,"12,112.00","21,517.00",1.78,,,,,,,,,
,,2011 - 2012,"13,150.00","19,880.00",1.51,,,,,,,,,
,,2012 - 2013,"17,000.00","32,000.00",1.88,,,,,,,,,
,,2013 - 2014,"21,781.00","24,728.00",1.14,,,,,,,,,
,,2014 - 2015,"22,433.00","47,597.00",2.12,,,,,,,,,
,,2015 - 2016,"20,565.00","60,153.00",2.93,,,,,,,,,
,,2016 - 2017,"12,743.00","33,744.00",2.65,,,,,,,,,
,,2017 - 2018,"16,364.00","35,740.00",2.18,,,,,,,,,
,,2018 - 2019,"11,933.00","31,637.00",2.65,,,,,,,,,
,,2019 - 2020,"12,896.00","6,617.00",0.51,,,,,,,,,
,,2020 - 2021,"6,962.00","15,995.00",2.3,,,,,,,,,
,,2021 - 2022,"5,023.00","18,529.00",3.69,,,,,,,,,
,,2022 - 2023,198,556,2.81,,,,,,,,,
,8. Eluru,2022 - 2023,"3,786.00","11,402.00",3.01,1,2,2,,,,,,
,9. Guntur,2000 - 2001,"1,25,251.00","2,52,712.00",2.02,,,,,,,,,
,,2001 - 2002,"1,26,285.00","3,78,112.00",2.99,,,,,,,,,
,,2002 - 2003,"98,628.00","1,86,813.00",1.89,,,,,,,,,
,,2003 - 2004,"1,38,925.00","4,85,420.00",3.49,,,,,,,,,
,,2004 - 2005,"1,77,868.00","5,93,242.00",3.34,,,,,,,,,
,,2005 - 2006,"1,52,978.00","4,62,533.00",3.02,,,,,,,,,
,,2006 - 2007,"1,32,550.00","4,68,603.00",3.54,,,,,,,,,
,,2007 - 2008,"1,50,000.00","6,89,000.00",4.59,,,,,,,,,
,,2008 - 2009,"1,66,289.00","6,43,636.00",3.87,,,,,,,,,
,,2009 - 2010,"1,51,490.00","5,24,868.00",3.46,,,,,,,,,
,,2010 - 2011,"1,70,158.00","4,02,203.00",2.36,,,,,,,,,
,,2011 - 2012,"1,62,714.00","3,46,485.00",2.13,,,,,,,,,
,,2012 - 2013,"1,87,000.00","7,09,000.00",3.79,,,,,,,,,
,,2013 - 2014,"1,93,207.00","7,52,371.00",3.89,,,,,,,,,
,,2014 - 2015,"2,06,374.00","10,75,856.00",5.21,22,115,5.23,,,,,,
,,2015 - 2016,"1,98,220.00","7,68,744.00",3.88,79,306,3.87,,,,,,
,,2016 - 2017,"1,41,856.00","6,54,201.00",4.61,8,37,4.63,,,,,,
,,2017 - 2018,"1,83,735.00","8,02,213.00",4.37,,,,,,,,,
,,2018 - 2019,"1,76,679.00","7,43,399.00",4.21,16,67,4.19,,,,,,
,,2019 - 2020,"1,82,408.00","1,67,541.00",0.92,11,59,5.36,,,,,,
,,2020 - 2021,"1,62,789.00","4,58,324.00",2.82,6,18,3,,,,,,
,,2021 - 2022,"1,09,585.00","3,83,294.00",3.5,,,,,,,,,
,,2022 - 2023,"27,843.00","90,425.00",3.25,,,,,,,,,
,10. Kadapa,2000 - 2001,"30,687.00","41,157.00",1.34,,,,,,,,,
,,2001 - 2002,"21,579.00","23,356.00",1.08,,,,,,,,,
,,2002 - 2003,"11,500.00","12,921.00",1.12,,,,,,,,,
,,2003 - 2004,"15,784.00","12,999.00",0.82,,,,,,,,,
,,2004 - 2005,"27,717.00","15,815.00",0.57,,,,,,,,,
,,2005 - 2006,"14,578.00","11,834.00",0.81,,,,,,,,,
,,2006 - 2007,"7,940.00","5,651.00",0.71,,,,,,,,,
,,2007 - 2008,"9,000.00","14,000.00",1.56,,,,,,,,,
,,2008 - 2009,"11,467.00","11,669.00",1.02,,,,,,,,,
,,2009 - 2010,"12,614.00","17,882.00",1.42,,,,,,,,,
,,2010 - 2011,"17,011.00","40,822.00",2.4,,,,,,,,,
,,2011 - 2012,"30,845.00","48,314.00",1.57,,,,,,,,,
,,2012 - 2013,"29,000.00","59,000.00",2.03,,,,,,,,,
,,2013 - 2014,"34,119.00","50,175.00",1.47,"1,803.00","2,651.00",1.47,,,,,,
,,2014 - 2015,"34,346.00","57,550.00",1.68,"1,246.00","2,088.00",1.68,,,,,,
,,2015 - 2016,"32,753.00","46,665.00",1.42,756,"1,078.00",1.43,,,,,,
,,2016 - 2017,"18,840.00","17,430.00",0.93,560,517,0.92,,,,,,
,,2017 - 2018,"24,449.00","17,720.00",0.72,354,256,0.72,,,,,,
,,2018 - 2019,"10,940.00","22,268.00",2.04,677,"1,378.00",2.04,,,,,,
,,2019 - 2020,"13,410.00","9,576.00",0.71,"1,132.00","4,755.00",4.2,,,,,,
,,2020 - 2021,"15,227.00","15,625.00",1.03,"1,321.00","1,355.00",1.03,,,,,,
,,2021 - 2022,"22,496.00","41,421.00",1.84,"6,647.00","12,239.00",1.84,,,,,,
,,2022 - 2023,"46,263.00","34,651.00",0.75,"3,461.00","6,334.00",1.83,,,,,,
,11. Kakinada,2022 - 2023,"2,064.00","7,502.00",3.63,,,,,,,,,
,12. Krishna,2000 - 2001,"29,437.00","64,069.00",2.18,,,,,,,,,
,,2001 - 2002,"35,374.00","77,615.00",2.19,,,,,,,,,
,,2002 - 2003,"31,367.00","57,937.00",1.85,,,,,,,,,
,,2003 - 2004,"35,436.00","1,04,849.00",2.96,,,,,,,,,
,,2004 - 2005,"47,915.00","1,37,544.00",2.87,,,,,,,,,
,,2005 - 2006,"45,825.00","88,415.00",1.93,,,,,,,,,
,,2006 - 2007,"31,586.00","85,282.00",2.7,,,,,,,,,
,,2007 - 2008,"35,000.00","1,15,000.00",3.29,,,,,,,,,
,,2008 - 2009,"36,669.00","1,31,459.00",3.59,,,,,,,,,
,,2009 - 2010,"46,902.00","1,40,706.00",3,,,,,,,,,
,,2010 - 2011,"51,963.00","1,17,681.00",2.26,,,,,,,,,
,,2011 - 2012,"59,845.00","1,22,506.00",2.05,,,,,,,,,
,,2012 - 2013,"65,000.00","2,09,000.00",3.22,,,,,,,,,
,,2013 - 2014,"59,304.00","2,24,658.00",3.79,,,,,,,,,
,,2014 - 2015,"55,571.00","2,61,650.00",4.71,,,,,,,,,
,,2015 - 2016,"52,784.00","2,00,829.00",3.8,,,,,,,,,
,,2016 - 2017,"37,312.00","1,59,453.00",4.27,,,,,,,,,
,,2017 - 2018,"48,357.00","1,95,830.00",4.05,,,,,,,,,
,,2018 - 2019,"47,109.00","1,74,431.00",3.7,,,,,,,,,
,,2019 - 2020,"48,423.00","37,671.00",0.78,,,,,,,,,
,,2020 - 2021,"47,851.00","1,11,337.00",2.33,,,,,,,,,
,,2021 - 2022,"36,172.00","1,37,397.00",3.8,,,,,,,,,
,,2022 - 2023,320,900,2.81,,,,,,,,,
,13. Kurnool,2000 - 2001,"1,18,754.00","1,59,270.00",1.34,,,,,,,,,
,,2001 - 2002,"82,631.00","87,006.00",1.05,,,,,,,,,
,,2002 - 2003,"55,276.00","49,748.00",0.9,,,,,,,,,
,,2003 - 2004,"39,274.00","42,739.00",1.09,,,,,,,,,
,,2004 - 2005,"74,578.00","64,488.00",0.86,,,,,,,,,
,,2005 - 2006,"24,333.00","22,615.00",0.93,,,,,,,,,
,,2006 - 2007,"17,223.00","22,896.00",1.33,,,,,,,,,
,,2007 - 2008,"29,000.00","48,000.00",1.66,,,,,,,,,
,,2008 - 2009,"23,397.00","42,803.00",1.83,,,,,,,,,
,,2009 - 2010,"36,070.00","52,620.00",1.46,,,,,,,,,
,,2010 - 2011,"54,003.00","1,11,375.00",2.06,,,,,,,,,
,,2011 - 2012,"97,242.00","1,22,387.00",1.26,,,,,,,,,
,,2012 - 2013,"1,55,000.00","1,76,000.00",1.14,,,,,,,,,
,,2013 - 2014,"2,03,835.00","6,79,850.00",3.34,179,597,3.34,,,,,,
,,2014 - 2015,"3,06,058.00","8,09,620.00",2.65,2,6,3,,,,,,
,,2015 - 2016,"2,00,123.00","3,66,412.00",1.83,7,12,1.71,,,,,,
,,2016 - 2017,"1,76,195.00","5,31,777.00",3.02,,,,,,,,,
,,2017 - 2018,"2,59,225.00","7,33,779.00",2.83,,,,,,,,,
,,2018 - 2019,"2,59,498.00","3,04,183.00",1.17,,,,,,,,,
,,2019 - 2020,"2,74,620.00","1,53,618.00",0.56,,,,,,,,,
,,2020 - 2021,"2,75,798.00","8,62,950.00",3.13,3,10,3.33,,,,,,
,,2021 - 2022,"2,66,365.00","5,08,867.00",1.91,6,12,2,,,,,,
,,2022 - 2023,"2,72,560.00","6,15,123.00",2.26,,,,,,,,,
,14. Nandyal,2022 - 2023,"33,223.00","56,952.00",1.71,16,29,1.81,,,,,,
,15. Ntr,2022 - 2023,"39,208.00","1,31,034.00",3.34,3,8,2.67,,,,,,
,16. Palnadu,2022 - 2023,"1,04,942.00","3,17,708.00",3.03,8,22,2.75,,,,,,
,17. Parvathipuram manyam,2022 - 2023,"8,845.00","27,229.00",3.08,,,,,,,,,
,18. Prakasam,2000 - 2001,"47,128.00","61,544.00",1.31,,,,,,,,,
,,2001 - 2002,"37,624.00","62,633.00",1.66,,,,,,,,,
,,2002 - 2003,"24,364.00","28,377.00",1.16,,,,,,,,,
,,2003 - 2004,"35,815.00","60,675.00",1.69,,,,,,,,,
,,2004 - 2005,"42,618.00","57,660.00",1.35,,,,,,,,,
,,2005 - 2006,"20,988.00","32,717.00",1.56,,,,,,,,,
,,2006 - 2007,"20,156.00","40,786.00",2.02,,,,,,,,,
,,2007 - 2008,"24,000.00","71,000.00",2.96,,,,,,,,,
,,2008 - 2009,"40,781.00","1,31,459.00",3.22,,,,,,,,,
,,2009 - 2010,"32,960.00","93,645.00",2.84,,,,,,,,,
,,2010 - 2011,"51,421.00","1,15,063.00",2.24,,,,,,,,,
,,2011 - 2012,"57,941.00","1,40,142.00",2.42,,,,,,,,,
,,2012 - 2013,"67,000.00","2,08,000.00",3.1,,,,,,,,,
,,2013 - 2014,"82,988.00","2,76,301.00",3.33,"1,352.00","4,501.00",3.33,,,,,,
,,2014 - 2015,"71,520.00","2,52,407.00",3.53,651,"2,298.00",3.53,,,,,,
,,2015 - 2016,"58,025.00","1,63,447.00",2.82,214,602,2.81,,,,,,
,,2016 - 2017,"14,105.00","43,441.00",3.08,"1,671.00","5,151.00",3.08,,,,,,
,,2017 - 2018,"35,076.00","84,281.00",2.4,496,"1,192.00",2.4,,,,,,
,,2018 - 2019,"38,467.00","77,234.00",2.01,255,513,2.01,,,,,,
,,2019 - 2020,"45,376.00","22,296.00",0.49,"1,114.00","3,219.00",2.89,,,,,,
,,2020 - 2021,"32,175.00","44,541.00",1.38,808,"1,118.00",1.38,,,,,,
,,2021 - 2022,"32,341.00","62,180.00",1.92,"9,008.00","17,320.00",1.92,,,,,,
,,2022 - 2023,"46,588.00","79,038.00",1.7,"2,483.00","6,985.00",2.81,,,,,,
,19. Spsr nellore,2000 - 2001,"7,628.00","14,403.00",1.89,,,,,,,,,
,,2001 - 2002,"6,553.00","17,115.00",2.61,,,,,,,,,
,,2002 - 2003,"5,798.00","10,300.00",1.78,,,,,,,,,
,,2003 - 2004,"9,993.00","29,744.00",2.98,,,,,,,,,
,,2004 - 2005,"6,399.00","18,218.00",2.85,,,,,,,,,
,,2005 - 2006,"4,428.00","10,731.00",2.42,,,,,,,,,
,,2006 - 2007,"3,760.00","11,568.00",3.08,,,,,,,,,
,,2007 - 2008,"5,000.00","20,000.00",4,,,,,,,,,
,,2008 - 2009,"6,879.00","24,724.00",3.59,,,,,,,,,
,,2009 - 2010,"4,567.00","14,668.00",3.21,,,,,,,,,
,,2010 - 2011,"8,255.00","14,718.00",1.78,,,,,,,,,
,,2011 - 2012,"16,925.00","34,716.00",2.05,,,,,,,,,
,,2012 - 2013,"7,000.00","19,000.00",2.71,,,,,,,,,
,,2013 - 2014,"5,220.00","13,081.00",2.51,"1,565.00","3,922.00",2.51,,,,,,
,,2014 - 2015,"6,615.00","20,463.00",3.09,"2,872.00","8,885.00",3.09,,,,,,
,,2015 - 2016,"4,617.00","10,969.00",2.38,998,"2,372.00",2.38,,,,,,
,,2016 - 2017,"2,124.00","5,169.00",2.43,"5,484.00","13,355.00",2.44,,,,,,
,,2017 - 2018,"3,863.00","7,591.00",1.97,964,"1,895.00",1.97,,,,,,
,,2018 - 2019,791,"2,097.00",2.65,"2,223.00","5,895.00",2.65,,,,,,
,,2019 - 2020,"1,012.00",435,0.43,"1,025.00","2,590.00",2.53,,,,,,
,,2020 - 2021,"2,748.00","7,539.00",2.74,620,"1,702.00",2.75,,,,,,
,,2021 - 2022,"1,936.00","5,741.00",2.97,"4,779.00","14,172.00",2.97,,,,,,
,,2022 - 2023,"5,207.00","9,765.00",1.88,"10,449.00","29,396.00",2.81,,,,,,
,20. Sri sathya sai,2022 - 2023,"5,978.00","3,397.00",0.57,76,140,1.84,,,,,,
,21. Srikakulam,2000 - 2001,"1,836.00","3,467.00",1.89,,,,,,,,,
,,2001 - 2002,"1,724.00","4,503.00",2.61,,,,,,,,,
,,2002 - 2003,"1,522.00","2,704.00",1.78,,,,,,,,,
,,2003 - 2004,"1,711.00","5,093.00",2.98,,,,,,,,,
,,2004 - 2005,"2,525.00","7,189.00",2.85,,,,,,,,,
,,2005 - 2006,"2,666.00","6,461.00",2.42,,,,,,,,,
,,2006 - 2007,"1,761.00","5,418.00",3.08,,,,,,,,,
,,2007 - 2008,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2008 - 2009,"1,802.00","6,477.00",3.59,,,,,,,,,
,,2009 - 2010,"1,248.00","4,008.00",3.21,,,,,,,,,
,,2010 - 2011,"2,968.00","6,739.00",2.27,,,,,,,,,
,,2011 - 2012,"5,567.00","11,953.00",2.15,,,,,,,,,
,,2012 - 2013,"10,000.00","34,000.00",3.4,,,,,,,,,
,,2013 - 2014,"9,846.00","28,843.00",2.93,,,,,,,,,
,,2014 - 2015,"9,563.00","42,122.00",4.4,,,,,,,,,
,,2015 - 2016,"8,883.00","28,105.00",3.16,,,,,,,,,
,,2016 - 2017,"7,155.00","24,143.00",3.37,,,,,,,,,
,,2017 - 2018,"7,478.00","27,390.00",3.66,,,,,,,,,
,,2018 - 2019,"5,488.00","16,246.00",2.96,,,,,,,,,
,,2019 - 2020,"5,712.00","3,016.00",0.53,,,,,,,,,
,,2020 - 2021,"3,723.00","13,491.00",3.62,,,,,,,,,
,,2021 - 2022,"3,457.00","9,619.00",2.78,,,,,,,,,
,,2022 - 2023,"1,381.00","3,454.00",2.5,,,,,,,,,
,22. Tirupati,2022 - 2023,112,204,1.82,71,130,1.83,,,,,,
,23. Visakhapatanam,2000 - 2001,"1,119.00","2,113.00",1.89,,,,,,,,,
,,2001 - 2002,"1,021.00","2,667.00",2.61,,,,,,,,,
,,2002 - 2003,859,"1,526.00",1.78,,,,,,,,,
,,2003 - 2004,"1,359.00","4,045.00",2.98,,,,,,,,,
,,2004 - 2005,"3,020.00","8,598.00",2.85,,,,,,,,,
,,2005 - 2006,"1,834.00","4,445.00",2.42,,,,,,,,,
,,2006 - 2007,847,"2,606.00",3.08,,,,,,,,,
,,2008 - 2009,204,733,3.59,,,,,,,,,
,,2009 - 2010,697,"2,239.00",3.21,,,,,,,,,
,,2010 - 2011,"1,105.00","2,509.00",2.27,,,,,,,,,
,,2011 - 2012,"1,390.00","2,984.00",2.15,,,,,,,,,
,,2012 - 2013,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2013 - 2014,"2,798.00","8,196.00",2.93,,,,,,,,,
,,2014 - 2015,"2,840.00","12,510.00",4.4,,,,,,,,,
,,2015 - 2016,"2,123.00","3,609.00",1.7,,,,,,,,,
,,2016 - 2017,"1,652.00","1,950.00",1.18,,,,,,,,,
,,2017 - 2018,"1,474.00","2,000.00",1.36,,,,,,,,,
,,2018 - 2019,"1,092.00","1,632.00",1.49,,,,,,,,,
,,2019 - 2020,976,396,0.41,,,,,,,,,
,,2020 - 2021,810,660,0.81,,,,,,,,,
,,2021 - 2022,274,315,1.15,,,,,,,,,
,24. Vizianagaram,2000 - 2001,"9,874.00","18,644.00",1.89,,,,,,,,,
,,2001 - 2002,"15,639.00","40,845.00",2.61,,,,,,,,,
,,2002 - 2003,"12,397.00","22,023.00",1.78,,,,,,,,,
,,2003 - 2004,"19,471.00","26,801.00",1.38,,,,,,,,,
,,2004 - 2005,"22,974.00","38,650.00",1.68,,,,,,,,,
,,2005 - 2006,"17,734.00","13,874.00",0.78,,,,,,,,,
,,2006 - 2007,"11,062.00","11,452.00",1.04,,,,,,,,,
,,2007 - 2008,"7,000.00","7,000.00",1,,,,,,,,,
,,2008 - 2009,"6,798.00","6,358.00",0.94,,,,,,,,,
,,2009 - 2010,"8,808.00","15,129.00",1.72,,,,,,,,,
,,2010 - 2011,"11,463.00","10,721.00",0.94,,,,,,,,,
,,2011 - 2012,"11,728.00","15,798.00",1.35,,,,,,,,,
,,2012 - 2013,"15,000.00","29,000.00",1.93,,,,,,,,,
,,2013 - 2014,"15,303.00","26,735.00",1.75,,,,,,,,,
,,2014 - 2015,"15,698.00","37,286.00",2.38,,,,,,,,,
,,2015 - 2016,"15,597.00","33,141.00",2.12,,,,,,,,,
,,2016 - 2017,"14,632.00","31,148.00",2.13,2,4,2,,,,,,
,,2017 - 2018,"13,630.00","33,550.00",2.46,,,,,,,,,
,,2018 - 2019,"11,485.00","26,016.00",2.27,,,,,,,,,
,,2019 - 2020,"12,257.00","5,430.00",0.44,,,,,,,,,
,,2020 - 2021,"10,070.00","21,451.00",2.13,,,,,,,,,
,,2021 - 2022,"9,228.00","19,279.00",2.09,,,,,,,,,
,,2022 - 2023,"2,039.00","5,892.00",2.89,,,,,,,,,
,25. West godavari,2000 - 2001,"2,028.00","3,829.00",1.89,,,,,,,,,
,,2001 - 2002,"3,269.00","8,538.00",2.61,,,,,,,,,
,,2002 - 2003,940,"1,670.00",1.78,,,,,,,,,
,,2003 - 2004,"3,759.00","11,189.00",2.98,,,,,,,,,
,,2004 - 2005,"8,729.00","24,852.00",2.85,,,,,,,,,
,,2005 - 2006,"11,196.00","27,134.00",2.42,,,,,,,,,
,,2006 - 2007,"4,370.00","13,444.00",3.08,,,,,,,,,
,,2007 - 2008,"5,000.00","18,000.00",3.6,,,,,,,,,
,,2008 - 2009,"3,512.00","12,623.00",3.59,,,,,,,,,
,,2009 - 2010,"2,522.00","8,100.00",3.21,,,,,,,,,
,,2010 - 2011,"3,956.00","8,982.00",2.27,,,,,,,,,
,,2011 - 2012,"5,131.00","11,017.00",2.15,,,,,,,,,
,,2012 - 2013,"6,000.00","22,000.00",3.67,,,,,,,,,
,,2013 - 2014,"5,240.00","13,038.00",2.49,,,,,,,,,
,,2014 - 2015,"9,795.00","13,807.00",1.41,,,,,,,,,
,,2015 - 2016,"8,392.00","27,715.00",3.3,,,,,,,,,
,,2016 - 2017,"4,615.00","14,782.00",3.2,,,,,,,,,
,,2017 - 2018,"4,525.00","13,985.00",3.09,,,,,,,,,
,,2018 - 2019,"5,235.00","16,989.00",3.25,,,,,,,,,
,,2019 - 2020,"4,856.00","2,285.00",0.47,,,,,,,,,
,,2020 - 2021,"4,770.00","7,792.00",1.63,,,,,,,,,
,,2021 - 2022,"2,929.00","8,184.00",2.79,,,,,,,,,
2. Assam,1. Baksa,2005 - 2006,8,4,0.5,,,,,,,,,
,,2006 - 2007,7,3,0.43,,,,,,,,,
,,2007 - 2008,6,3,0.5,,,,,,,,,
,,2008 - 2009,4,2,0.5,,,,,,,,,
,,2009 - 2010,4,2,0.5,,,,,,,,,
,,2010 - 2011,26,10,0.38,,,,,,,,,
,,2011 - 2012,9,4,0.44,,,,,,,,,
,,2012 - 2013,10,4,0.4,,,,,,,,,
,,2013 - 2014,10,4,0.4,,,,,,,,,
,,2014 - 2015,11,5,0.45,,,,,,,,,
,,2015 - 2016,9,4,0.44,,,,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,,,,
,,2019 - 2020,9,4,0.44,,,,,,,,,
,,2020 - 2021,5,2,0.4,,,,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,,,,
,2. Barpeta,2000 - 2001,8,4,0.5,,,,,,,,,
,,2001 - 2002,9,4,0.44,,,,,,,,,
,,2002 - 2003,7,3,0.43,,,,,,,,,
,,2003 - 2004,8,3,0.38,,,,,,,,,
,,2004 - 2005,6,3,0.5,,,,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,,,,
,,2006 - 2007,7,3,0.43,,,,,,,,,
,,2007 - 2008,6,2,0.33,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,68,30,0.44,,,,,,,,,
,,2010 - 2011,9,4,0.44,,,,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,,,,
,,2012 - 2013,8,4,0.5,,,,,,,,,
,,2013 - 2014,8,4,0.5,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2017 - 2018,2,2,1,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,3. Biswanath,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,14,5,0.36,,,,,,,,,
,,2022 - 2023,14,4,0.29,,,,,,,,,
,4. Bongaigaon,2000 - 2001,10,4,0.4,,,,,,,,,
,,2001 - 2002,14,5,0.36,,,,,,,,,
,,2002 - 2003,13,5,0.38,,,,,,,,,
,,2003 - 2004,15,6,0.4,,,,,,,,,
,,2004 - 2005,7,4,0.57,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,28,12,0.43,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,5. Cachar,2000 - 2001,115,43,0.37,,,,,,,,,
,,2001 - 2002,115,43,0.37,,,,,,,,,
,,2002 - 2003,115,43,0.37,,,,,,,,,
,,2003 - 2004,120,44,0.37,,,,,,,,,
,,2004 - 2005,103,38,0.37,,,,,,,,,
,,2005 - 2006,97,36,0.37,,,,,,,,,
,,2006 - 2007,100,38,0.38,,,,,,,,,
,,2007 - 2008,100,37,0.37,,,,,,,,,
,,2008 - 2009,95,35,0.37,,,,,,,,,
,,2009 - 2010,94,34,0.36,,,,,,,,,
,,2010 - 2011,92,34,0.37,,,,,,,,,
,,2011 - 2012,91,34,0.37,,,,,,,,,
,,2012 - 2013,94,35,0.37,,,,,,,,,
,,2013 - 2014,94,34,0.36,,,,,,,,,
,,2014 - 2015,96,35,0.36,,,,,,,,,
,,2015 - 2016,96,36,0.38,,,,,,,,,
,,2016 - 2017,88,32,0.36,,,,,,,,,
,,2017 - 2018,80,31,0.39,,,,,,,,,
,,2018 - 2019,73,28,0.38,,,,,,,,,
,,2019 - 2020,70,29,0.41,,,,,,,,,
,,2020 - 2021,72,30,0.42,,,,,,,,,
,,2021 - 2022,73,32,0.44,,,,,,,,,
,,2022 - 2023,72,27,0.38,,,,,,,,,
,6. Chirang,2005 - 2006,5,2,0.4,,,,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,,,,
