state,district,year,sunflower_summer_yield_tonne_per_hectare
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,0.67
,,2020 - 2021,0.6
,Beed,2000 - 2001,0.47
,,2001 - 2002,0.4
,,2002 - 2003,0.6
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,0.64
,,2006 - 2007,0.55
,,2007 - 2008,0.67
,,2008 - 2009,0.75
,,2009 - 2010,0.8
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.4
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,0.6
,,2020 - 2021,
,,2021 - 2022,0.79
,,2022 - 2023,0.85
,Bhandara,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2016 - 2017,
,,2019 - 2020,
,Buldhana,2000 - 2001,0.67
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.4
,,2017 - 2018,0.75
,,2018 - 2019,1.17
,,2019 - 2020,0.55
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,,2022 - 2023,0.86
,Chandrapur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Chhatrapati Sambhajinagar,2000 - 2001,0.2
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,0.6
,,2021 - 2022,0.79
,,2022 - 2023,0.86
,Dharashiv,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,0.44
,,2005 - 2006,0.76
,,2006 - 2007,0.62
,,2007 - 2008,0.86
,,2008 - 2009,0.5
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.67
,,2012 - 2013,0.33
,,2013 - 2014,0.6
,,2014 - 2015,0.4
,,2015 - 2016,0.31
,,2016 - 2017,0.5
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.33
,,2020 - 2021,0.6
,,2021 - 2022,0.79
,,2022 - 2023,1.0
,Dhule,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,0.92
,,2022 - 2023,0.86
,Gadchiroli,2000 - 2001,
,,2001 - 2002,
,,2017 - 2018,0.77
,,2022 - 2023,
,Gondia,2020 - 2021,
,,2022 - 2023,0.88
,Hingoli,2000 - 2001,0.54
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.75
,,2006 - 2007,0.75
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,0.5
,,2019 - 2020,
,,2021 - 2022,0.79
,,2022 - 2023,0.86
,Jalgaon,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.25
,,2006 - 2007,1.0
,,2007 - 2008,1.25
,,2008 - 2009,1.0
,,2009 - 2010,1.4
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,0.29
,,2021 - 2022,0.92
,,2022 - 2023,0.86
,Jalna,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.79
,,2022 - 2023,0.85
,Kolhapur,2000 - 2001,0.5
,,2001 - 2002,1.5
,,2002 - 2003,1.0
,,2003 - 2004,1.33
,,2004 - 2005,1.6
,,2005 - 2006,1.43
,,2006 - 2007,1.43
,,2007 - 2008,1.25
,,2008 - 2009,1.22
,,2009 - 2010,1.6
,,2010 - 2011,2.0
,,2011 - 2012,1.9
,,2012 - 2013,1.64
,,2013 - 2014,1.09
,,2014 - 2015,1.45
,,2015 - 2016,1.5
,,2016 - 2017,2.0
,,2017 - 2018,1.7
,,2018 - 2019,1.97
,,2019 - 2020,1.4
,,2020 - 2021,0.29
,,2021 - 2022,1.33
,,2022 - 2023,0.85
,Latur,2000 - 2001,0.67
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,0.75
,,2005 - 2006,0.57
,,2006 - 2007,0.57
,,2007 - 2008,0.71
,,2008 - 2009,0.57
,,2009 - 2010,0.33
,,2010 - 2011,0.8
,,2011 - 2012,0.6
,,2012 - 2013,0.67
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.43
,,2017 - 2018,0.53
,,2018 - 2019,
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.79
,,2022 - 2023,0.85
,Nagpur,2000 - 2001,0.5
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.13
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,
,Nanded,2000 - 2001,
,,2001 - 2002,0.69
,,2002 - 2003,0.63
,,2003 - 2004,0.85
,,2004 - 2005,0.71
,,2005 - 2006,0.64
,,2006 - 2007,0.77
,,2007 - 2008,0.67
,,2008 - 2009,0.71
,,2009 - 2010,0.67
,,2010 - 2011,0.75
,,2011 - 2012,0.44
,,2012 - 2013,0.83
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.1
,,2017 - 2018,
,,2018 - 2019,1.29
,,2019 - 2020,1.06
,,2020 - 2021,0.6
,,2021 - 2022,0.79
,,2022 - 2023,0.86
,Nandurbar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.4
,,2010 - 2011,1.43
,,2011 - 2012,1.25
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.71
,,2017 - 2018,0.07
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.29
,,2021 - 2022,0.92
,,2022 - 2023,0.85
,Nashik,2000 - 2001,1.0
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.92
,,2022 - 2023,0.87
,Palghar,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Parbhani,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.6
,,2006 - 2007,0.75
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2010 - 2011,0.8
,,2011 - 2012,0.75
,,2012 - 2013,0.75
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.01
,,2016 - 2017,0.9
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Pune,2000 - 2001,0.5
,,2001 - 2002,1.75
,,2002 - 2003,0.4
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,0.67
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.25
,,2010 - 2011,1.0
,,2011 - 2012,0.83
,,2012 - 2013,0.5
,,2013 - 2014,0.63
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,0.3
,,2021 - 2022,0.85
,,2022 - 2023,0.88
,Ratnagiri,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,Sangli,2000 - 2001,0.5
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.67
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.29
,,2021 - 2022,1.33
,,2022 - 2023,
,Satara,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.85
,Sindhudurg,2015 - 2016,
,,2016 - 2017,
,Solapur,2000 - 2001,0.43
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,0.75
,,2005 - 2006,0.8
,,2006 - 2007,0.5
,,2007 - 2008,0.9
,,2008 - 2009,0.75
,,2009 - 2010,0.75
,,2010 - 2011,0.8
,,2011 - 2012,0.6
,,2012 - 2013,0.5
,,2013 - 2014,0.75
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.5
,,2017 - 2018,0.71
,,2018 - 2019,
,,2019 - 2020,0.56
,,2020 - 2021,0.29
,,2021 - 2022,0.77
,,2022 - 2023,0.85
,Thane,2015 - 2016,
,,2016 - 2017,
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2016 - 2017,
,Washim,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2016 - 2017,
,,2019 - 2020,2.2
,Yavatmal,2000 - 2001,1.0
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2017 - 2018,
Mizoram,Lawngtlai,2004 - 2005,
,Saiha,2004 - 2005,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Longleng,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Mokokchung,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tuensang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Zunheboto,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Baleshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Bhadrak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Dhenkanal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Khordha,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Malkangiri,2000 - 2001,
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Puri,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Sambalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2019 - 2020,
Puducherry,Karaikal,2007 - 2008,
,Pondicherry,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
Punjab,Amritsar,2003 - 2004,
,Fatehgarh sahib,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Hoshiarpur,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,
,Jalandhar,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,Kapurthala,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2021 - 2022,
,Ludhiana,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Nawanshahr,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,Patiala,2003 - 2004,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rupnagar,2003 - 2004,
,S.a.s nagar,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Sangrur,2012 - 2013,
,Tarn taran,2012 - 2013,
Rajasthan,Ajmer,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Baran,2000 - 2001,
,,2005 - 2006,
,Barmer,2003 - 2004,
,,2004 - 2005,
,Bharatpur,2003 - 2004,
,Bhilwara,2004 - 2005,
,,2006 - 2007,
,Bikaner,2006 - 2007,
,Bundi,2000 - 2001,
,,2001 - 2002,
,Chittorgarh,2000 - 2001,
,,2001 - 2002,
,Dungarpur,2001 - 2002,
,,2003 - 2004,
,Ganganagar,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2012 - 2013,
,Hanumangarh,2002 - 2003,
,Jaisalmer,2004 - 2005,
,Jalore,2002 - 2003,
,,2019 - 2020,
,Jhalawar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Jhunjhunu,2005 - 2006,
,,2006 - 2007,
,Jodhpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,Karauli,2007 - 2008,
,Kota,2000 - 2001,
,,2003 - 2004,
,Nagaur,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2013 - 2014,
,Pali,2011 - 2012,
,Rajsamand,2003 - 2004,
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Cuddalore,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharmapuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Dindigul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanchipuram,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Karur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
