state,district,year,onion_whole_year_yield_tonne_per_hectare
,,2007 - 2008,9.97
,,2008 - 2009,11.38
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,7.86
,,2001 - 2002,8.08
,,2002 - 2003,8.09
,,2003 - 2004,7.1
,,2004 - 2005,8.06
,,2005 - 2006,8.28
,,2007 - 2008,9.28
,,2008 - 2009,9.1
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khagaria,2000 - 2001,4.94
,,2001 - 2002,14.57
,,2002 - 2003,8.59
,,2003 - 2004,9.49
,,2004 - 2005,5.83
,,2005 - 2006,8.73
,,2007 - 2008,8.55
,,2008 - 2009,8.81
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishanganj,2000 - 2001,7.82
,,2001 - 2002,7.92
,,2002 - 2003,7.77
,,2003 - 2004,7.56
,,2004 - 2005,8.52
,,2005 - 2006,7.82
,,2007 - 2008,7.8
,,2008 - 2009,7.46
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lakhisarai,2000 - 2001,7.88
,,2001 - 2002,14.57
,,2002 - 2003,8.59
,,2003 - 2004,9.49
,,2004 - 2005,5.84
,,2005 - 2006,8.73
,,2007 - 2008,8.55
,,2008 - 2009,8.81
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhepura,2000 - 2001,12.37
,,2001 - 2002,13.89
,,2002 - 2003,12.99
,,2003 - 2004,10.65
,,2004 - 2005,7.55
,,2005 - 2006,6.23
,,2007 - 2008,6.57
,,2008 - 2009,6.99
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhubani,2000 - 2001,17.16
,,2001 - 2002,6.03
,,2002 - 2003,11.04
,,2003 - 2004,10.69
,,2004 - 2005,11.19
,,2005 - 2006,8.42
,,2007 - 2008,8.77
,,2008 - 2009,9.23
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Munger,2000 - 2001,7.88
,,2001 - 2002,14.58
,,2002 - 2003,8.58
,,2003 - 2004,9.49
,,2004 - 2005,5.83
,,2005 - 2006,8.74
,,2007 - 2008,8.55
,,2008 - 2009,8.81
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Muzaffarpur,2000 - 2001,7.41
,,2001 - 2002,10.02
,,2002 - 2003,7.24
,,2003 - 2004,7.55
,,2004 - 2005,5.69
,,2005 - 2006,7.32
,,2007 - 2008,9.52
,,2008 - 2009,5.97
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalanda,2000 - 2001,10.04
,,2001 - 2002,6.73
,,2002 - 2003,8.51
,,2003 - 2004,18.01
,,2004 - 2005,11.15
,,2005 - 2006,10.99
,,2007 - 2008,13.91
,,2008 - 2009,19.34
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,13.9
,,2001 - 2002,11.22
,,2002 - 2003,4.68
,,2003 - 2004,7.64
,,2004 - 2005,9.16
,,2005 - 2006,7.15
,,2007 - 2008,8.69
,,2008 - 2009,6.88
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Pashchim champaran,2000 - 2001,9.18
,,2001 - 2002,9.21
,,2002 - 2003,7.6
,,2003 - 2004,8.38
,,2004 - 2005,1.55
,,2005 - 2006,7.83
,,2007 - 2008,7.9
,,2008 - 2009,8.07
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patna,2000 - 2001,15.93
,,2001 - 2002,14.9
,,2002 - 2003,11.3
,,2003 - 2004,9.3
,,2004 - 2005,8.29
,,2005 - 2006,6.96
,,2007 - 2008,7.19
,,2008 - 2009,5.76
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2000 - 2001,8.6
,,2001 - 2002,8.64
,,2002 - 2003,8.21
,,2003 - 2004,7.32
,,2004 - 2005,8.81
,,2005 - 2006,5.3
,,2007 - 2008,8.84
,,2008 - 2009,8.92
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purnia,2000 - 2001,7.87
,,2001 - 2002,8.14
,,2002 - 2003,8.2
,,2003 - 2004,9.22
,,2004 - 2005,5.5
,,2005 - 2006,7.19
,,2007 - 2008,9.28
,,2008 - 2009,9.1
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtas,2000 - 2001,16.52
,,2001 - 2002,10.58
,,2002 - 2003,9.64
,,2003 - 2004,12.79
,,2004 - 2005,9.45
,,2005 - 2006,8.54
,,2007 - 2008,9.97
,,2008 - 2009,11.38
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saharsa,2000 - 2001,12.37
,,2001 - 2002,13.89
,,2002 - 2003,12.99
,,2003 - 2004,10.65
,,2004 - 2005,7.55
,,2005 - 2006,6.22
,,2007 - 2008,6.57
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Samastipur,2000 - 2001,17.16
,,2001 - 2002,6.03
,,2002 - 2003,9.19
,,2003 - 2004,8.1
,,2004 - 2005,5.07
,,2005 - 2006,6.05
,,2007 - 2008,7.05
,,2008 - 2009,6.76
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saran,2000 - 2001,6.56
,,2001 - 2002,6.74
,,2002 - 2003,7.91
,,2003 - 2004,8.63
,,2004 - 2005,10.01
,,2005 - 2006,10.45
,,2007 - 2008,9.88
,,2008 - 2009,9.31
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheikhpura,2000 - 2001,7.89
,,2001 - 2002,24.18
,,2002 - 2003,8.59
,,2003 - 2004,9.49
,,2004 - 2005,5.83
,,2005 - 2006,8.73
,,2007 - 2008,8.55
,,2008 - 2009,8.81
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheohar,2000 - 2001,8.61
,,2001 - 2002,8.87
,,2002 - 2003,7.53
,,2003 - 2004,8.12
,,2004 - 2005,5.69
,,2005 - 2006,10.76
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sitamarhi,2000 - 2001,10.44
,,2001 - 2002,7.82
,,2002 - 2003,9.02
,,2003 - 2004,10.91
,,2004 - 2005,9.47
,,2005 - 2006,16.92
,,2007 - 2008,8.75
,,2008 - 2009,8.7
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siwan,2000 - 2001,7.87
,,2001 - 2002,8.33
,,2002 - 2003,8.18
,,2003 - 2004,8.27
,,2004 - 2005,7.71
,,2005 - 2006,6.28
,,2007 - 2008,8.71
,,2008 - 2009,9.31
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Supaul,2000 - 2001,12.37
,,2001 - 2002,13.89
,,2002 - 2003,12.99
,,2003 - 2004,10.65
,,2004 - 2005,7.55
,,2005 - 2006,6.22
,,2007 - 2008,6.57
,,2008 - 2009,6.99
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vaishali,2000 - 2001,7.35
,,2001 - 2002,8.86
,,2002 - 2003,5.58
,,2003 - 2004,5.45
,,2004 - 2005,5.98
,,2005 - 2006,5.38
,,2007 - 2008,9.91
,,2008 - 2009,11.63
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Chandigarh,Chandigarh,2000 - 2001,15.0
,,2001 - 2002,15.0
,,2002 - 2003,31.67
,,2003 - 2004,17.5
,,2004 - 2005,17.0
,,2005 - 2006,17.0
,,2006 - 2007,17.0
,,2007 - 2008,17.5
,,2008 - 2009,17.5
,,2009 - 2010,18.33
,,2010 - 2011,18.67
,,2011 - 2012,17.5
,,2012 - 2013,30.0
,,2013 - 2014,28.33
,,2014 - 2015,26.67
,,2015 - 2016,20.0
Chhattisgarh,Balod,2011 - 2012,3.8
,,2012 - 2013,2.4
,,2013 - 2014,6.43
,,2014 - 2015,11.0
,,2015 - 2016,6.0
,,2016 - 2017,0.0
,,2020 - 2021,1.0
,,2021 - 2022,8.0
,Baloda bazar,2011 - 2012,4.31
,,2012 - 2013,3.24
,,2013 - 2014,7.06
,,2014 - 2015,8.62
,,2015 - 2016,9.55
,,2016 - 2017,3.07
,,2017 - 2018,5.27
,,2018 - 2019,5.57
,,2019 - 2020,4.27
,,2020 - 2021,4.27
,,2021 - 2022,6.27
,,2022 - 2023,7.55
,Balrampur,2011 - 2012,4.81
,,2012 - 2013,3.25
,,2013 - 2014,5.03
,,2014 - 2015,15.36
,,2015 - 2016,9.78
,,2016 - 2017,2.03
,,2017 - 2018,5.41
,,2018 - 2019,4.67
,,2019 - 2020,4.49
,,2020 - 2021,4.25
,,2021 - 2022,5.41
,,2022 - 2023,6.99
,Bastar,2000 - 2001,7.58
,,2001 - 2002,8.84
,,2002 - 2003,8.37
,,2003 - 2004,7.08
,,2004 - 2005,6.1
,,2005 - 2006,5.55
,,2006 - 2007,4.65
,,2007 - 2008,4.53
,,2008 - 2009,5.47
,,2010 - 2011,5.43
,,2011 - 2012,4.76
,,2012 - 2013,3.22
,,2013 - 2014,4.97
,,2014 - 2015,8.58
,,2015 - 2016,5.57
,,2016 - 2017,2.74
,,2017 - 2018,5.88
,,2018 - 2019,4.48
,,2019 - 2020,4.62
,,2020 - 2021,4.36
,,2021 - 2022,6.2
,,2022 - 2023,7.64
,Bemetara,2011 - 2012,3.8
,,2012 - 2013,2.14
,,2013 - 2014,5.29
,,2014 - 2015,8.74
,,2015 - 2016,4.53
,,2016 - 2017,1.36
,,2017 - 2018,4.58
,,2018 - 2019,3.79
,,2019 - 2020,0.0
,,2020 - 2021,3.72
,,2021 - 2022,5.16
,,2022 - 2023,5.94
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,9.0
,,2012 - 2013,2.0
,,2013 - 2014,5.0
,,2014 - 2015,10.0
,,2015 - 2016,7.0
,,2016 - 2017,6.0
,,2021 - 2022,10.0
,Bilaspur,2000 - 2001,8.37
,,2001 - 2002,10.33
,,2002 - 2003,8.84
,,2003 - 2004,9.97
,,2004 - 2005,7.26
,,2005 - 2006,6.28
,,2006 - 2007,45.49
,,2007 - 2008,5.22
,,2008 - 2009,6.29
,,2009 - 2010,5.98
,,2010 - 2011,5.61
,,2011 - 2012,5.9
,,2012 - 2013,3.98
,,2013 - 2014,8.03
,,2014 - 2015,10.98
,,2015 - 2016,6.8
,,2016 - 2017,3.78
,,2017 - 2018,7.88
,,2018 - 2019,7.25
,,2019 - 2020,7.27
,,2020 - 2021,5.91
,,2021 - 2022,7.72
,,2022 - 2023,9.59
,Dantewada,2004 - 2005,8.5
,,2013 - 2014,6.0
,,2019 - 2020,0.0
,Dhamtari,2000 - 2001,7.65
,,2001 - 2002,8.66
,,2002 - 2003,7.81
,,2003 - 2004,6.65
,,2004 - 2005,5.7
,,2005 - 2006,5.18
,,2006 - 2007,4.31
,,2007 - 2008,4.23
,,2008 - 2009,5.73
,,2009 - 2010,4.24
,,2010 - 2011,5.72
,,2011 - 2012,4.99
,,2012 - 2013,3.37
,,2013 - 2014,6.81
,,2014 - 2015,9.01
,,2015 - 2016,5.76
,,2016 - 2017,2.75
,,2017 - 2018,6.65
,,2018 - 2019,5.41
,,2019 - 2020,5.67
,,2020 - 2021,6.0
,,2021 - 2022,7.75
,,2022 - 2023,9.5
,Durg,2000 - 2001,5.73
,,2001 - 2002,5.86
,,2002 - 2003,6.04
,,2003 - 2004,5.7
,,2004 - 2005,4.7
,,2005 - 2006,4.2
,,2006 - 2007,3.76
,,2007 - 2008,3.7
,,2008 - 2009,4.47
,,2009 - 2010,3.11
,,2010 - 2011,4.15
,,2011 - 2012,3.81
,,2012 - 2013,2.42
,,2013 - 2014,4.45
,,2014 - 2015,7.69
,,2015 - 2016,4.15
,,2016 - 2017,1.43
,,2017 - 2018,1.36
,,2018 - 2019,4.0
,,2019 - 2020,4.44
,,2020 - 2021,3.93
,,2021 - 2022,6.28
,,2022 - 2023,6.67
,Gariyaband,2011 - 2012,4.31
,,2012 - 2013,3.13
,,2013 - 2014,5.65
,,2014 - 2015,8.63
,,2015 - 2016,6.44
,,2016 - 2017,3.07
,,2017 - 2018,5.18
,,2018 - 2019,4.39
,,2019 - 2020,4.53
,,2020 - 2021,6.48
,,2021 - 2022,7.14
,,2022 - 2023,8.97
,Gaurella-pendra-marwahi,2019 - 2020,7.04
,,2020 - 2021,5.94
,,2021 - 2022,7.71
,,2022 - 2023,9.58
,Janjgir-champa,2000 - 2001,8.97
,,2001 - 2002,10.16
,,2002 - 2003,9.63
,,2003 - 2004,8.82
,,2004 - 2005,7.02
,,2005 - 2006,6.38
,,2006 - 2007,5.3
,,2007 - 2008,5.21
,,2008 - 2009,5.77
,,2009 - 2010,5.45
,,2010 - 2011,5.61
,,2011 - 2012,6.3
,,2012 - 2013,3.98
,,2013 - 2014,8.03
,,2014 - 2015,8.85
,,2015 - 2016,6.8
,,2016 - 2017,3.15
,,2017 - 2018,7.88
,,2018 - 2019,5.84
,,2019 - 2020,5.19
,,2020 - 2021,5.96
,,2021 - 2022,7.71
,,2022 - 2023,9.95
,Jashpur,2000 - 2001,10.96
,,2001 - 2002,12.41
,,2002 - 2003,11.37
,,2003 - 2004,9.8
,,2004 - 2005,8.44
,,2005 - 2006,7.92
,,2006 - 2007,6.04
,,2007 - 2008,5.94
,,2008 - 2009,7.43
,,2009 - 2010,6.05
,,2010 - 2011,8.23
,,2011 - 2012,6.73
,,2012 - 2013,4.87
,,2013 - 2014,9.98
,,2014 - 2015,12.98
,,2015 - 2016,8.31
,,2016 - 2017,3.9
,,2017 - 2018,9.79
,,2018 - 2019,7.92
,,2019 - 2020,7.69
,,2020 - 2021,7.4
,,2021 - 2022,9.58
,,2022 - 2023,11.95
,Kabirdham,2000 - 2001,5.44
,,2001 - 2002,7.36
,,2002 - 2003,5.68
,,2003 - 2004,5.55
,,2004 - 2005,3.8
,,2005 - 2006,3.45
,,2006 - 2007,4.02
,,2007 - 2008,3.95
,,2008 - 2009,3.41
,,2009 - 2010,2.72
,,2010 - 2011,4.37
,,2011 - 2012,3.19
,,2012 - 2013,2.59
,,2013 - 2014,6.08
,,2014 - 2015,8.05
,,2015 - 2016,5.51
,,2016 - 2017,2.44
,,2017 - 2018,5.53
,,2018 - 2019,4.49
,,2019 - 2020,4.43
,,2020 - 2021,4.84
,,2021 - 2022,6.25
,,2022 - 2023,7.81
,Kanker,2000 - 2001,7.83
,,2001 - 2002,10.11
,,2002 - 2003,5.38
,,2003 - 2004,7.07
,,2004 - 2005,6.19
,,2005 - 2006,5.55
,,2006 - 2007,4.62
,,2007 - 2008,4.54
,,2008 - 2009,5.49
,,2009 - 2010,4.07
,,2010 - 2011,5.44
,,2011 - 2012,4.09
,,2012 - 2013,2.02
,,2013 - 2014,3.79
,,2014 - 2015,5.93
,,2015 - 2016,4.64
,,2016 - 2017,2.25
,,2017 - 2018,5.26
,,2018 - 2019,4.27
,,2019 - 2020,4.31
,,2020 - 2021,4.17
,,2021 - 2022,5.4
,,2022 - 2023,6.6
,Khairgarh chhuikhadan gandai,2022 - 2023,6.71
,Kondagaon,2011 - 2012,4.78
,,2012 - 2013,3.22
,,2013 - 2014,4.96
,,2014 - 2015,8.16
,,2015 - 2016,5.04
,,2016 - 2017,2.15
,,2017 - 2018,0.0
,,2018 - 2019,4.73
,,2019 - 2020,4.5
,,2020 - 2021,4.46
,,2021 - 2022,5.8
,,2022 - 2023,7.2
,Korba,2000 - 2001,8.97
,,2001 - 2002,10.16
,,2002 - 2003,9.58
,,2003 - 2004,8.14
,,2004 - 2005,5.85
,,2005 - 2006,5.53
,,2006 - 2007,5.3
,,2007 - 2008,5.21
,,2008 - 2009,5.24
,,2009 - 2010,4.19
,,2010 - 2011,5.61
,,2011 - 2012,4.93
,,2012 - 2013,3.32
,,2013 - 2014,6.69
,,2014 - 2015,8.85
,,2015 - 2016,5.67
,,2016 - 2017,3.22
,,2017 - 2018,7.81
,,2018 - 2019,5.7
,,2019 - 2020,6.27
,,2020 - 2021,5.96
,,2021 - 2022,7.44
,,2022 - 2023,9.3
,Korea,2000 - 2001,6.89
,,2001 - 2002,7.21
,,2002 - 2003,7.63
,,2003 - 2004,6.26
,,2004 - 2005,5.14
,,2005 - 2006,3.93
,,2006 - 2007,3.82
,,2007 - 2008,3.75
,,2008 - 2009,4.61
,,2009 - 2010,3.5
,,2010 - 2011,3.74
,,2011 - 2012,3.56
,,2012 - 2013,2.64
,,2013 - 2014,5.69
,,2014 - 2015,7.67
,,2015 - 2016,4.42
,,2016 - 2017,2.11
,,2017 - 2018,5.6
,,2018 - 2019,4.45
,,2019 - 2020,3.5
,,2022 - 2023,7.06
,Mahasamund,2000 - 2001,8.13
,,2001 - 2002,6.88
,,2002 - 2003,7.43
,,2003 - 2004,6.17
,,2004 - 2005,5.13
,,2005 - 2006,5.18
,,2006 - 2007,4.37
,,2007 - 2008,4.3
,,2008 - 2009,4.68
,,2009 - 2010,4.08
,,2010 - 2011,5.25
,,2011 - 2012,4.86
,,2012 - 2013,3.29
,,2013 - 2014,6.52
,,2014 - 2015,8.62
,,2015 - 2016,5.52
,,2016 - 2017,2.56
,,2017 - 2018,6.32
,,2019 - 2020,4.51
,,2020 - 2021,4.82
,,2021 - 2022,6.24
,,2022 - 2023,10.75
,Manendragarh chirimiri bharatpur,2022 - 2023,9.45
,Mungeli,2011 - 2012,5.93
,,2012 - 2013,3.98
,,2013 - 2014,8.06
,,2014 - 2015,10.62
,,2015 - 2016,7.02
,,2016 - 2017,3.51
,,2017 - 2018,10.12
,,2018 - 2019,13.05
,,2019 - 2020,6.33
,,2020 - 2021,6.46
,,2021 - 2022,8.35
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,9.0
,,2008 - 2009,6.0
,,2009 - 2010,4.0
,,2010 - 2011,5.0
,,2017 - 2018,7.5
,,2018 - 2019,9.67
,,2019 - 2020,10.0
,,2020 - 2021,1.0
,,2021 - 2022,10.0
,,2022 - 2023,10.0
,Raigarh,2000 - 2001,10.05
,,2001 - 2002,12.41
,,2002 - 2003,11.57
,,2003 - 2004,9.79
,,2004 - 2005,8.01
,,2005 - 2006,7.54
,,2006 - 2007,6.58
,,2007 - 2008,6.47
,,2008 - 2009,7.94
,,2009 - 2010,6.15
,,2010 - 2011,8.22
,,2011 - 2012,6.97
,,2012 - 2013,4.71
,,2013 - 2014,10.14
,,2017 - 2018,10.12
,,2018 - 2019,7.8
,,2019 - 2020,7.58
,,2020 - 2021,6.79
,Raipur,2000 - 2001,7.17
,,2001 - 2002,8.38
,,2002 - 2003,7.81
,,2003 - 2004,6.62
,,2004 - 2005,5.79
,,2005 - 2006,5.18
,,2006 - 2007,4.37
,,2007 - 2008,4.3
,,2008 - 2009,4.51
,,2009 - 2010,4.08
,,2010 - 2011,4.73
,,2011 - 2012,4.31
,,2012 - 2013,2.91
,,2013 - 2014,7.07
,,2014 - 2015,8.63
,,2015 - 2016,6.44
,,2016 - 2017,2.81
,,2017 - 2018,7.46
,,2018 - 2019,5.6
,,2019 - 2020,5.48
,,2020 - 2021,4.33
,,2021 - 2022,6.7
,,2022 - 2023,8.03
,Rajnandgaon,2000 - 2001,6.02
,,2001 - 2002,6.38
,,2002 - 2003,6.25
,,2003 - 2004,6.23
,,2004 - 2005,5.03
,,2005 - 2006,4.28
,,2006 - 2007,3.55
,,2007 - 2008,3.49
,,2008 - 2009,3.61
,,2009 - 2010,3.26
,,2010 - 2011,4.37
,,2011 - 2012,3.83
,,2012 - 2013,2.37
,,2013 - 2014,7.48
,,2014 - 2015,8.05
,,2015 - 2016,5.15
,,2016 - 2017,1.89
,,2017 - 2018,5.5
,,2018 - 2019,0.78
,,2019 - 2020,4.58
,,2020 - 2021,4.45
,,2021 - 2022,5.6
,,2022 - 2023,8.64
,Sakti,2022 - 2023,13.3
,Sarangarh bilaigarh,2022 - 2023,10.79
,Surajpur,2011 - 2012,4.81
,,2012 - 2013,2.59
,,2013 - 2014,6.74
,,2014 - 2015,3.54
,,2015 - 2016,2.62
,,2016 - 2017,5.58
,,2017 - 2018,6.52
,,2018 - 2019,5.28
,,2019 - 2020,5.22
,,2020 - 2021,4.94
,,2021 - 2022,5.94
,,2022 - 2023,8.54
,Surguja,2000 - 2001,7.21
,,2001 - 2002,7.93
,,2002 - 2003,7.63
,,2003 - 2004,6.16
,,2004 - 2005,4.98
,,2005 - 2006,5.05
,,2006 - 2007,4.26
,,2007 - 2008,4.19
,,2008 - 2009,3.72
,,2009 - 2010,3.51
,,2010 - 2011,3.74
,,2011 - 2012,4.81
,,2012 - 2013,3.25
,,2013 - 2014,5.89
,,2014 - 2015,7.54
,,2015 - 2016,4.66
,,2016 - 2017,2.3
,,2017 - 2018,6.15
,,2018 - 2019,4.98
,,2019 - 2020,4.85
,,2020 - 2021,4.73
,,2021 - 2022,6.12
,,2022 - 2023,7.3
Gujarat,Ahmadabad,2001 - 2002,39.0
,,2002 - 2003,27.0
,,2007 - 2008,31.83
,,2010 - 2011,20.5
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amreli,2000 - 2001,21.0
,,2001 - 2002,27.63
,,2002 - 2003,28.5
,,2003 - 2004,33.05
,,2004 - 2005,29.46
,,2005 - 2006,29.45
,,2006 - 2007,22.4
,,2007 - 2008,29.82
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,27.39
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Anand,2003 - 2004,34.0
,,2004 - 2005,23.5
,,2005 - 2006,24.5
,,2006 - 2007,18.0
,,2007 - 2008,34.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,23.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Aravalli,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banas kantha,2000 - 2001,18.67
,,2001 - 2002,29.33
,,2002 - 2003,25.0
,,2004 - 2005,39.0
,,2006 - 2007,18.0
,,2007 - 2008,25.0
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bharuch,2000 - 2001,13.0
,,2002 - 2003,21.0
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhavnagar,2000 - 2001,16.57
,,2001 - 2002,23.74
,,2002 - 2003,28.75
,,2003 - 2004,28.58
,,2004 - 2005,26.03
,,2005 - 2006,27.23
,,2006 - 2007,24.14
,,2007 - 2008,33.3
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,27.21
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Botad,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chhotaudepur,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Dang,2006 - 2007,23.33
,,2007 - 2008,30.25
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,28.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Devbhumi dwarka,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Dohad,2003 - 2004,30.67
,,2004 - 2005,27.71
,,2005 - 2006,28.43
,,2006 - 2007,22.67
,,2007 - 2008,29.47
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,28.83
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gandhinagar,2006 - 2007,12.0
,,2008 - 2009,
,,2021 - 2022,
,Gir somnath,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamnagar,2000 - 2001,22.5
,,2001 - 2002,29.9
,,2002 - 2003,29.0
,,2003 - 2004,32.96
,,2004 - 2005,29.95
,,2005 - 2006,27.84
,,2006 - 2007,22.0
,,2007 - 2008,20.59
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,26.51
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Junagadh,2000 - 2001,27.54
