state,district,year,tobacco_summer_yield_tonne_per_hectare
,Krishnagiri,2002 - 2003,
,,2011 - 2012,
,Madurai,2011 - 2012,
,,2017 - 2018,
,Nagapattinam,2000 - 2001,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Namakkal,2002 - 2003,
,,2009 - 2010,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2021 - 2022,
,Ramanathapuram,2017 - 2018,
,Salem,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sivaganga,2017 - 2018,
,The nilgiris,2000 - 2001,
,,2017 - 2018,
,Theni,2000 - 2001,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Thiruvallur,2002 - 2003,
,Thoothukudi,2017 - 2018,
,Tiruchirappalli,2020 - 2021,
,Tirunelveli,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2017 - 2018,
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Vellore,2002 - 2003,
,,2007 - 2008,
,,2009 - 2010,
,,2013 - 2014,
,,2019 - 2020,
,,2020 - 2021,
,Villupuram,2008 - 2009,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2021 - 2022,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Medak,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2021 - 2022,
,Sangareddy,2016 - 2017,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2021 - 2022,
,,2022 - 2023,
,Suryapet,2016 - 2017,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2018 - 2019,
,,2019 - 2020,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Aligarh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2009 - 2010,4.0
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2022 - 2023,2.0
,Allahabad,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2019 - 2020,
,Ambedkar nagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.89
,,2021 - 2022,
,,2022 - 2023,2.26
,Amroha,2003 - 2004,
,,2005 - 2006,
,,2017 - 2018,
,Auraiya,2010 - 2011,
,Azamgarh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,4.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.56
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bahraich,2022 - 2023,
,Ballia,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,Balrampur,2005 - 2006,
,Banda,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,Barabanki,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2007 - 2008,2.6
,,2008 - 2009,
,,2009 - 2010,4.33
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.55
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.0
,,2022 - 2023,
,Bareilly,2003 - 2004,
,,2008 - 2009,2.0
,Basti,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.24
,Bijnor,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2009 - 2010,4.28
,Budaun,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.0
,,2010 - 2011,
,,2011 - 2012,3.0
,,2012 - 2013,3.14
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,3.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,3.0
,,2021 - 2022,2.0
,,2022 - 2023,
,Bulandshahr,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Deoria,2020 - 2021,
,Etah,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.93
,,2007 - 2008,2.47
,,2008 - 2009,2.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2015 - 2016,
,Faizabad,2004 - 2005,
,,2016 - 2017,
,,2020 - 2021,3.0
,Farrukhabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.95
,,2007 - 2008,2.49
,,2008 - 2009,2.27
,,2009 - 2010,4.28
,,2010 - 2011,
,,2011 - 2012,3.09
,,2012 - 2013,3.21
,,2013 - 2014,3.07
,,2014 - 2015,2.62
,,2015 - 2016,1.56
,,2016 - 2017,1.97
,,2017 - 2018,2.85
,,2018 - 2019,2.41
,,2019 - 2020,1.84
,,2020 - 2021,2.89
,,2021 - 2022,2.0
,,2022 - 2023,2.25
,Fatehpur,2001 - 2002,
,,2004 - 2005,
,,2006 - 2007,3.0
,,2008 - 2009,2.23
,,2011 - 2012,3.0
,,2013 - 2014,3.0
,,2016 - 2017,2.0
,,2018 - 2019,2.33
,,2019 - 2020,
,,2021 - 2022,2.0
,Firozabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2011 - 2012,3.0
,,2019 - 2020,
,Gautam buddha nagar,2013 - 2014,
,Ghaziabad,2015 - 2016,1.67
,Ghazipur,2016 - 2017,
,,2018 - 2019,
,Gonda,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.6
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.25
,Gorakhpur,2020 - 2021,
,Hamirpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hapur,2021 - 2022,2.0
,Hardoi,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.0
,,2014 - 2015,2.5
,,2015 - 2016,
,,2016 - 2017,2.0
,,2017 - 2018,
,,2018 - 2019,2.4
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.0
,,2022 - 2023,
,Hathras,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2012 - 2013,
,,2018 - 2019,
,Jalaun,2016 - 2017,
,Jaunpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.91
,,2007 - 2008,2.5
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Jhansi,2017 - 2018,
,Kannauj,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,2.33
,,2009 - 2010,4.5
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.5
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kanpur dehat,2003 - 2004,
,Kanpur nagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.95
,,2007 - 2008,2.49
,,2008 - 2009,2.27
,,2009 - 2010,4.27
,,2010 - 2011,
,,2011 - 2012,3.1
,,2012 - 2013,3.21
,,2013 - 2014,3.08
,,2014 - 2015,2.61
,,2015 - 2016,1.56
,,2016 - 2017,1.95
,,2017 - 2018,2.8
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.89
,,2021 - 2022,2.0
,,2022 - 2023,2.2
,Kasganj,2009 - 2010,4.29
,,2010 - 2011,
,,2011 - 2012,3.1
,,2012 - 2013,3.22
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.5
,,2016 - 2017,1.97
,,2017 - 2018,3.0
,,2018 - 2019,2.33
,,2019 - 2020,2.0
,,2020 - 2021,3.0
,,2021 - 2022,2.0
,,2022 - 2023,2.25
,Kaushambi,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2008 - 2009,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kheri,2017 - 2018,
,,2018 - 2019,
,,2022 - 2023,2.25
,Lucknow,2007 - 2008,2.5
,,2009 - 2010,
,,2020 - 2021,
,Maharajganj,2011 - 2012,3.0
,Mahoba,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Mainpuri,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mau,2022 - 2023,2.26
,Mirzapur,2018 - 2019,
,,2020 - 2021,
,Moradabad,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.95
,,2007 - 2008,2.49
,,2008 - 2009,2.27
,,2009 - 2010,4.28
,,2011 - 2012,3.09
,,2020 - 2021,2.88
,Muzaffarnagar,2004 - 2005,
,,2007 - 2008,
,Pilibhit,2004 - 2005,
,,2013 - 2014,3.07
,,2015 - 2016,1.56
,,2016 - 2017,1.97
,,2017 - 2018,2.85
,,2018 - 2019,2.41
,,2020 - 2021,2.89
,,2021 - 2022,2.0
,Pratapgarh,2013 - 2014,
,,2022 - 2023,2.33
,Rae bareli,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,3.0
,,2012 - 2013,3.0
,,2013 - 2014,
,,2014 - 2015,3.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rampur,2001 - 2002,
,Saharanpur,2003 - 2004,
,,2010 - 2011,
,Sambhal,2012 - 2013,3.21
,,2013 - 2014,3.08
,,2014 - 2015,2.62
,,2016 - 2017,1.97
,,2017 - 2018,2.86
,,2018 - 2019,2.41
,,2020 - 2021,2.89
,,2021 - 2022,2.01
,,2022 - 2023,2.24
,Shahjahanpur,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.0
,,2007 - 2008,2.49
,,2008 - 2009,2.25
,,2009 - 2010,4.28
,,2010 - 2011,
,,2011 - 2012,3.13
,,2012 - 2013,3.24
,,2013 - 2014,3.07
,,2014 - 2015,2.61
,,2015 - 2016,1.57
,,2016 - 2017,1.98
,,2017 - 2018,
,,2018 - 2019,2.41
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.0
,Shamli,2015 - 2016,1.5
,Siddharth nagar,2001 - 2002,
,Sitapur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.93
,,2007 - 2008,2.4
,,2008 - 2009,
,,2009 - 2010,4.25
,,2010 - 2011,
,,2011 - 2012,3.2
,,2012 - 2013,3.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.25
,Sultanpur,2014 - 2015,2.67
,,2016 - 2017,
,,2018 - 2019,2.33
,,2022 - 2023,2.24
,Unnao,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2012 - 2013,3.0
,,2013 - 2014,3.0
,,2015 - 2016,2.0
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,2.0
,,2020 - 2021,3.0
,,2021 - 2022,2.0
,Varanasi,2022 - 2023,2.2
Uttarakhand,Almora,2006 - 2007,
,Bageshwar,2007 - 2008,
,Chamoli,2007 - 2008,
,Champawat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2008 - 2009,
,Dehradun,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,Haridwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Nainital,2007 - 2008,
,Pauri garhwal,2006 - 2007,
,,2017 - 2018,
,Pithoragarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,Tehri garhwal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,Udam singh nagar,2002 - 2003,
,Uttar kashi,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
West Bengal,Alipurduar,2016 - 2017,
,,2018 - 2019,
,Bankura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,Coochbehar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Dinajpur uttar,2013 - 2014,
,Jalpaiguri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Maldah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Nadia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Purulia,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
