feature,GMM_Cluster,State,District
Bihar_Kishanganj,7,Bihar,Kishanganj
Bihar_Lakhisarai,7,Bihar,Lakhisarai
Bihar_Madhepura,7,Bihar,Madhepura
Bihar_Madhubani,7,Bihar,Madhubani
Bihar_Munger,7,Bihar,Munger
Bihar_Muzaffarpur,7,Bihar,Muzaffarpur
Bihar_Nalanda,7,Bihar,Nalanda
Bihar_Nawada,7,Bihar,Nawada
Bihar_Pashchim Champaran,7,Bihar,Pashchim Champaran
Bihar_Patna,7,Bihar,Patna
Bihar_Purbi Champaran,7,Bihar,Purbi Champaran
Bihar_Purnia,7,Bihar,Purnia
Bihar_Rohtas,7,Bihar,Rohtas
Bihar_Saharsa,7,Bihar,Saharsa
Bihar_Samastipur,7,Bihar,Samastipur
Bihar_Saran,7,Bihar,Saran
Bihar_Sheikhpura,7,Bihar,Sheikhpura
Bihar_Sheohar,7,Bihar,Sheohar
Bihar_Sitamarhi,7,Bihar,Sitamarhi
Bihar_Siwan,7,Bihar,Siwan
Bihar_Supaul,7,Bihar,Supaul
Bihar_Vaishali,7,Bihar,Vaishali
Chandigarh_Chandigarh,3,Chandigarh,Chandigarh
Chhattisgarh_Balod,7,Chhattisgarh,Balod
Chhattisgarh_Baloda Bazar,7,Chhattisgarh,Baloda Bazar
Chhattisgarh_Balrampur,7,Chhattisgarh,Balrampur
Chhattisgarh_Bastar,0,Chhattisgarh,Bastar
Chhattisgarh_Bemetara,7,Chhattisgarh,Bemetara
Chhattisgarh_Bijapur,0,Chhattisgarh,Bijapur
Chhattisgarh_Bilaspur,7,Chhattisgarh,Bilaspur
Chhattisgarh_Dantewada,0,Chhattisgarh,Dantewada
Chhattisgarh_Dhamtari,7,Chhattisgarh,Dhamtari
Chhattisgarh_Durg,7,Chhattisgarh,Durg
Chhattisgarh_Gariyaband,7,Chhattisgarh,Gariyaband
Chhattisgarh_Gaurella Pendra Marwahi,7,Chhattisgarh,Gaurella Pendra Marwahi
Chhattisgarh_Janjgir-Champa,7,Chhattisgarh,Janjgir-Champa
Chhattisgarh_Jashpur,7,Chhattisgarh,Jashpur
Chhattisgarh_Kabirdham,7,Chhattisgarh,Kabirdham
Chhattisgarh_Kanker,7,Chhattisgarh,Kanker
Chhattisgarh_Khairgarh Chhuikhadan Gandai,7,Chhattisgarh,Khairgarh Chhuikhadan Gandai
Chhattisgarh_Kondagaon,0,Chhattisgarh,Kondagaon
Chhattisgarh_Korba,7,Chhattisgarh,Korba
Chhattisgarh_Korea,7,Chhattisgarh,Korea
Chhattisgarh_Mahasamund,7,Chhattisgarh,Mahasamund
Chhattisgarh_Manendragarh Chirimiri Bharatpur,7,Chhattisgarh,Manendragarh Chirimiri Bharatpur
Chhattisgarh_Mohla Manpur Ambagarh Chouki,7,Chhattisgarh,Mohla Manpur Ambagarh Chouki
Chhattisgarh_Mungeli,7,Chhattisgarh,Mungeli
Chhattisgarh_Narayanpur,0,Chhattisgarh,Narayanpur
Chhattisgarh_Raigarh,7,Chhattisgarh,Raigarh
Chhattisgarh_Raipur,7,Chhattisgarh,Raipur
Chhattisgarh_Rajnandgaon,7,Chhattisgarh,Rajnandgaon
Chhattisgarh_Sakti,7,Chhattisgarh,Sakti
Chhattisgarh_Sarangarh Bilaigarh,7,Chhattisgarh,Sarangarh Bilaigarh
Chhattisgarh_Sukma,0,Chhattisgarh,Sukma
Chhattisgarh_Surajpur,7,Chhattisgarh,Surajpur
Chhattisgarh_Surguja,7,Chhattisgarh,Surguja
DNHDD_Dadra And Nagar Haveli,12,DNHDD,Dadra And Nagar Haveli
DNHDD_Daman,2,DNHDD,Daman
Delhi_Central,9,Delhi,Central
Delhi_New Delhi,9,Delhi,New Delhi
Delhi_North,9,Delhi,North
Delhi_North West,9,Delhi,North West
Delhi_South,9,Delhi,South
Delhi_South East,9,Delhi,South East
Delhi_South West,9,Delhi,South West
Delhi_West,9,Delhi,West
Goa_North Goa,0,Goa,North Goa
Goa_South Goa,0,Goa,South Goa
Gujarat_Ahmadabad,2,Gujarat,Ahmadabad
Gujarat_Amreli,12,Gujarat,Amreli
Gujarat_Anand,2,Gujarat,Anand
Gujarat_Arvalli,7,Gujarat,Arvalli
Gujarat_Banas Kantha,9,Gujarat,Banas Kantha
Gujarat_Bharuch,2,Gujarat,Bharuch
Gujarat_Bhavnagar,2,Gujarat,Bhavnagar
Gujarat_Botad,2,Gujarat,Botad
Gujarat_Chhotaudepur,12,Gujarat,Chhotaudepur
Gujarat_Dang,12,Gujarat,Dang
Gujarat_Devbhumi Dwarka,10,Gujarat,Devbhumi Dwarka
Gujarat_Dohad,12,Gujarat,Dohad
Gujarat_Gandhinagar,9,Gujarat,Gandhinagar
Gujarat_Gir Somnath,10,Gujarat,Gir Somnath
Gujarat_Jamnagar,2,Gujarat,Jamnagar
Gujarat_Junagadh,2,Gujarat,Junagadh
Gujarat_Kachchh,10,Gujarat,Kachchh
Gujarat_Kheda,2,Gujarat,Kheda
Gujarat_Mahesana,9,Gujarat,Mahesana
Gujarat_Mahisagar,12,Gujarat,Mahisagar
Gujarat_Morbi,2,Gujarat,Morbi
Gujarat_Narmada,12,Gujarat,Narmada
Gujarat_Navsari,2,Gujarat,Navsari
Gujarat_Panch Mahals,12,Gujarat,Panch Mahals
Gujarat_Patan,10,Gujarat,Patan
Gujarat_Porbandar,2,Gujarat,Porbandar
Gujarat_Rajkot,12,Gujarat,Rajkot
Gujarat_Sabar Kantha,9,Gujarat,Sabar Kantha
Gujarat_Surat,2,Gujarat,Surat
Gujarat_Surendranagar,2,Gujarat,Surendranagar
Gujarat_Tapi,12,Gujarat,Tapi
Gujarat_Vadodara,12,Gujarat,Vadodara
Gujarat_Valsad,12,Gujarat,Valsad
Haryana_Ambala,3,Haryana,Ambala
Haryana_Bhiwani,10,Haryana,Bhiwani
Haryana_Charki Dadri,10,Haryana,Charki Dadri
Haryana_Faridabad,9,Haryana,Faridabad
Haryana_Fatehabad,9,Haryana,Fatehabad
Haryana_Gurugram,9,Haryana,Gurugram
Haryana_Hisar,9,Haryana,Hisar
Haryana_Jhajjar,9,Haryana,Jhajjar
Haryana_Jind,9,Haryana,Jind
Haryana_Kaithal,3,Haryana,Kaithal
Haryana_Karnal,3,Haryana,Karnal
Haryana_Kurukshetra,3,Haryana,Kurukshetra
Haryana_Mahendragarh,10,Haryana,Mahendragarh
Haryana_Nuh,9,Haryana,Nuh
Haryana_Palwal,9,Haryana,Palwal
Haryana_Panchkula,3,Haryana,Panchkula
Haryana_Panipat,3,Haryana,Panipat
Haryana_Rewari,9,Haryana,Rewari
Haryana_Rohtak,9,Haryana,Rohtak
Haryana_Sirsa,9,Haryana,Sirsa
Haryana_Sonipat,3,Haryana,Sonipat
Haryana_Yamunanagar,3,Haryana,Yamunanagar
Himachal Pradesh_Bilaspur,3,Himachal Pradesh,Bilaspur
Himachal Pradesh_Chamba,1,Himachal Pradesh,Chamba
Himachal Pradesh_Hamirpur,3,Himachal Pradesh,Hamirpur
Himachal Pradesh_Kangra,6,Himachal Pradesh,Kangra
Himachal Pradesh_Kinnaur,1,Himachal Pradesh,Kinnaur
Himachal Pradesh_Kullu,1,Himachal Pradesh,Kullu
Himachal Pradesh_Lahul And Spiti,1,Himachal Pradesh,Lahul And Spiti
Himachal Pradesh_Mandi,6,Himachal Pradesh,Mandi
Himachal Pradesh_Shimla,13,Himachal Pradesh,Shimla
Himachal Pradesh_Sirmaur,6,Himachal Pradesh,Sirmaur
Himachal Pradesh_Solan,3,Himachal Pradesh,Solan
Himachal Pradesh_Una,3,Himachal Pradesh,Una
Jammu & Kashmir_Anantnag,1,Jammu & Kashmir,Anantnag
Jammu & Kashmir_Bandipora,1,Jammu & Kashmir,Bandipora
Jammu & Kashmir_Baramulla,13,Jammu & Kashmir,Baramulla
Jammu & Kashmir_Budgam,13,Jammu & Kashmir,Budgam
Jammu & Kashmir_Doda,13,Jammu & Kashmir,Doda
Jammu & Kashmir_Ganderbal,1,Jammu & Kashmir,Ganderbal
Jammu & Kashmir_Jammu,3,Jammu & Kashmir,Jammu
Jammu & Kashmir_Kathua,6,Jammu & Kashmir,Kathua
Jammu & Kashmir_Kishtwar,1,Jammu & Kashmir,Kishtwar
Jammu & Kashmir_Kulgam,13,Jammu & Kashmir,Kulgam
Jammu & Kashmir_Kupwara,1,Jammu & Kashmir,Kupwara
Jammu & Kashmir_Mirpur,3,Jammu & Kashmir,Mirpur
Jammu & Kashmir_Muzaffarabad,1,Jammu & Kashmir,Muzaffarabad
Jammu & Kashmir_Poonch,6,Jammu & Kashmir,Poonch
Jammu & Kashmir_Pulwama,13,Jammu & Kashmir,Pulwama
Jammu & Kashmir_Rajouri,6,Jammu & Kashmir,Rajouri
Jammu & Kashmir_Ramban,13,Jammu & Kashmir,Ramban
Jammu & Kashmir_Reasi,6,Jammu & Kashmir,Reasi
Jammu & Kashmir_Samba,3,Jammu & Kashmir,Samba
Jammu & Kashmir_Shopian,13,Jammu & Kashmir,Shopian
Jammu & Kashmir_Srinagar,13,Jammu & Kashmir,Srinagar
Jammu & Kashmir_Udhampur,6,Jammu & Kashmir,Udhampur
Jharkhand_Bokaro,7,Jharkhand,Bokaro
Jharkhand_Chatra,7,Jharkhand,Chatra
Jharkhand_Deoghar,7,Jharkhand,Deoghar
Jharkhand_Dhanbad,7,Jharkhand,Dhanbad
Jharkhand_Dumka,12,Jharkhand,Dumka
Jharkhand_East Singhbum,7,Jharkhand,East Singhbum
Jharkhand_Garhwa,7,Jharkhand,Garhwa
Jharkhand_Giridih,7,Jharkhand,Giridih
Jharkhand_Godda,7,Jharkhand,Godda
Jharkhand_Gumla,7,Jharkhand,Gumla
Jharkhand_Hazaribagh,7,Jharkhand,Hazaribagh
Jharkhand_Jamtara,7,Jharkhand,Jamtara
Jharkhand_Khunti,7,Jharkhand,Khunti
Jharkhand_Koderma,7,Jharkhand,Koderma
Jharkhand_Latehar,7,Jharkhand,Latehar
Jharkhand_Lohardaga,7,Jharkhand,Lohardaga
Jharkhand_Pakur,7,Jharkhand,Pakur
Jharkhand_Palamu,7,Jharkhand,Palamu
Jharkhand_Ramgarh,7,Jharkhand,Ramgarh
Jharkhand_Ranchi,7,Jharkhand,Ranchi
Jharkhand_Sahebganj,7,Jharkhand,Sahebganj
Jharkhand_Saraikela Kharsawan,7,Jharkhand,Saraikela Kharsawan
Jharkhand_Simdega,7,Jharkhand,Simdega
Jharkhand_West Singhbhum,7,Jharkhand,West Singhbhum
Karnataka_Bagalkote,2,Karnataka,Bagalkote
Karnataka_Ballari,2,Karnataka,Ballari
Karnataka_Belagavi,0,Karnataka,Belagavi
Karnataka_Bengaluru Rural,0,Karnataka,Bengaluru Rural
Karnataka_Bengaluru Urban,0,Karnataka,Bengaluru Urban
Karnataka_Bidar,12,Karnataka,Bidar
Karnataka_Chamarajanagara,0,Karnataka,Chamarajanagara
Karnataka_Chikkaballapura,0,Karnataka,Chikkaballapura
Karnataka_Chikkamagaluru,8,Karnataka,Chikkamagaluru
Karnataka_Chitradurga,0,Karnataka,Chitradurga
Karnataka_Dakshina Kannada,8,Karnataka,Dakshina Kannada
Karnataka_Davangere,0,Karnataka,Davangere
Karnataka_Dharwad,0,Karnataka,Dharwad
Karnataka_Gadag,0,Karnataka,Gadag
Karnataka_Hassan,0,Karnataka,Hassan
Karnataka_Haveri,0,Karnataka,Haveri
Karnataka_Kalaburagi,12,Karnataka,Kalaburagi
Karnataka_Kodagu,8,Karnataka,Kodagu
Karnataka_Kolar,0,Karnataka,Kolar
Karnataka_Koppal,2,Karnataka,Koppal
Karnataka_Mandya,0,Karnataka,Mandya
Karnataka_Mysuru,0,Karnataka,Mysuru
Karnataka_Raichur,12,Karnataka,Raichur
Karnataka_Ramanagara,0,Karnataka,Ramanagara
Karnataka_Shivamogga,8,Karnataka,Shivamogga
Karnataka_Tumakuru,0,Karnataka,Tumakuru
Karnataka_Udupi,8,Karnataka,Udupi
Karnataka_Uttara Kannada,8,Karnataka,Uttara Kannada
Karnataka_Vijayanagar,0,Karnataka,Vijayanagar
Karnataka_Vijayapura,2,Karnataka,Vijayapura
Karnataka_Yadgir,12,Karnataka,Yadgir
Kerala_Alappuzha,0,Kerala,Alappuzha
Kerala_Ernakulam,8,Kerala,Ernakulam
Kerala_Idukki,8,Kerala,Idukki
Kerala_Kannur,8,Kerala,Kannur
Kerala_Kasaragod,0,Kerala,Kasaragod
Kerala_Kollam,8,Kerala,Kollam
Kerala_Kottayam,8,Kerala,Kottayam
Kerala_Kozhikode,8,Kerala,Kozhikode
Kerala_Malappuram,8,Kerala,Malappuram
Kerala_Palakkad,8,Kerala,Palakkad
Kerala_Pathanamthitta,8,Kerala,Pathanamthitta
Kerala_Thiruvananthapuram,8,Kerala,Thiruvananthapuram
Kerala_Thrissur,8,Kerala,Thrissur
Kerala_Wayanad,8,Kerala,Wayanad
Ladakh_Kargil,1,Ladakh,Kargil
Ladakh_Leh Ladakh,1,Ladakh,Leh Ladakh
Madhya Pradesh_Agar Malwa,12,Madhya Pradesh,Agar Malwa
Madhya Pradesh_Alirajpur,12,Madhya Pradesh,Alirajpur
Madhya Pradesh_Anuppur,7,Madhya Pradesh,Anuppur
Madhya Pradesh_Ashoknagar,12,Madhya Pradesh,Ashoknagar
Madhya Pradesh_Balaghat,12,Madhya Pradesh,Balaghat
Madhya Pradesh_Barwani,2,Madhya Pradesh,Barwani
Madhya Pradesh_Betul,12,Madhya Pradesh,Betul
Madhya Pradesh_Bhind,9,Madhya Pradesh,Bhind
Madhya Pradesh_Bhopal,12,Madhya Pradesh,Bhopal
Madhya Pradesh_Burhanpur,12,Madhya Pradesh,Burhanpur
Madhya Pradesh_Chhatarpur,7,Madhya Pradesh,Chhatarpur
Madhya Pradesh_Chhindwara,12,Madhya Pradesh,Chhindwara
Madhya Pradesh_Damoh,12,Madhya Pradesh,Damoh
Madhya Pradesh_Datia,9,Madhya Pradesh,Datia
Madhya Pradesh_Dewas,12,Madhya Pradesh,Dewas
Madhya Pradesh_Dhar,12,Madhya Pradesh,Dhar
Madhya Pradesh_Dindori,7,Madhya Pradesh,Dindori
Madhya Pradesh_East Nimar,12,Madhya Pradesh,East Nimar
Madhya Pradesh_Guna,12,Madhya Pradesh,Guna
Madhya Pradesh_Gwalior,9,Madhya Pradesh,Gwalior
Madhya Pradesh_Harda,12,Madhya Pradesh,Harda
Madhya Pradesh_Indore,12,Madhya Pradesh,Indore
Madhya Pradesh_Jabalpur,12,Madhya Pradesh,Jabalpur
Madhya Pradesh_Jhabua,12,Madhya Pradesh,Jhabua
Madhya Pradesh_Katni,12,Madhya Pradesh,Katni
Madhya Pradesh_Khargone,12,Madhya Pradesh,Khargone
Madhya Pradesh_Mandla,12,Madhya Pradesh,Mandla
Madhya Pradesh_Mandsaur,12,Madhya Pradesh,Mandsaur
Madhya Pradesh_Morena,9,Madhya Pradesh,Morena
Madhya Pradesh_Narmadapuram,12,Madhya Pradesh,Narmadapuram
Madhya Pradesh_Narsinghpur,12,Madhya Pradesh,Narsinghpur
Madhya Pradesh_Neemuch,7,Madhya Pradesh,Neemuch
Madhya Pradesh_Niwari,9,Madhya Pradesh,Niwari
Madhya Pradesh_Panna,7,Madhya Pradesh,Panna
Madhya Pradesh_Raisen,12,Madhya Pradesh,Raisen
Madhya Pradesh_Rajgarh,12,Madhya Pradesh,Rajgarh
Madhya Pradesh_Ratlam,12,Madhya Pradesh,Ratlam
Madhya Pradesh_Rewa,7,Madhya Pradesh,Rewa
Madhya Pradesh_Sagar,12,Madhya Pradesh,Sagar
Madhya Pradesh_Satna,7,Madhya Pradesh,Satna
Madhya Pradesh_Sehore,12,Madhya Pradesh,Sehore
Madhya Pradesh_Seoni,12,Madhya Pradesh,Seoni
Madhya Pradesh_Shahdol,12,Madhya Pradesh,Shahdol
Madhya Pradesh_Shajapur,12,Madhya Pradesh,Shajapur
Madhya Pradesh_Sheopur,9,Madhya Pradesh,Sheopur
Madhya Pradesh_Shivpuri,9,Madhya Pradesh,Shivpuri
Madhya Pradesh_Sidhi,12,Madhya Pradesh,Sidhi
Madhya Pradesh_Singrauli,7,Madhya Pradesh,Singrauli
Madhya Pradesh_Tikamgarh,9,Madhya Pradesh,Tikamgarh
Madhya Pradesh_Ujjain,12,Madhya Pradesh,Ujjain
Madhya Pradesh_Umaria,12,Madhya Pradesh,Umaria
Madhya Pradesh_Vidisha,12,Madhya Pradesh,Vidisha
Maharashtra_Ahmednagar,2,Maharashtra,Ahmednagar
Maharashtra_Akola,12,Maharashtra,Akola
Maharashtra_Amravati,12,Maharashtra,Amravati
Maharashtra_Aurangabad,12,Maharashtra,Aurangabad
Maharashtra_Beed,12,Maharashtra,Beed
Maharashtra_Bhandara,12,Maharashtra,Bhandara
Maharashtra_Buldhana,12,Maharashtra,Buldhana
Maharashtra_Chandrapur,12,Maharashtra,Chandrapur
Maharashtra_Dhule,12,Maharashtra,Dhule
Maharashtra_Gadchiroli,12,Maharashtra,Gadchiroli
Maharashtra_Gondia,12,Maharashtra,Gondia
Maharashtra_Hingoli,12,Maharashtra,Hingoli
Maharashtra_Jalgaon,12,Maharashtra,Jalgaon
Maharashtra_Jalna,12,Maharashtra,Jalna
Maharashtra_Kolhapur,8,Maharashtra,Kolhapur
Maharashtra_Latur,12,Maharashtra,Latur
Maharashtra_Mumbai Suburban,2,Maharashtra,Mumbai Suburban
Maharashtra_Nagpur,12,Maharashtra,Nagpur
Maharashtra_Nanded,12,Maharashtra,Nanded
Maharashtra_Nandurbar,12,Maharashtra,Nandurbar
Maharashtra_Nashik,12,Maharashtra,Nashik
Maharashtra_Osmanabad,12,Maharashtra,Osmanabad
Maharashtra_Palghar,12,Maharashtra,Palghar
Maharashtra_Parbhani,12,Maharashtra,Parbhani
Maharashtra_Pune,0,Maharashtra,Pune
Maharashtra_Raigad,0,Maharashtra,Raigad
Maharashtra_Ratnagiri,0,Maharashtra,Ratnagiri
Maharashtra_Sangli,0,Maharashtra,Sangli
Maharashtra_Satara,0,Maharashtra,Satara
Maharashtra_Sindhudurg,0,Maharashtra,Sindhudurg
Maharashtra_Solapur,2,Maharashtra,Solapur
Maharashtra_Thane,0,Maharashtra,Thane
Maharashtra_Wardha,12,Maharashtra,Wardha
Maharashtra_Washim,12,Maharashtra,Washim
Maharashtra_Yavatmal,12,Maharashtra,Yavatmal
Manipur_Bishnupur,14,Manipur,Bishnupur
Manipur_Chandel,14,Manipur,Chandel
Manipur_Churachandpur,14,Manipur,Churachandpur
Manipur_Imphal East,14,Manipur,Imphal East
Manipur_Imphal West,14,Manipur,Imphal West
Manipur_Kakching,14,Manipur,Kakching
Manipur_Kamjong,14,Manipur,Kamjong
Manipur_Kangpokpi,14,Manipur,Kangpokpi
Manipur_Noney,14,Manipur,Noney
Manipur_Pherzawl,14,Manipur,Pherzawl
Manipur_Senapati,5,Manipur,Senapati
Manipur_Tamenglong,14,Manipur,Tamenglong
Manipur_Tengnoupal,14,Manipur,Tengnoupal
Manipur_Thoubal,14,Manipur,Thoubal
Manipur_Ukhrul,14,Manipur,Ukhrul
Meghalaya_East Garo Hills,4,Meghalaya,East Garo Hills
Meghalaya_East Jaintia Hills,4,Meghalaya,East Jaintia Hills
Meghalaya_East Khasi Hills,5,Meghalaya,East Khasi Hills
Meghalaya_Eastern West Khasi Hills,5,Meghalaya,Eastern West Khasi Hills
Meghalaya_North Garo Hills,4,Meghalaya,North Garo Hills
Meghalaya_Ri Bhoi,4,Meghalaya,Ri Bhoi
Meghalaya_South Garo Hills,4,Meghalaya,South Garo Hills
Meghalaya_South West Garo Hills,8,Meghalaya,South West Garo Hills
Meghalaya_South West Khasi Hills,4,Meghalaya,South West Khasi Hills
Meghalaya_West Garo Hills,8,Meghalaya,West Garo Hills
Meghalaya_West Jaintia Hills,4,Meghalaya,West Jaintia Hills
Meghalaya_West Khasi Hills,4,Meghalaya,West Khasi Hills
Mizoram_Aizawl,14,Mizoram,Aizawl
Mizoram_Champhai,14,Mizoram,Champhai
Mizoram_Hnahthial,14,Mizoram,Hnahthial
Mizoram_Khawzawl,14,Mizoram,Khawzawl
Mizoram_Kolasib,14,Mizoram,Kolasib
Mizoram_Lawngtlai,14,Mizoram,Lawngtlai
Mizoram_Lunglei,14,Mizoram,Lunglei
Mizoram_Mamit,14,Mizoram,Mamit
Mizoram_Saiha,14,Mizoram,Saiha
Mizoram_Saitual,14,Mizoram,Saitual
Mizoram_Serchhip,14,Mizoram,Serchhip
Nagaland_Chumoukedima,4,Nagaland,Chumoukedima
Nagaland_Kiphire,5,Nagaland,Kiphire
Nagaland_Kohima,5,Nagaland,Kohima
Nagaland_Longleng,4,Nagaland,Longleng
Nagaland_Mokokchung,4,Nagaland,Mokokchung
Nagaland_Mon,4,Nagaland,Mon
Nagaland_Noklak,5,Nagaland,Noklak
Nagaland_Peren,4,Nagaland,Peren
Nagaland_Phek,5,Nagaland,Phek
Nagaland_Shamator,5,Nagaland,Shamator
Nagaland_Tseminyu,4,Nagaland,Tseminyu
Nagaland_Tuensang,5,Nagaland,Tuensang
Nagaland_Wokha,4,Nagaland,Wokha
Nagaland_Zunheboto,5,Nagaland,Zunheboto
Odisha_Anugul,7,Odisha,Anugul
Odisha_Balangir,7,Odisha,Balangir
Odisha_Baleshwar,2,Odisha,Baleshwar
Odisha_Bargarh,12,Odisha,Bargarh
