State,District,KMeans_Cluster
Chhattisgarh,Surguja,4
DNHDD,Dadra And Nagar Haveli,5
DNHDD,Daman,13
Delhi,Central,0
Delhi,New Delhi,0
Delhi,North,0
Delhi,North West,0
Delhi,South,0
Delhi,South East,0
Delhi,South West,0
Delhi,West,0
Goa,North Goa,13
Goa,South Goa,13
Gujarat,Ahmadabad,13
Gujarat,Amreli,5
Gujarat,Anand,13
Gujarat,Arvalli,4
Gujarat,Banas Kantha,10
Gujarat,Bharuch,13
Gujarat,Bhavnagar,13
Gujarat,Botad,13
Gujarat,Chhotaudepur,5
Gujarat,Dang,5
Gujarat,Devbhumi Dwarka,10
Gujarat,Dohad,5
Gujarat,Gandhinagar,13
Gujarat,Gir Somnath,10
Gujarat,Jamnagar,13
Gujarat,Junagadh,13
Gujarat,Kachchh,10
Gujarat,Kheda,13
Gujarat,Mahesana,0
Gujarat,Mahisagar,5
Gujarat,Morbi,13
Gujarat,Narmada,5
Gujarat,Navsari,13
Gujarat,Panch Mahals,5
Gujarat,Patan,10
Gujarat,Porbandar,13
Gujarat,Rajkot,5
Gujarat,Sabar Kantha,4
Gujarat,Surat,5
Gujarat,Surendranagar,13
Gujarat,Tapi,5
Gujarat,Vadodara,5
Gujarat,Valsad,5
Haryana,Ambala,0
Haryana,Bhiwani,10
Haryana,Charki Dadri,10
Haryana,Faridabad,0
Haryana,Fatehabad,0
Haryana,Gurugram,0
Haryana,Hisar,0
Haryana,Jhajjar,0
Haryana,Jind,0
Haryana,Kaithal,0
Haryana,Karnal,0
Haryana,Kurukshetra,0
Haryana,Mahendragarh,10
Haryana,Nuh,0
Haryana,Palwal,0
Haryana,Panchkula,0
Haryana,Panipat,0
Haryana,Rewari,0
Haryana,Rohtak,0
Haryana,Sirsa,0
Haryana,Sonipat,0
Haryana,Yamunanagar,0
Himachal Pradesh,Bilaspur,0
Himachal Pradesh,Chamba,2
Himachal Pradesh,Hamirpur,11
Himachal Pradesh,Kangra,11
Himachal Pradesh,Kinnaur,14
Himachal Pradesh,Kullu,2
Himachal Pradesh,Lahul And Spiti,14
Himachal Pradesh,Mandi,11
Himachal Pradesh,Shimla,2
Himachal Pradesh,Sirmaur,11
Himachal Pradesh,Solan,11
Himachal Pradesh,Una,0
Jammu & Kashmir,Anantnag,2
Jammu & Kashmir,Bandipora,2
Jammu & Kashmir,Baramulla,2
Jammu & Kashmir,Budgam,2
Jammu & Kashmir,Doda,2
Jammu & Kashmir,Ganderbal,2
Jammu & Kashmir,Jammu,0
Jammu & Kashmir,Kathua,11
Jammu & Kashmir,Kishtwar,14
Jammu & Kashmir,Kulgam,2
Jammu & Kashmir,Kupwara,2
Jammu & Kashmir,Mirpur,0
Jammu & Kashmir,Muzaffarabad,2
Jammu & Kashmir,Poonch,11
Jammu & Kashmir,Pulwama,2
Jammu & Kashmir,Rajouri,11
Jammu & Kashmir,Ramban,2
Jammu & Kashmir,Reasi,11
Jammu & Kashmir,Samba,0
Jammu & Kashmir,Shopian,2
Jammu & Kashmir,Srinagar,2
Jammu & Kashmir,Udhampur,11
Jharkhand,Bokaro,4
Jharkhand,Chatra,4
Jharkhand,Deoghar,4
Jharkhand,Dhanbad,4
Jharkhand,Dumka,5
Jharkhand,East Singhbum,4
Jharkhand,Garhwa,4
Jharkhand,Giridih,4
Jharkhand,Godda,4
Jharkhand,Gumla,4
Jharkhand,Hazaribagh,4
Jharkhand,Jamtara,4
Jharkhand,Khunti,4
Jharkhand,Koderma,4
Jharkhand,Latehar,4
Jharkhand,Lohardaga,4
Jharkhand,Pakur,4
Jharkhand,Palamu,4
Jharkhand,Ramgarh,4
Jharkhand,Ranchi,4
Jharkhand,Sahebganj,4
Jharkhand,Saraikela Kharsawan,4
Jharkhand,Simdega,4
Jharkhand,West Singhbhum,5
Karnataka,Bagalkote,13
Karnataka,Ballari,13
Karnataka,Belagavi,5
Karnataka,Bengaluru Rural,5
Karnataka,Bengaluru Urban,5
Karnataka,Bidar,5
Karnataka,Chamarajanagara,13
Karnataka,Chikkaballapura,13
Karnataka,Chikkamagaluru,12
Karnataka,Chitradurga,13
Karnataka,Dakshina Kannada,12
Karnataka,Davangere,13
Karnataka,Dharwad,5
Karnataka,Gadag,13
Karnataka,Hassan,12
Karnataka,Haveri,5
Karnataka,Kalaburagi,5
Karnataka,Kodagu,12
Karnataka,Kolar,13
Karnataka,Koppal,13
Karnataka,Mandya,13
Karnataka,Mysuru,13
Karnataka,Raichur,5
Karnataka,Ramanagara,13
Karnataka,Shivamogga,12
Karnataka,Tumakuru,13
Karnataka,Udupi,12
Karnataka,Uttara Kannada,12
Karnataka,Vijayanagar,13
Karnataka,Vijayapura,13
Karnataka,Yadgir,5
Kerala,Alappuzha,12
Kerala,Ernakulam,12
Kerala,Idukki,12
Kerala,Kannur,12
Kerala,Kasaragod,12
Kerala,Kollam,12
Kerala,Kottayam,12
Kerala,Kozhikode,12
Kerala,Malappuram,12
Kerala,Palakkad,12
Kerala,Pathanamthitta,12
Kerala,Thiruvananthapuram,12
Kerala,Thrissur,12
Kerala,Wayanad,12
Ladakh,Kargil,14
Ladakh,Leh Ladakh,14
Madhya Pradesh,Agar Malwa,5
Madhya Pradesh,Alirajpur,5
Madhya Pradesh,Anuppur,4
Madhya Pradesh,Ashoknagar,5
Madhya Pradesh,Balaghat,5
Madhya Pradesh,Barwani,13
Madhya Pradesh,Betul,4
Madhya Pradesh,Bhind,0
Madhya Pradesh,Bhopal,5
Madhya Pradesh,Burhanpur,4
Madhya Pradesh,Chhatarpur,4
Madhya Pradesh,Chhindwara,5
Madhya Pradesh,Damoh,5
Madhya Pradesh,Datia,0
Madhya Pradesh,Dewas,5
Madhya Pradesh,Dhar,5
Madhya Pradesh,Dindori,4
Madhya Pradesh,East Nimar,5
Madhya Pradesh,Guna,5
Madhya Pradesh,Gwalior,0
Madhya Pradesh,Harda,5
Madhya Pradesh,Indore,5
Madhya Pradesh,Jabalpur,5
Madhya Pradesh,Jhabua,5
Madhya Pradesh,Katni,5
Madhya Pradesh,Khargone,5
Madhya Pradesh,Mandla,5
Madhya Pradesh,Mandsaur,5
Madhya Pradesh,Morena,0
Madhya Pradesh,Narmadapuram,5
Madhya Pradesh,Narsinghpur,5
Madhya Pradesh,Neemuch,4
Madhya Pradesh,Niwari,0
Madhya Pradesh,Panna,4
Madhya Pradesh,Raisen,5
Madhya Pradesh,Rajgarh,5
Madhya Pradesh,Ratlam,5
Madhya Pradesh,Rewa,4
Madhya Pradesh,Sagar,5
Madhya Pradesh,Satna,4
Madhya Pradesh,Sehore,5
Madhya Pradesh,Seoni,5
Madhya Pradesh,Shahdol,5
Madhya Pradesh,Shajapur,5
Madhya Pradesh,Sheopur,0
Madhya Pradesh,Shivpuri,0
Madhya Pradesh,Sidhi,5
Madhya Pradesh,Singrauli,4
Madhya Pradesh,Tikamgarh,0
Madhya Pradesh,Ujjain,5
Madhya Pradesh,Umaria,5
Madhya Pradesh,Vidisha,5
Maharashtra,Ahmednagar,13
Maharashtra,Akola,5
Maharashtra,Amravati,5
Maharashtra,Aurangabad,5
Maharashtra,Beed,5
Maharashtra,Bhandara,5
Maharashtra,Buldhana,5
Maharashtra,Chandrapur,5
Maharashtra,Dhule,5
Maharashtra,Gadchiroli,5
Maharashtra,Gondia,5
Maharashtra,Hingoli,5
Maharashtra,Jalgaon,5
Maharashtra,Jalna,5
Maharashtra,Kolhapur,12
Maharashtra,Latur,5
Maharashtra,Mumbai Suburban,13
Maharashtra,Nagpur,5
Maharashtra,Nanded,5
Maharashtra,Nandurbar,5
Maharashtra,Nashik,5
Maharashtra,Osmanabad,5
Maharashtra,Palghar,5
Maharashtra,Parbhani,5
Maharashtra,Pune,13
Maharashtra,Raigad,5
Maharashtra,Ratnagiri,5
Maharashtra,Sangli,13
Maharashtra,Satara,5
Maharashtra,Sindhudurg,5
Maharashtra,Solapur,13
Maharashtra,Thane,5
Maharashtra,Wardha,5
Maharashtra,Washim,5
Maharashtra,Yavatmal,5
Manipur,Bishnupur,1
Manipur,Chandel,1
Manipur,Churachandpur,1
Manipur,Imphal East,1
Manipur,Imphal West,1
Manipur,Kakching,1
Manipur,Kamjong,1
Manipur,Kangpokpi,1
Manipur,Noney,1
Manipur,Pherzawl,1
Manipur,Senapati,8
Manipur,Tamenglong,1
Manipur,Tengnoupal,1
Manipur,Thoubal,1
Manipur,Ukhrul,1
Meghalaya,East Garo Hills,8
Meghalaya,East Jaintia Hills,8
Meghalaya,East Khasi Hills,8
Meghalaya,Eastern West Khasi Hills,8
Meghalaya,North Garo Hills,3
Meghalaya,Ri Bhoi,8
Meghalaya,South Garo Hills,3
Meghalaya,South West Garo Hills,3
Meghalaya,South West Khasi Hills,8
Meghalaya,West Garo Hills,3
Meghalaya,West Jaintia Hills,8
Meghalaya,West Khasi Hills,8
Mizoram,Aizawl,1
Mizoram,Champhai,1
Mizoram,Hnahthial,1
Mizoram,Khawzawl,1
Mizoram,Kolasib,1
Mizoram,Lawngtlai,1
Mizoram,Lunglei,1
Mizoram,Mamit,1
Mizoram,Saiha,1
Mizoram,Saitual,1
Mizoram,Serchhip,1
Nagaland,Chumoukedima,8
Nagaland,Kiphire,8
Nagaland,Kohima,8
Nagaland,Longleng,8
Nagaland,Mokokchung,8
Nagaland,Mon,8
Nagaland,Noklak,8
Nagaland,Peren,8
Nagaland,Phek,8
Nagaland,Shamator,8
Nagaland,Tseminyu,8
Nagaland,Tuensang,8
Nagaland,Wokha,8
Nagaland,Zunheboto,8
Odisha,Anugul,4
Odisha,Balangir,4
Odisha,Baleshwar,13
Odisha,Bargarh,5
Odisha,Bhadrak,13
Odisha,Boudh,5
Odisha,Cuttack,4
Odisha,Deogarh,4
Odisha,Dhenkanal,4
Odisha,Gajapati,4
Odisha,Ganjam,13
Odisha,Jagatsinghapur,13
Odisha,Jajapur,4
Odisha,Jharsuguda,4
Odisha,Kalahandi,4
Odisha,Kandhamal,4
Odisha,Kendrapara,13
Odisha,Kendujhar,4
Odisha,Khordha,13
Odisha,Koraput,4
Odisha,Malkangiri,4
Odisha,Mayurbhanj,4
Odisha,Nabarangpur,4
Odisha,Nayagarh,4
Odisha,Nuapada,4
Odisha,Puri,10
Odisha,Rayagada,4
Odisha,Sambalpur,4
Odisha,Sonepur,5
Odisha,Sundargarh,4
Puducherry,Karaikal,6
Puducherry,Pondicherry,6
Punjab,Amritsar,0
Punjab,Barnala,0
Punjab,Bathinda,0
Punjab,Faridkot,0
Punjab,Fatehgarh Sahib,0
Punjab,Fazilka,0
Punjab,Ferozepur,0
Punjab,Gurdaspur,0
Punjab,Hoshiarpur,0
Punjab,Jalandhar,0
Punjab,Kapurthala,0
Punjab,Ludhiana,0
Punjab,Malerkotla,0
Punjab,Mansa,0
Punjab,Moga,0
Punjab,Pathankot,0
Punjab,Patiala,0
Punjab,Rupnagar,0
Punjab,S.a.s Nagar,0
Punjab,Sangrur,0
Punjab,Shahid Bhagat Singh Nagar,0
Punjab,Sri Muktsar Sahib,0
Punjab,Tarn Taran,0
Rajasthan,Ajmer,0
Rajasthan,Alwar,0
Rajasthan,Anoopgarh,10
Rajasthan,Balotra,10
Rajasthan,Banswara,5
Rajasthan,Baran,5
Rajasthan,Barmer,10
Rajasthan,Beawar,0
Rajasthan,Bharatpur,0
Rajasthan,Bhilwara,0
Rajasthan,Bikaner,10
Rajasthan,Bundi,0
Rajasthan,Chittorgarh,0
Rajasthan,Churu,10
Rajasthan,Dausa,0
Rajasthan,Deeg,0
Rajasthan,Dholpur,0
Rajasthan,Didwana Kuchaman,10
Rajasthan,Dudu,0
Rajasthan,Dungarpur,4
Rajasthan,Ganganagar,10
Rajasthan,Gangapurcity,0
Rajasthan,Hanumangarh,10
Rajasthan,Jaipur,0
Rajasthan,Jaipur Gramin,0
Rajasthan,Jaisalmer,10
Rajasthan,Jalore,10
Rajasthan,Jhalawar,5
Rajasthan,Jhunjhunu,10
Rajasthan,Jodhpur,10
Rajasthan,Jodhpur Gramin,10
Rajasthan,Karauli,0
Rajasthan,Kekri,0
Rajasthan,Khairthal-Tijara,0
Rajasthan,Kota,5
Rajasthan,Kotputli-Behror,0
Rajasthan,Nagaur,10
Rajasthan,Neem Ka Thana,0
Rajasthan,Pali,0
Rajasthan,Phalodi,10
Rajasthan,Pratapgarh,5
Rajasthan,Rajsamand,0
Rajasthan,Salumbar,0
Rajasthan,Sawai Madhopur,0
Rajasthan,Shahpura,0
Rajasthan,Sikar,10
Rajasthan,Sirohi,0
Rajasthan,Tonk,0
Rajasthan,Udaipur,0
Sikkim,Gangtok,7
Sikkim,Gyalshing,7
Sikkim,Mangan,2
Sikkim,Namchi,7
Sikkim,Pakyong,7
Sikkim,Soreng,7
Tamil Nadu,Ariyalur,9
Tamil Nadu,Chengalpattu,9
Tamil Nadu,Chennai,6
Tamil Nadu,Coimbatore,12
Tamil Nadu,Cuddalore,9
Tamil Nadu,Dharmapuri,9
Tamil Nadu,Dindigul,9
Tamil Nadu,Erode,9
Tamil Nadu,Kallakurichi,9
Tamil Nadu,Kanchipuram,9
Tamil Nadu,Kanniyakumari,9
Tamil Nadu,Karur,9
Tamil Nadu,Krishnagiri,9
Tamil Nadu,Madurai,9
Tamil Nadu,Mayiladuthurai,6
Tamil Nadu,Nagapattinam,6
Tamil Nadu,Namakkal,9
Tamil Nadu,Perambalur,9
Tamil Nadu,Pudukkottai,9
Tamil Nadu,Ramanathapuram,6
Tamil Nadu,Ranipet,9
Tamil Nadu,Salem,9
Tamil Nadu,Sivaganga,9
Tamil Nadu,Tenkasi,9
Tamil Nadu,Thanjavur,9
Tamil Nadu,The Nilgiris,12
Tamil Nadu,Theni,9
Tamil Nadu,Thiruvallur,9
Tamil Nadu,Thiruvarur,9
Tamil Nadu,Tiruchirappalli,9
Tamil Nadu,Tirunelveli,9
Tamil Nadu,Tirupathur,9
Tamil Nadu,Tiruppur,9
Tamil Nadu,Tiruvannamalai,9
Tamil Nadu,Tuticorin,9
Tamil Nadu,Vellore,9
Tamil Nadu,Villupuram,9
Tamil Nadu,Virudhunagar,9
Telangana,Adilabad,13
Telangana,Bhadradri Kothagudem,5
Telangana,Hanumakonda,13
Telangana,Hyderabad,13
Telangana,Jagitial,5
Telangana,Jangoan,13
Telangana,Jayashankar Bhupalapally,5
Telangana,Jogulamba Gadwal,5
Telangana,Kamareddy,5
Telangana,Karimnagar,13
Telangana,Khammam,13
Telangana,Kumuram Bheem Asifabad,5
Telangana,Mahabubabad,13
Telangana,Mahabubnagar,13
Telangana,Mancherial,5
Telangana,Medak,13
Telangana,Medchal Malkajgiri,13
Telangana,Mulugu,5
Telangana,Nagarkurnool,13
Telangana,Nalgonda,13
Telangana,Narayanpet,5
Telangana,Nirmal,5
Telangana,Nizamabad,5
Telangana,Peddapalli,5
Telangana,Rajanna Sircilla,13
Telangana,Ranga Reddy,13
Telangana,Sangareddy,5
Telangana,Siddipet,13
Telangana,Suryapet,13
Telangana,Vikarabad,5
Telangana,Wanaparthy,5
Telangana,Warangal,13
Telangana,Yadadri Bhuvanagiri,13
Tripura,Dhalai,3
Tripura,Gomati,3
Tripura,Khowai,3
Tripura,North Tripura,3
Tripura,Sepahijala,3
Tripura,South Tripura,3
Tripura,Unakoti,3
Tripura,West Tripura,3
Uttar Pradesh,Agra,0
Uttar Pradesh,Aligarh,0
Uttar Pradesh,Ambedkar Nagar,4
Uttar Pradesh,Amethi,0
Uttar Pradesh,Amroha,0
Uttar Pradesh,Auraiya,0
Uttar Pradesh,Ayodhya,4
Uttar Pradesh,Azamgarh,4
Uttar Pradesh,Baghpat,0
Uttar Pradesh,Bahraich,4
Uttar Pradesh,Ballia,4
Uttar Pradesh,Balrampur,4
Uttar Pradesh,Banda,0
Uttar Pradesh,Barabanki,0
Uttar Pradesh,Bareilly,0
Uttar Pradesh,Basti,4
Uttar Pradesh,Bhadohi,4
Uttar Pradesh,Bijnor,0
Uttar Pradesh,Budaun,0
Uttar Pradesh,Bulandshahr,0
Uttar Pradesh,Chandauli,4
Uttar Pradesh,Chitrakoot,0
Uttar Pradesh,Deoria,4
Uttar Pradesh,Etah,0
Uttar Pradesh,Etawah,0
Uttar Pradesh,Farrukhabad,0
Uttar Pradesh,Fatehpur,0
Uttar Pradesh,Firozabad,0
Uttar Pradesh,Gautam Buddha Nagar,0
Uttar Pradesh,Ghaziabad,0
Uttar Pradesh,Ghazipur,4
Uttar Pradesh,Gonda,4
Uttar Pradesh,Gorakhpur,4
Uttar Pradesh,Hamirpur,0
Uttar Pradesh,Hapur,0
Uttar Pradesh,Hardoi,0
Uttar Pradesh,Hathras,0
Uttar Pradesh,Jalaun,0
Uttar Pradesh,Jaunpur,4
Uttar Pradesh,Jhansi,0
Uttar Pradesh,Kannauj,0
Uttar Pradesh,Kanpur Dehat,0
Uttar Pradesh,Kanpur Nagar,0
Uttar Pradesh,Kasganj,0
Uttar Pradesh,Kaushambi,0
Uttar Pradesh,Kheri,4
Uttar Pradesh,Kushi Nagar,4
Uttar Pradesh,Lalitpur,4
Uttar Pradesh,Lucknow,0
Uttar Pradesh,Maharajganj,4
Uttar Pradesh,Mahoba,0
Uttar Pradesh,Mainpuri,0
Uttar Pradesh,Mathura,0
Uttar Pradesh,Mau,4
Uttar Pradesh,Meerut,0
Uttar Pradesh,Mirzapur,4
Uttar Pradesh,Moradabad,0
Uttar Pradesh,Muzaffarnagar,0
Uttar Pradesh,Pilibhit,0
Uttar Pradesh,Pratapgarh,0
Uttar Pradesh,Prayagraj,4
Uttar Pradesh,Rae Bareli,0
Uttar Pradesh,Rampur,0
Uttar Pradesh,Saharanpur,0
Uttar Pradesh,Sambhal,0
Uttar Pradesh,Sant Kabeer Nagar,4
Uttar Pradesh,Shahjahanpur,0
Uttar Pradesh,Shamli,0
Uttar Pradesh,Shravasti,4
Uttar Pradesh,Siddharth Nagar,4
Uttar Pradesh,Sitapur,0
Uttar Pradesh,Sonbhadra,4
Uttar Pradesh,Sultanpur,4
Uttar Pradesh,Unnao,0
Uttar Pradesh,Varanasi,4
Uttarakhand,Almora,11
Uttarakhand,Bageshwar,2
Uttarakhand,Chamoli,2
Uttarakhand,Champawat,8
Uttarakhand,Dehradun,11
Uttarakhand,Haridwar,0
Uttarakhand,Nainital,1
Uttarakhand,Pauri Garhwal,11
Uttarakhand,Pithoragarh,2
Uttarakhand,Rudra Prayag,2
Uttarakhand,Tehri Garhwal,11
Uttarakhand,Udam Singh Nagar,0
Uttarakhand,Uttar Kashi,2
West Bengal,24 Paraganas North,5
West Bengal,24 Paraganas South,5
West Bengal,Alipurduar,3
West Bengal,Bankura,4
West Bengal,Birbhum,4
West Bengal,Coochbehar,3
West Bengal,Darjeeling,1
West Bengal,Dinajpur Dakshin,4
West Bengal,Dinajpur Uttar,4
West Bengal,Hooghly,4
West Bengal,Howrah,5
West Bengal,Jalpaiguri,3
West Bengal,Jhargram,4
West Bengal,Kalimpong,1
West Bengal,Kolkata,5
West Bengal,Maldah,4
West Bengal,Medinipur East,5
West Bengal,Medinipur West,4
West Bengal,Murshidabad,4
West Bengal,Nadia,4
West Bengal,Paschim Bardhaman,4
West Bengal,Purba Bardhaman,4
West Bengal,Purulia,4
