feature,H_Cluster,State,District
Delhi_South West,5,Delhi,South West
Delhi_West,5,Delhi,West
Goa_North Goa,1,Goa,North Goa
Goa_South Goa,1,Goa,South Goa
Gujarat_Ahmadabad,8,Gujarat,Ahmadabad
Gujarat_Amreli,2,Gujarat,Amreli
Gujarat_Anand,8,Gujarat,Anand
Gujarat_Arvalli,2,Gujarat,Arvalli
Gujarat_Banas Kantha,8,Gujarat,Banas Kantha
Gujarat_Bharuch,1,Gujarat,Bharuch
Gujarat_Bhavnagar,8,Gujarat,Bhavnagar
Gujarat_Botad,2,Gujarat,Botad
Gujarat_Chhotaudepur,2,Gujarat,Chhotaudepur
Gujarat_Dang,2,Gujarat,Dang
Gujarat_Devbhumi Dwarka,8,Gujarat,Devbhumi Dwarka
Gujarat_Dohad,2,Gujarat,Dohad
Gujarat_Gandhinagar,8,Gujarat,Gandhinagar
Gujarat_Gir Somnath,8,Gujarat,Gir Somnath
Gujarat_Jamnagar,8,Gujarat,Jamnagar
Gujarat_Junagadh,8,Gujarat,Junagadh
Gujarat_Kachchh,12,Gujarat,Kachchh
Gujarat_Kheda,8,Gujarat,Kheda
Gujarat_Mahesana,8,Gujarat,Mahesana
Gujarat_Mahisagar,2,Gujarat,Mahisagar
Gujarat_Morbi,8,Gujarat,Morbi
Gujarat_Narmada,1,Gujarat,Narmada
Gujarat_Navsari,1,Gujarat,Navsari
Gujarat_Panch Mahals,2,Gujarat,Panch Mahals
Gujarat_Patan,8,Gujarat,Patan
Gujarat_Porbandar,8,Gujarat,Porbandar
Gujarat_Rajkot,2,Gujarat,Rajkot
Gujarat_Sabar Kantha,8,Gujarat,Sabar Kantha
Gujarat_Surat,1,Gujarat,Surat
Gujarat_Surendranagar,2,Gujarat,Surendranagar
Gujarat_Tapi,1,Gujarat,Tapi
Gujarat_Vadodara,1,Gujarat,Vadodara
Gujarat_Valsad,1,Gujarat,Valsad
Haryana_Ambala,5,Haryana,Ambala
Haryana_Bhiwani,12,Haryana,Bhiwani
Haryana_Charki Dadri,12,Haryana,Charki Dadri
Haryana_Faridabad,5,Haryana,Faridabad
Haryana_Fatehabad,5,Haryana,Fatehabad
Haryana_Gurugram,5,Haryana,Gurugram
Haryana_Hisar,5,Haryana,Hisar
Haryana_Jhajjar,5,Haryana,Jhajjar
Haryana_Jind,5,Haryana,Jind
Haryana_Kaithal,5,Haryana,Kaithal
Haryana_Karnal,5,Haryana,Karnal
Haryana_Kurukshetra,5,Haryana,Kurukshetra
Haryana_Mahendragarh,12,Haryana,Mahendragarh
Haryana_Nuh,5,Haryana,Nuh
Haryana_Palwal,5,Haryana,Palwal
Haryana_Panchkula,5,Haryana,Panchkula
Haryana_Panipat,5,Haryana,Panipat
Haryana_Rewari,5,Haryana,Rewari
Haryana_Rohtak,5,Haryana,Rohtak
Haryana_Sirsa,5,Haryana,Sirsa
Haryana_Sonipat,5,Haryana,Sonipat
Haryana_Yamunanagar,5,Haryana,Yamunanagar
Himachal Pradesh_Bilaspur,5,Himachal Pradesh,Bilaspur
Himachal Pradesh_Chamba,6,Himachal Pradesh,Chamba
Himachal Pradesh_Hamirpur,5,Himachal Pradesh,Hamirpur
Himachal Pradesh_Kangra,7,Himachal Pradesh,Kangra
Himachal Pradesh_Kinnaur,9,Himachal Pradesh,Kinnaur
Himachal Pradesh_Kullu,6,Himachal Pradesh,Kullu
Himachal Pradesh_Lahul And Spiti,9,Himachal Pradesh,Lahul And Spiti
Himachal Pradesh_Mandi,7,Himachal Pradesh,Mandi
Himachal Pradesh_Shimla,7,Himachal Pradesh,Shimla
Himachal Pradesh_Sirmaur,7,Himachal Pradesh,Sirmaur
Himachal Pradesh_Solan,5,Himachal Pradesh,Solan
Himachal Pradesh_Una,5,Himachal Pradesh,Una
Jammu & Kashmir_Anantnag,6,Jammu & Kashmir,Anantnag
Jammu & Kashmir_Bandipora,6,Jammu & Kashmir,Bandipora
Jammu & Kashmir_Baramulla,6,Jammu & Kashmir,Baramulla
Jammu & Kashmir_Budgam,6,Jammu & Kashmir,Budgam
Jammu & Kashmir_Doda,6,Jammu & Kashmir,Doda
Jammu & Kashmir_Ganderbal,6,Jammu & Kashmir,Ganderbal
Jammu & Kashmir_Jammu,5,Jammu & Kashmir,Jammu
Jammu & Kashmir_Kathua,7,Jammu & Kashmir,Kathua
Jammu & Kashmir_Kishtwar,9,Jammu & Kashmir,Kishtwar
Jammu & Kashmir_Kulgam,6,Jammu & Kashmir,Kulgam
Jammu & Kashmir_Kupwara,6,Jammu & Kashmir,Kupwara
Jammu & Kashmir_Mirpur,5,Jammu & Kashmir,Mirpur
Jammu & Kashmir_Muzaffarabad,6,Jammu & Kashmir,Muzaffarabad
Jammu & Kashmir_Poonch,7,Jammu & Kashmir,Poonch
Jammu & Kashmir_Pulwama,6,Jammu & Kashmir,Pulwama
Jammu & Kashmir_Rajouri,7,Jammu & Kashmir,Rajouri
Jammu & Kashmir_Ramban,6,Jammu & Kashmir,Ramban
Jammu & Kashmir_Reasi,7,Jammu & Kashmir,Reasi
Jammu & Kashmir_Samba,5,Jammu & Kashmir,Samba
Jammu & Kashmir_Shopian,6,Jammu & Kashmir,Shopian
Jammu & Kashmir_Srinagar,6,Jammu & Kashmir,Srinagar
Jammu & Kashmir_Udhampur,7,Jammu & Kashmir,Udhampur
Jharkhand_Bokaro,1,Jharkhand,Bokaro
Jharkhand_Chatra,14,Jharkhand,Chatra
Jharkhand_Deoghar,1,Jharkhand,Deoghar
Jharkhand_Dhanbad,1,Jharkhand,Dhanbad
Jharkhand_Dumka,1,Jharkhand,Dumka
Jharkhand_East Singhbum,1,Jharkhand,East Singhbum
Jharkhand_Garhwa,14,Jharkhand,Garhwa
Jharkhand_Giridih,1,Jharkhand,Giridih
Jharkhand_Godda,1,Jharkhand,Godda
Jharkhand_Gumla,1,Jharkhand,Gumla
Jharkhand_Hazaribagh,1,Jharkhand,Hazaribagh
Jharkhand_Jamtara,1,Jharkhand,Jamtara
Jharkhand_Khunti,1,Jharkhand,Khunti
Jharkhand_Koderma,1,Jharkhand,Koderma
Jharkhand_Latehar,1,Jharkhand,Latehar
Jharkhand_Lohardaga,1,Jharkhand,Lohardaga
Jharkhand_Pakur,1,Jharkhand,Pakur
Jharkhand_Palamu,14,Jharkhand,Palamu
Jharkhand_Ramgarh,1,Jharkhand,Ramgarh
Jharkhand_Ranchi,1,Jharkhand,Ranchi
Jharkhand_Sahebganj,1,Jharkhand,Sahebganj
Jharkhand_Saraikela Kharsawan,1,Jharkhand,Saraikela Kharsawan
Jharkhand_Simdega,1,Jharkhand,Simdega
Jharkhand_West Singhbhum,1,Jharkhand,West Singhbhum
Karnataka_Bagalkote,2,Karnataka,Bagalkote
Karnataka_Ballari,2,Karnataka,Ballari
Karnataka_Belagavi,2,Karnataka,Belagavi
Karnataka_Bengaluru Rural,2,Karnataka,Bengaluru Rural
Karnataka_Bengaluru Urban,2,Karnataka,Bengaluru Urban
Karnataka_Bidar,2,Karnataka,Bidar
Karnataka_Chamarajanagara,2,Karnataka,Chamarajanagara
Karnataka_Chikkaballapura,2,Karnataka,Chikkaballapura
Karnataka_Chikkamagaluru,0,Karnataka,Chikkamagaluru
Karnataka_Chitradurga,2,Karnataka,Chitradurga
Karnataka_Dakshina Kannada,13,Karnataka,Dakshina Kannada
Karnataka_Davangere,2,Karnataka,Davangere
Karnataka_Dharwad,2,Karnataka,Dharwad
Karnataka_Gadag,2,Karnataka,Gadag
Karnataka_Hassan,2,Karnataka,Hassan
Karnataka_Haveri,2,Karnataka,Haveri
Karnataka_Kalaburagi,2,Karnataka,Kalaburagi
Karnataka_Kodagu,0,Karnataka,Kodagu
Karnataka_Kolar,2,Karnataka,Kolar
Karnataka_Koppal,2,Karnataka,Koppal
Karnataka_Mandya,2,Karnataka,Mandya
Karnataka_Mysuru,2,Karnataka,Mysuru
Karnataka_Raichur,2,Karnataka,Raichur
Karnataka_Ramanagara,2,Karnataka,Ramanagara
Karnataka_Shivamogga,0,Karnataka,Shivamogga
Karnataka_Tumakuru,2,Karnataka,Tumakuru
Karnataka_Udupi,13,Karnataka,Udupi
Karnataka_Uttara Kannada,0,Karnataka,Uttara Kannada
Karnataka_Vijayanagar,2,Karnataka,Vijayanagar
Karnataka_Vijayapura,2,Karnataka,Vijayapura
Karnataka_Yadgir,2,Karnataka,Yadgir
Kerala_Alappuzha,13,Kerala,Alappuzha
Kerala_Ernakulam,13,Kerala,Ernakulam
Kerala_Idukki,13,Kerala,Idukki
Kerala_Kannur,13,Kerala,Kannur
Kerala_Kasaragod,1,Kerala,Kasaragod
Kerala_Kollam,13,Kerala,Kollam
Kerala_Kottayam,13,Kerala,Kottayam
Kerala_Kozhikode,13,Kerala,Kozhikode
Kerala_Malappuram,13,Kerala,Malappuram
Kerala_Palakkad,13,Kerala,Palakkad
Kerala_Pathanamthitta,13,Kerala,Pathanamthitta
Kerala_Thiruvananthapuram,13,Kerala,Thiruvananthapuram
Kerala_Thrissur,13,Kerala,Thrissur
Kerala_Wayanad,0,Kerala,Wayanad
Ladakh_Kargil,9,Ladakh,Kargil
Ladakh_Leh Ladakh,9,Ladakh,Leh Ladakh
Madhya Pradesh_Agar Malwa,2,Madhya Pradesh,Agar Malwa
Madhya Pradesh_Alirajpur,2,Madhya Pradesh,Alirajpur
Madhya Pradesh_Anuppur,1,Madhya Pradesh,Anuppur
Madhya Pradesh_Ashoknagar,2,Madhya Pradesh,Ashoknagar
Madhya Pradesh_Balaghat,2,Madhya Pradesh,Balaghat
Madhya Pradesh_Barwani,2,Madhya Pradesh,Barwani
Madhya Pradesh_Betul,1,Madhya Pradesh,Betul
Madhya Pradesh_Bhind,5,Madhya Pradesh,Bhind
Madhya Pradesh_Bhopal,2,Madhya Pradesh,Bhopal
Madhya Pradesh_Burhanpur,2,Madhya Pradesh,Burhanpur
Madhya Pradesh_Chhatarpur,14,Madhya Pradesh,Chhatarpur
Madhya Pradesh_Chhindwara,2,Madhya Pradesh,Chhindwara
Madhya Pradesh_Damoh,2,Madhya Pradesh,Damoh
Madhya Pradesh_Datia,14,Madhya Pradesh,Datia
Madhya Pradesh_Dewas,2,Madhya Pradesh,Dewas
Madhya Pradesh_Dhar,2,Madhya Pradesh,Dhar
Madhya Pradesh_Dindori,1,Madhya Pradesh,Dindori
Madhya Pradesh_East Nimar,2,Madhya Pradesh,East Nimar
Madhya Pradesh_Guna,2,Madhya Pradesh,Guna
Madhya Pradesh_Gwalior,14,Madhya Pradesh,Gwalior
Madhya Pradesh_Harda,2,Madhya Pradesh,Harda
Madhya Pradesh_Indore,2,Madhya Pradesh,Indore
Madhya Pradesh_Jabalpur,2,Madhya Pradesh,Jabalpur
Madhya Pradesh_Jhabua,2,Madhya Pradesh,Jhabua
Madhya Pradesh_Katni,2,Madhya Pradesh,Katni
Madhya Pradesh_Khargone,2,Madhya Pradesh,Khargone
Madhya Pradesh_Mandla,2,Madhya Pradesh,Mandla
Madhya Pradesh_Mandsaur,2,Madhya Pradesh,Mandsaur
Madhya Pradesh_Morena,5,Madhya Pradesh,Morena
Madhya Pradesh_Narmadapuram,2,Madhya Pradesh,Narmadapuram
Madhya Pradesh_Narsinghpur,2,Madhya Pradesh,Narsinghpur
Madhya Pradesh_Neemuch,8,Madhya Pradesh,Neemuch
Madhya Pradesh_Niwari,14,Madhya Pradesh,Niwari
Madhya Pradesh_Panna,14,Madhya Pradesh,Panna
Madhya Pradesh_Raisen,2,Madhya Pradesh,Raisen
Madhya Pradesh_Rajgarh,2,Madhya Pradesh,Rajgarh
Madhya Pradesh_Ratlam,2,Madhya Pradesh,Ratlam
Madhya Pradesh_Rewa,14,Madhya Pradesh,Rewa
Madhya Pradesh_Sagar,2,Madhya Pradesh,Sagar
Madhya Pradesh_Satna,14,Madhya Pradesh,Satna
Madhya Pradesh_Sehore,2,Madhya Pradesh,Sehore
Madhya Pradesh_Seoni,2,Madhya Pradesh,Seoni
Madhya Pradesh_Shahdol,2,Madhya Pradesh,Shahdol
Madhya Pradesh_Shajapur,2,Madhya Pradesh,Shajapur
Madhya Pradesh_Sheopur,8,Madhya Pradesh,Sheopur
Madhya Pradesh_Shivpuri,8,Madhya Pradesh,Shivpuri
Madhya Pradesh_Sidhi,2,Madhya Pradesh,Sidhi
Madhya Pradesh_Singrauli,14,Madhya Pradesh,Singrauli
Madhya Pradesh_Tikamgarh,14,Madhya Pradesh,Tikamgarh
Madhya Pradesh_Ujjain,2,Madhya Pradesh,Ujjain
Madhya Pradesh_Umaria,2,Madhya Pradesh,Umaria
Madhya Pradesh_Vidisha,2,Madhya Pradesh,Vidisha
Maharashtra_Ahmednagar,2,Maharashtra,Ahmednagar
Maharashtra_Akola,2,Maharashtra,Akola
Maharashtra_Amravati,2,Maharashtra,Amravati
Maharashtra_Aurangabad,2,Maharashtra,Aurangabad
Maharashtra_Beed,2,Maharashtra,Beed
Maharashtra_Bhandara,1,Maharashtra,Bhandara
Maharashtra_Buldhana,2,Maharashtra,Buldhana
Maharashtra_Chandrapur,1,Maharashtra,Chandrapur
Maharashtra_Dhule,2,Maharashtra,Dhule
Maharashtra_Gadchiroli,1,Maharashtra,Gadchiroli
Maharashtra_Gondia,1,Maharashtra,Gondia
Maharashtra_Hingoli,2,Maharashtra,Hingoli
Maharashtra_Jalgaon,2,Maharashtra,Jalgaon
Maharashtra_Jalna,2,Maharashtra,Jalna
Maharashtra_Kolhapur,0,Maharashtra,Kolhapur
Maharashtra_Latur,2,Maharashtra,Latur
Maharashtra_Mumbai Suburban,1,Maharashtra,Mumbai Suburban
Maharashtra_Nagpur,1,Maharashtra,Nagpur
Maharashtra_Nanded,2,Maharashtra,Nanded
Maharashtra_Nandurbar,1,Maharashtra,Nandurbar
Maharashtra_Nashik,2,Maharashtra,Nashik
Maharashtra_Osmanabad,2,Maharashtra,Osmanabad
Maharashtra_Palghar,1,Maharashtra,Palghar
Maharashtra_Parbhani,2,Maharashtra,Parbhani
Maharashtra_Pune,2,Maharashtra,Pune
Maharashtra_Raigad,1,Maharashtra,Raigad
Maharashtra_Ratnagiri,1,Maharashtra,Ratnagiri
Maharashtra_Sangli,2,Maharashtra,Sangli
Maharashtra_Satara,2,Maharashtra,Satara
Maharashtra_Sindhudurg,1,Maharashtra,Sindhudurg
Maharashtra_Solapur,2,Maharashtra,Solapur
Maharashtra_Thane,1,Maharashtra,Thane
Maharashtra_Wardha,1,Maharashtra,Wardha
Maharashtra_Washim,2,Maharashtra,Washim
Maharashtra_Yavatmal,2,Maharashtra,Yavatmal
Manipur_Bishnupur,0,Manipur,Bishnupur
Manipur_Chandel,0,Manipur,Chandel
Manipur_Churachandpur,0,Manipur,Churachandpur
Manipur_Imphal East,0,Manipur,Imphal East
Manipur_Imphal West,0,Manipur,Imphal West
Manipur_Kakching,0,Manipur,Kakching
Manipur_Kamjong,0,Manipur,Kamjong
Manipur_Kangpokpi,0,Manipur,Kangpokpi
Manipur_Noney,0,Manipur,Noney
Manipur_Pherzawl,0,Manipur,Pherzawl
Manipur_Senapati,10,Manipur,Senapati
Manipur_Tamenglong,0,Manipur,Tamenglong
Manipur_Tengnoupal,0,Manipur,Tengnoupal
Manipur_Thoubal,0,Manipur,Thoubal
Manipur_Ukhrul,0,Manipur,Ukhrul
Meghalaya_East Garo Hills,0,Meghalaya,East Garo Hills
Meghalaya_East Jaintia Hills,10,Meghalaya,East Jaintia Hills
Meghalaya_East Khasi Hills,10,Meghalaya,East Khasi Hills
Meghalaya_Eastern West Khasi Hills,10,Meghalaya,Eastern West Khasi Hills
Meghalaya_North Garo Hills,0,Meghalaya,North Garo Hills
Meghalaya_Ri Bhoi,10,Meghalaya,Ri Bhoi
Meghalaya_South Garo Hills,0,Meghalaya,South Garo Hills
Meghalaya_South West Garo Hills,0,Meghalaya,South West Garo Hills
Meghalaya_South West Khasi Hills,10,Meghalaya,South West Khasi Hills
Meghalaya_West Garo Hills,0,Meghalaya,West Garo Hills
Meghalaya_West Jaintia Hills,10,Meghalaya,West Jaintia Hills
Meghalaya_West Khasi Hills,10,Meghalaya,West Khasi Hills
Mizoram_Aizawl,0,Mizoram,Aizawl
Mizoram_Champhai,0,Mizoram,Champhai
Mizoram_Hnahthial,0,Mizoram,Hnahthial
Mizoram_Khawzawl,0,Mizoram,Khawzawl
Mizoram_Kolasib,0,Mizoram,Kolasib
Mizoram_Lawngtlai,0,Mizoram,Lawngtlai
Mizoram_Lunglei,0,Mizoram,Lunglei
Mizoram_Mamit,0,Mizoram,Mamit
Mizoram_Saiha,0,Mizoram,Saiha
Mizoram_Saitual,0,Mizoram,Saitual
Mizoram_Serchhip,0,Mizoram,Serchhip
Nagaland_Chumoukedima,10,Nagaland,Chumoukedima
Nagaland_Kiphire,10,Nagaland,Kiphire
Nagaland_Kohima,10,Nagaland,Kohima
Nagaland_Longleng,10,Nagaland,Longleng
Nagaland_Mokokchung,10,Nagaland,Mokokchung
Nagaland_Mon,10,Nagaland,Mon
Nagaland_Noklak,10,Nagaland,Noklak
Nagaland_Peren,10,Nagaland,Peren
Nagaland_Phek,10,Nagaland,Phek
Nagaland_Shamator,10,Nagaland,Shamator
Nagaland_Tseminyu,10,Nagaland,Tseminyu
Nagaland_Tuensang,10,Nagaland,Tuensang
Nagaland_Wokha,10,Nagaland,Wokha
Nagaland_Zunheboto,10,Nagaland,Zunheboto
Odisha_Anugul,1,Odisha,Anugul
Odisha_Balangir,1,Odisha,Balangir
Odisha_Baleshwar,1,Odisha,Baleshwar
Odisha_Bargarh,1,Odisha,Bargarh
