state,district,year,khesari_rabi_area_hectare,khesari_rabi_production_tonne,khesari_rabi_yield_tonne_per_hectare,khesari_whole_year_area_hectare,khesari_whole_year_production_tonne,khesari_whole_year_yield_tonne_per_hectare,khesari_kharif_area_hectare,khesari_kharif_production_tonne,khesari_kharif_yield_tonne_per_hectare
,,2006 - 2007,68.0,54.0,0.79,,,,,,
,,2007 - 2008,23.0,19.0,0.83,,,,,,
,,2008 - 2009,1.0,1.0,1.0,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,
,,2010 - 2011,18.0,18.0,1.0,,,,,,
,,2011 - 2012,5.0,6.0,1.2,,,,,,
,,2021 - 2022,6.0,6.0,1.0,,,,,,
,,2022 - 2023,152.0,166.0,1.09,,,,,,
,Jamui,2000 - 2001,,,0.95,,,,,,
,,2001 - 2002,,859.0,0.75,,,,,,
,,2002 - 2003,954.0,835.0,0.88,,,,,,
,,2003 - 2004,,,1.0,,,,,,
,,2004 - 2005,908.0,459.0,0.51,,,,,,
,,2005 - 2006,378.0,454.0,1.2,,,,,,
,,2006 - 2007,387.0,478.0,1.24,,,,,,
,,2007 - 2008,187.0,180.0,0.96,,,,,,
,,2008 - 2009,207.0,200.0,0.97,,,,,,
,,2009 - 2010,88.0,88.0,1.0,,,,,,
,,2010 - 2011,83.0,65.0,0.78,,,,,,
,,2011 - 2012,81.0,74.0,0.91,,,,,,
,,2012 - 2013,81.0,114.0,1.41,,,,,,
,,2013 - 2014,79.0,118.0,1.49,,,,,,
,,2014 - 2015,222.0,149.0,0.67,,,,,,
,,2015 - 2016,110.0,123.0,1.12,,,,,,
,,2017 - 2018,4.0,5.0,1.25,,,,,,
,,2022 - 2023,8.0,10.0,1.25,,,,,,
,Jehanabad,2000 - 2001,,,0.81,,,,,,
,,2001 - 2002,,,0.72,,,,,,
,,2002 - 2003,,,0.58,,,,,,
,,2003 - 2004,,,0.78,,,,,,
,,2004 - 2005,,,0.63,,,,,,
,,2005 - 2006,,,0.63,,,,,,
,,2006 - 2007,,,0.95,,,,,,
,,2007 - 2008,,,0.77,,,,,,
,,2008 - 2009,,,0.87,,,,,,
,,2009 - 2010,,,0.8,,,,,,
,,2010 - 2011,,,0.97,,,,,,
,,2011 - 2012,,,0.94,,,,,,
,,2012 - 2013,,,1.31,,,,,,
,,2013 - 2014,,,1.01,,,,,,
,,2014 - 2015,,,1.27,,,,,,
,,2015 - 2016,,,0.92,,,,,,
,,2016 - 2017,,,1.03,,,,,,
,,2017 - 2018,,,1.31,,,,,,
,,2018 - 2019,,,1.17,,,,,,
,,2019 - 2020,,,0.54,,,,,,
,,2020 - 2021,,,2.13,,,,,,
,,2021 - 2022,,,1.39,,,,,,
,,2022 - 2023,,,1.27,,,,,,
,Kaimur (bhabua),2000 - 2001,,,0.95,,,,,,
,,2001 - 2002,,,0.89,,,,,,
,,2002 - 2003,,,1.23,,,,,,
,,2003 - 2004,,,0.99,,,,,,
,,2004 - 2005,,,0.77,,,,,,
,,2005 - 2006,,,0.72,,,,,,
,,2006 - 2007,,,0.47,,,,,,
,,2007 - 2008,,,0.88,,,,,,
,,2008 - 2009,,,0.8,,,,,,
,,2009 - 2010,,,0.63,,,,,,
,,2010 - 2011,,,0.86,,,,,,
,,2011 - 2012,,,0.83,,,,,,
,,2012 - 2013,,,0.94,,,,,,
,,2013 - 2014,,,1.01,,,,,,
,,2014 - 2015,516.0,388.0,0.75,,,,,,
,,2015 - 2016,453.0,402.0,0.89,,,,,,
,,2016 - 2017,708.0,602.0,0.85,,,,,,
,,2017 - 2018,390.0,320.0,0.82,,,,,,
,,2018 - 2019,624.0,425.0,0.68,,,,,,
,,2019 - 2020,402.0,279.0,0.69,,,,,,
,,2020 - 2021,243.0,199.0,0.82,,,,,,
,,2021 - 2022,294.0,295.0,1.0,,,,,,
,,2022 - 2023,276.0,281.0,1.02,,,,,,
,Katihar,2000 - 2001,,746.0,0.55,,,,,,
,,2001 - 2002,,596.0,0.47,,,,,,
,,2002 - 2003,,523.0,0.46,,,,,,
,,2003 - 2004,877.0,437.0,0.5,,,,,,
,,2004 - 2005,852.0,268.0,0.31,,,,,,
,,2005 - 2006,960.0,590.0,0.61,,,,,,
,,2006 - 2007,736.0,414.0,0.56,,,,,,
,,2007 - 2008,763.0,512.0,0.67,,,,,,
,,2008 - 2009,692.0,495.0,0.72,,,,,,
,,2009 - 2010,644.0,667.0,1.04,,,,,,
,,2010 - 2011,171.0,168.0,0.98,,,,,,
,,2011 - 2012,143.0,181.0,1.27,,,,,,
,,2012 - 2013,143.0,168.0,1.17,,,,,,
,,2013 - 2014,142.0,124.0,0.87,,,,,,
,,2014 - 2015,868.0,859.0,0.99,,,,,,
,,2015 - 2016,815.0,761.0,0.93,,,,,,
,,2016 - 2017,368.0,390.0,1.06,,,,,,
,,2018 - 2019,80.0,72.0,0.9,,,,,,
,,2019 - 2020,74.0,56.0,0.76,,,,,,
,Khagaria,2000 - 2001,897.0,852.0,0.95,,,,,,
,,2001 - 2002,509.0,380.0,0.75,,,,,,
,,2002 - 2003,800.0,700.0,0.88,,,,,,
,,2003 - 2004,795.0,797.0,1.0,,,,,,
,,2004 - 2005,784.0,397.0,0.51,,,,,,
,,2005 - 2006,543.0,653.0,1.2,,,,,,
,,2006 - 2007,462.0,571.0,1.24,,,,,,
,,2007 - 2008,495.0,478.0,0.97,,,,,,
,,2008 - 2009,436.0,422.0,0.97,,,,,,
,,2009 - 2010,459.0,459.0,1.0,,,,,,
,,2010 - 2011,463.0,361.0,0.78,,,,,,
,,2011 - 2012,432.0,394.0,0.91,,,,,,
,,2012 - 2013,432.0,609.0,1.41,,,,,,
,,2013 - 2014,381.0,569.0,1.49,,,,,,
,,2014 - 2015,382.0,256.0,0.67,,,,,,
,,2015 - 2016,287.0,321.0,1.12,,,,,,
,,2016 - 2017,231.0,262.0,1.13,,,,,,
,,2017 - 2018,192.0,218.0,1.14,,,,,,
,,2018 - 2019,179.0,188.0,1.05,,,,,,
,,2019 - 2020,175.0,132.0,0.75,,,,,,
,,2020 - 2021,206.0,206.0,1.0,,,,,,
,,2021 - 2022,155.0,134.0,0.86,,,,,,
,,2022 - 2023,120.0,149.0,1.24,,,,,,
,Kishanganj,2000 - 2001,570.0,314.0,0.55,,,,,,
,,2001 - 2002,358.0,170.0,0.47,,,,,,
,,2002 - 2003,758.0,350.0,0.46,,,,,,
,,2003 - 2004,733.0,365.0,0.5,,,,,,
,,2004 - 2005,735.0,231.0,0.31,,,,,,
,,2005 - 2006,638.0,392.0,0.61,,,,,,
,,2006 - 2007,,568.0,0.56,,,,,,
,,2007 - 2008,886.0,595.0,0.67,,,,,,
,,2008 - 2009,799.0,571.0,0.71,,,,,,
,,2009 - 2010,506.0,524.0,1.04,,,,,,
,,2010 - 2011,487.0,479.0,0.98,,,,,,
,,2011 - 2012,443.0,560.0,1.26,,,,,,
,,2012 - 2013,402.0,473.0,1.18,,,,,,
,,2013 - 2014,372.0,326.0,0.88,,,,,,
,,2014 - 2015,375.0,371.0,0.99,,,,,,
,,2015 - 2016,383.0,358.0,0.93,,,,,,
,,2016 - 2017,387.0,410.0,1.06,,,,,,
,,2017 - 2018,390.0,412.0,1.06,,,,,,
,,2018 - 2019,393.0,353.0,0.9,,,,,,
,,2019 - 2020,381.0,290.0,0.76,,,,,,
,,2020 - 2021,375.0,406.0,1.08,,,,,,
,,2021 - 2022,236.0,245.0,1.04,,,,,,
,,2022 - 2023,218.0,226.0,1.04,,,,,,
,Lakhisarai,2000 - 2001,,,0.95,,,,,,
,,2001 - 2002,,,0.75,,,,,,
,,2002 - 2003,,,0.88,,,,,,
,,2003 - 2004,,,1.0,,,,,,
,,2004 - 2005,,,0.51,,,,,,
,,2005 - 2006,,,1.2,,,,,,
,,2006 - 2007,,,1.34,,,,,,
,,2007 - 2008,,,0.92,,,,,,
,,2008 - 2009,,,0.71,,,,,,
,,2009 - 2010,,,0.82,,,,,,
,,2010 - 2011,,,0.76,,,,,,
,,2011 - 2012,,,0.77,,,,,,
,,2012 - 2013,,,1.47,,,,,,
,,2013 - 2014,,,1.76,,,,,,
,,2014 - 2015,,,0.44,,,,,,
,,2015 - 2016,,,0.99,,,,,,
,,2016 - 2017,,,1.07,,,,,,
,,2017 - 2018,,,1.2,,,,,,
,,2018 - 2019,,,1.0,,,,,,
,,2019 - 2020,,,0.68,,,,,,
,,2020 - 2021,,,1.1,,,,,,
,,2021 - 2022,,,0.89,,,,,,
,,2022 - 2023,,,1.43,,,,,,
,Madhepura,2000 - 2001,,,0.86,,,,,,
,,2001 - 2002,,,0.83,,,,,,
,,2002 - 2003,,,0.71,,,,,,
,,2003 - 2004,,991.0,0.43,,,,,,
,,2004 - 2005,,,0.67,,,,,,
,,2005 - 2006,,,0.65,,,,,,
,,2006 - 2007,,,0.78,,,,,,
,,2007 - 2008,,,0.64,,,,,,
,,2008 - 2009,,,0.95,,,,,,
,,2009 - 2010,828.0,331.0,0.4,,,,,,
,,2010 - 2011,810.0,439.0,0.54,,,,,,
,,2011 - 2012,505.0,298.0,0.59,,,,,,
,,2012 - 2013,505.0,342.0,0.68,,,,,,
,,2013 - 2014,264.0,220.0,0.83,,,,,,
,,2014 - 2015,376.0,250.0,0.66,,,,,,
,,2015 - 2016,382.0,340.0,0.89,,,,,,
,,2016 - 2017,341.0,361.0,1.06,,,,,,
,,2017 - 2018,459.0,91.0,0.2,,,,,,
,,2018 - 2019,355.0,191.0,0.54,,,,,,
,,2019 - 2020,354.0,244.0,0.69,,,,,,
,,2020 - 2021,285.0,242.0,0.85,,,,,,
,,2021 - 2022,286.0,392.0,1.37,,,,,,
,,2022 - 2023,173.0,151.0,0.87,,,,,,
,Madhubani,2000 - 2001,,,0.98,,,,,,
,,2001 - 2002,,,0.52,,,,,,
,,2002 - 2003,,,0.58,,,,,,
,,2003 - 2004,,830.0,0.48,,,,,,
,,2004 - 2005,,,0.65,,,,,,
,,2005 - 2006,,,0.59,,,,,,
,,2006 - 2007,,,0.58,,,,,,
,,2007 - 2008,,925.0,0.58,,,,,,
,,2008 - 2009,,,0.82,,,,,,
,,2009 - 2010,,,1.04,,,,,,
,,2010 - 2011,,,0.98,,,,,,
,,2011 - 2012,,,1.26,,,,,,
,,2012 - 2013,958.0,,1.18,,,,,,
,,2013 - 2014,956.0,,1.12,,,,,,
,,2014 - 2015,887.0,878.0,0.99,,,,,,
,,2015 - 2016,642.0,560.0,0.87,,,,,,
,,2016 - 2017,136.0,144.0,1.06,,,,,,
,,2017 - 2018,642.0,725.0,1.13,,,,,,
,,2018 - 2019,136.0,121.0,0.89,,,,,,
,,2019 - 2020,207.0,157.0,0.76,,,,,,
,,2020 - 2021,287.0,311.0,1.08,,,,,,
,,2021 - 2022,298.0,309.0,1.04,,,,,,
,,2022 - 2023,300.0,327.0,1.09,,,,,,
,Munger,2000 - 2001,191.0,181.0,0.95,,,,,,
,,2001 - 2002,147.0,110.0,0.75,,,,,,
,,2002 - 2003,108.0,95.0,0.88,,,,,,
,,2003 - 2004,133.0,133.0,1.0,,,,,,
,,2004 - 2005,74.0,37.0,0.5,,,,,,
,,2005 - 2006,87.0,105.0,1.21,,,,,,
,,2006 - 2007,97.0,120.0,1.24,,,,,,
,,2007 - 2008,158.0,152.0,0.96,,,,,,
,,2008 - 2009,293.0,284.0,0.97,,,,,,
,,2009 - 2010,186.0,186.0,1.0,,,,,,
,,2010 - 2011,109.0,85.0,0.78,,,,,,
,,2011 - 2012,119.0,109.0,0.92,,,,,,
,,2012 - 2013,84.0,118.0,1.4,,,,,,
,,2013 - 2014,63.0,94.0,1.49,,,,,,
,,2014 - 2015,92.0,62.0,0.67,,,,,,
,,2015 - 2016,74.0,83.0,1.12,,,,,,
,,2016 - 2017,98.0,111.0,1.13,,,,,,
,,2017 - 2018,97.0,110.0,1.13,,,,,,
,,2018 - 2019,98.0,103.0,1.05,,,,,,
,,2019 - 2020,98.0,74.0,0.76,,,,,,
,,2020 - 2021,98.0,98.0,1.0,,,,,,
,,2021 - 2022,98.0,84.0,0.86,,,,,,
,,2022 - 2023,96.0,119.0,1.24,,,,,,
,Muzaffarpur,2000 - 2001,,805.0,0.61,,,,,,
,,2001 - 2002,,883.0,0.82,,,,,,
,,2002 - 2003,,825.0,0.61,,,,,,
,,2003 - 2004,,882.0,0.84,,,,,,
,,2004 - 2005,771.0,400.0,0.52,,,,,,
,,2005 - 2006,,593.0,0.48,,,,,,
,,2006 - 2007,724.0,571.0,0.79,,,,,,
,,2007 - 2008,673.0,565.0,0.84,,,,,,
,,2008 - 2009,719.0,590.0,0.82,,,,,,
,,2009 - 2010,186.0,193.0,1.04,,,,,,
,,2010 - 2011,736.0,724.0,0.98,,,,,,
,,2011 - 2012,547.0,414.0,0.76,,,,,,
,,2014 - 2015,196.0,194.0,0.99,,,,,,
,,2015 - 2016,260.0,243.0,0.93,,,,,,
,,2016 - 2017,450.0,243.0,0.54,,,,,,
,,2017 - 2018,426.0,188.0,0.44,,,,,,
,,2018 - 2019,401.0,256.0,0.64,,,,,,
,,2019 - 2020,413.0,342.0,0.83,,,,,,
,,2020 - 2021,405.0,350.0,0.86,,,,,,
,,2021 - 2022,442.0,578.0,1.31,,,,,,
,,2022 - 2023,448.0,249.0,0.56,,,,,,
,Nalanda,2000 - 2001,,,0.91,,,,,,
,,2001 - 2002,,,0.37,,,,,,
,,2002 - 2003,,,0.68,,,,,,
,,2003 - 2004,,,1.13,,,,,,
,,2004 - 2005,,,0.5,,,,,,
,,2005 - 2006,,,0.57,,,,,,
,,2006 - 2007,,,0.73,,,,,,
,,2007 - 2008,,,1.01,,,,,,
,,2008 - 2009,,,0.81,,,,,,
,,2009 - 2010,,,1.19,,,,,,
,,2010 - 2011,,,1.17,,,,,,
,,2011 - 2012,,,1.77,,,,,,
,,2012 - 2013,,,1.04,,,,,,
,,2013 - 2014,,,0.86,,,,,,
,,2014 - 2015,,,1.01,,,,,,
,,2015 - 2016,,,0.74,,,,,,
,,2016 - 2017,,,1.04,,,,,,
,,2017 - 2018,,,1.01,,,,,,
,,2018 - 2019,,,1.13,,,,,,
,,2019 - 2020,,,0.74,,,,,,
,,2020 - 2021,,,1.08,,,,,,
,,2021 - 2022,,,0.81,,,,,,
,,2022 - 2023,,,1.22,,,,,,
,Nawada,2000 - 2001,,,0.87,,,,,,
,,2001 - 2002,,,0.77,,,,,,
,,2002 - 2003,,,0.72,,,,,,
,,2003 - 2004,,,0.93,,,,,,
,,2004 - 2005,,673.0,0.61,,,,,,
,,2005 - 2006,633.0,379.0,0.6,,,,,,
,,2006 - 2007,976.0,822.0,0.84,,,,,,
,,2007 - 2008,,772.0,0.76,,,,,,
,,2008 - 2009,,698.0,0.66,,,,,,
,,2009 - 2010,,738.0,0.72,,,,,,
,,2010 - 2011,,955.0,0.85,,,,,,
,,2011 - 2012,798.0,848.0,1.06,,,,,,
,,2012 - 2013,793.0,902.0,1.14,,,,,,
,,2013 - 2014,780.0,616.0,0.79,,,,,,
,,2014 - 2015,717.0,673.0,0.94,,,,,,
,,2015 - 2016,317.0,248.0,0.78,,,,,,
,,2016 - 2017,677.0,547.0,0.81,,,,,,
,,2017 - 2018,814.0,939.0,1.15,,,,,,
,,2018 - 2019,817.0,641.0,0.78,,,,,,
,,2019 - 2020,788.0,635.0,0.81,,,,,,
,,2020 - 2021,741.0,619.0,0.84,,,,,,
,,2021 - 2022,741.0,701.0,0.95,,,,,,
,,2022 - 2023,700.0,698.0,1.0,,,,,,
,Pashchim champaran,2000 - 2001,348.0,213.0,0.61,,,,,,
,,2001 - 2002,352.0,288.0,0.82,,,,,,
,,2002 - 2003,358.0,219.0,0.61,,,,,,
,,2003 - 2004,349.0,295.0,0.85,,,,,,
,,2004 - 2005,345.0,179.0,0.52,,,,,,
,,2005 - 2006,349.0,168.0,0.48,,,,,,
,,2006 - 2007,363.0,286.0,0.79,,,,,,
,,2007 - 2008,233.0,195.0,0.84,,,,,,
,,2008 - 2009,237.0,195.0,0.82,,,,,,
,,2009 - 2010,233.0,241.0,1.03,,,,,,
,,2010 - 2011,387.0,381.0,0.98,,,,,,
,,2011 - 2012,,759.0,0.76,,,,,,
,,2012 - 2013,,,0.79,,,,,,
,,2013 - 2014,,,1.12,,,,,,
,,2014 - 2015,,,0.99,,,,,,
,,2015 - 2016,860.0,803.0,0.93,,,,,,
