state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2005 - 2006,,588.0,0.32,,,,,,,,,,,,
,,2006 - 2007,,292.0,0.25,,,,,,,,,,,,
,,2007 - 2008,,,0.0,,,,,,,,,,,,
,,2008 - 2009,848.0,241.0,0.28,,,,,,,,,,,,
,,2009 - 2010,908.0,289.0,0.32,,,,,,,,,,,,
,,2010 - 2011,572.0,165.0,0.29,,,,,,,,,,,,
,,2011 - 2012,379.0,128.0,0.34,,,,,,,,,,,,
,,2013 - 2014,427.0,131.0,0.31,,,,,,,,,,,,
,,2014 - 2015,245.0,97.0,0.4,,,,,,,,,,,,
,,2015 - 2016,285.0,120.0,0.42,,,,,,,,,,,,
,,2016 - 2017,154.0,59.0,0.38,,,,,,,,,,,,
,,2017 - 2018,311.0,165.0,0.53,,,,,,,,,,,,
,,2018 - 2019,120.0,60.0,0.5,3.0,1.0,0.33,,,,,,,,,
,,2019 - 2020,639.0,480.0,0.75,5.0,6.0,1.2,,,,,,,,,
,,2020 - 2021,354.0,185.0,0.52,12.0,9.0,0.75,,,,,,,,,
,,2021 - 2022,195.0,86.0,0.44,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,228.0,99.0,0.43,,,,,,,,,,,,
,East godavari,2000 - 2001,,,0.53,,,,,,,,,,,,
,,2001 - 2002,,,0.48,17.0,9.0,0.53,,,,,,,,,
,,2002 - 2003,,429.0,0.38,,,,,,,,,,,,
,,2003 - 2004,,877.0,0.58,,,,,,,,,,,,
,,2004 - 2005,,529.0,0.44,,,,,,,,,,,,
,,2005 - 2006,,654.0,0.55,,,,,,,,,,,,
,,2006 - 2007,,639.0,0.52,,,,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,,,,
,,2008 - 2009,856.0,338.0,0.39,,,,,,,,,,,,
,,2009 - 2010,221.0,105.0,0.48,,,,,,,,,,,,
,,2010 - 2011,83.0,82.0,0.99,,,,,,,,,,,,
,,2011 - 2012,255.0,157.0,0.62,,,,,,,,,,,,
,,2013 - 2014,305.0,155.0,0.51,,,,,,,,,,,,
,,2014 - 2015,469.0,260.0,0.55,,,,,,,,,,,,
,,2015 - 2016,251.0,101.0,0.4,,,,,,,,,,,,
,,2016 - 2017,257.0,105.0,0.41,,,,,,,,,,,,
,,2017 - 2018,313.0,176.0,0.56,,,,,,,,,,,,
,,2018 - 2019,214.0,87.0,0.41,,,,,,,,,,,,
,,2019 - 2020,137.0,49.0,0.36,,,,,,,,,,,,
,,2020 - 2021,311.0,159.0,0.51,,,,,,,,,,,,
,,2021 - 2022,379.0,252.0,0.66,,,,,,,,,,,,
,Guntur,2000 - 2001,,,,89.0,67.0,0.75,,,,,,,,,
,,2001 - 2002,,,,15.0,12.0,0.8,,,,,,,,,
,,2002 - 2003,,,,182.0,66.0,0.36,,,,,,,,,
,,2003 - 2004,,,,46.0,25.0,0.54,,,,,,,,,
,,2004 - 2005,,,,5.0,3.0,0.6,,,,,,,,,
,,2009 - 2010,,,,84.0,79.0,0.94,,,,,,,,,
,,2013 - 2014,4.0,5.0,1.25,,,,,,,,,,,,
,,2015 - 2016,16.0,14.0,0.88,,,,,,,,,,,,
,,2017 - 2018,,,,116.0,37.0,0.32,,,,,,,,,
,,2018 - 2019,,,,124.0,107.0,0.86,,,,,,,,,
,,2019 - 2020,66.0,54.0,0.82,95.0,73.0,0.77,,,,,,,,,
,,2020 - 2021,72.0,86.0,1.19,,,1.54,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,462.0,743.0,1.61,,,,,,,,,
,Kadapa,2000 - 2001,256.0,178.0,0.7,84.0,58.0,0.69,,,,,,,,,
,,2001 - 2002,247.0,181.0,0.73,58.0,42.0,0.72,,,,,,,,,
,,2002 - 2003,91.0,55.0,0.6,38.0,17.0,0.45,,,,,,,,,
,,2003 - 2004,231.0,175.0,0.76,20.0,15.0,0.75,,,,,,,,,
,,2004 - 2005,72.0,45.0,0.63,,,,,,,,,,,,
,,2005 - 2006,54.0,47.0,0.87,,,,,,,,,,,,
,,2006 - 2007,27.0,17.0,0.63,6.0,4.0,0.67,,,,,,,,,
,,2008 - 2009,112.0,88.0,0.79,46.0,36.0,0.78,,,,,,,,,
,,2009 - 2010,38.0,20.0,0.53,27.0,15.0,0.56,,,,,,,,,
,,2010 - 2011,86.0,80.0,0.93,185.0,172.0,0.93,,,,,,,,,
,,2011 - 2012,129.0,84.0,0.65,302.0,198.0,0.66,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,,,,
,,2013 - 2014,433.0,397.0,0.92,161.0,147.0,0.91,,,,,,,,,
,,2014 - 2015,226.0,198.0,0.88,197.0,173.0,0.88,,,,,,,,,
,,2015 - 2016,,,1.07,,,1.07,,,,,,,,,
,,2016 - 2017,,616.0,0.42,397.0,168.0,0.42,,,,,,,,,
,,2017 - 2018,264.0,168.0,0.64,165.0,105.0,0.64,,,,,,,,,
,,2018 - 2019,114.0,73.0,0.64,142.0,91.0,0.64,,,,,,,,,
,,2019 - 2020,936.0,,1.07,343.0,349.0,1.02,,,,,,,,,
,,2020 - 2021,,,0.58,356.0,303.0,0.85,,,,,,,,,
,,2021 - 2022,589.0,409.0,0.69,910.0,,1.6,,,,,,,,,
,,2022 - 2023,169.0,157.0,0.93,585.0,527.0,0.9,,,,,,,,,
,Kurnool,2000 - 2001,,,0.69,39.0,27.0,0.69,,,,,,,,,
,,2001 - 2002,,,0.75,18.0,14.0,0.78,,,,,,,,,
,,2002 - 2003,,,0.62,15.0,9.0,0.6,,,,,,,,,
,,2003 - 2004,,,0.8,13.0,10.0,0.77,,,,,,,,,
,,2004 - 2005,,,0.64,11.0,7.0,0.64,,,,,,,,,
,,2005 - 2006,,,0.89,3.0,3.0,1.0,,,,,,,,,
,,2006 - 2007,,,0.66,61.0,41.0,0.67,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,0.78,113.0,88.0,0.78,,,,,,,,,
,,2009 - 2010,,30.0,0.01,82.0,44.0,0.54,,,,,,,,,
,,2010 - 2011,,,0.93,410.0,381.0,0.93,,,,,,,,,
,,2011 - 2012,,,0.65,535.0,350.0,0.65,,,,,,,,,
,,2012 - 2013,,,1.16,,,,,,,,,,,,
,,2013 - 2014,,,0.92,36.0,33.0,0.92,,,,,,,,,
,,2014 - 2015,,,0.88,552.0,484.0,0.88,,,,,,,,,
,,2015 - 2016,,,1.21,255.0,310.0,1.22,,,,,,,,,
,,2016 - 2017,,,0.93,526.0,488.0,0.93,,,,,,,,,
,,2017 - 2018,,,1.0,267.0,266.0,1.0,,,,,,,,,
,,2018 - 2019,,,0.47,165.0,78.0,0.47,,,,,,,,,
,,2019 - 2020,,,1.48,,,1.49,,,,,,,,,
,,2020 - 2021,,,0.93,,,0.71,,,,,,,,,
,,2021 - 2022,,,1.03,,,1.57,,,,,,,,,
,,2022 - 2023,363.0,273.0,0.75,,,2.0,,,,,,,,,
,Nandyal,2022 - 2023,735.0,685.0,0.93,528.0,688.0,1.3,,,,,,,,,
,Palnadu,2022 - 2023,2.0,3.0,1.5,129.0,308.0,2.39,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,319.0,190.0,0.6,,,,,,,,,,,,
,Prakasam,2000 - 2001,,,0.92,,,0.75,,,,,,,,,
,,2001 - 2002,,,0.75,823.0,683.0,0.83,,,,,,,,,
,,2002 - 2003,634.0,432.0,0.68,,626.0,0.36,,,,,,,,,
,,2003 - 2004,872.0,848.0,0.97,653.0,349.0,0.53,,,,,,,,,
,,2004 - 2005,693.0,458.0,0.66,453.0,227.0,0.5,,,,,,,,,
,,2005 - 2006,436.0,459.0,1.05,435.0,311.0,0.71,,,,,,,,,
,,2006 - 2007,383.0,408.0,1.07,264.0,165.0,0.63,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,,,,
,,2008 - 2009,179.0,199.0,1.11,73.0,53.0,0.73,,,,,,,,,
,,2009 - 2010,106.0,62.0,0.58,921.0,866.0,0.94,,,,,,,,,
,,2010 - 2011,255.0,443.0,1.74,668.0,709.0,1.06,,,,,,,,,
,,2011 - 2012,23.0,46.0,2.0,994.0,964.0,0.97,,,,,,,,,
,,2012 - 2013,,,2.0,,,0.5,,,,,,,,,
,,2013 - 2014,661.0,,1.52,670.0,744.0,1.11,,,,,,,,,
,,2014 - 2015,138.0,155.0,1.12,,,1.09,,,,,,,,,
,,2015 - 2016,,,0.94,,,1.09,,,,,,,,,
,,2016 - 2017,,769.0,0.72,,,1.1,,,,,,,,,
,,2017 - 2018,,,1.27,,970.0,0.36,,,,,,,,,
,,2018 - 2019,483.0,484.0,1.0,,,0.45,,,,,,,,,
,,2019 - 2020,,,0.82,,,0.8,,,,,,,,,
,,2020 - 2021,,,1.3,,,1.07,,,,,,,,,
,,2021 - 2022,,878.0,0.78,664.0,686.0,1.03,,,,,,,,,
,,2022 - 2023,544.0,530.0,0.97,140.0,152.0,1.09,,,,,,,,,
,Spsr nellore,2015 - 2016,10.0,9.0,0.9,6.0,5.0,0.83,,,,,,,,,
,,2016 - 2017,12.0,8.0,0.67,,,,,,,,,,,,
,,2018 - 2019,,,,6.0,6.0,1.0,,,,,,,,,
,,2019 - 2020,37.0,30.0,0.81,53.0,43.0,0.81,,,,,,,,,
,,2020 - 2021,7.0,9.0,1.29,23.0,26.0,1.13,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,,,,,,,
,,2022 - 2023,15.0,14.0,0.93,,,,,,,,,,,,
,Sri sathya sai,2022 - 2023,,269.0,0.22,29.0,45.0,1.55,,,,,,,,,
,Srikakulam,2000 - 2001,241.0,173.0,0.72,,,,,,,,,,,,
,,2001 - 2002,205.0,130.0,0.63,,,,,,,,,,,,
,,2002 - 2003,165.0,107.0,0.65,,,,,,,,,,,,
,,2003 - 2004,149.0,105.0,0.7,,,,,,,,,,,,
,,2004 - 2005,194.0,103.0,0.53,,,,,,,,,,,,
,,2005 - 2006,182.0,139.0,0.76,,,,,,,,,,,,
,,2006 - 2007,176.0,130.0,0.74,,,,,,,,,,,,
,,2008 - 2009,142.0,108.0,0.76,,,,,,,,,,,,
,,2009 - 2010,87.0,60.0,0.69,,,,,,,,,,,,
,,2010 - 2011,86.0,82.0,0.95,,,,,,,,,,,,
,,2011 - 2012,76.0,54.0,0.71,,,,,,,,,,,,
,,2015 - 2016,43.0,25.0,0.58,,,,,,,,,,,,
,,2016 - 2017,8.0,5.0,0.63,,,,,,,,,,,,
,,2017 - 2018,11.0,12.0,1.09,,,,,,,,,,,,
,,2018 - 2019,6.0,5.0,0.83,,,,,,,,,,,,
,,2019 - 2020,7.0,5.0,0.71,,,,,,,,,,,,
,,2020 - 2021,15.0,15.0,1.0,,,,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,
,Tirupati,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,0.44,,,,,,,,,,,,
,,2001 - 2002,,,0.53,,,,,,,,,,,,
,,2002 - 2003,,,0.4,,,,,,,,,,,,
,,2003 - 2004,,,0.43,,,,,,,,,,,,
,,2004 - 2005,,,0.39,,,,,,,,,,,,
,,2005 - 2006,,,0.41,,,,,,,,,,,,
,,2006 - 2007,,,0.42,,,,,,,,,,,,
,,2007 - 2008,,,0.42,,,,,,,,,,,,
,,2008 - 2009,,,0.44,,,,,,,,,,,,
,,2009 - 2010,,,0.44,,,,,,,,,,,,
,,2010 - 2011,,,1.01,,,,,,,,,,,,
,,2011 - 2012,,,0.62,,,,,,,,,,,,
,,2012 - 2013,,,0.54,,,,,,,,,,,,
,,2013 - 2014,,,0.54,,,,,,,,,,,,
,,2014 - 2015,,,0.56,,,,,,,,,,,,
,,2015 - 2016,,,0.3,,,,,,,,,,,,
,,2016 - 2017,,,0.41,,,,,,,,,,,,
,,2017 - 2018,,,0.38,,,,,,,,,,,,
,,2018 - 2019,,,0.4,,,,,,,,,,,,
,,2019 - 2020,,,0.46,,,,,,,,,,,,
,,2020 - 2021,,,0.48,,,,,,,,,,,,
,,2021 - 2022,,,0.72,,,,,,,,,,,,
,Vizianagaram,2000 - 2001,,,0.7,,,,,,,,,,,,
,,2001 - 2002,,,0.52,,,,,,,,,,,,
,,2002 - 2003,,,0.52,,,,,,,,,,,,
,,2003 - 2004,,,0.65,,,,,,,,,,,,
,,2004 - 2005,,,0.53,,,,,,,,,,,,
,,2005 - 2006,,,0.56,,,,,,,,,,,,
,,2006 - 2007,,,0.72,,,,,,,,,,,,
,,2007 - 2008,,,0.67,,,,,,,,,,,,
,,2008 - 2009,,,0.57,,,,,,,,,,,,
,,2009 - 2010,,,0.81,,,,,,,,,,,,
,,2010 - 2011,,,0.81,,,,,,,,,,,,
,,2011 - 2012,300.0,133.0,0.44,,,,,,,,,,,,
,,2013 - 2014,499.0,282.0,0.57,,,,,,,,,,,,
,,2014 - 2015,117.0,85.0,0.73,,,,,,,,,,,,
,,2015 - 2016,31.0,19.0,0.61,,,,,,,,,,,,
,,2016 - 2017,65.0,48.0,0.74,,,,,,,,,,,,
,,2017 - 2018,95.0,70.0,0.74,,,,,,,,,,,,
,,2018 - 2019,80.0,57.0,0.71,,,,,,,,,,,,
,,2019 - 2020,19.0,16.0,0.84,,,,,,,,,,,,
,,2020 - 2021,20.0,11.0,0.55,,,,,,,,,,,,
,,2021 - 2022,24.0,17.0,0.71,,,,,,,,,,,,
,,2022 - 2023,14.0,12.0,0.86,,,,,,,,,,,,
,West godavari,2000 - 2001,72.0,31.0,0.43,,,,,,,,,,,,
,,2001 - 2002,24.0,12.0,0.5,,,,,,,,,,,,
,,2014 - 2015,10.0,5.0,0.5,,,,,,,,,,,,
,,2015 - 2016,19.0,8.0,0.42,,,,,,,,,,,,
,,2016 - 2017,6.0,2.0,0.33,,,,,,,,,,,,
,,2017 - 2018,6.0,2.0,0.33,,,,,,,,,,,,
,,2018 - 2019,12.0,5.0,0.42,,,,,,,,,,,,
,,2019 - 2020,17.0,9.0,0.53,,,,,,,,,,,,
Arunachal Pradesh,Anjaw,2004 - 2005,532.0,495.0,0.93,,,,,,,,,,,,
,,2005 - 2006,585.0,525.0,0.9,,,,,,,,,,,,
,,2006 - 2007,586.0,492.0,0.84,,,,,,,,,,,,
,,2007 - 2008,635.0,521.0,0.82,,,,,,,,,,,,
,,2008 - 2009,667.0,553.0,0.83,,,,,,,,,,,,
,,2009 - 2010,675.0,499.0,0.74,,,,,,,,,,,,
,,2010 - 2011,695.0,556.0,0.8,,,,,,,,,,,,
,,2011 - 2012,,,0.8,,,,,,,,,,,,
,,2012 - 2013,,,0.8,,,,,,,,,,,,
,,2013 - 2014,,,0.8,,,,,,,,,,,,
,,2014 - 2015,,,1.18,,,,,,,,,,,,
,,2015 - 2016,,,1.17,,,,,,,,,,,,
,,2016 - 2017,,,1.16,,,,,,,,,,,,
,,2017 - 2018,,,1.16,,,,,,,,,,,,
,,2018 - 2019,,,1.16,,,,,,,,,,,,
,,2019 - 2020,,,1.16,,,,,,,,,,,,
,,2020 - 2021,,,1.17,,,,,,,,,,,,
,,2022 - 2023,,,1.16,,,,,,,,,,,,
,Changlang,2000 - 2001,,,0.69,,,,,,,,,,,,
,,2001 - 2002,,,0.8,,,,,,,,,,,,
,,2002 - 2003,,,0.8,,,,,,,,,,,,
,,2003 - 2004,,,0.82,,,,,,,,,,,,
,,2004 - 2005,,,0.8,,,,,,,,,,,,
,,2005 - 2006,,,0.81,,,,,,,,,,,,
,,2006 - 2007,,,0.81,,,,,,,,,,,,
,,2007 - 2008,,,0.81,,,,,,,,,,,,
,,2008 - 2009,,,0.97,,,,,,,,,,,,
,,2009 - 2010,,,0.98,,,,,,,,,,,,
,,2010 - 2011,,,0.98,,,,,,,,,,,,
,,2011 - 2012,,,0.93,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,909.0,0.58,,,,,,,,,,,,
,,2014 - 2015,,,0.62,,,,,,,,,,,,
,,2015 - 2016,,,0.63,,,,,,,,,,,,
,,2016 - 2017,,,0.61,,,,,,,,,,,,
,,2017 - 2018,,,0.62,,,,,,,,,,,,
,,2018 - 2019,,,0.62,,,,,,,,,,,,
,,2019 - 2020,,,0.62,,,,,,,,,,,,
,,2020 - 2021,,,0.62,,,,,,,,,,,,
,,2022 - 2023,,,0.65,,,,,,,,,,,,
,Dibang valley,2000 - 2001,,920.0,0.68,,,,,,,,,,,,
,,2001 - 2002,,,0.74,,,,,,,,,,,,
,,2002 - 2003,233.0,174.0,0.75,,,,,,,,,,,,
,,2003 - 2004,240.0,204.0,0.85,,,,,,,,,,,,
,,2004 - 2005,285.0,200.0,0.7,,,,,,,,,,,,
,,2005 - 2006,300.0,240.0,0.8,,,,,,,,,,,,
,,2006 - 2007,350.0,280.0,0.8,,,,,,,,,,,,
,,2007 - 2008,321.0,228.0,0.71,,,,,,,,,,,,
,,2008 - 2009,350.0,255.0,0.73,,,,,,,,,,,,
,,2009 - 2010,350.0,255.0,0.73,,,,,,,,,,,,
,,2010 - 2011,750.0,750.0,1.0,,,,,,,,,,,,
,,2011 - 2012,706.0,823.0,1.17,,,,,,,,,,,,
,,2012 - 2013,786.0,905.0,1.15,,,,,,,,,,,,
,,2013 - 2014,790.0,921.0,1.17,,,,,,,,,,,,
,,2014 - 2015,790.0,921.0,1.17,,,,,,,,,,,,
,,2015 - 2016,815.0,851.0,1.04,,,,,,,,,,,,
,,2016 - 2017,815.0,825.0,1.01,,,,,,,,,,,,
,,2017 - 2018,828.0,838.0,1.01,,,,,,,,,,,,
,,2018 - 2019,828.0,842.0,1.02,,,,,,,,,,,,
,,2019 - 2020,829.0,844.0,1.02,,,,,,,,,,,,
,,2020 - 2021,830.0,850.0,1.02,,,,,,,,,,,,
,,2022 - 2023,843.0,866.0,1.03,,,,,,,,,,,,
,East kameng,2000 - 2001,417.0,375.0,0.9,,,,,,,,,,,,
,,2001 - 2002,,,1.14,,,,,,,,,,,,
,,2002 - 2003,440.0,401.0,0.91,,,,,,,,,,,,
,,2003 - 2004,445.0,406.0,0.91,,,,,,,,,,,,
,,2004 - 2005,480.0,436.0,0.91,,,,,,,,,,,,
,,2005 - 2006,495.0,481.0,0.97,,,,,,,,,,,,
,,2006 - 2007,485.0,475.0,0.98,,,,,,,,,,,,
,,2007 - 2008,490.0,485.0,0.99,,,,,,,,,,,,
,,2008 - 2009,502.0,491.0,0.98,,,,,,,,,,,,
,,2009 - 2010,510.0,559.0,1.1,,,,,,,,,,,,
,,2010 - 2011,520.0,570.0,1.1,,,,,,,,,,,,
,,2011 - 2012,528.0,626.0,1.19,,,,,,,,,,,,
,,2012 - 2013,588.0,689.0,1.17,,,,,,,,,,,,
,,2013 - 2014,600.0,675.0,1.13,,,,,,,,,,,,
,,2014 - 2015,817.0,887.0,1.09,,,,,,,,,,,,
,,2015 - 2016,842.0,911.0,1.08,,,,,,,,,,,,
,,2016 - 2017,842.0,885.0,1.05,,,,,,,,,,,,
,,2017 - 2018,855.0,898.0,1.05,,,,,,,,,,,,
,,2018 - 2019,855.0,902.0,1.05,,,,,,,,,,,,
,,2019 - 2020,599.0,633.0,1.06,,,,,,,,,,,,
,,2020 - 2021,600.0,639.0,1.07,,,,,,,,,,,,
,,2022 - 2023,611.0,654.0,1.07,,,,,,,,,,,,
,East siang,2000 - 2001,,,1.13,,,,,,,,,,,,
,,2001 - 2002,,,0.78,,,,,,,,,,,,
,,2002 - 2003,,,1.15,,,,,,,,,,,,
,,2003 - 2004,,,1.22,,,,,,,,,,,,
,,2004 - 2005,,,1.11,,,,,,,,,,,,
,,2005 - 2006,,,1.23,,,,,,,,,,,,
,,2006 - 2007,,,1.23,,,,,,,,,,,,
,,2007 - 2008,,,1.14,,,,,,,,,,,,
,,2008 - 2009,,,1.23,,,,,,,,,,,,
,,2009 - 2010,,,1.23,,,,,,,,,,,,
,,2010 - 2011,,,1.23,,,,,,,,,,,,
,,2011 - 2012,,,1.35,,,,,,,,,,,,
,,2012 - 2013,,,1.27,,,,,,,,,,,,
,,2013 - 2014,,,1.27,,,,,,,,,,,,
,,2014 - 2015,,,1.2,,,,,,,,,,,,
,,2015 - 2016,,,1.19,,,,,,,,,,,,
,,2016 - 2017,,,1.18,,,,,,,,,,,,
,,2017 - 2018,,,1.18,,,,,,,,,,,,
,,2018 - 2019,,,1.18,,,,,,,,,,,,
,,2019 - 2020,,,1.18,,,,,,,,,,,,
,,2020 - 2021,,,1.19,,,,,,,,,,,,
,,2022 - 2023,,,1.18,,,,,,,,,,,,
,Kamle,2018 - 2019,575.0,974.0,1.69,,,,,,,,,,,,
,,2019 - 2020,576.0,977.0,1.7,,,,,,,,,,,,
,,2020 - 2021,577.0,983.0,1.7,,,,,,,,,,,,
,,2022 - 2023,591.0,,1.7,,,,,,,,,,,,
,Kra daadi,2015 - 2016,207.0,217.0,1.05,,,,,,,,,,,,
,,2016 - 2017,207.0,191.0,0.92,,,,,,,,,,,,
,,2017 - 2018,220.0,204.0,0.93,,,,,,,,,,,,
,,2018 - 2019,220.0,208.0,0.95,,,,,,,,,,,,
,,2019 - 2020,221.0,211.0,0.95,,,,,,,,,,,,
,,2020 - 2021,222.0,217.0,0.98,,,,,,,,,,,,
,,2022 - 2023,240.0,235.0,0.98,,,,,,,,,,,,
,Kurung kumey,2002 - 2003,500.0,540.0,1.08,,,,,,,,,,,,
,,2003 - 2004,620.0,676.0,1.09,,,,,,,,,,,,
,,2004 - 2005,620.0,676.0,1.09,,,,,,,,,,,,
,,2005 - 2006,525.0,630.0,1.2,,,,,,,,,,,,
,,2006 - 2007,640.0,783.0,1.22,,,,,,,,,,,,
,,2007 - 2008,525.0,63.0,0.12,,,,,,,,,,,,
,,2008 - 2009,525.0,63.0,0.12,,,,,,,,,,,,
,,2009 - 2010,525.0,63.0,0.12,,,,,,,,,,,,
,,2010 - 2011,540.0,729.0,1.35,,,,,,,,,,,,
,,2011 - 2012,542.0,800.0,1.48,,,,,,,,,,,,
,,2012 - 2013,546.0,785.0,1.44,,,,,,,,,,,,
,,2013 - 2014,220.0,250.0,1.14,,,,,,,,,,,,
,,2014 - 2015,330.0,350.0,1.06,,,,,,,,,,,,
,,2015 - 2016,173.0,181.0,1.05,,,,,,,,,,,,
,,2016 - 2017,173.0,155.0,0.9,,,,,,,,,,,,
,,2017 - 2018,186.0,168.0,0.9,,,,,,,,,,,,
,,2018 - 2019,186.0,172.0,0.92,,,,,,,,,,,,
,,2019 - 2020,187.0,175.0,0.94,,,,,,,,,,,,
,,2020 - 2021,188.0,181.0,0.96,,,,,,,,,,,,
,,2022 - 2023,204.0,197.0,0.97,,,,,,,,,,,,
,Leparada,2019 - 2020,395.0,351.0,0.89,,,,,,,,,,,,
,,2020 - 2021,396.0,357.0,0.9,,,,,,,,,,,,
,,2022 - 2023,402.0,374.0,0.93,,,,,,,,,,,,
,Lohit,2000 - 2001,710.0,639.0,0.9,,,,,,,,,,,,
,,2001 - 2002,,950.0,0.73,,,,,,,,,,,,
,,2002 - 2003,728.0,692.0,0.95,,,,,,,,,,,,
,,2003 - 2004,740.0,708.0,0.96,,,,,,,,,,,,
,,2004 - 2005,80.0,76.0,0.95,,,,,,,,,,,,
,,2005 - 2006,95.0,85.0,0.89,,,,,,,,,,,,
,,2006 - 2007,90.0,90.0,1.0,,,,,,,,,,,,
,,2007 - 2008,92.0,78.0,0.85,,,,,,,,,,,,
,,2008 - 2009,94.0,76.0,0.81,,,,,,,,,,,,
,,2009 - 2010,93.0,69.0,0.74,,,,,,,,,,,,
,,2010 - 2011,98.0,82.0,0.84,,,,,,,,,,,,
,,2011 - 2012,99.0,90.0,0.91,,,,,,,,,,,,
,,2012 - 2013,95.0,82.0,0.86,,,,,,,,,,,,
,,2013 - 2014,93.0,74.0,0.8,,,,,,,,,,,,
,,2014 - 2015,110.0,86.0,0.78,,,,,,,,,,,,
,,2015 - 2016,69.0,68.0,0.99,,,,,,,,,,,,
,,2016 - 2017,69.0,52.0,0.75,,,,,,,,,,,,
,,2017 - 2018,82.0,65.0,0.79,,,,,,,,,,,,
,,2018 - 2019,82.0,69.0,0.84,,,,,,,,,,,,
,,2019 - 2020,82.0,71.0,0.87,,,,,,,,,,,,
,,2020 - 2021,83.0,77.0,0.93,,,,,,,,,,,,
,,2022 - 2023,93.0,87.0,0.94,,,,,,,,,,,,
,Longding,2013 - 2014,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,1.18,,,,,,,,,,,,
