state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,,2019 - 2020,,,1.55,902.0,,1.37,,,,,,,,,,,,
,,2020 - 2021,,,1.16,375.0,,2.97,,,,,,,,,,,,
,,2021 - 2022,,,1.24,842.0,,1.42,,,,,,,,,,,,
,,2022 - 2023,,,1.24,320.0,395.0,1.23,,,,,,,,,,,,
,East godavari,2000 - 2001,439.0,416.0,0.95,26.0,47.0,1.81,,,,,,,,,,,,
,,2001 - 2002,291.0,322.0,1.11,86.0,162.0,1.88,,,,,,,,,,,,
,,2002 - 2003,560.0,483.0,0.86,39.0,51.0,1.31,,,,,,,,,,,,
,,2003 - 2004,506.0,683.0,1.35,59.0,106.0,1.8,,,,,,,,,,,,
,,2004 - 2005,382.0,378.0,0.99,35.0,58.0,1.66,,,,,,,,,,,,
,,2005 - 2006,379.0,344.0,0.91,56.0,106.0,1.89,,,,,,,,,,,,
,,2006 - 2007,358.0,330.0,0.92,32.0,56.0,1.75,,,,,,,,,,,,
,,2008 - 2009,552.0,503.0,0.91,115.0,190.0,1.65,,,,,,,,,,,,
,,2009 - 2010,708.0,707.0,1.0,4.0,7.0,1.75,,,,,,,,,,,,
,,2010 - 2011,81.0,82.0,1.01,14.0,20.0,1.43,,,,,,,,,,,,
,,2011 - 2012,190.0,135.0,0.71,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.84,,,,,,,,,,,,,,,
,,2014 - 2015,406.0,387.0,0.95,6.0,9.0,1.5,,,,,,,,,,,,
,,2015 - 2016,225.0,191.0,0.85,,,,,,,,,,,,,,,
,,2016 - 2017,252.0,253.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,295.0,291.0,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,267.0,290.0,1.09,,,,,,,,,,,,,,,
,,2019 - 2020,139.0,119.0,0.86,,,,,,,,,,,,,,,
,,2020 - 2021,326.0,379.0,1.16,,,,,,,,,,,,,,,
,,2021 - 2022,316.0,276.0,0.87,,,,,,,,,,,,,,,
,Eluru,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Guntur,2000 - 2001,,,,23.0,42.0,1.83,,,,,,,,,,,,
,,2001 - 2002,,,,8.0,15.0,1.88,,,,,,,,,,,,
,,2002 - 2003,,,,5.0,7.0,1.4,,,,,,,,,,,,
,,2004 - 2005,,,,11.0,18.0,1.64,,,,,,,,,,,,
,,2005 - 2006,,,,40.0,75.0,1.88,,,,,,,,,,,,
,,2011 - 2012,,,,114.0,173.0,1.52,,,,,,,,,,,,
,,2013 - 2014,6.0,5.0,0.83,320.0,460.0,1.44,,,,,,,,,,,,
,,2014 - 2015,,,,400.0,595.0,1.49,,,,,,,,,,,,
,,2015 - 2016,,,,198.0,92.0,0.46,,,,,,,,,,,,
,,2016 - 2017,,,,648.0,463.0,0.71,,,,,,,,,,,,
,,2017 - 2018,,,,371.0,339.0,0.91,,,,,,,,,,,,
,,2018 - 2019,,,,918.0,764.0,0.83,,,,,,,,,,,,
,,2019 - 2020,,,,,,1.2,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.87,,,,,,,,,,,,
,,2021 - 2022,,,,537.0,345.0,0.64,,,,,,,,,,,,
,Kadapa,2000 - 2001,93.0,150.0,1.61,909.0,,1.44,,,,,,,,,,,,
,,2001 - 2002,34.0,42.0,1.24,714.0,951.0,1.33,,,,,,,,,,,,
,,2002 - 2003,33.0,51.0,1.55,561.0,695.0,1.24,,,,,,,,,,,,
,,2003 - 2004,101.0,90.0,0.89,528.0,848.0,1.61,,,,,,,,,,,,
,,2004 - 2005,25.0,35.0,1.4,432.0,976.0,2.26,,,,,,,,,,,,
,,2005 - 2006,40.0,54.0,1.35,502.0,800.0,1.59,,,,,,,,,,,,
,,2006 - 2007,18.0,19.0,1.06,519.0,716.0,1.38,,,,,,,,,,,,
,,2008 - 2009,23.0,21.0,0.91,111.0,208.0,1.87,,,,,,,,,,,,
,,2009 - 2010,28.0,37.0,1.32,183.0,401.0,2.19,,,,,,,,,,,,
,,2010 - 2011,6.0,9.0,1.5,137.0,205.0,1.5,,,,,,,,,,,,
,,2011 - 2012,16.0,19.0,1.19,124.0,250.0,2.02,,,,,,,,,,,,
,,2013 - 2014,21.0,29.0,1.38,110.0,196.0,1.78,,,,,,,,,,,,
,,2014 - 2015,11.0,10.0,0.91,78.0,119.0,1.53,,,,,,,,,,,,
,,2015 - 2016,7.0,9.0,1.29,120.0,207.0,1.73,,,,,,,,,,,,
,,2016 - 2017,19.0,14.0,0.74,136.0,259.0,1.9,,,,,,,,,,,,
,,2017 - 2018,16.0,24.0,1.5,166.0,324.0,1.95,,,,,,,,,,,,
,,2018 - 2019,10.0,17.0,1.7,91.0,181.0,1.99,,,,,,,,,,,,
,,2019 - 2020,,,,57.0,113.0,1.98,,,,,,,,,,,,
,,2020 - 2021,24.0,32.0,1.33,69.0,164.0,2.38,,,,,,,,,,,,
,,2021 - 2022,6.0,6.0,1.0,127.0,239.0,1.88,,,,,,,,,,,,
,,2022 - 2023,3.0,3.0,1.0,38.0,116.0,3.05,,,,,,,,,,,,
,Krishna,2001 - 2002,,,,5.0,9.0,1.8,,,,,,,,,,,,
,Kurnool,2000 - 2001,43.0,70.0,1.63,,,,,,,,,,,,,,,
,,2001 - 2002,33.0,41.0,1.24,,,,,,,,,,,,,,,
,,2002 - 2003,10.0,16.0,1.6,,,,,,,,,,,,,,,
,,2003 - 2004,7.0,6.0,0.86,,,,,,,,,,,,,,,
,,2004 - 2005,16.0,22.0,1.38,,,,,,,,,,,,,,,
,,2005 - 2006,7.0,10.0,1.43,6.0,10.0,1.67,,,,,,,,,,,,
,,2006 - 2007,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2010 - 2011,,,,5.0,7.0,1.4,,,,,,,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,4.0,8.0,2.0,,,,,,,,,,,,
,,2022 - 2023,,,,2.0,6.0,3.0,,,,,,,,,,,,
,Nandyal,2022 - 2023,,,,1.0,3.0,3.0,,,,,,,,,,,,
,Palnadu,2022 - 2023,,,,1.0,1.0,1.0,,,,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,604.0,792.0,1.31,121.0,175.0,1.45,,,,,,,,,,,,
,Prakasam,2000 - 2001,150.0,142.0,0.95,,,2.06,,,,,,,,,,,,
,,2001 - 2002,309.0,342.0,1.11,,,1.97,,,,,,,,,,,,
,,2002 - 2003,214.0,184.0,0.86,,,1.47,,,,,,,,,,,,
,,2003 - 2004,81.0,109.0,1.35,,,1.63,,,,,,,,,,,,
,,2004 - 2005,81.0,80.0,0.99,,,1.66,,,,,,,,,,,,
,,2005 - 2006,84.0,76.0,0.9,,,1.9,,,,,,,,,,,,
,,2006 - 2007,30.0,28.0,0.93,,,1.83,,,,,,,,,,,,
,,2007 - 2008,,,,,,1.5,,,,,,,,,,,,
,,2008 - 2009,74.0,67.0,0.91,,,1.91,,,,,,,,,,,,
,,2009 - 2010,160.0,160.0,1.0,,,2.1,,,,,,,,,,,,
,,2010 - 2011,,,,,,1.43,,,,,,,,,,,,
,,2011 - 2012,35.0,25.0,0.71,954.0,,1.71,,,,,,,,,,,,
,,2012 - 2013,,,,,,2.0,,,,,,,,,,,,
,,2013 - 2014,120.0,101.0,0.84,988.0,,1.68,,,,,,,,,,,,
,,2014 - 2015,24.0,23.0,0.96,936.0,,1.53,,,,,,,,,,,,
,,2015 - 2016,65.0,55.0,0.85,,,2.19,,,,,,,,,,,,
,,2016 - 2017,3.0,3.0,1.0,940.0,,1.67,,,,,,,,,,,,
,,2017 - 2018,31.0,31.0,1.0,722.0,,1.67,,,,,,,,,,,,
,,2018 - 2019,29.0,31.0,1.07,379.0,672.0,1.77,,,,,,,,,,,,
,,2019 - 2020,33.0,37.0,1.12,494.0,569.0,1.15,,,,,,,,,,,,
,,2020 - 2021,19.0,20.0,1.05,276.0,248.0,0.9,,,,,,,,,,,,
,,2021 - 2022,54.0,48.0,0.89,378.0,443.0,1.17,,,,,,,,,,,,
,,2022 - 2023,9.0,9.0,1.0,222.0,225.0,1.01,,,,,,,,,,,,
,Spsr nellore,2000 - 2001,213.0,202.0,0.95,626.0,867.0,1.38,,,,,,,,,,,,
,,2001 - 2002,166.0,184.0,1.11,137.0,258.0,1.88,,,,,,,,,,,,
,,2002 - 2003,144.0,124.0,0.86,384.0,501.0,1.3,,,,,,,,,,,,
,,2003 - 2004,113.0,153.0,1.35,172.0,308.0,1.79,,,,,,,,,,,,
,,2004 - 2005,121.0,120.0,0.99,362.0,602.0,1.66,,,,,,,,,,,,
,,2005 - 2006,66.0,60.0,0.91,117.0,221.0,1.89,,,,,,,,,,,,
,,2006 - 2007,60.0,55.0,0.92,134.0,233.0,1.74,,,,,,,,,,,,
,,2008 - 2009,72.0,66.0,0.92,171.0,282.0,1.65,,,,,,,,,,,,
,,2009 - 2010,74.0,74.0,1.0,126.0,210.0,1.67,,,,,,,,,,,,
,,2010 - 2011,23.0,23.0,1.0,68.0,99.0,1.46,,,,,,,,,,,,
,,2011 - 2012,28.0,20.0,0.71,96.0,146.0,1.52,,,,,,,,,,,,
,,2013 - 2014,66.0,56.0,0.85,28.0,40.0,1.43,,,,,,,,,,,,
,,2014 - 2015,34.0,32.0,0.94,56.0,83.0,1.48,,,,,,,,,,,,
,,2015 - 2016,22.0,19.0,0.86,65.0,127.0,1.95,,,,,,,,,,,,
,,2016 - 2017,101.0,102.0,1.01,77.0,123.0,1.6,,,,,,,,,,,,
,,2017 - 2018,59.0,58.0,0.98,45.0,77.0,1.71,,,,,,,,,,,,
,,2018 - 2019,110.0,119.0,1.08,41.0,66.0,1.61,,,,,,,,,,,,
,,2019 - 2020,22.0,32.0,1.45,32.0,19.0,0.59,,,,,,,,,,,,
,,2020 - 2021,68.0,81.0,1.19,13.0,14.0,1.08,,,,,,,,,,,,
,,2021 - 2022,50.0,85.0,1.7,17.0,21.0,1.24,,,,,,,,,,,,
,,2022 - 2023,31.0,32.0,1.03,12.0,17.0,1.42,,,,,,,,,,,,
,Sri sathya sai,2022 - 2023,,,1.03,709.0,,3.89,,,,,,,,,,,,
,Srikakulam,2000 - 2001,,,0.86,,,1.29,,,,,,,,,,,,
,,2001 - 2002,,,1.05,,,1.55,,,,,,,,,,,,
,,2002 - 2003,,,0.96,805.0,948.0,1.18,,,,,,,,,,,,
,,2003 - 2004,,,1.34,,,1.52,,,,,,,,,,,,
,,2004 - 2005,,,1.24,970.0,,1.92,,,,,,,,,,,,
,,2005 - 2006,,,1.18,,,2.01,,,,,,,,,,,,
,,2006 - 2007,,,1.1,,,1.69,,,,,,,,,,,,
,,2007 - 2008,,,1.0,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,1.1,883.0,,1.25,,,,,,,,,,,,
,,2009 - 2010,814.0,853.0,1.05,,,1.33,,,,,,,,,,,,
,,2010 - 2011,804.0,732.0,0.91,,,1.38,,,,,,,,,,,,
,,2011 - 2012,539.0,478.0,0.89,582.0,924.0,1.59,,,,,,,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,,,,,,,
,,2013 - 2014,331.0,333.0,1.01,712.0,986.0,1.38,,,,,,,,,,,,
,,2014 - 2015,207.0,277.0,1.34,969.0,,1.21,,,,,,,,,,,,
,,2015 - 2016,291.0,373.0,1.28,748.0,,1.63,,,,,,,,,,,,
,,2016 - 2017,250.0,409.0,1.64,713.0,,1.57,,,,,,,,,,,,
,,2017 - 2018,154.0,247.0,1.6,,,1.59,,,,,,,,,,,,
,,2018 - 2019,253.0,322.0,1.27,,,1.56,,,,,,,,,,,,
,,2019 - 2020,206.0,270.0,1.31,,,1.43,,,,,,,,,,,,
,,2020 - 2021,138.0,157.0,1.14,,,1.16,,,,,,,,,,,,
,,2021 - 2022,40.0,69.0,1.73,,,1.21,,,,,,,,,,,,
,,2022 - 2023,18.0,19.0,1.06,,,1.58,,,,,,,,,,,,
,Tirupati,2022 - 2023,8.0,9.0,1.13,5.0,15.0,3.0,,,,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,0.94,,,1.79,,,,,,,,,,,,
,,2001 - 2002,,,1.15,,,2.08,,,,,,,,,,,,
,,2002 - 2003,,,0.86,509.0,293.0,0.58,,,,,,,,,,,,
,,2003 - 2004,,,1.35,,,2.8,,,,,,,,,,,,
,,2004 - 2005,,,0.94,666.0,,1.66,,,,,,,,,,,,
,,2005 - 2006,,,0.82,660.0,,1.89,,,,,,,,,,,,
,,2006 - 2007,,,0.85,677.0,,1.74,,,,,,,,,,,,
,,2007 - 2008,,,1.21,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,0.92,374.0,617.0,1.65,,,,,,,,,,,,
,,2009 - 2010,,,0.93,403.0,671.0,1.67,,,,,,,,,,,,
,,2010 - 2011,,,1.03,290.0,424.0,1.46,,,,,,,,,,,,
,,2011 - 2012,,,0.72,196.0,298.0,1.52,,,,,,,,,,,,
,,2012 - 2013,,,0.95,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.85,308.0,442.0,1.44,,,,,,,,,,,,
,,2014 - 2015,,,0.96,241.0,359.0,1.49,,,,,,,,,,,,
,,2015 - 2016,,,0.84,230.0,466.0,2.03,,,,,,,,,,,,
,,2016 - 2017,,,1.0,224.0,683.0,3.05,,,,,,,,,,,,
,,2017 - 2018,,,1.0,280.0,776.0,2.77,,,,,,,,,,,,
,,2018 - 2019,,,1.1,401.0,915.0,2.28,,,,,,,,,,,,
,,2019 - 2020,,,1.11,273.0,601.0,2.2,,,,,,,,,,,,
,,2020 - 2021,,,1.04,318.0,546.0,1.72,,,,,,,,,,,,
,,2021 - 2022,,,0.87,432.0,938.0,2.17,,,,,,,,,,,,
,,2022 - 2023,8.0,8.0,1.0,219.0,401.0,1.83,,,,,,,,,,,,
,Vizianagaram,2000 - 2001,,,1.01,,,1.51,,,,,,,,,,,,
,,2001 - 2002,,,0.94,,,1.79,,,,,,,,,,,,
,,2002 - 2003,,,0.83,,,1.16,,,,,,,,,,,,
,,2003 - 2004,,,1.35,,,1.75,,,,,,,,,,,,
,,2004 - 2005,,,1.19,,,1.45,,,,,,,,,,,,
,,2005 - 2006,,,1.29,,,1.68,,,,,,,,,,,,
,,2006 - 2007,,,1.31,,,1.64,,,,,,,,,,,,
,,2007 - 2008,,,1.33,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,0.75,586.0,933.0,1.59,,,,,,,,,,,,
,,2009 - 2010,,,1.54,745.0,944.0,1.27,,,,,,,,,,,,
,,2010 - 2011,,,0.95,797.0,,1.61,,,,,,,,,,,,
,,2011 - 2012,,720.0,0.52,601.0,686.0,1.14,,,,,,,,,,,,
,,2012 - 2013,,,2.0,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,0.77,609.0,671.0,1.1,,,,,,,,,,,,
,,2014 - 2015,,,0.84,726.0,,1.82,,,,,,,,,,,,
,,2015 - 2016,,,0.89,599.0,,2.35,,,,,,,,,,,,
,,2016 - 2017,,,0.95,472.0,968.0,2.05,,,,,,,,,,,,
,,2017 - 2018,,,0.85,675.0,,2.56,,,,,,,,,,,,
,,2018 - 2019,,855.0,0.83,,,2.19,,,,,,,,,,,,
,,2019 - 2020,998.0,,1.26,657.0,,1.92,,,,,,,,,,,,
,,2020 - 2021,908.0,,1.43,377.0,559.0,1.48,,,,,,,,,,,,
,,2021 - 2022,506.0,526.0,1.04,691.0,,1.56,,,,,,,,,,,,
,,2022 - 2023,32.0,33.0,1.03,,,1.26,,,,,,,,,,,,
,West godavari,2003 - 2004,,,,10.0,18.0,1.8,,,,,,,,,,,,
,,2013 - 2014,206.0,173.0,0.84,,,,,,,,,,,,,,,
,,2016 - 2017,2.0,2.0,1.0,7.0,11.0,1.57,,,,,,,,,,,,
Bihar,Araria,2000 - 2001,839.0,,2.6,,,,,,,,,,,,,,,
,,2001 - 2002,661.0,494.0,0.75,,,,,,,,,,,,,,,
,,2002 - 2003,,870.0,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,881.0,209.0,0.24,,,,,,,,,,,,,,,
,,2004 - 2005,856.0,733.0,0.86,,,,,,,,,,,,,,,
,,2005 - 2006,792.0,611.0,0.77,,,,,,,,,,,,,,,
,,2006 - 2007,824.0,491.0,0.6,,,,,,,,,,,,,,,
,,2007 - 2008,824.0,529.0,0.64,,,,,,,,,,,,,,,
,,2008 - 2009,799.0,650.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,382.0,227.0,0.59,,,,,,,,,,,,,,,
,,2010 - 2011,267.0,252.0,0.94,,,,,,,,,,,,,,,
,,2011 - 2012,344.0,528.0,1.53,,,,,,,,,,,,,,,
,,2012 - 2013,344.0,406.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,249.0,253.0,1.02,,,,,,,,,,,,,,,
,,2014 - 2015,187.0,276.0,1.48,,,,,,,,,,,,,,,
,,2016 - 2017,145.0,105.0,0.72,,,,,,,,,,,,,,,
,Arwal,2003 - 2004,17.0,11.0,0.65,,,,,,,,,,,,,,,
,,2004 - 2005,45.0,30.0,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,47.0,42.0,0.89,,,,,,,,,,,,,,,
,,2007 - 2008,55.0,33.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,50.0,41.0,0.82,,,,,,,,,,,,,,,
,,2009 - 2010,37.0,30.0,0.81,,,,,,,,,,,,,,,
,,2010 - 2011,37.0,36.0,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,40.0,49.0,1.23,,,,,,,,,,,,,,,
,,2012 - 2013,40.0,47.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,39.0,40.0,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,38.0,56.0,1.47,,,,,,,,,,,,,,,
,,2015 - 2016,38.0,54.0,1.42,,,,,,,,,,,,,,,
,,2016 - 2017,38.0,27.0,0.71,,,,,,,,,,,,,,,
,,2017 - 2018,37.0,37.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,5.0,5.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,5.0,4.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,5.0,5.0,1.0,,,,,,,,,,,,,,,
,,2021 - 2022,3.0,3.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Aurangabad,2000 - 2001,33.0,36.0,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,28.0,25.0,0.89,,,,,,,,,,,,,,,
,,2002 - 2003,47.0,32.0,0.68,,,,,,,,,,,,,,,
,,2003 - 2004,35.0,24.0,0.69,,,,,,,,,,,,,,,
,,2004 - 2005,36.0,24.0,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,15.0,14.0,0.93,,,,,,,,,,,,,,,
,,2006 - 2007,13.0,11.0,0.85,,,,,,,,,,,,,,,
,,2007 - 2008,14.0,8.0,0.57,,,,,,,,,,,,,,,
,,2008 - 2009,14.0,11.0,0.79,,,,,,,,,,,,,,,
,,2009 - 2010,3.0,2.0,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,10.0,12.0,1.2,,,,,,,,,,,,,,,
,,2013 - 2014,9.0,9.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,9.0,13.0,1.44,,,,,,,,,,,,,,,
,,2015 - 2016,3.0,4.0,1.33,,,,,,,,,,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2017 - 2018,13.0,13.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,4.0,4.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Banka,2002 - 2003,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Begusarai,2000 - 2001,41.0,45.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,73.0,64.0,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,51.0,35.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,25.0,17.0,0.68,,,,,,,,,,,,,,,
,,2004 - 2005,31.0,21.0,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,48.0,43.0,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,41.0,36.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,40.0,24.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,13.0,11.0,0.85,,,,,,,,,,,,,,,
,,2009 - 2010,26.0,21.0,0.81,,,,,,,,,,,,,,,
,,2010 - 2011,38.0,37.0,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,39.0,47.0,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,26.0,31.0,1.19,,,,,,,,,,,,,,,
,,2013 - 2014,38.0,39.0,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,36.0,53.0,1.47,,,,,,,,,,,,,,,
,,2015 - 2016,47.0,67.0,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,45.0,33.0,0.73,,,,,,,,,,,,,,,
,,2017 - 2018,12.0,12.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Bhojpur,2000 - 2001,3.0,3.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2006 - 2007,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,29.0,18.0,0.62,,,,,,,,,,,,,,,
,,2008 - 2009,31.0,25.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,31.0,25.0,0.81,,,,,,,,,,,,,,,
,,2010 - 2011,31.0,30.0,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,30.0,36.0,1.2,,,,,,,,,,,,,,,
,,2012 - 2013,8.0,9.0,1.13,,,,,,,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Buxar,2006 - 2007,12.0,10.0,0.83,,,,,,,,,,,,,,,
,Darbhanga,2000 - 2001,,,0.8,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.03,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.48,,,,,,,,,,,,,,,
,,2003 - 2004,846.0,648.0,0.77,,,,,,,,,,,,,,,
,,2004 - 2005,,481.0,0.26,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.08,,,,,,,,,,,,,,,
,,2006 - 2007,,,0.76,,,,,,,,,,,,,,,
