state,district,year,ginger_whole_year_area_hectare,ginger_whole_year_production_tonne,ginger_whole_year_yield_tonne_per_hectare,ginger_rabi_area_hectare,ginger_rabi_production_tonne,ginger_rabi_yield_tonne_per_hectare,ginger_kharif_area_hectare,ginger_kharif_production_tonne,ginger_kharif_yield_tonne_per_hectare,ginger_summer_area_hectare,ginger_summer_production_tonne,ginger_summer_yield_tonne_per_hectare
,,2005 - 2006,34.0,94.0,2.76,,,,,,,,,
,,2006 - 2007,21.0,59.0,2.81,,,,,,,,,
,,2008 - 2009,21.0,50.0,2.38,,,,,,,,,
,,2009 - 2010,57.0,111.0,1.95,,,,,,,,,
,,2010 - 2011,43.0,401.0,9.33,,,,,,,,,
,,2011 - 2012,55.0,508.0,9.24,,,,,,,,,
,,2012 - 2013,,,,,,,53.0,414.0,7.81,,,
,,2013 - 2014,,,,,,,53.0,351.0,6.62,,,
,,2014 - 2015,,,,,,,53.0,330.0,6.23,,,
,,2015 - 2016,,,,,,,1.0,5.0,5.0,,,
,,2017 - 2018,,,,,,,1.0,1.0,1.0,,,
,,2018 - 2019,,,,,,,23.0,42.0,1.83,,,
,,2020 - 2021,,,,,,,1.0,2.0,2.0,,,
,,2021 - 2022,,,,,,,10.0,27.0,2.7,,,
,Kurnool,2006 - 2007,1.0,3.0,3.0,,,,,,,,,
,,2014 - 2015,,,,36.0,103.0,2.86,,,,,,
,,2015 - 2016,,,,,,,20.0,53.0,2.65,,,
,,2017 - 2018,,,,,,,1.0,1.0,1.0,,,
,,2020 - 2021,,,,,,,1.0,2.0,2.0,,,
,,2021 - 2022,,,,,,,1.0,3.0,3.0,,,
,Ntr,2022 - 2023,,,,,,,2.0,6.0,3.0,,,
,Parvathipuram manyam,2022 - 2023,,,,3.0,9.0,3.0,27.0,53.0,1.96,,,
,Prakasam,2012 - 2013,,,,,,,8.0,62.0,7.75,,,
,,2015 - 2016,,,,1.0,3.0,3.0,,,,,,
,,2020 - 2021,,,,,,,8.0,15.0,1.88,,,
,,2021 - 2022,,,,,,,1.0,3.0,3.0,,,
,Spsr nellore,2021 - 2022,,,,,,,1.0,3.0,3.0,,,
,Sri sathya sai,2022 - 2023,,,,,,,1.0,3.0,3.0,,,
,Srikakulam,2000 - 2001,144.0,273.0,1.9,,,,,,,,,
,,2001 - 2002,131.0,345.0,2.63,,,,,,,,,
,,2002 - 2003,140.0,229.0,1.64,,,,,,,,,
,,2003 - 2004,140.0,398.0,2.84,,,,,,,,,
,,2004 - 2005,143.0,391.0,2.73,,,,,,,,,
,,2005 - 2006,139.0,383.0,2.76,,,,,,,,,
,,2006 - 2007,139.0,391.0,2.81,,,,,,,,,
,,2008 - 2009,139.0,292.0,2.1,,,,,,,,,
,,2009 - 2010,83.0,162.0,1.95,,,,,,,,,
,,2010 - 2011,76.0,709.0,9.33,,,,,,,,,
,,2011 - 2012,76.0,702.0,9.24,,,,,,,,,
,,2012 - 2013,,,,,,,60.0,469.0,7.82,,,
,,2013 - 2014,,,,,,,42.0,278.0,6.62,,,
,,2014 - 2015,,,,,,,37.0,23.0,0.62,,,
,,2015 - 2016,,,,,,,35.0,27.0,0.77,,,
,,2016 - 2017,,,,,,,25.0,20.0,0.8,,,
,,2017 - 2018,,,,,,,26.0,31.0,1.19,,,
,,2018 - 2019,,,,,,,25.0,30.0,1.2,,,
,,2019 - 2020,,,,,,,30.0,35.0,1.17,,,
,,2020 - 2021,,,,,,,19.0,22.0,1.16,,,
,,2021 - 2022,,,,,,,42.0,43.0,1.02,,,
,,2022 - 2023,,,,,,,5.0,15.0,3.0,,,
,Visakhapatanam,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,2.63,,,,,,,,,
,,2002 - 2003,,,1.63,,,,,,,,,
,,2003 - 2004,868.0,,2.84,,,,,,,,,
,,2004 - 2005,840.0,,2.73,,,,,,,,,
,,2005 - 2006,812.0,,2.75,,,,,,,,,
,,2006 - 2007,812.0,,2.81,,,,,,,,,
,,2008 - 2009,619.0,,2.45,,,,,,,,,
,,2009 - 2010,432.0,842.0,1.95,,,,,,,,,
,,2010 - 2011,601.0,,2.68,,,,,,,,,
,,2011 - 2012,586.0,,2.47,,,,,,,,,
,,2012 - 2013,,,,,,,581.0,,2.83,,,
,,2013 - 2014,,,,,,,263.0,740.0,2.81,,,
,,2014 - 2015,,,,,,,285.0,719.0,2.52,,,
,,2015 - 2016,,,,,,,302.0,859.0,2.84,,,
,,2016 - 2017,,,,,,,230.0,653.0,2.84,,,
,,2017 - 2018,,,,,,,350.0,273.0,0.78,,,
,,2018 - 2019,,,,,,,242.0,446.0,1.84,,,
,,2019 - 2020,,,,,,,229.0,523.0,2.28,,,
,,2020 - 2021,,,,,,,406.0,773.0,1.9,,,
,,2021 - 2022,,,,,,,,,2.77,,,
,Vizianagaram,2002 - 2003,8.0,13.0,1.63,,,,,,,,,
,,2003 - 2004,8.0,23.0,2.88,,,,,,,,,
,,2004 - 2005,16.0,44.0,2.75,,,,,,,,,
,,2005 - 2006,14.0,39.0,2.79,,,,,,,,,
,,2006 - 2007,34.0,96.0,2.82,,,,,,,,,
,,2008 - 2009,33.0,79.0,2.39,,,,,,,,,
,,2009 - 2010,16.0,31.0,1.94,,,,,,,,,
,,2010 - 2011,28.0,261.0,9.32,,,,,,,,,
,,2011 - 2012,5.0,46.0,9.2,,,,,,,,,
,,2014 - 2015,,,,,,,16.0,46.0,2.88,,,
,,2015 - 2016,,,,,,,4.0,11.0,2.75,,,
,,2016 - 2017,,,,,,,12.0,32.0,2.67,,,
,,2017 - 2018,,,,,,,1.0,1.0,1.0,,,
,,2018 - 2019,,,,,,,1.0,9.0,9.0,,,
,,2019 - 2020,,,,,,,3.0,6.0,2.0,,,
,,2020 - 2021,,,,,,,3.0,6.0,2.0,,,
,,2021 - 2022,,,,,,,3.0,8.0,2.67,,,
,West godavari,2005 - 2006,1.0,3.0,3.0,,,,,,,,,
,,2006 - 2007,8.0,22.0,2.75,,,,,,,,,
,,2010 - 2011,2.0,19.0,9.5,,,,,,,,,
,,2011 - 2012,12.0,111.0,9.25,,,,,,,,,
,,2017 - 2018,,,,,,,2.0,2.0,1.0,,,
,,2018 - 2019,,,,,,,5.0,9.0,1.8,,,
,,2019 - 2020,,,,,,,31.0,67.0,2.16,,,
,,2021 - 2022,,,,,,,1.0,3.0,3.0,,,
Arunachal Pradesh,Anjaw,2004 - 2005,60.0,420.0,7.0,,,,,,,,,
,,2005 - 2006,65.0,455.0,7.0,,,,,,,,,
,,2006 - 2007,158.0,,7.59,,,,,,,,,
,,2007 - 2008,160.0,,7.37,,,,,,,,,
,,2008 - 2009,168.0,,7.54,,,,,,,,,
,,2009 - 2010,200.0,,8.0,,,,,,,,,
,,2010 - 2011,115.0,920.0,8.0,,,,,,,,,
,,2011 - 2012,118.0,950.0,8.05,,,,,,,,,
,,2012 - 2013,120.0,980.0,8.17,,,,,,,,,
,,2013 - 2014,120.0,980.0,8.17,,,,,,,,,
,,2014 - 2015,63.0,,20.16,,,,,,,,,
,,2015 - 2016,63.0,297.0,4.71,,,,,,,,,
,,2016 - 2017,63.0,317.0,5.03,,,,,,,,,
,,2017 - 2018,67.0,317.0,4.73,,,,,,,,,
,,2018 - 2019,67.0,323.0,4.82,,,,,,,,,
,,2019 - 2020,68.0,323.0,4.75,,,,,,,,,
,,2020 - 2021,68.0,328.0,4.82,,,,,,,,,
,,2021 - 2022,69.0,358.0,5.19,,,,,,,,,
,,2022 - 2023,75.0,389.0,5.19,,,,,,,,,
,Changlang,2000 - 2001,437.0,,5.28,,,,,,,,,
,,2001 - 2002,477.0,,4.7,,,,,,,,,
,,2002 - 2003,450.0,,5.5,,,,,,,,,
,,2003 - 2004,425.0,,5.65,,,,,,,,,
,,2004 - 2005,20.0,145.0,7.25,,,,,,,,,
,,2005 - 2006,475.0,,5.7,,,,,,,,,
,,2006 - 2007,322.0,,5.44,,,,,,,,,
,,2007 - 2008,483.0,,6.3,,,,,,,,,
,,2008 - 2009,494.0,,7.15,,,,,,,,,
,,2009 - 2010,530.0,,7.2,,,,,,,,,
,,2010 - 2011,560.0,,7.2,,,,,,,,,
,,2011 - 2012,577.0,,7.21,,,,,,,,,
,,2012 - 2013,500.0,,7.73,,,,,,,,,
,,2013 - 2014,505.0,,7.73,,,,,,,,,
,,2014 - 2015,592.0,,7.08,,,,,,,,,
,,2015 - 2016,572.0,,7.41,,,,,,,,,
,,2016 - 2017,572.0,,7.41,,,,,,,,,
,,2017 - 2018,576.0,,7.25,,,,,,,,,
,,2018 - 2019,576.0,,7.26,,,,,,,,,
,,2019 - 2020,577.0,,7.25,,,,,,,,,
,,2020 - 2021,577.0,,7.26,,,,,,,,,
,,2021 - 2022,592.0,,7.32,,,,,,,,,
,,2022 - 2023,606.0,,7.32,,,,,,,,,
,Dibang valley,2000 - 2001,,,7.0,,,,,,,,,
,,2001 - 2002,,,9.0,,,,,,,,,
,,2002 - 2003,3.0,50.0,16.67,,,,,,,,,
,,2003 - 2004,10.0,80.0,8.0,,,,,,,,,
,,2004 - 2005,120.0,526.0,4.38,,,,,,,,,
,,2005 - 2006,12.0,86.0,7.17,,,,,,,,,
,,2006 - 2007,5.0,8.0,1.6,,,,,,,,,
,,2007 - 2008,17.0,101.0,5.94,,,,,,,,,
,,2008 - 2009,20.0,125.0,6.25,,,,,,,,,
,,2009 - 2010,20.0,125.0,6.25,,,,,,,,,
,,2010 - 2011,30.0,120.0,4.0,,,,,,,,,
,,2011 - 2012,30.0,124.0,4.13,,,,,,,,,
,,2012 - 2013,84.0,230.0,2.74,,,,,,,,,
,,2013 - 2014,89.0,255.0,2.87,,,,,,,,,
,,2014 - 2015,176.0,545.0,3.1,,,,,,,,,
,,2015 - 2016,156.0,745.0,4.78,,,,,,,,,
,,2016 - 2017,156.0,765.0,4.9,,,,,,,,,
,,2017 - 2018,160.0,765.0,4.78,,,,,,,,,
,,2018 - 2019,160.0,771.0,4.82,,,,,,,,,
,,2019 - 2020,161.0,771.0,4.79,,,,,,,,,
,,2020 - 2021,161.0,776.0,4.82,,,,,,,,,
,,2021 - 2022,168.0,855.0,5.09,,,,,,,,,
,,2022 - 2023,170.0,864.0,5.08,,,,,,,,,
,East kameng,2000 - 2001,42.0,170.0,4.05,,,,,,,,,
,,2001 - 2002,52.0,234.0,4.5,,,,,,,,,
,,2002 - 2003,52.0,231.0,4.44,,,,,,,,,
,,2003 - 2004,47.0,209.0,4.45,,,,,,,,,
,,2004 - 2005,50.0,222.0,4.44,,,,,,,,,
,,2005 - 2006,55.0,227.0,4.13,,,,,,,,,
,,2006 - 2007,55.0,223.0,4.05,,,,,,,,,
,,2007 - 2008,55.0,225.0,4.09,,,,,,,,,
,,2008 - 2009,56.0,231.0,4.13,,,,,,,,,
,,2009 - 2010,58.0,239.0,4.12,,,,,,,,,
,,2010 - 2011,60.0,244.0,4.07,,,,,,,,,
,,2011 - 2012,62.0,252.0,4.06,,,,,,,,,
,,2012 - 2013,62.0,254.0,4.1,,,,,,,,,
,,2013 - 2014,68.0,280.0,4.12,,,,,,,,,
,,2014 - 2015,155.0,570.0,3.68,,,,,,,,,
,,2015 - 2016,135.0,614.0,4.55,,,,,,,,,
,,2016 - 2017,135.0,634.0,4.7,,,,,,,,,
,,2017 - 2018,139.0,634.0,4.56,,,,,,,,,
,,2018 - 2019,139.0,640.0,4.6,,,,,,,,,
,,2019 - 2020,98.0,448.0,4.57,,,,,,,,,
,,2020 - 2021,99.0,453.0,4.58,,,,,,,,,
,,2021 - 2022,103.0,509.0,4.94,,,,,,,,,
,,2022 - 2023,110.0,544.0,4.95,,,,,,,,,
,East siang,2000 - 2001,500.0,,8.14,,,,,,,,,
,,2001 - 2002,560.0,,7.96,,,,,,,,,
,,2002 - 2003,580.0,,8.31,,,,,,,,,
,,2003 - 2004,600.0,,8.27,,,,,,,,,
,,2004 - 2005,196.0,,22.01,,,,,,,,,
,,2005 - 2006,657.0,,8.79,,,,,,,,,
,,2006 - 2007,657.0,,8.79,,,,,,,,,
,,2007 - 2008,667.0,,8.37,,,,,,,,,
,,2008 - 2009,672.0,,8.37,,,,,,,,,
,,2009 - 2010,826.0,,9.76,,,,,,,,,
,,2010 - 2011,867.0,,9.76,,,,,,,,,
,,2011 - 2012,893.0,,9.78,,,,,,,,,
,,2012 - 2013,988.0,,9.16,,,,,,,,,
,,2013 - 2014,,,8.96,,,,,,,,,
,,2014 - 2015,,,8.63,,,,,,,,,
,,2015 - 2016,934.0,,7.67,,,,,,,,,
,,2016 - 2017,947.0,,7.57,,,,,,,,,
,,2017 - 2018,951.0,,7.47,,,,,,,,,
,,2018 - 2019,657.0,,7.37,,,,,,,,,
,,2019 - 2020,658.0,,7.24,,,,,,,,,
,,2020 - 2021,658.0,,7.24,,,,,,,,,
,,2021 - 2022,674.0,,7.32,,,,,,,,,
,,2022 - 2023,686.0,,7.32,,,,,,,,,
,Kamle,2018 - 2019,125.0,748.0,5.98,,,,,,,,,
,,2019 - 2020,126.0,748.0,5.94,,,,,,,,,
,,2020 - 2021,127.0,753.0,5.93,,,,,,,,,
,,2021 - 2022,133.0,828.0,6.23,,,,,,,,,
,,2022 - 2023,138.0,859.0,6.22,,,,,,,,,
,Kra daadi,2015 - 2016,17.0,105.0,6.18,,,,,,,,,
,,2016 - 2017,17.0,125.0,7.35,,,,,,,,,
,,2017 - 2018,21.0,125.0,5.95,,,,,,,,,
,,2018 - 2019,21.0,131.0,6.24,,,,,,,,,
,,2019 - 2020,22.0,131.0,5.95,,,,,,,,,
,,2020 - 2021,22.0,134.0,6.09,,,,,,,,,
,,2021 - 2022,23.0,144.0,6.26,,,,,,,,,
,,2022 - 2023,26.0,162.0,6.23,,,,,,,,,
,Kurung kumey,2002 - 2003,20.0,145.0,7.25,,,,,,,,,
,,2003 - 2004,20.0,142.0,7.1,,,,,,,,,
,,2004 - 2005,70.0,484.0,6.91,,,,,,,,,
,,2005 - 2006,20.0,140.0,7.0,,,,,,,,,
,,2006 - 2007,100.0,80.0,0.8,,,,,,,,,
,,2007 - 2008,22.0,15.0,0.68,,,,,,,,,
,,2008 - 2009,22.0,132.0,6.0,,,,,,,,,
,,2009 - 2010,22.0,132.0,6.0,,,,,,,,,
,,2010 - 2011,20.0,139.0,6.95,,,,,,,,,
,,2011 - 2012,20.0,143.0,7.15,,,,,,,,,
,,2012 - 2013,21.0,145.0,6.9,,,,,,,,,
,,2013 - 2014,5.0,34.0,6.8,,,,,,,,,
,,2014 - 2015,25.0,122.0,4.88,,,,,,,,,
,,2015 - 2016,14.0,79.0,5.64,,,,,,,,,
,,2016 - 2017,14.0,99.0,7.07,,,,,,,,,
,,2017 - 2018,18.0,99.0,5.5,,,,,,,,,
,,2018 - 2019,18.0,105.0,5.83,,,,,,,,,
,,2019 - 2020,19.0,105.0,5.53,,,,,,,,,
,,2020 - 2021,19.0,108.0,5.68,,,,,,,,,
,,2021 - 2022,20.0,128.0,6.4,,,,,,,,,
,,2022 - 2023,23.0,136.0,5.91,,,,,,,,,
,Leparada,2019 - 2020,63.0,448.0,7.11,,,,,,,,,
,,2020 - 2021,63.0,453.0,7.19,,,,,,,,,
,,2021 - 2022,64.0,485.0,7.58,,,,,,,,,
,,2022 - 2023,75.0,569.0,7.59,,,,,,,,,
,Lohit,2000 - 2001,,,9.8,,,,,,,,,
,,2001 - 2002,716.0,,10.0,,,,,,,,,
,,2002 - 2003,695.0,,10.0,,,,,,,,,
,,2003 - 2004,896.0,,9.0,,,,,,,,,
,,2004 - 2005,,,7.0,,,,,,,,,
,,2005 - 2006,555.0,,8.2,,,,,,,,,
,,2006 - 2007,895.0,,8.15,,,,,,,,,
,,2007 - 2008,890.0,,8.23,,,,,,,,,
,,2008 - 2009,928.0,,8.38,,,,,,,,,
,,2009 - 2010,920.0,,8.2,,,,,,,,,
,,2010 - 2011,985.0,,8.96,,,,,,,,,
,,2011 - 2012,,,8.98,,,,,,,,,
,,2012 - 2013,,,9.05,,,,,,,,,
,,2013 - 2014,,,9.07,,,,,,,,,
,,2014 - 2015,,,8.8,,,,,,,,,
,,2015 - 2016,141.0,,8.67,,,,,,,,,
,,2016 - 2017,155.0,,7.88,,,,,,,,,
,,2017 - 2018,159.0,,7.31,,,,,,,,,
,,2018 - 2019,159.0,,7.35,,,,,,,,,
,,2019 - 2020,160.0,,7.31,,,,,,,,,
,,2020 - 2021,160.0,,7.34,,,,,,,,,
,,2021 - 2022,166.0,,7.57,,,,,,,,,
,,2022 - 2023,174.0,,7.57,,,,,,,,,
,Longding,2013 - 2014,17.0,139.0,8.18,,,,,,,,,
,,2014 - 2015,39.0,230.0,5.9,,,,,,,,,
,,2015 - 2016,39.0,274.0,7.03,,,,,,,,,
,,2016 - 2017,39.0,274.0,7.03,,,,,,,,,
,,2017 - 2018,43.0,274.0,6.37,,,,,,,,,
,,2018 - 2019,43.0,280.0,6.51,,,,,,,,,
,,2019 - 2020,43.0,280.0,6.51,,,,,,,,,
,,2020 - 2021,43.0,285.0,6.63,,,,,,,,,
,,2021 - 2022,44.0,302.0,6.86,,,,,,,,,
,,2022 - 2023,49.0,336.0,6.86,,,,,,,,,
,Lower dibang valley,2002 - 2003,,,7.0,,,,,,,,,
,,2003 - 2004,,,8.5,,,,,,,,,
,,2004 - 2005,430.0,,5.65,,,,,,,,,
,,2005 - 2006,,,7.0,,,,,,,,,
,,2006 - 2007,,,7.5,,,,,,,,,
,,2007 - 2008,,,7.5,,,,,,,,,
,,2008 - 2009,,,7.5,,,,,,,,,
,,2009 - 2010,,,7.5,,,,,,,,,
,,2010 - 2011,,,7.5,,,,,,,,,
,,2011 - 2012,,,7.52,,,,,,,,,
,,2012 - 2013,,,8.0,,,,,,,,,
,,2013 - 2014,,,8.0,,,,,,,,,
,,2014 - 2015,,,7.87,,,,,,,,,
,,2015 - 2016,,,7.89,,,,,,,,,
,,2016 - 2017,,,7.85,,,,,,,,,
,,2017 - 2018,,,7.73,,,,,,,,,
,,2018 - 2019,,,7.73,,,,,,,,,
,,2019 - 2020,,,7.67,,,,,,,,,
,,2020 - 2021,,,7.68,,,,,,,,,
,,2021 - 2022,,,7.72,,,,,,,,,
,,2022 - 2023,,,7.72,,,,,,,,,
,Lower siang,2018 - 2019,422.0,,7.36,,,,,,,,,
,,2019 - 2020,381.0,,7.15,,,,,,,,,
,,2020 - 2021,381.0,,7.16,,,,,,,,,
,,2021 - 2022,399.0,,7.26,,,,,,,,,
,,2022 - 2023,406.0,,7.26,,,,,,,,,
,Lower subansiri,2000 - 2001,65.0,357.0,5.49,,,,,,,,,
,,2001 - 2002,75.0,530.0,7.07,,,,,,,,,
,,2002 - 2003,56.0,386.0,6.89,,,,,,,,,
,,2003 - 2004,65.0,450.0,6.92,,,,,,,,,
,,2004 - 2005,66.0,309.0,4.68,,,,,,,,,
,,2005 - 2006,76.0,484.0,6.37,,,,,,,,,
,,2006 - 2007,78.0,494.0,6.33,,,,,,,,,
,,2007 - 2008,100.0,600.0,6.0,,,,,,,,,
,,2008 - 2009,105.0,630.0,6.0,,,,,,,,,
,,2009 - 2010,109.0,656.0,6.02,,,,,,,,,
,,2010 - 2011,188.0,,5.65,,,,,,,,,
,,2011 - 2012,194.0,,5.65,,,,,,,,,
,,2012 - 2013,194.0,,5.65,,,,,,,,,
,,2013 - 2014,192.0,,5.65,,,,,,,,,
,,2014 - 2015,279.0,,4.92,,,,,,,,,
,,2015 - 2016,259.0,,5.47,,,,,,,,,
,,2016 - 2017,259.0,,5.54,,,,,,,,,
,,2017 - 2018,263.0,,5.46,,,,,,,,,
,,2018 - 2019,176.0,968.0,5.5,,,,,,,,,
,,2019 - 2020,177.0,968.0,5.47,,,,,,,,,
,,2020 - 2021,178.0,973.0,5.47,,,,,,,,,
,,2021 - 2022,190.0,,5.67,,,,,,,,,
,,2022 - 2023,198.0,,5.67,,,,,,,,,
,Namsai,2015 - 2016,761.0,,8.39,,,,,,,,,
,,2016 - 2017,775.0,,8.24,,,,,,,,,
,,2017 - 2018,784.0,,7.74,,,,,,,,,
,,2018 - 2019,784.0,,7.74,,,,,,,,,
,,2019 - 2020,785.0,,7.63,,,,,,,,,
,,2020 - 2021,785.0,,7.64,,,,,,,,,
,,2021 - 2022,801.0,,7.69,,,,,,,,,
,,2022 - 2023,815.0,,7.69,,,,,,,,,
,Pakke kessang,2019 - 2020,42.0,192.0,4.57,,,,,,,,,
,,2020 - 2021,43.0,197.0,4.58,,,,,,,,,
,,2021 - 2022,44.0,216.0,4.91,,,,,,,,,
,,2022 - 2023,48.0,236.0,4.92,,,,,,,,,
,Papum pare,2000 - 2001,50.0,350.0,7.0,,,,,,,,,
,,2001 - 2002,55.0,385.0,7.0,,,,,,,,,
,,2002 - 2003,65.0,395.0,6.08,,,,,,,,,
,,2003 - 2004,57.0,452.0,7.93,,,,,,,,,
,,2004 - 2005,635.0,,8.8,,,,,,,,,
,,2005 - 2006,100.0,726.0,7.26,,,,,,,,,
,,2006 - 2007,105.0,750.0,7.14,,,,,,,,,
,,2007 - 2008,90.0,626.0,6.96,,,,,,,,,
,,2008 - 2009,85.0,610.0,7.18,,,,,,,,,
,,2009 - 2010,100.0,,10.3,,,,,,,,,
,,2010 - 2011,104.0,,10.25,,,,,,,,,
,,2011 - 2012,187.0,,5.88,,,,,,,,,
,,2012 - 2013,112.0,,9.9,,,,,,,,,
,,2013 - 2014,145.0,,9.6,,,,,,,,,
,,2014 - 2015,232.0,,7.25,,,,,,,,,
,,2015 - 2016,212.0,,8.14,,,,,,,,,
,,2016 - 2017,226.0,,7.64,,,,,,,,,
,,2017 - 2018,230.0,,7.5,,,,,,,,,
,,2018 - 2019,230.0,,7.53,,,,,,,,,
,,2019 - 2020,231.0,,7.16,,,,,,,,,
,,2020 - 2021,232.0,,7.15,,,,,,,,,
,,2021 - 2022,240.0,,7.31,,,,,,,,,
,,2022 - 2023,248.0,,7.31,,,,,,,,,
,Shi yomi,2019 - 2020,19.0,131.0,6.89,,,,,,,,,
,,2020 - 2021,19.0,134.0,7.05,,,,,,,,,
,,2021 - 2022,20.0,142.0,7.1,,,,,,,,,
,,2022 - 2023,22.0,115.0,5.23,,,,,,,,,
,Siang,2015 - 2016,447.0,,7.99,,,,,,,,,
,,2016 - 2017,461.0,,7.75,,,,,,,,,
,,2017 - 2018,465.0,,7.17,,,,,,,,,
,,2018 - 2019,475.0,,7.05,,,,,,,,,
,,2019 - 2020,475.0,,7.05,,,,,,,,,
,,2020 - 2021,475.0,,7.06,,,,,,,,,
,,2021 - 2022,495.0,,7.24,,,,,,,,,
,,2022 - 2023,517.0,,7.34,,,,,,,,,
,Tawang,2002 - 2003,32.0,80.0,2.5,,,,,,,,,
,,2003 - 2004,32.0,80.0,2.5,,,,,,,,,
,,2004 - 2005,28.0,70.0,2.5,,,,,,,,,
,,2005 - 2006,26.0,65.0,2.5,,,,,,,,,
