state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
,,2008 - 2009,,,,145.0,638.88,4.41,,,,,,
,,2009 - 2010,,,,112.0,91.0,0.81,,,,,,
,,2012 - 2013,,,,46.0,37.0,0.8,,,,,,
,,2013 - 2014,,,,104.0,84.0,0.81,,,,,,
,,2014 - 2015,,,,103.0,83.0,0.81,,,,,,
,,2015 - 2016,,,,121.0,97.0,0.8,,,,,,
,,2016 - 2017,,,,107.0,86.0,0.8,,,,,,
,,2017 - 2018,,,,86.0,70.0,0.81,,,,,,
,,2018 - 2019,,,,85.0,69.0,0.81,,,,,,
,,2019 - 2020,,,,82.0,66.0,0.8,,,,,,
,,2020 - 2021,,,,82.0,66.0,0.8,,,,,,
,,2021 - 2022,,,,90.0,73.0,0.81,,,,,,
,,2022 - 2023,,,,82.0,66.0,0.8,,,,,,
,Lakhisarai,2002 - 2003,1.0,1.0,1.0,,,,,,,,,
,,2003 - 2004,4.0,3.0,0.75,,,,,,,,,
,,2006 - 2007,,,,3.0,2.0,0.67,,,,,,
,Madhepura,2002 - 2003,43.0,31.0,0.72,,,,,,,,,
,,2003 - 2004,62.0,44.0,0.71,,,,,,,,,
,,2004 - 2005,76.0,66.0,0.87,,,,,,,,,
,,2005 - 2006,67.0,54.0,0.81,,,,,,,,,
,,2006 - 2007,,,,16.0,13.0,0.81,,,,,,
,,2007 - 2008,,,,114.0,505.55,4.43,,,,,,
,,2008 - 2009,,,,99.0,438.88,4.43,,,,,,
,,2009 - 2010,,,,41.0,33.0,0.8,,,,,,
,,2013 - 2014,,,,77.0,62.0,0.81,,,,,,
,,2014 - 2015,,,,82.0,66.0,0.8,,,,,,
,,2015 - 2016,,,,129.0,104.0,0.81,,,,,,
,,2016 - 2017,,,,68.0,55.0,0.81,,,,,,
,,2017 - 2018,,,,56.0,45.0,0.8,,,,,,
,,2018 - 2019,,,,27.0,22.0,0.81,,,,,,
,,2019 - 2020,,,,27.0,22.0,0.81,,,,,,
,,2020 - 2021,,,,9.0,7.0,0.78,,,,,,
,Madhubani,2002 - 2003,362.0,281.0,0.78,,,,,,,,,
,,2003 - 2004,70.0,50.0,0.71,,,,,,,,,
,,2004 - 2005,70.0,56.0,0.8,,,,,,,,,
,,2005 - 2006,30.0,23.0,0.77,,,,,,,,,
,,2006 - 2007,,,,19.0,15.0,0.79,,,,,,
,,2007 - 2008,,,,38.0,166.66,4.39,,,,,,
,,2008 - 2009,,,,36.0,161.11,4.48,,,,,,
,,2009 - 2010,,,,34.0,28.0,0.82,,,,,,
,,2012 - 2013,,,,3.0,2.0,0.67,,,,,,
,,2013 - 2014,,,,3.0,2.0,0.67,,,,,,
,,2014 - 2015,,,,6.0,5.0,0.83,,,,,,
,,2015 - 2016,,,,7.0,6.0,0.86,,,,,,
,,2016 - 2017,,,,5.0,4.0,0.8,,,,,,
,,2017 - 2018,,,,5.0,4.0,0.8,,,,,,
,,2018 - 2019,,,,4.0,3.0,0.75,,,,,,
,,2019 - 2020,,,,3.0,2.0,0.67,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Munger,2002 - 2003,10.0,7.0,0.7,,,,,,,,,
,,2003 - 2004,10.0,7.0,0.7,,,,,,,,,
,,2004 - 2005,10.0,8.0,0.8,,,,,,,,,
,,2005 - 2006,10.0,8.0,0.8,,,,,,,,,
,,2006 - 2007,,,,55.0,45.0,0.82,,,,,,
,,2007 - 2008,,,,46.0,200.0,4.35,,,,,,
,,2009 - 2010,,,,47.0,38.0,0.81,,,,,,
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,,,,
,,2014 - 2015,,,,15.0,12.0,0.8,,,,,,
,,2015 - 2016,,,,15.0,12.0,0.8,,,,,,
,,2017 - 2018,,,,1.0,1.0,1.0,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,Muzaffarpur,2002 - 2003,3.0,2.0,0.67,,,,,,,,,
,,2003 - 2004,3.0,2.0,0.67,,,,,,,,,
,,2004 - 2005,3.0,2.0,0.67,,,,,,,,,
,,2005 - 2006,3.0,2.0,0.67,,,,,,,,,
,,2006 - 2007,,,,3.0,2.0,0.67,,,,,,
,,2007 - 2008,,,,3.0,11.11,3.7,,,,,,
,,2008 - 2009,,,,7.0,33.33,4.76,,,,,,
,Nalanda,2002 - 2003,140.0,100.0,0.71,,,,,,,,,
,,2003 - 2004,137.0,98.0,0.72,,,,,,,,,
,,2004 - 2005,140.0,113.0,0.81,,,,,,,,,
,,2005 - 2006,150.0,85.0,0.57,,,,,,,,,
,,2006 - 2007,,,,142.0,81.0,0.57,,,,,,
,,2007 - 2008,,,,124.0,477.77,3.85,,,,,,
,,2008 - 2009,,,,140.0,538.88,3.85,,,,,,
,,2016 - 2017,,,,2.0,2.0,1.0,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Nawada,2002 - 2003,92.0,65.0,0.71,,,,,,,,,
,,2003 - 2004,68.0,49.0,0.72,,,,,,,,,
,,2004 - 2005,27.0,22.0,0.81,,,,,,,,,
,,2005 - 2006,69.0,56.0,0.81,,,,,,,,,
,,2006 - 2007,,,,46.0,38.0,0.83,,,,,,
,,2007 - 2008,,,,81.0,361.11,4.46,,,,,,
,,2008 - 2009,,,,94.0,416.66,4.43,,,,,,
,,2009 - 2010,,,,88.0,72.0,0.82,,,,,,
,,2012 - 2013,,,,49.0,39.0,0.8,,,,,,
,,2013 - 2014,,,,53.0,43.0,0.81,,,,,,
,,2014 - 2015,,,,66.0,53.0,0.8,,,,,,
,,2015 - 2016,,,,37.0,30.0,0.81,,,,,,
,,2016 - 2017,,,,43.0,34.0,0.79,,,,,,
,,2017 - 2018,,,,51.0,41.0,0.8,,,,,,
,,2018 - 2019,,,,36.0,29.0,0.81,,,,,,
,,2019 - 2020,,,,38.0,31.0,0.82,,,,,,
,,2020 - 2021,,,,39.0,31.0,0.79,,,,,,
,,2021 - 2022,,,,39.0,31.0,0.79,,,,,,
,,2022 - 2023,,,,39.0,33.0,0.85,,,,,,
,Pashchim champaran,2013 - 2014,,,,1.0,1.0,1.0,,,,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,,,,
,,2017 - 2018,,,,1.0,1.0,1.0,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,Patna,2002 - 2003,9.0,6.0,0.67,,,,,,,,,
,,2003 - 2004,3.0,2.0,0.67,,,,,,,,,
,,2004 - 2005,3.0,2.0,0.67,,,,,,,,,
,,2005 - 2006,4.0,2.0,0.5,,,,,,,,,
,,2006 - 2007,,,,4.0,2.0,0.5,,,,,,
,,2008 - 2009,,,,2.0,5.55,2.78,,,,,,
,,2012 - 2013,,,,4.0,3.0,0.75,,,,,,
,Purbi champaran,2002 - 2003,192.0,137.0,0.71,,,,,,,,,
,,2003 - 2004,5.0,4.0,0.8,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,1.0,1.0,1.0,,,,,,,,,
,,2006 - 2007,,,,1.0,1.0,1.0,,,,,,
,,2007 - 2008,,,,1.0,5.55,5.55,,,,,,
,,2008 - 2009,,,,1.0,55.55,55.55,,,,,,
,,2009 - 2010,,,,1.0,1.0,1.0,,,,,,
,Rohtas,2002 - 2003,1.0,1.0,1.0,,,,,,,,,
,,2003 - 2004,6.0,4.0,0.67,,,,,,,,,
,,2005 - 2006,7.0,4.0,0.57,,,,,,,,,
,,2006 - 2007,,,,7.0,4.0,0.57,,,,,,
,Saharsa,2002 - 2003,113.0,80.0,0.71,,,,,,,,,
,,2003 - 2004,111.0,80.0,0.72,,,,,,,,,
,,2004 - 2005,91.0,79.0,0.87,,,,,,,,,
,,2005 - 2006,54.0,44.0,0.81,,,,,,,,,
,,2006 - 2007,,,,42.0,35.0,0.83,,,,,,
,,2007 - 2008,,,,54.0,238.88,4.42,,,,,,
,,2008 - 2009,,,,90.0,400.0,4.44,,,,,,
,,2009 - 2010,,,,106.0,86.0,0.81,,,,,,
,,2012 - 2013,,,,68.0,54.0,0.79,,,,,,
,,2013 - 2014,,,,65.0,52.0,0.8,,,,,,
,,2014 - 2015,,,,7.0,6.0,0.86,,,,,,
,,2015 - 2016,,,,57.0,46.0,0.81,,,,,,
,,2016 - 2017,,,,49.0,40.0,0.82,,,,,,
,,2017 - 2018,,,,26.0,21.0,0.81,,,,,,
,,2018 - 2019,,,,28.0,23.0,0.82,,,,,,
,,2019 - 2020,,,,26.0,21.0,0.81,,,,,,
,,2020 - 2021,,,,24.0,19.0,0.79,,,,,,
,,2021 - 2022,,,,26.0,21.0,0.81,,,,,,
,,2022 - 2023,,,,12.0,10.0,0.83,,,,,,
,Samastipur,2002 - 2003,14.0,11.0,0.79,,,,,,,,,
,,2003 - 2004,15.0,11.0,0.73,,,,,,,,,
,,2004 - 2005,16.0,13.0,0.81,,,,,,,,,
,,2005 - 2006,16.0,12.0,0.75,,,,,,,,,
,,2008 - 2009,,,,6.0,27.77,4.63,,,,,,
,,2009 - 2010,,,,22.0,18.0,0.82,,,,,,
,,2013 - 2014,,,,147.0,118.0,0.8,,,,,,
,,2014 - 2015,,,,172.0,138.0,0.8,,,,,,
,,2015 - 2016,,,,39.0,31.0,0.79,,,,,,
,,2016 - 2017,,,,29.0,23.0,0.79,,,,,,
,,2017 - 2018,,,,60.0,48.0,0.8,,,,,,
,,2018 - 2019,,,,56.0,45.0,0.8,,,,,,
,,2019 - 2020,,,,141.0,114.0,0.81,,,,,,
,,2020 - 2021,,,,100.0,81.0,0.81,,,,,,
,,2021 - 2022,,,,99.0,80.0,0.81,,,,,,
,,2022 - 2023,,,,97.0,78.0,0.8,,,,,,
,Saran,2002 - 2003,39.0,24.0,0.62,,,,,,,,,
,,2003 - 2004,10.0,7.0,0.7,,,,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,,,,
,,2005 - 2006,30.0,24.0,0.8,,,,,,,,,
,,2006 - 2007,,,,14.0,12.0,0.86,,,,,,
,,2007 - 2008,,,,29.0,122.22,4.21,,,,,,
,,2008 - 2009,,,,2.0,11.11,5.56,,,,,,
,,2013 - 2014,,,,31.0,25.0,0.81,,,,,,
,,2014 - 2015,,,,31.0,25.0,0.81,,,,,,
,,2015 - 2016,,,,25.0,20.0,0.8,,,,,,
,,2016 - 2017,,,,28.0,23.0,0.82,,,,,,
,,2017 - 2018,,,,24.0,19.0,0.79,,,,,,
,,2018 - 2019,,,,20.0,16.0,0.8,,,,,,
,,2019 - 2020,,,,14.0,11.0,0.79,,,,,,
,,2020 - 2021,,,,9.0,7.0,0.78,,,,,,
,,2021 - 2022,,,,9.0,7.0,0.78,,,,,,
,,2022 - 2023,,,,11.0,9.0,0.82,,,,,,
,Sheikhpura,2003 - 2004,10.0,7.0,0.7,,,,,,,,,
,,2004 - 2005,2.0,2.0,1.0,,,,,,,,,
,,2005 - 2006,8.0,6.0,0.75,,,,,,,,,
,,2012 - 2013,,,,8.0,6.0,0.75,,,,,,
,,2017 - 2018,,,,1.0,1.0,1.0,,,,,,
,Sheohar,2005 - 2006,3.0,2.0,0.67,,,,,,,,,
,,2006 - 2007,,,,4.0,3.0,0.75,,,,,,
,Sitamarhi,2002 - 2003,32.0,23.0,0.72,,,,,,,,,
,,2003 - 2004,32.0,23.0,0.72,,,,,,,,,
,,2004 - 2005,19.0,15.0,0.79,,,,,,,,,
,,2005 - 2006,19.0,15.0,0.79,,,,,,,,,
,,2006 - 2007,,,,23.0,19.0,0.83,,,,,,
,,2007 - 2008,,,,50.0,222.22,4.44,,,,,,
,,2008 - 2009,,,,40.0,177.77,4.44,,,,,,
,,2009 - 2010,,,,51.0,42.0,0.82,,,,,,
,Siwan,2002 - 2003,151.0,93.0,0.62,,,,,,,,,
,,2003 - 2004,144.0,103.0,0.72,,,,,,,,,
,,2004 - 2005,185.0,126.0,0.68,,,,,,,,,
,,2005 - 2006,171.0,139.0,0.81,,,,,,,,,
,,2006 - 2007,,,,170.0,140.0,0.82,,,,,,
,,2007 - 2008,,,,201.0,844.44,4.2,,,,,,
,,2008 - 2009,,,,122.0,511.11,4.19,,,,,,
,,2009 - 2010,,,,122.0,99.0,0.81,,,,,,
,,2012 - 2013,,,,152.0,122.0,0.8,,,,,,
,,2013 - 2014,,,,54.0,43.0,0.8,,,,,,
,,2014 - 2015,,,,44.0,35.0,0.8,,,,,,
,,2015 - 2016,,,,43.0,35.0,0.81,,,,,,
,,2016 - 2017,,,,43.0,35.0,0.81,,,,,,
,,2017 - 2018,,,,43.0,35.0,0.81,,,,,,
,,2018 - 2019,,,,43.0,35.0,0.81,,,,,,
,,2019 - 2020,,,,43.0,35.0,0.81,,,,,,
,,2020 - 2021,,,,43.0,35.0,0.81,,,,,,
,,2021 - 2022,,,,43.0,35.0,0.81,,,,,,
,,2022 - 2023,,,,43.0,35.0,0.81,,,,,,
,Supaul,2002 - 2003,55.0,39.0,0.71,,,,,,,,,
,,2003 - 2004,136.0,98.0,0.72,,,,,,,,,
,,2004 - 2005,686.0,593.0,0.86,,,,,,,,,
,,2005 - 2006,17.0,14.0,0.82,,,,,,,,,
,,2007 - 2008,,,,1.0,5.55,5.55,,,,,,
,,2009 - 2010,,,,15.0,12.0,0.8,,,,,,
,,2012 - 2013,,,,173.0,140.0,0.81,,,,,,
,,2013 - 2014,,,,158.0,127.0,0.8,,,,,,
,,2014 - 2015,,,,254.0,204.0,0.8,,,,,,
,,2015 - 2016,,,,266.0,214.0,0.8,,,,,,
,,2016 - 2017,,,,226.0,183.0,0.81,,,,,,
,Vaishali,2005 - 2006,1.0,1.0,1.0,,,,,,,,,
,,2007 - 2008,,,,3.0,11.11,3.7,,,,,,
,,2008 - 2009,,,,3.0,11.11,3.7,,,,,,
,,2014 - 2015,,,,49.0,39.0,0.8,,,,,,
Chhattisgarh,Balod,2011 - 2012,1.0,2.0,2.0,,,,,,,,,
,,2016 - 2017,,,,5.0,2.0,0.4,,,,,,
,,2020 - 2021,,,,1.0,0.0,0.0,,,,,,
,Baloda bazar,2011 - 2012,8.0,48.0,6.0,,,,,,,,,
,,2012 - 2013,8.0,3.0,0.38,,,,,,,,,
,,2013 - 2014,,,,9.0,4.0,0.44,,,,,,
,,2014 - 2015,,,,12.0,5.0,0.42,,,,,,
,,2015 - 2016,,,,33.0,19.0,0.58,,,,,,
,,2016 - 2017,,,,9.0,4.0,0.44,,,,,,
,,2017 - 2018,,,,40.0,18.0,0.45,,,,,,
,Balrampur,2011 - 2012,199.0,360.0,1.81,,,,,,,,,
,,2012 - 2013,65.0,19.0,0.29,,,,,,,,,
,,2013 - 2014,,,,242.0,46.0,0.19,,,,,,
,,2014 - 2015,,,,227.0,67.0,0.3,,,,,,
,,2015 - 2016,,,,223.0,136.0,0.61,,,,,,
,,2016 - 2017,,,,208.0,130.0,0.63,,,,,,
,,2017 - 2018,,,,273.0,167.0,0.61,,,,,,
,,2018 - 2019,,,,218.0,134.0,0.61,,,,,,
,,2019 - 2020,,,,32.0,21.0,0.66,,,,,,
,,2020 - 2021,,,,268.0,161.0,0.6,,,,,,
,,2021 - 2022,,,,392.0,300.0,0.77,,,,,,
,,2022 - 2023,,,,289.0,191.0,0.66,,,,,,
,Bastar,2000 - 2001,84.0,32.0,0.38,,,,,,,,,
,,2001 - 2002,79.0,30.0,0.38,,,,,,,,,
,,2002 - 2003,76.0,24.0,0.32,,,,,,,,,
,,2003 - 2004,72.0,28.0,0.39,,,,,,,,,
,,2004 - 2005,104.0,40.0,0.38,,,,,,,,,
,,2005 - 2006,84.0,33.0,0.39,,,,,,,,,
,,2006 - 2007,59.0,21.0,0.36,,,,,,,,,
,,2007 - 2008,81.0,34.0,0.42,,,,,,,,,
,,2008 - 2009,66.0,21.0,0.32,,,,,,,,,
,,2009 - 2010,77.0,26.0,0.34,,,,,,,,,
,,2010 - 2011,71.0,29.0,0.41,,,,,,,,,
,,2011 - 2012,28.0,67.0,2.39,,,,,,,,,
,,2012 - 2013,38.0,17.0,0.45,,,,,,,,,
,,2013 - 2014,,,,31.0,14.0,0.45,,,,,,
,,2014 - 2015,,,,47.0,20.0,0.43,,,,,,
,,2015 - 2016,,,,30.0,10.0,0.33,,,,,,
,,2016 - 2017,,,,15.0,6.0,0.4,,,,,,
,,2017 - 2018,,,,29.0,12.0,0.41,,,,,,
,,2018 - 2019,,,,18.0,7.0,0.39,,,,,,
,,2019 - 2020,,,,6.0,3.0,0.5,,,,,,
,,2020 - 2021,,,,67.0,4.0,0.06,,,,,,
,Bemetara,2012 - 2013,4.0,1.0,0.25,,,,,,,,,
,,2021 - 2022,,,,3.0,1.0,0.33,,,,,,
,Bijapur,2006 - 2007,15.0,,0.0,,,,,,,,,
,,2007 - 2008,13.0,4.0,0.31,,,,,,,,,
,,2008 - 2009,13.0,3.0,0.23,,,,,,,,,
,,2009 - 2010,8.0,2.0,0.25,,,,,,,,,
,,2010 - 2011,7.0,3.0,0.43,,,,,,,,,
,,2011 - 2012,6.0,9.0,1.5,,,,,,,,,
,,2012 - 2013,5.0,2.0,0.4,,,,,,,,,
,,2013 - 2014,,,,7.0,3.0,0.43,,,,,,
,,2014 - 2015,,,,4.0,1.0,0.25,,,,,,
,,2015 - 2016,,,,4.0,1.0,0.25,,,,,,
,,2016 - 2017,,,,1.0,,0.0,,,,,,
