state,district,year,cowpea_rabi_area_hectare,cowpea_rabi_production_tonne,cowpea_rabi_yield_tonne_per_hectare,cowpea_kharif_area_hectare,cowpea_kharif_production_tonne,cowpea_kharif_yield_tonne_per_hectare,cowpea_summer_area_hectare,cowpea_summer_production_tonne,cowpea_summer_yield_tonne_per_hectare,cowpea_whole_year_area_hectare,cowpea_whole_year_production_tonne,cowpea_whole_year_yield_tonne_per_hectare
,,2014 - 2015,,,,8.0,3.0,0.38,,,,,,
,,2015 - 2016,22.0,19.0,0.86,,,,,,,,,
,,2018 - 2019,,,,6.0,1.0,0.17,,,,,,
,,2020 - 2021,1.0,1.0,1.0,4.0,3.0,0.75,,,,,,
,,2021 - 2022,10.0,10.0,1.0,1.0,1.0,1.0,,,,,,
,Kadapa,2011 - 2012,409.0,326.0,0.8,465.0,110.0,0.24,,,,,,
,,2012 - 2013,,,0.0,,,1.0,,,,,,
,,2013 - 2014,881.0,397.0,0.45,,590.0,0.51,,,,,,
,,2014 - 2015,831.0,212.0,0.26,,256.0,0.22,,,,,,
,,2015 - 2016,530.0,192.0,0.36,,842.0,0.52,,,,,,
,,2016 - 2017,313.0,45.0,0.14,917.0,971.0,1.06,,,,,,
,,2017 - 2018,917.0,683.0,0.74,486.0,257.0,0.53,,,,,,
,,2018 - 2019,,126.0,0.09,175.0,47.0,0.27,,,,,,
,,2019 - 2020,252.0,90.0,0.36,304.0,84.0,0.28,,,,,,
,,2020 - 2021,293.0,85.0,0.29,245.0,56.0,0.23,,,,,,
,,2021 - 2022,404.0,98.0,0.24,447.0,43.0,0.1,,,,,,
,,2022 - 2023,29.0,29.0,1.0,41.0,25.0,0.61,,,,,,
,Kakinada,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Krishna,2019 - 2020,14.0,7.0,0.5,4.0,2.0,0.5,,,,,,
,,2020 - 2021,9.0,9.0,1.0,3.0,2.0,0.67,,,,,,
,,2021 - 2022,29.0,28.0,0.97,,,,,,,,,
,Kurnool,2011 - 2012,12.0,10.0,0.83,4.0,1.0,0.25,,,,,,
,,2013 - 2014,57.0,47.0,0.82,,,,,,,,,
,,2014 - 2015,20.0,22.0,1.1,,,,,,,,,
,,2015 - 2016,25.0,8.0,0.32,1.0,1.0,1.0,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,6.0,3.0,0.5,,,,,,,,,
,,2020 - 2021,6.0,6.0,1.0,,,,,,,,,
,,2021 - 2022,5.0,5.0,1.0,,,,,,,,,
,,2022 - 2023,8.0,8.0,1.0,,,,,,,,,
,Nandyal,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,Ntr,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,Palnadu,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Prakasam,2011 - 2012,,,0.8,3.0,1.0,0.33,,,,,,
,,2012 - 2013,,,1.17,,,,,,,,,
,,2013 - 2014,,,0.93,377.0,181.0,0.48,,,,,,
,,2014 - 2015,,,1.28,897.0,780.0,0.87,,,,,,
,,2015 - 2016,,,0.93,,,1.23,,,,,,
,,2016 - 2017,,,0.72,229.0,98.0,0.43,,,,,,
,,2017 - 2018,,,0.77,977.0,194.0,0.2,,,,,,
,,2018 - 2019,,,0.57,714.0,74.0,0.1,,,,,,
,,2019 - 2020,,,0.51,63.0,76.0,1.21,,,,,,
,,2020 - 2021,,,1.05,313.0,233.0,0.74,,,,,,
,,2021 - 2022,,,1.02,99.0,109.0,1.1,,,,,,
,,2022 - 2023,,,1.03,72.0,44.0,0.61,,,,,,
,Spsr nellore,2011 - 2012,98.0,78.0,0.8,,,,,,,,,
,,2013 - 2014,106.0,87.0,0.82,,,,,,,,,
,,2014 - 2015,102.0,115.0,1.13,,,,,,,,,
,,2015 - 2016,84.0,73.0,0.87,,,,,,,,,
,,2016 - 2017,9.0,6.0,0.67,,,,,,,,,
,,2017 - 2018,66.0,49.0,0.74,,,,,,,,,
,,2018 - 2019,131.0,114.0,0.87,12.0,1.0,0.08,,,,,,
,,2019 - 2020,210.0,142.0,0.68,4.0,2.0,0.5,,,,,,
,,2020 - 2021,60.0,32.0,0.53,2.0,2.0,1.0,,,,,,
,,2021 - 2022,49.0,47.0,0.96,,,,,,,,,
,,2022 - 2023,152.0,152.0,1.0,6.0,4.0,0.67,,,,,,
,Sri sathya sai,2022 - 2023,56.0,56.0,1.0,108.0,66.0,0.61,,,,,,
,Tirupati,2022 - 2023,21.0,21.0,1.0,84.0,51.0,0.61,,,,,,
,Visakhapatanam,2011 - 2012,450.0,359.0,0.8,487.0,104.0,0.21,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,467.0,382.0,0.82,391.0,203.0,0.52,,,,,,
,,2014 - 2015,374.0,117.0,0.31,415.0,116.0,0.28,,,,,,
,,2015 - 2016,554.0,187.0,0.34,370.0,158.0,0.43,,,,,,
,,2016 - 2017,483.0,324.0,0.67,196.0,82.0,0.42,,,,,,
,,2017 - 2018,307.0,85.0,0.28,202.0,145.0,0.72,,,,,,
,,2018 - 2019,294.0,48.0,0.16,114.0,23.0,0.2,,,,,,
,,2019 - 2020,299.0,92.0,0.31,116.0,32.0,0.28,,,,,,
,,2020 - 2021,198.0,69.0,0.35,103.0,38.0,0.37,,,,,,
,,2021 - 2022,203.0,87.0,0.43,69.0,25.0,0.36,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Vizianagaram,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,West godavari,2011 - 2012,379.0,302.0,0.8,3.0,1.0,0.33,,,,,,
,,2013 - 2014,526.0,431.0,0.82,19.0,9.0,0.47,,,,,,
,,2014 - 2015,244.0,109.0,0.45,21.0,9.0,0.43,,,,,,
,,2015 - 2016,198.0,43.0,0.22,14.0,12.0,0.86,,,,,,
,,2016 - 2017,65.0,37.0,0.57,5.0,3.0,0.6,,,,,,
,,2017 - 2018,23.0,6.0,0.26,28.0,20.0,0.71,,,,,,
,,2018 - 2019,57.0,29.0,0.51,8.0,1.0,0.13,,,,,,
,,2019 - 2020,57.0,30.0,0.53,2.0,1.0,0.5,,,,,,
,,2020 - 2021,5.0,5.0,1.0,,,,,,,,,
,,2021 - 2022,9.0,9.0,1.0,5.0,3.0,0.6,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2016 - 2017,,,,6.0,7.2,1.2,,,,,,
,,2018 - 2019,,,,6.0,7.2,1.2,,,,,,
,,2019 - 2020,,,,6.0,7.2,1.2,,,,,,
Haryana,Hisar,2021 - 2022,,,,3.0,0.0,0.0,,,,,,
Jammu and Kashmir,Badgam,2006 - 2007,,,,61.0,30.5,0.5,,,,,,
,Bandipora,2010 - 2011,,,,762.0,382.3,0.5,,,,,,
,,2015 - 2016,,,,40.0,8.0,0.2,,,,,,
,,2016 - 2017,,,,41.0,8.2,0.2,,,,,,
,Baramulla,2006 - 2007,,,,,411.3,0.3,,,,,,
,,2011 - 2012,,,,32.0,16.1,0.5,,,,,,
,,2015 - 2016,,,,214.0,42.8,0.2,,,,,,
,,2016 - 2017,,,,213.0,42.6,0.2,,,,,,
,Jammu,2006 - 2007,137.0,93.3,0.68,,,,,,,,,
,,2010 - 2011,45.0,90.4,2.01,,,,,,,,,
,,2015 - 2016,160.0,87.8,0.55,,,,,,,,,
,,2016 - 2017,160.0,87.8,0.55,2.0,0.4,0.2,,,,,,
,Kathua,2015 - 2016,1.0,0.9,0.9,,,,,,,,,
,,2016 - 2017,2.0,1.8,0.9,,,,,,,,,
,Kishtwar,2015 - 2016,28.0,15.3,0.55,,,,,,,,,
,Leh ladakh,2010 - 2011,4.0,8.2,2.05,,,,,,,,,
,Samba,2015 - 2016,4.0,2.2,0.55,,,,,,,,,
Karnataka,Bagalkot,2010 - 2011,931.0,246.0,0.26,225.0,116.0,0.52,,,,,,
,,2011 - 2012,940.0,331.0,0.35,524.0,277.0,0.53,,,,,,
,,2012 - 2013,154.0,51.0,0.33,166.0,45.0,0.27,792.0,285.0,0.36,,,
,,2013 - 2014,45.0,19.0,0.42,555.0,207.0,0.37,894.0,352.0,0.39,,,
,,2014 - 2015,120.0,44.0,0.37,83.0,36.0,0.43,546.0,200.0,0.37,,,
,,2015 - 2016,162.0,72.0,0.44,151.0,63.0,0.42,577.0,173.0,0.3,,,
,,2016 - 2017,55.0,1.0,0.02,255.0,195.0,0.76,585.0,108.0,0.18,,,
,,2017 - 2018,115.0,47.0,0.41,60.0,14.0,0.23,215.0,64.0,0.3,,,
,,2018 - 2019,40.0,11.0,0.28,10.0,4.0,0.4,335.0,44.0,0.13,,,
,,2019 - 2020,659.0,322.0,0.49,58.0,16.0,0.28,408.0,98.0,0.24,,,
,,2020 - 2021,499.0,348.0,0.7,61.0,20.0,0.33,673.0,213.0,0.32,,,
,,2021 - 2022,952.0,612.0,0.64,46.0,16.0,0.35,385.0,81.0,0.21,,,
,,2022 - 2023,629.0,367.0,0.58,131.0,48.0,0.37,139.0,39.0,0.28,,,
,Bangalore rural,2010 - 2011,3.0,1.0,0.33,996.0,999.0,1.0,,,,,,
,,2011 - 2012,22.0,8.0,0.36,845.0,621.0,0.73,,,,,,
,,2012 - 2013,36.0,12.0,0.33,747.0,136.0,0.18,2.0,1.0,0.5,,,
,,2013 - 2014,16.0,7.0,0.44,920.0,404.0,0.44,,,,,,
,,2014 - 2015,29.0,11.0,0.38,591.0,881.0,1.49,1.0,,0.0,,,
,,2015 - 2016,22.0,10.0,0.45,636.0,317.0,0.5,2.0,1.0,0.5,,,
,,2016 - 2017,,,,654.0,501.0,0.77,2.0,,0.0,,,
,,2017 - 2018,13.0,5.0,0.38,593.0,135.0,0.23,,,,,,
,,2018 - 2019,,,,51.0,19.0,0.37,,,,,,
,,2019 - 2020,5.0,2.0,0.4,192.0,55.0,0.29,1.0,,0.0,,,
,,2020 - 2021,8.0,6.0,0.75,61.0,20.0,0.33,,,,,,
,,2021 - 2022,4.0,3.0,0.75,52.0,18.0,0.35,1.0,0.21,0.21,,,
,,2022 - 2023,5.0,3.0,0.6,39.0,14.0,0.36,1.0,0.28,0.28,,,
,Belgaum,2010 - 2011,572.0,151.0,0.26,,673.0,0.43,,,,,,
,,2011 - 2012,485.0,171.0,0.35,,583.0,0.44,,,,,,
,,2012 - 2013,193.0,64.0,0.33,628.0,98.0,0.16,306.0,110.0,0.36,,,
,,2013 - 2014,147.0,62.0,0.42,,365.0,0.21,126.0,50.0,0.4,,,
,,2014 - 2015,166.0,61.0,0.37,871.0,830.0,0.95,210.0,77.0,0.37,,,
,,2015 - 2016,157.0,70.0,0.45,509.0,82.0,0.16,151.0,45.0,0.3,,,
,,2016 - 2017,149.0,4.0,0.03,499.0,382.0,0.77,118.0,22.0,0.19,,,
,,2017 - 2018,279.0,113.0,0.41,,286.0,0.23,128.0,38.0,0.3,,,
,,2018 - 2019,125.0,35.0,0.28,98.0,37.0,0.38,102.0,13.0,0.13,,,
,,2019 - 2020,262.0,128.0,0.49,71.0,20.0,0.28,311.0,74.0,0.24,,,
,,2020 - 2021,546.0,381.0,0.7,103.0,34.0,0.33,128.0,41.0,0.32,,,
,,2021 - 2022,595.0,382.0,0.64,94.0,33.0,0.35,178.0,38.0,0.21,,,
,,2022 - 2023,260.0,151.0,0.58,53.0,19.0,0.36,69.0,19.0,0.28,,,
,Bellary,2010 - 2011,,481.0,0.26,362.0,187.0,0.52,,,,,,
,,2011 - 2012,,333.0,0.27,518.0,274.0,0.53,,,,,,
,,2012 - 2013,615.0,205.0,0.33,572.0,156.0,0.27,772.0,181.0,0.23,,,
,,2013 - 2014,245.0,104.0,0.42,226.0,84.0,0.37,768.0,482.0,0.63,,,
,,2014 - 2015,929.0,341.0,0.37,284.0,125.0,0.44,834.0,352.0,0.42,,,
,,2015 - 2016,913.0,405.0,0.44,484.0,200.0,0.41,,742.0,0.33,,,
,,2016 - 2017,496.0,12.0,0.02,169.0,129.0,0.76,538.0,148.0,0.28,,,
,,2017 - 2018,491.0,199.0,0.41,391.0,89.0,0.23,790.0,314.0,0.4,,,
,,2018 - 2019,545.0,153.0,0.28,764.0,289.0,0.38,896.0,117.0,0.13,,,
,,2019 - 2020,,,0.49,185.0,53.0,0.29,126.0,30.0,0.24,,,
,,2020 - 2021,,,0.7,202.0,66.0,0.33,776.0,246.0,0.32,,,
,,2021 - 2022,,,0.64,215.0,76.0,0.35,401.0,85.0,0.21,,,
,,2022 - 2023,235.0,137.0,0.58,41.0,15.0,0.37,12.0,3.0,0.25,,,
,Bengaluru urban,2010 - 2011,40.0,11.0,0.28,456.0,236.0,0.52,,,,,,
,,2011 - 2012,73.0,26.0,0.36,595.0,314.0,0.53,,,,,,
,,2012 - 2013,15.0,5.0,0.33,275.0,75.0,0.27,32.0,12.0,0.38,,,
,,2013 - 2014,27.0,11.0,0.41,269.0,100.0,0.37,22.0,9.0,0.41,,,
,,2014 - 2015,30.0,11.0,0.37,173.0,76.0,0.44,1.0,,0.0,,,
,,2015 - 2016,4.0,2.0,0.5,315.0,130.0,0.41,6.0,2.0,0.33,,,
,,2016 - 2017,6.0,,0.0,236.0,181.0,0.77,3.0,1.0,0.33,,,
,,2017 - 2018,11.0,4.0,0.36,217.0,49.0,0.23,5.0,1.0,0.2,,,
,,2018 - 2019,1.0,,0.0,64.0,24.0,0.38,7.0,1.0,0.14,,,
,,2019 - 2020,1.0,,0.0,332.0,94.0,0.28,5.0,1.0,0.2,,,
,,2020 - 2021,1.0,1.0,1.0,32.0,11.0,0.34,,,,,,
,,2021 - 2022,,,,39.0,14.0,0.36,9.0,2.0,0.22,,,
,,2022 - 2023,1.0,1.0,1.0,28.0,10.0,0.36,,,,,,
,Bidar,2010 - 2011,,,,19.0,10.0,0.53,,,,,,
,,2011 - 2012,,,,31.0,16.0,0.52,,,,,,
,,2012 - 2013,,,,123.0,34.0,0.28,,,,,,
,,2013 - 2014,,,,204.0,76.0,0.37,,,,,,
,,2014 - 2015,,,,54.0,24.0,0.44,,,,,,
,,2015 - 2016,,,,85.0,35.0,0.41,,,,,,
,,2016 - 2017,,,,37.0,28.0,0.76,,,,,,
,,2017 - 2018,,,,125.0,28.0,0.22,,,,,,
,,2018 - 2019,30.0,8.0,0.27,128.0,48.0,0.38,,,,,,
,,2019 - 2020,2.0,1.0,0.5,7.0,2.0,0.29,,,,,,
,,2020 - 2021,20.0,14.0,0.7,9.0,3.0,0.33,,,,,,
,,2021 - 2022,69.0,44.0,0.64,6.0,2.0,0.33,13.0,3.0,0.23,,,
,,2022 - 2023,,,,1.0,0.36,0.36,3.0,1.0,0.33,,,
,Bijapur,2010 - 2011,335.0,88.0,0.26,878.0,275.0,0.31,,,,,,
,,2011 - 2012,196.0,69.0,0.35,735.0,156.0,0.21,,,,,,
,,2012 - 2013,206.0,69.0,0.33,252.0,76.0,0.3,154.0,55.0,0.36,,,
,,2013 - 2014,14.0,6.0,0.43,249.0,58.0,0.23,181.0,71.0,0.39,,,
,,2014 - 2015,,,,285.0,32.0,0.11,152.0,56.0,0.37,,,
,,2015 - 2016,,,,142.0,7.0,0.05,216.0,65.0,0.3,,,
,,2016 - 2017,,,,274.0,210.0,0.77,,,,,,
,,2017 - 2018,,,,89.0,20.0,0.22,56.0,17.0,0.3,,,
,,2018 - 2019,220.0,62.0,0.28,12.0,5.0,0.42,33.0,4.0,0.12,,,
,,2019 - 2020,74.0,36.0,0.49,32.0,9.0,0.28,10.0,2.0,0.2,,,
,,2020 - 2021,88.0,61.0,0.69,78.0,26.0,0.33,,,,,,
,,2021 - 2022,53.0,34.0,0.64,49.0,17.0,0.35,43.0,9.0,0.21,,,
,,2022 - 2023,36.0,21.0,0.58,38.0,14.0,0.37,5.0,1.0,0.2,,,
,Chamarajanagar,2010 - 2011,390.0,103.0,0.26,,966.0,0.39,,,,,,
,,2011 - 2012,279.0,98.0,0.35,,,0.37,,,,,,
,,2012 - 2013,930.0,310.0,0.33,,323.0,0.09,,,,,,
,,2013 - 2014,154.0,49.0,0.32,,,0.37,,,,,,
,,2014 - 2015,,,,,870.0,0.23,,,,,,
,,2015 - 2016,,586.0,0.44,,780.0,0.29,,,,,,
,,2016 - 2017,,,,,,0.77,,,,,,
,,2017 - 2018,53.0,24.0,0.45,,,0.41,,,,,,
,,2018 - 2019,434.0,122.0,0.28,,662.0,0.39,,,,,,
,,2019 - 2020,204.0,100.0,0.49,,350.0,0.29,,,,,,
,,2020 - 2021,54.0,38.0,0.7,,457.0,0.42,4.0,1.0,0.25,,,
,,2021 - 2022,183.0,118.0,0.64,797.0,441.0,0.55,2.0,0.41,0.21,,,
,,2022 - 2023,562.0,327.0,0.58,457.0,190.0,0.42,25.0,7.0,0.28,,,
,Chikballapur,2010 - 2011,8.0,2.0,0.25,,,0.71,,,,,,
,,2011 - 2012,22.0,8.0,0.36,,691.0,0.54,,,,,,
,,2012 - 2013,20.0,7.0,0.35,,,1.15,5.0,2.0,0.4,,,
,,2013 - 2014,,,,,338.0,0.25,,,,,,
,,2014 - 2015,,,,,910.0,0.89,,,,,,
,,2015 - 2016,,,,,484.0,0.46,,,,,,
,,2016 - 2017,,,,,992.0,0.77,,,,,,
,,2017 - 2018,,,,,403.0,0.23,,,,,,
,,2018 - 2019,,,,70.0,26.0,0.37,,,,,,
,,2019 - 2020,16.0,8.0,0.5,272.0,77.0,0.28,1.0,,0.0,,,
,,2020 - 2021,28.0,20.0,0.71,166.0,55.0,0.33,,,,,,
,,2021 - 2022,24.0,15.0,0.63,97.0,35.0,0.36,14.0,3.0,0.21,,,
,,2022 - 2023,43.0,25.0,0.58,80.0,29.0,0.36,22.0,6.0,0.27,,,
,Chikmagalur,2010 - 2011,52.0,14.0,0.27,839.0,220.0,0.26,,,,,,
,,2011 - 2012,20.0,7.0,0.35,683.0,229.0,0.34,,,,,,
,,2012 - 2013,,,,229.0,63.0,0.28,4.0,1.0,0.25,,,
,,2013 - 2014,,,,285.0,87.0,0.31,129.0,51.0,0.4,,,
,,2014 - 2015,,,,503.0,175.0,0.35,,,,,,
,,2015 - 2016,,,,816.0,306.0,0.38,79.0,24.0,0.3,,,
,,2016 - 2017,,,,748.0,573.0,0.77,35.0,6.0,0.17,,,
,,2017 - 2018,,,,344.0,78.0,0.23,72.0,21.0,0.29,,,
,,2018 - 2019,,,,885.0,335.0,0.38,30.0,4.0,0.13,,,
,,2019 - 2020,6.0,3.0,0.5,106.0,30.0,0.28,51.0,12.0,0.24,,,
,,2020 - 2021,5.0,3.0,0.6,38.0,13.0,0.34,,,,,,
,,2021 - 2022,25.0,16.0,0.64,654.0,233.0,0.36,2.0,0.41,0.21,,,
,,2022 - 2023,95.0,55.0,0.58,598.0,219.0,0.37,4.0,1.0,0.25,,,
,Chitradurga,2010 - 2011,142.0,38.0,0.27,934.0,755.0,0.81,,,,,,
,,2011 - 2012,135.0,48.0,0.36,915.0,481.0,0.53,,,,,,
,,2012 - 2013,22.0,7.0,0.32,406.0,280.0,0.69,12.0,4.0,0.33,,,
,,2013 - 2014,250.0,106.0,0.42,743.0,267.0,0.36,15.0,6.0,0.4,,,
,,2014 - 2015,263.0,96.0,0.37,523.0,230.0,0.44,71.0,26.0,0.37,,,
,,2015 - 2016,158.0,70.0,0.44,559.0,396.0,0.71,11.0,3.0,0.27,,,
,,2016 - 2017,45.0,1.0,0.02,386.0,296.0,0.77,,,,,,
,,2017 - 2018,61.0,25.0,0.41,373.0,85.0,0.23,,,,,,
,,2018 - 2019,163.0,46.0,0.28,72.0,27.0,0.38,,,,,,
,,2019 - 2020,44.0,21.0,0.48,145.0,41.0,0.28,2.0,,0.0,,,
,,2020 - 2021,78.0,54.0,0.69,69.0,23.0,0.33,3.0,1.0,0.33,,,
,,2021 - 2022,66.0,42.0,0.64,367.0,130.0,0.35,18.0,4.0,0.22,,,
,,2022 - 2023,156.0,91.0,0.58,196.0,72.0,0.37,1.0,0.28,0.28,,,
,Dakshin kannad,2010 - 2011,559.0,148.0,0.26,,,,,,,,,
,,2011 - 2012,534.0,188.0,0.35,,,,,,,,,
,,2012 - 2013,161.0,54.0,0.34,,,,429.0,154.0,0.36,,,
,,2013 - 2014,168.0,71.0,0.42,,,,477.0,188.0,0.39,,,
,,2014 - 2015,129.0,47.0,0.36,2.0,1.0,0.5,322.0,118.0,0.37,,,
,,2015 - 2016,200.0,89.0,0.45,,,,343.0,103.0,0.3,,,
,,2016 - 2017,107.0,3.0,0.03,,,,163.0,30.0,0.18,,,
,,2017 - 2018,48.0,19.0,0.4,,,,156.0,47.0,0.3,,,
,,2018 - 2019,24.0,7.0,0.29,7.0,3.0,0.43,,,,,,
,,2019 - 2020,2.0,1.0,0.5,4.0,1.0,0.25,,,,,,
,,2020 - 2021,,,,6.0,2.0,0.33,,,,,,
,,2021 - 2022,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.21,0.21,,,
,,2022 - 2023,1.0,1.0,1.0,1.0,0.36,0.36,6.0,2.0,0.33,,,
,Davangere,2010 - 2011,,477.0,0.26,260.0,134.0,0.52,,,,,,
,,2011 - 2012,991.0,447.0,0.45,235.0,124.0,0.53,,,,,,
,,2012 - 2013,480.0,218.0,0.45,342.0,94.0,0.27,589.0,311.0,0.53,,,
,,2013 - 2014,446.0,299.0,0.67,363.0,136.0,0.37,418.0,142.0,0.34,,,
,,2014 - 2015,461.0,225.0,0.49,316.0,139.0,0.44,565.0,391.0,0.69,,,
,,2015 - 2016,151.0,67.0,0.44,169.0,70.0,0.41,770.0,268.0,0.35,,,
,,2016 - 2017,596.0,14.0,0.02,414.0,317.0,0.77,446.0,82.0,0.18,,,
,,2017 - 2018,907.0,434.0,0.48,421.0,96.0,0.23,274.0,55.0,0.2,,,
,,2018 - 2019,,340.0,0.28,43.0,16.0,0.37,172.0,22.0,0.13,,,
,,2019 - 2020,276.0,135.0,0.49,28.0,8.0,0.29,71.0,17.0,0.24,,,
,,2020 - 2021,583.0,406.0,0.7,43.0,14.0,0.33,120.0,30.0,0.25,,,
,,2021 - 2022,821.0,528.0,0.64,86.0,31.0,0.36,81.0,17.0,0.21,,,
,,2022 - 2023,869.0,507.0,0.58,38.0,14.0,0.37,56.0,16.0,0.29,,,
,Dharwad,2010 - 2011,92.0,24.0,0.26,,398.0,0.39,,,,,,
,,2011 - 2012,60.0,21.0,0.35,706.0,118.0,0.17,,,,,,
,,2012 - 2013,37.0,12.0,0.32,681.0,155.0,0.23,42.0,15.0,0.36,,,
,,2013 - 2014,46.0,19.0,0.41,752.0,480.0,0.64,36.0,14.0,0.39,,,
,,2014 - 2015,23.0,8.0,0.35,301.0,77.0,0.26,70.0,26.0,0.37,,,
,,2015 - 2016,57.0,25.0,0.44,125.0,13.0,0.1,121.0,36.0,0.3,,,
,,2016 - 2017,23.0,1.0,0.04,186.0,142.0,0.76,10.0,2.0,0.2,,,
,,2017 - 2018,50.0,20.0,0.4,165.0,37.0,0.22,7.0,2.0,0.29,,,
,,2018 - 2019,33.0,9.0,0.27,197.0,74.0,0.38,24.0,3.0,0.13,,,
,,2019 - 2020,118.0,58.0,0.49,65.0,18.0,0.28,28.0,7.0,0.25,,,
,,2020 - 2021,205.0,143.0,0.7,39.0,13.0,0.33,,,,,,
