state,district,year,coconut_whole_year_area_hectare,coconut_whole_year_production_nuts,coconut_whole_year_yield_tonne_per_hectare,coconut_kharif_area_hectare,coconut_kharif_production_nuts,coconut_kharif_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,23.0,,,,,
,Anakapalli,2022 - 2023,,,,,,
,Anantapur,2000 - 2001,908.0,,,,,
,,2001 - 2002,851.0,,,,,
,,2002 - 2003,869.0,,,,,
,,2003 - 2004,839.0,,,,,
,,2004 - 2005,837.0,,,,,
,,2005 - 2006,836.0,,,,,
,,2006 - 2007,790.0,,,,,
,,2008 - 2009,786.0,,,,,
,,2009 - 2010,725.0,,,,,
,,2010 - 2011,786.0,,,,,
,,2011 - 2012,895.0,,,,,
,,2012 - 2013,646.0,,,,,
,,2013 - 2014,552.0,,,,,
,,2014 - 2015,687.0,,,,,
,,2015 - 2016,699.0,,,,,
,,2016 - 2017,347.0,,,,,
,,2017 - 2018,556.0,,,,,
,,2018 - 2019,448.0,,,,,
,,2019 - 2020,358.0,,,,,
,,2020 - 2021,417.0,,,,,
,,2021 - 2022,422.0,,,,,
,,2022 - 2023,122.0,,,,,
,Annamayya,2022 - 2023,265.0,,,,,
,Bapatla,2022 - 2023,72.0,,,,,
,Chittoor,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,East godavari,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Eluru,2022 - 2023,,,,,,
,Guntur,2000 - 2001,519.0,,,,,
,,2001 - 2002,491.0,,,,,
,,2002 - 2003,399.0,,,,,
,,2003 - 2004,380.0,,,,,
,,2004 - 2005,215.0,,,,,
,,2005 - 2006,222.0,,,,,
,,2006 - 2007,213.0,,,,,
,,2008 - 2009,157.0,,,,,
,,2009 - 2010,136.0,,,,,
,,2010 - 2011,142.0,,,,,
,,2011 - 2012,125.0,,,,,
,,2012 - 2013,118.0,,,,,
,,2013 - 2014,111.0,,,,,
,,2014 - 2015,112.0,,,,,
,,2015 - 2016,99.0,,,,,
,,2016 - 2017,159.0,,,,,
,,2017 - 2018,110.0,,,,,
,,2018 - 2019,99.0,,,,,
,,2019 - 2020,97.0,,,,,
,,2020 - 2021,95.0,,,,,
,,2021 - 2022,109.0,,,,,
,,2022 - 2023,19.0,,,,,
,Kadapa,2000 - 2001,146.0,,,,,
,,2001 - 2002,148.0,,,,,
,,2002 - 2003,155.0,,,,,
,,2003 - 2004,104.0,,,,,
,,2004 - 2005,95.0,,,,,
,,2005 - 2006,96.0,,,,,
,,2006 - 2007,92.0,,,,,
,,2008 - 2009,126.0,,,,,
,,2009 - 2010,127.0,,,,,
,,2010 - 2011,131.0,,,,,
,,2011 - 2012,132.0,,,,,
,,2012 - 2013,114.0,,,,,
,,2013 - 2014,90.0,,,,,
,,2014 - 2015,121.0,,,,,
,,2015 - 2016,121.0,,,,,
,,2016 - 2017,120.0,,,,,
,,2017 - 2018,117.0,,,,,
,,2018 - 2019,116.0,,,,,
,,2019 - 2020,113.0,,,,,
,,2020 - 2021,81.0,,,,,
,,2021 - 2022,67.0,,,,,
,,2022 - 2023,11.0,,,,,
,Kakinada,2022 - 2023,,,,,,
,Konaseema,2022 - 2023,,,,,,
,Krishna,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,997.0,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,846.0,,,,,
,Kurnool,2000 - 2001,99.0,,,,,
,,2001 - 2002,110.0,,,,,
,,2002 - 2003,100.0,,,,,
,,2003 - 2004,86.0,,,,,
,,2004 - 2005,64.0,,,,,
,,2005 - 2006,60.0,,,,,
,,2006 - 2007,52.0,,,,,
,,2008 - 2009,71.0,,,,,
,,2009 - 2010,49.0,,,,,
,,2010 - 2011,51.0,,,,,
,,2011 - 2012,15.0,,,,,
,,2012 - 2013,16.0,,,,,
,,2013 - 2014,8.0,,,,,
,,2017 - 2018,14.0,,0.0,,,
,,2018 - 2019,10.0,,0.0,,,
,,2019 - 2020,5.0,,,,,
,,2020 - 2021,22.0,,,,,
,,2021 - 2022,19.0,,,,,
,,2022 - 2023,13.0,,,,,
,Nandyal,2022 - 2023,8.0,,,,,
,Ntr,2022 - 2023,72.0,,,,,
,Palnadu,2022 - 2023,12.0,,,,,
,Parvathipuram manyam,2022 - 2023,104.0,,,,,
,Prakasam,2000 - 2001,209.0,,,,,
,,2001 - 2002,202.0,,,,,
,,2002 - 2003,202.0,,,,,
,,2003 - 2004,200.0,,,,,
,,2004 - 2005,202.0,,,,,
,,2005 - 2006,123.0,,,,,
,,2006 - 2007,100.0,,,,,
,,2008 - 2009,63.0,,,,,
,,2009 - 2010,61.0,,,,,
,,2010 - 2011,73.0,,,,,
,,2011 - 2012,47.0,,,,,
,,2012 - 2013,39.0,,,,,
,,2013 - 2014,39.0,,,,,
,,2014 - 2015,37.0,,,,,
,,2015 - 2016,40.0,,,,,
,,2016 - 2017,40.0,,,,,
,,2017 - 2018,21.0,,,,,
,,2018 - 2019,19.0,,,,,
,,2019 - 2020,19.0,,,,,
,,2020 - 2021,55.0,,,,,
,,2021 - 2022,50.0,,,,,
,,2022 - 2023,20.0,,,,,
,Spsr nellore,2000 - 2001,422.0,,,,,
,,2001 - 2002,590.0,,,,,
,,2002 - 2003,599.0,,,,,
,,2003 - 2004,487.0,,,,,
,,2004 - 2005,536.0,,,,,
,,2005 - 2006,511.0,,,,,
,,2006 - 2007,511.0,,,,,
,,2008 - 2009,800.0,,,,,
,,2009 - 2010,800.0,,,,,
,,2010 - 2011,788.0,,,,,
,,2011 - 2012,769.0,,,,,
,,2012 - 2013,735.0,,,,,
,,2013 - 2014,543.0,,,,,
,,2014 - 2015,491.0,,,,,
,,2015 - 2016,498.0,,,,,
,,2016 - 2017,466.0,,,,,
,,2017 - 2018,406.0,,,,,
,,2018 - 2019,376.0,,,,,
,,2019 - 2020,390.0,,,,,
,,2020 - 2021,335.0,,,,,
,,2021 - 2022,343.0,,,,,
,,2022 - 2023,364.0,,,,,
,Sri sathya sai,2022 - 2023,387.0,,,,,
,Srikakulam,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Tirupati,2022 - 2023,172.0,,,,,
,Visakhapatanam,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,478.0,,,,,
,Vizianagaram,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,West godavari,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
Assam,Baksa,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,530.0,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,550.0,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,560.0,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,561.0,,,,,
,,2017 - 2018,561.0,,,,,
,,2018 - 2019,980.0,,,,,
,,2019 - 2020,950.0,,,,,
,,2020 - 2021,943.0,,,,,
,,2021 - 2022,943.0,,,,,
,,2022 - 2023,,,,,,
,Barpeta,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,957.0,,,,,
,,2003 - 2004,951.0,,,,,
,,2005 - 2006,982.0,,,,,
,,2006 - 2007,609.0,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Biswanath,2019 - 2020,498.0,,,,,
,,2020 - 2021,550.0,,,,,
,,2021 - 2022,550.0,,,,,
,,2022 - 2023,960.0,,,,,
,Bongaigaon,2000 - 2001,598.0,,,,,
,,2001 - 2002,633.0,,,,,
,,2002 - 2003,661.0,,,,,
,,2003 - 2004,718.0,,,,,
,,2005 - 2006,694.0,,,,,
,,2006 - 2007,534.0,,,,,
,,2007 - 2008,544.0,,,,,
,,2008 - 2009,554.0,,,,,
,,2009 - 2010,554.0,,,,,
,,2010 - 2011,578.0,,,,,
,,2011 - 2012,615.0,,,,,
,,2012 - 2013,618.0,,,,,
,,2013 - 2014,630.0,,,,,
,,2014 - 2015,610.0,,,,,
,,2015 - 2016,635.0,,,,,
,,2016 - 2017,637.0,,,,,
,,2017 - 2018,637.0,,,,,
,,2018 - 2019,635.0,,,,,
,,2019 - 2020,660.0,,,,,
,,2020 - 2021,657.0,,,,,
,,2021 - 2022,657.0,,,,,
,,2022 - 2023,623.0,,,,,
,Cachar,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,999.0,,980.98,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,990.0,,,,,
,,2017 - 2018,990.0,,,,,
,,2018 - 2019,991.0,,,,,
,,2019 - 2020,991.0,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,965.0,,,,,
,Charaideo,2019 - 2020,500.0,,,,,
,,2020 - 2021,480.0,,,,,
,,2021 - 2022,480.0,,,,,
,,2022 - 2023,184.0,,,,,
,Chirang,2006 - 2007,303.0,,,,,
,,2007 - 2008,341.0,,,,,
,,2008 - 2009,359.0,,,,,
,,2009 - 2010,323.0,,,,,
,,2010 - 2011,328.0,,,,,
,,2011 - 2012,451.0,,,,,
,,2012 - 2013,478.0,,,,,
,,2013 - 2014,583.0,,,,,
,,2014 - 2015,624.0,,,,,
,,2015 - 2016,517.0,,,,,
,,2016 - 2017,549.0,,,,,
,,2017 - 2018,549.0,,,,,
,,2018 - 2019,545.0,,,,,
,,2019 - 2020,545.0,,,,,
,,2020 - 2021,525.0,,,,,
,,2021 - 2022,525.0,,,,,
,,2022 - 2023,420.0,,,,,
,Darrang,2000 - 2001,981.0,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,178.0,,,,,
,,2007 - 2008,274.0,,,,,
,,2008 - 2009,410.0,,,,,
,,2009 - 2010,605.0,,,,,
,,2010 - 2011,589.0,,,,,
,,2011 - 2012,599.0,,,,,
,,2012 - 2013,606.0,,,,,
,,2013 - 2014,610.0,,,,,
,,2014 - 2015,583.0,,,,,
,,2015 - 2016,594.0,,,,,
,,2016 - 2017,598.0,,,,,
,,2017 - 2018,598.0,,,,,
,,2018 - 2019,607.0,,,,,
,,2019 - 2020,616.0,,,,,
,,2020 - 2021,615.0,,,,,
,,2021 - 2022,615.0,,,,,
,,2022 - 2023,613.0,,,,,
,Dhemaji,2000 - 2001,114.0,,,,,
,,2001 - 2002,116.0,,,,,
,,2002 - 2003,118.0,,,,,
,,2003 - 2004,118.0,,,,,
,,2005 - 2006,98.0,,,,,
,,2006 - 2007,114.0,,,,,
,,2007 - 2008,117.0,,,,,
,,2008 - 2009,109.0,,,,,
,,2009 - 2010,112.0,,,,,
,,2010 - 2011,133.0,,,,,
,,2011 - 2012,103.0,,,,,
,,2012 - 2013,102.0,,,,,
,,2013 - 2014,104.0,,,,,
,,2014 - 2015,94.0,,,,,
,,2015 - 2016,96.0,,,,,
,,2016 - 2017,94.0,,,,,
,,2017 - 2018,94.0,,,,,
,,2018 - 2019,100.0,,,,,
,,2019 - 2020,101.0,,,,,
,,2020 - 2021,97.0,,,,,
,,2021 - 2022,97.0,,,,,
,,2022 - 2023,150.0,,,,,
,Dhubri,2000 - 2001,601.0,,,,,
,,2001 - 2002,635.0,,,,,
,,2002 - 2003,538.0,,,,,
,,2003 - 2004,590.0,,,,,
,,2005 - 2006,650.0,,,,,
,,2006 - 2007,415.0,,,,,
,,2007 - 2008,372.0,,,,,
,,2008 - 2009,287.0,,,,,
,,2009 - 2010,330.0,,,,,
,,2010 - 2011,355.0,,,,,
,,2011 - 2012,368.0,,,,,
,,2012 - 2013,364.0,,,,,
,,2013 - 2014,364.0,,,,,
,,2014 - 2015,366.0,,,,,
,,2015 - 2016,364.0,,,,,
,,2016 - 2017,364.0,,,,,
,,2017 - 2018,364.0,,,,,
,,2018 - 2019,355.0,,,,,
,,2019 - 2020,347.0,,,,,
,,2020 - 2021,246.0,,,,,
,,2021 - 2022,246.0,,,,,
,,2022 - 2023,242.0,,,,,
,Dibrugarh,2000 - 2001,170.0,,,,,
,,2001 - 2002,170.0,,,,,
,,2002 - 2003,172.0,,,,,
,,2003 - 2004,180.0,,,,,
,,2005 - 2006,48.0,,,,,
,,2006 - 2007,37.0,,,,,
,,2007 - 2008,37.0,,,,,
,,2008 - 2009,30.0,,,,,
,,2009 - 2010,51.0,,,,,
,,2010 - 2011,51.0,,,,,
,,2011 - 2012,65.0,,584.62,,,
,,2012 - 2013,80.0,,,,,
,,2013 - 2014,85.0,,,,,
,,2014 - 2015,77.0,,,,,
,,2015 - 2016,77.0,,,,,
,,2016 - 2017,77.0,,,,,
,,2017 - 2018,83.0,,,,,
,,2018 - 2019,81.0,,,,,
,,2019 - 2020,81.0,,,,,
,,2020 - 2021,89.0,,,,,
,,2021 - 2022,89.0,,,,,
,,2022 - 2023,83.0,,,,,
,Dima hasao,2000 - 2001,44.0,,,,,
,,2001 - 2002,40.0,,,,,
,,2002 - 2003,43.0,,,,,
,,2003 - 2004,46.0,,,,,
,,2005 - 2006,45.0,,,,,
,,2006 - 2007,68.0,,,,,
,,2007 - 2008,63.0,,,,,
,,2008 - 2009,106.0,,,,,
,,2009 - 2010,91.0,,,,,
,,2010 - 2011,81.0,,765.43,,,
,,2011 - 2012,93.0,,,,,
,,2012 - 2013,93.0,,494.62,,,
,,2013 - 2014,164.0,,,,,
,,2014 - 2015,164.0,,408.54,,,
,,2015 - 2016,164.0,,615.85,,,
,,2016 - 2017,164.0,,,,,
,,2017 - 2018,164.0,,,,,
,,2018 - 2019,168.0,,,,,
,,2019 - 2020,168.0,,,,,
,,2020 - 2021,141.0,,,,,
,,2021 - 2022,141.0,,,,,
,,2022 - 2023,69.0,,,,,
,Goalpara,2000 - 2001,590.0,,,,,
,,2001 - 2002,601.0,,,,,
,,2002 - 2003,608.0,,,,,
,,2003 - 2004,610.0,,,,,
,,2005 - 2006,625.0,,,,,
,,2006 - 2007,325.0,,,,,
,,2007 - 2008,355.0,,,,,
,,2008 - 2009,330.0,,,,,
,,2009 - 2010,350.0,,,,,
,,2010 - 2011,360.0,,,,,
,,2011 - 2012,400.0,,,,,
,,2012 - 2013,430.0,,,,,
,,2013 - 2014,575.0,,,,,
,,2014 - 2015,736.0,,,,,
,,2015 - 2016,760.0,,,,,
,,2016 - 2017,754.0,,,,,
,,2017 - 2018,754.0,,,,,
,,2018 - 2019,770.0,,,,,
,,2019 - 2020,770.0,,,,,
,,2020 - 2021,797.0,,,,,
,,2021 - 2022,797.0,,,,,
,,2022 - 2023,802.0,,,,,
,Golaghat,2000 - 2001,561.0,,,,,
,,2001 - 2002,560.0,,,,,
,,2002 - 2003,566.0,,,,,
,,2003 - 2004,651.0,,,,,
,,2005 - 2006,658.0,,,,,
,,2006 - 2007,612.0,,,,,
,,2007 - 2008,639.0,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,977.0,,,,,
,,2021 - 2022,977.0,,,,,
,,2022 - 2023,238.0,,,,,
,Hailakandi,2000 - 2001,175.0,,651.43,,,
,,2001 - 2002,178.0,,,,,
,,2002 - 2003,190.0,,,,,
,,2003 - 2004,200.0,,,,,
,,2005 - 2006,220.0,,,,,
,,2006 - 2007,265.0,,,,,
,,2007 - 2008,280.0,,,,,
,,2008 - 2009,282.0,,,,,
,,2009 - 2010,280.0,,,,,
,,2010 - 2011,290.0,,,,,
,,2011 - 2012,315.0,,,,,
,,2012 - 2013,325.0,,,,,
,,2013 - 2014,269.0,,,,,
,,2014 - 2015,276.0,,,,,
,,2015 - 2016,280.0,,,,,
,,2016 - 2017,285.0,,,,,
,,2017 - 2018,285.0,,,,,
,,2018 - 2019,290.0,,,,,
,,2019 - 2020,292.0,,,,,
,,2020 - 2021,296.0,,,,,
,,2021 - 2022,296.0,,,,,
,,2022 - 2023,296.0,,,,,
,Hojai,2019 - 2020,495.0,,,,,
,,2020 - 2021,497.0,,,,,
,,2021 - 2022,497.0,,,,,
,,2022 - 2023,497.0,,,,,
,Jorhat,2000 - 2001,608.0,,,,,
,,2001 - 2002,548.0,,,,,
,,2002 - 2003,600.0,,,,,
,,2003 - 2004,606.0,,,,,
,,2005 - 2006,607.0,,,,,
,,2006 - 2007,569.0,,,,,
,,2007 - 2008,345.0,,,,,
,,2008 - 2009,345.0,,,,,
,,2009 - 2010,317.0,,,,,
,,2010 - 2011,357.0,,,,,
,,2011 - 2012,407.0,,,,,
,,2012 - 2013,404.0,,,,,
,,2013 - 2014,474.0,,,,,
,,2014 - 2015,453.0,,,,,
,,2015 - 2016,456.0,,,,,
,,2016 - 2017,453.0,,,,,
,,2017 - 2018,453.0,,,,,
,,2018 - 2019,463.0,,,,,
,,2019 - 2020,326.0,,,,,
,,2020 - 2021,327.0,,,,,
,,2021 - 2022,327.0,,,,,
,,2022 - 2023,329.0,,,,,
,Kamrup,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Kamrup metro,2006 - 2007,196.0,,,,,
,,2007 - 2008,198.0,,,,,
,,2008 - 2009,201.0,,,,,
,,2009 - 2010,251.0,,,,,
,,2010 - 2011,216.0,,,,,
,,2011 - 2012,208.0,,,,,
,,2012 - 2013,210.0,,,,,
,,2013 - 2014,210.0,,,,,
,,2014 - 2015,216.0,,,,,
,,2015 - 2016,200.0,,,,,
,,2016 - 2017,190.0,,,,,
,,2017 - 2018,190.0,,,,,
,,2018 - 2019,177.0,,,,,
,,2019 - 2020,176.0,,,,,
,,2020 - 2021,247.0,,,,,
,,2021 - 2022,247.0,,,,,
,,2022 - 2023,211.0,,,,,
,Karbi anglong,2000 - 2001,391.0,,,,,
,,2001 - 2002,396.0,,,,,
,,2002 - 2003,402.0,,,,,
,,2003 - 2004,408.0,,,,,
,,2005 - 2006,416.0,,,,,
,,2006 - 2007,394.0,,,,,
,,2007 - 2008,385.0,,,,,
,,2008 - 2009,435.0,,,,,
,,2009 - 2010,451.0,,,,,
,,2010 - 2011,423.0,,,,,
,,2011 - 2012,474.0,,,,,
,,2012 - 2013,466.0,,,,,
,,2013 - 2014,499.0,,,,,
,,2014 - 2015,512.0,,,,,
,,2015 - 2016,520.0,,,,,
,,2016 - 2017,516.0,,,,,
,,2017 - 2018,516.0,,,,,
,,2018 - 2019,574.0,,,,,
,,2019 - 2020,504.0,,,,,
,,2020 - 2021,503.0,,,,,
,,2021 - 2022,503.0,,,,,
,,2022 - 2023,495.0,,,,,
,Karimganj,2000 - 2001,470.0,,,,,
,,2001 - 2002,472.0,,,,,
,,2002 - 2003,474.0,,,,,
,,2003 - 2004,480.0,,,,,
,,2005 - 2006,480.0,,,,,
,,2006 - 2007,680.0,,,,,
,,2007 - 2008,699.0,,,,,
,,2008 - 2009,325.0,,,,,
,,2009 - 2010,687.0,,,,,
,,2010 - 2011,709.0,,,,,
,,2011 - 2012,711.0,,,,,
,,2012 - 2013,717.0,,,,,
,,2013 - 2014,723.0,,,,,
,,2014 - 2015,729.0,,,,,
,,2015 - 2016,730.0,,,,,
,,2016 - 2017,730.0,,,,,
,,2017 - 2018,730.0,,,,,
,,2018 - 2019,735.0,,,,,
,,2019 - 2020,735.0,,,,,
,,2020 - 2021,735.0,,,,,
,,2021 - 2022,735.0,,,,,
,,2022 - 2023,715.0,,,,,
,Kokrajhar,2000 - 2001,315.0,,,,,
,,2001 - 2002,325.0,,,,,
,,2002 - 2003,330.0,,,,,
,,2003 - 2004,335.0,,,,,
,,2005 - 2006,344.0,,,,,
,,2006 - 2007,401.0,,,,,
,,2007 - 2008,380.0,,,,,
,,2008 - 2009,383.0,,,,,
,,2009 - 2010,380.0,,,,,
,,2010 - 2011,385.0,,,,,
