state,district,year,safflower_rabi_area_hectare,safflower_rabi_production_tonne,safflower_rabi_yield_tonne_per_hectare,safflower_kharif_area_hectare,safflower_kharif_production_tonne,safflower_kharif_yield_tonne_per_hectare,safflower_whole_year_area_hectare,safflower_whole_year_production_tonne,safflower_whole_year_yield_tonne_per_hectare
,,2016 - 2017,83.0,61.0,0.73,4.0,3.0,0.75,,,
,,2017 - 2018,20.0,13.0,0.65,,,,,,
,,2018 - 2019,71.0,11.0,0.15,,,,,,
,,2019 - 2020,87.0,43.0,0.49,,,,,,
,,2020 - 2021,47.0,31.0,0.66,,,,,,
,,2021 - 2022,231.0,118.0,0.51,12.0,6.0,0.5,,,
,,2022 - 2023,54.0,31.0,0.57,,,,,,
,Nandyal,2022 - 2023,493.0,229.0,0.46,6.0,3.0,0.5,,,
,Prakasam,2005 - 2006,7.0,2.0,0.29,,,,,,
,,2006 - 2007,10.0,4.0,0.4,,,,,,
,,2013 - 2014,13.0,9.0,0.69,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,
,,2019 - 2020,7.0,3.0,0.43,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,
,,2021 - 2022,48.0,32.0,0.67,,,,,,
,,2022 - 2023,63.0,36.0,0.57,,,,,,
,Spsr nellore,2000 - 2001,3.0,1.0,0.33,,,,,,
,,2002 - 2003,118.0,38.0,0.32,,,,,,
,,2003 - 2004,,368.0,0.3,,,,,,
,,2004 - 2005,64.0,14.0,0.22,,,,,,
,,2022 - 2023,201.0,115.0,0.57,,,,,,
,Sri sathya sai,2022 - 2023,23.0,13.0,0.57,10.0,6.0,0.6,,,
,Srikakulam,2000 - 2001,2.0,,0.0,,,,,,
,,2022 - 2023,9.0,5.0,0.56,,,,,,
,Visakhapatanam,2018 - 2019,28.0,4.0,0.14,,,,,,
,Vizianagaram,2020 - 2021,2.0,1.0,0.5,,,,,,
,West godavari,2002 - 2003,6.0,2.0,0.33,,,,,,
Bihar,Araria,2011 - 2012,,,,1.0,1.0,1.0,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,
,Aurangabad,2001 - 2002,3.0,2.0,0.67,,,,,,
,Banka,2000 - 2001,12.0,10.0,0.83,,,,,,
,,2001 - 2002,8.0,6.0,0.75,,,,,,
,Begusarai,2000 - 2001,1.0,1.0,1.0,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,
,,2005 - 2006,4.0,3.0,0.75,,,,,,
,Bhagalpur,2002 - 2003,10.0,8.0,0.8,,,,,,
,,2003 - 2004,11.0,9.0,0.82,,,,,,
,,2004 - 2005,3.0,3.0,1.0,,,,,,
,,2005 - 2006,8.0,6.0,0.75,,,,,,
,,2007 - 2008,3.0,2.0,0.67,,,,,,
,,2008 - 2009,3.0,2.0,0.67,,,,,,
,Bhojpur,2016 - 2017,4.0,3.0,0.75,,,,,,
,,2017 - 2018,2.0,2.0,1.0,,,,,,
,Buxar,2000 - 2001,69.0,55.0,0.8,,,,,,
,,2001 - 2002,71.0,59.0,0.83,,,,,,
,,2002 - 2003,2.0,2.0,1.0,,,,,,
,,2003 - 2004,2.0,2.0,1.0,,,,,,
,Darbhanga,2007 - 2008,4.0,3.0,0.75,,,,,,
,,2008 - 2009,4.0,3.0,0.75,,,,,,
,,2010 - 2011,,,,4.0,3.0,0.75,,,
,,2011 - 2012,,,,101.0,81.0,0.8,,,
,,2012 - 2013,101.0,81.0,0.8,,,,,,
,,2013 - 2014,102.0,82.0,0.8,,,,,,
,,2014 - 2015,101.0,81.0,0.8,,,,,,
,,2015 - 2016,104.0,83.0,0.8,,,,,,
,,2016 - 2017,100.0,81.0,0.81,,,,,,
,,2017 - 2018,97.0,79.0,0.81,,,,,,
,,2018 - 2019,88.0,71.0,0.81,,,,,,
,,2019 - 2020,85.0,69.0,0.81,,,,,,
,,2020 - 2021,88.0,72.0,0.82,,,,,,
,,2021 - 2022,86.0,70.0,0.81,,,,,,
,,2022 - 2023,84.0,69.0,0.82,,,,,,
,Gaya,2002 - 2003,4.0,3.0,0.75,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,
,Gopalganj,2000 - 2001,150.0,120.0,0.8,,,,,,
,,2008 - 2009,11.0,9.0,0.82,,,,,,
,Katihar,2005 - 2006,5.0,4.0,0.8,,,,,,
,Khagaria,2000 - 2001,3.0,2.0,0.67,,,,,,
,,2001 - 2002,90.0,69.0,0.77,,,,,,
,,2002 - 2003,84.0,69.0,0.82,,,,,,
,,2003 - 2004,85.0,69.0,0.81,,,,,,
,,2004 - 2005,86.0,69.0,0.8,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,
,Kishanganj,2008 - 2009,9.0,7.0,0.78,,,,,,
,Madhepura,2007 - 2008,72.0,57.0,0.79,,,,,,
,,2008 - 2009,67.0,57.0,0.85,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,
,Munger,2010 - 2011,,,,21.0,17.0,0.81,,,
,Muzaffarpur,2003 - 2004,43.0,34.0,0.79,,,,,,
,,2004 - 2005,43.0,34.0,0.79,,,,,,
,,2005 - 2006,43.0,34.0,0.79,,,,,,
,,2010 - 2011,,,,6.0,5.0,0.83,,,
,,2011 - 2012,,,,2.0,2.0,1.0,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,
,Nalanda,2011 - 2012,,,,152.0,122.0,0.8,,,
,Nawada,2000 - 2001,4.0,3.0,0.75,,,,,,
,,2001 - 2002,4.0,3.0,0.75,,,,,,
,,2002 - 2003,4.0,3.0,0.75,,,,,,
,Pashchim champaran,2000 - 2001,32.0,25.0,0.78,,,,,,
,,2001 - 2002,29.0,23.0,0.79,,,,,,
,,2002 - 2003,36.0,29.0,0.81,,,,,,
,,2003 - 2004,36.0,29.0,0.81,,,,,,
,,2004 - 2005,35.0,28.0,0.8,,,,,,
,,2005 - 2006,36.0,29.0,0.81,,,,,,
,,2007 - 2008,22.0,18.0,0.82,,,,,,
,,2008 - 2009,23.0,18.0,0.78,,,,,,
,,2010 - 2011,,,,21.0,17.0,0.81,,,
,,2011 - 2012,,,,3.0,2.0,0.67,,,
,,2012 - 2013,2.0,2.0,1.0,,,,,,
,Patna,2020 - 2021,3.0,2.0,0.67,,,,,,
,Purnia,2005 - 2006,74.0,59.0,0.8,,,,,,
,,2008 - 2009,74.0,59.0,0.8,,,,,,
,Rohtas,2003 - 2004,22.0,18.0,0.82,,,,,,
,,2004 - 2005,18.0,15.0,0.83,,,,,,
,Saharsa,2000 - 2001,2.0,2.0,1.0,,,,,,
,,2001 - 2002,3.0,2.0,0.67,,,,,,
,,2010 - 2011,,,,5.0,4.0,0.8,,,
,Samastipur,2001 - 2002,17.0,7.0,0.41,,,,,,
,,2008 - 2009,4.0,3.0,0.75,,,,,,
,,2013 - 2014,,,0.81,,,,,,
,Saran,2005 - 2006,1.0,1.0,1.0,,,,,,
,,2008 - 2009,4.0,3.0,0.75,,,,,,
,Sitamarhi,2001 - 2002,12.0,10.0,0.83,,,,,,
,,2002 - 2003,12.0,10.0,0.83,,,,,,
,,2007 - 2008,10.0,8.0,0.8,,,,,,
,,2008 - 2009,12.0,10.0,0.83,,,,,,
,,2010 - 2011,,,,13.0,10.0,0.77,,,
,,2011 - 2012,,,,2.0,2.0,1.0,,,
,Siwan,2000 - 2001,2.0,2.0,1.0,,,,,,
,Supaul,2004 - 2005,24.0,19.0,0.79,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,
,Vaishali,2002 - 2003,10.0,8.0,0.8,,,,,,
,,2004 - 2005,6.0,5.0,0.83,,,,,,
,,2011 - 2012,,,,21.0,17.0,0.81,,,
Chhattisgarh,Balod,2011 - 2012,15.0,4.0,0.27,,,,,,
,,2012 - 2013,111.0,24.0,0.22,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,
,,2014 - 2015,14.0,4.0,0.29,,,,,,
,,2015 - 2016,5.0,1.0,0.2,,,,,,
,,2016 - 2017,22.0,7.0,0.32,,,,,,
,,2017 - 2018,37.0,4.0,0.11,,,,,,
,,2020 - 2021,6.0,1.0,0.17,,,,,,
,,2021 - 2022,16.0,4.0,0.25,,,,,,
,,2022 - 2023,11.0,3.0,0.27,,,,,,
,Baloda bazar,2011 - 2012,67.0,17.0,0.25,,,,,,
,,2012 - 2013,49.0,13.0,0.27,,,,,,
,,2013 - 2014,82.0,20.0,0.24,,,,,,
,,2014 - 2015,91.0,27.0,0.3,,,,,,
,,2015 - 2016,82.0,19.0,0.23,,,,,,
,,2016 - 2017,53.0,17.0,0.32,,,,,,
,,2017 - 2018,11.0,2.0,0.18,,,,,,
,,2018 - 2019,4.0,1.0,0.25,,,,,,
,,2019 - 2020,6.0,2.0,0.33,,,,,,
,,2020 - 2021,4.0,1.0,0.25,,,,,,
,,2021 - 2022,32.0,2.0,0.06,,,,,,
,,2022 - 2023,1.0,0.0,0.0,,,,,,
,Bastar,2000 - 2001,3.0,1.0,0.33,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,Bemetara,2011 - 2012,94.0,22.0,0.23,,,,,,
,,2012 - 2013,198.0,51.0,0.26,,,,,,
,,2013 - 2014,203.0,40.0,0.2,,,,,,
,,2014 - 2015,116.0,25.0,0.22,,,,,,
,,2015 - 2016,81.0,26.0,0.32,,,,,,
,,2016 - 2017,37.0,13.0,0.35,,,,,,
,,2017 - 2018,62.0,21.0,0.34,,,,,,
,,2018 - 2019,14.0,6.0,0.43,,,,,,
,,2019 - 2020,5.0,2.0,0.4,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,7.0,3.0,0.43,,,,,,
,,2022 - 2023,6.0,3.0,0.5,,,,,,
,Bilaspur,2000 - 2001,635.0,126.0,0.2,,,,,,
,,2001 - 2002,73.0,16.0,0.22,,,,,,
,,2002 - 2003,20.0,4.0,0.2,,,,,,
,,2003 - 2004,116.0,24.0,0.21,,,,,,
,,2004 - 2005,102.0,19.0,0.19,,,,,,
,,2005 - 2006,103.0,22.0,0.21,,,,,,
,,2006 - 2007,315.0,61.0,0.19,,,,,,
,,2007 - 2008,50.0,11.0,0.22,,,,,,
,,2008 - 2009,307.0,65.0,0.21,,,,,,
,,2009 - 2010,302.0,120.0,0.4,,,,,,
,,2010 - 2011,348.0,129.0,0.37,,,,,,
,,2012 - 2013,22.0,8.0,0.36,,,,,,
,,2013 - 2014,23.0,49.0,2.13,,,,,,
,,2015 - 2016,12.0,5.0,0.42,,,,,,
,,2016 - 2017,10.0,4.0,0.4,,,,,,
,,2017 - 2018,8.0,2.0,0.25,,,,,,
,,2018 - 2019,5.0,3.0,0.6,,,,,,
,,2019 - 2020,2.0,1.0,0.5,,,,,,
,,2020 - 2021,3.0,3.0,1.0,,,,,,
,,2021 - 2022,3.0,3.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Dantewada,2005 - 2006,1.0,,0.0,,,,,,
,Dhamtari,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2001 - 2002,15.0,4.0,0.27,,,,,,
,,2002 - 2003,104.0,22.0,0.21,,,,,,
,,2003 - 2004,196.0,49.0,0.25,,,,,,
,,2004 - 2005,307.0,65.0,0.21,,,,,,
,,2005 - 2006,396.0,100.0,0.25,,,,,,
,,2006 - 2007,221.0,57.0,0.26,,,,,,
,,2007 - 2008,112.0,29.0,0.26,,,,,,
,,2008 - 2009,50.0,13.0,0.26,,,,,,
,,2009 - 2010,70.0,19.0,0.27,,,,,,
,,2010 - 2011,50.0,13.0,0.26,,,,,,
,,2011 - 2012,35.0,9.0,0.26,,,,,,
,,2012 - 2013,13.0,4.0,0.31,,,,,,
,,2013 - 2014,8.0,2.0,0.25,,,,,,
,,2014 - 2015,10.0,3.0,0.3,,,,,,
,,2015 - 2016,2.0,1.0,0.5,,,,,,
,,2016 - 2017,14.0,4.0,0.29,,,,,,
,,2017 - 2018,13.0,4.0,0.31,,,,,,
,,2018 - 2019,20.0,7.0,0.35,,,,,,
,,2020 - 2021,1.0,0.0,0.0,,,,,,
,Durg,2000 - 2001,109.0,21.0,0.19,,,,,,
,,2001 - 2002,108.0,26.0,0.24,,,,,,
,,2002 - 2003,91.0,21.0,0.23,,,,,,
,,2003 - 2004,235.0,56.0,0.24,,,,,,
,,2004 - 2005,311.0,65.0,0.21,,,,,,
,,2005 - 2006,258.0,65.0,0.25,,,,,,
,,2006 - 2007,267.0,61.0,0.23,,,,,,
,,2007 - 2008,207.0,52.0,0.25,,,,,,
,,2008 - 2009,211.0,53.0,0.25,,,,,,
,,2009 - 2010,298.0,59.0,0.2,,,,,,
,,2010 - 2011,174.0,40.0,0.23,,,,,,
,,2011 - 2012,33.0,8.0,0.24,,,,,,
,,2012 - 2013,32.0,9.0,0.28,,,,,,
,,2013 - 2014,20.0,5.0,0.25,,,,,,
,,2014 - 2015,86.0,23.0,0.27,,,,,,
,,2015 - 2016,82.0,19.0,0.23,,,,,,
,,2016 - 2017,10.0,3.0,0.3,,,,,,
,,2017 - 2018,5.0,1.0,0.2,,,,,,
,,2018 - 2019,18.0,3.0,0.17,,,,,,
,,2019 - 2020,18.0,2.0,0.11,,,,,,
,,2020 - 2021,7.0,2.0,0.29,,,,,,
,,2021 - 2022,22.0,5.0,0.23,,,,,,
,,2022 - 2023,44.0,10.0,0.23,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,12.0,4.0,0.33,,,,,,
,Janjgir-champa,2000 - 2001,21.0,4.0,0.19,,,,,,
,,2002 - 2003,54.0,10.0,0.19,,,,,,
,,2003 - 2004,28.0,7.0,0.25,,,,,,
,,2004 - 2005,26.0,6.0,0.23,,,,,,
,,2005 - 2006,34.0,8.0,0.24,,,,,,
,,2006 - 2007,44.0,11.0,0.25,,,,,,
,,2007 - 2008,37.0,8.0,0.22,,,,,,
,,2008 - 2009,27.0,6.0,0.22,,,,,,
,,2009 - 2010,22.0,5.0,0.23,,,,,,
,,2010 - 2011,20.0,5.0,0.25,,,,,,
,,2011 - 2012,8.0,2.0,0.25,,,,,,
,,2012 - 2013,17.0,4.0,0.24,,,,,,
,,2013 - 2014,14.0,3.0,0.21,,,,,,
,,2014 - 2015,9.0,2.0,0.22,,,,,,
,,2015 - 2016,23.0,7.0,0.3,,,,,,
,,2016 - 2017,15.0,5.0,0.33,,,,,,
,,2017 - 2018,14.0,4.0,0.29,,,,,,
,,2018 - 2019,7.0,3.0,0.43,,,,,,
,,2019 - 2020,3.0,1.0,0.33,,,,,,
,,2021 - 2022,4.0,1.0,0.25,,,,,,
,Kabirdham,2000 - 2001,93.0,31.0,0.33,,,,,,
,,2001 - 2002,26.0,11.0,0.42,,,,,,
,,2002 - 2003,64.0,26.0,0.41,,,,,,
,,2003 - 2004,79.0,32.0,0.41,,,,,,
,,2004 - 2005,34.0,14.0,0.41,,,,,,
,,2005 - 2006,29.0,9.0,0.31,,,,,,
,,2006 - 2007,10.0,4.0,0.4,,,,,,
,,2007 - 2008,9.0,4.0,0.44,,,,,,
,,2008 - 2009,9.0,4.0,0.44,,,,,,
,,2009 - 2010,7.0,2.0,0.29,,,,,,
,,2011 - 2012,5.0,2.0,0.4,,,,,,
,,2012 - 2013,5.0,2.0,0.4,,,,,,
,,2013 - 2014,3.0,1.0,0.33,,,,,,
,,2014 - 2015,3.0,2.0,0.67,,,,,,
,,2015 - 2016,3.0,1.0,0.33,,,,,,
,Kanker,2000 - 2001,1.0,,0.0,,,,,,
,,2002 - 2003,3.0,1.0,0.33,,,,,,
,,2003 - 2004,5.0,1.0,0.2,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,
,,2005 - 2006,1.0,,0.0,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,5.0,3.0,0.6,,,,,,
,Korba,2018 - 2019,15.0,5.0,0.33,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,
,,2020 - 2021,3.0,1.0,0.33,,,,,,
,,2021 - 2022,1.0,0.0,0.0,,,,,,
,Korea,2003 - 2004,1.0,,0.0,,,,,,
,Mahasamund,2002 - 2003,3.0,1.0,0.33,,,,,,
,,2003 - 2004,1.0,,0.0,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,7.0,3.0,0.43,,,,,,
,Mungeli,2011 - 2012,120.0,45.0,0.38,,,,,,
,,2012 - 2013,134.0,51.0,0.38,,,,,,
,,2013 - 2014,114.0,48.0,0.42,,,,,,
,,2014 - 2015,182.0,73.0,0.4,,,,,,
,,2015 - 2016,214.0,89.0,0.42,,,,,,
,,2016 - 2017,17.0,7.0,0.41,,,,,,
,,2017 - 2018,91.0,27.0,0.3,,,,,,
,,2018 - 2019,5.0,3.0,0.6,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,Raigarh,2001 - 2002,24.0,5.0,0.21,,,,,,
,,2002 - 2003,95.0,17.0,0.18,,,,,,
,,2003 - 2004,114.0,21.0,0.18,,,,,,
,,2004 - 2005,51.0,9.0,0.18,,,,,,
,,2005 - 2006,24.0,4.0,0.17,,,,,,
,,2006 - 2007,16.0,3.0,0.19,,,,,,
,,2007 - 2008,40.0,7.0,0.18,,,,,,
,,2008 - 2009,35.0,7.0,0.2,,,,,,
,,2009 - 2010,30.0,6.0,0.2,,,,,,
,,2010 - 2011,13.0,3.0,0.23,,,,,,
,,2011 - 2012,22.0,5.0,0.23,,,,,,
,,2012 - 2013,21.0,4.0,0.19,,,,,,
,,2013 - 2014,22.0,5.0,0.23,,,,,,
,,2014 - 2015,8.0,2.0,0.25,,,,,,
,,2015 - 2016,7.0,2.0,0.29,,,,,,
,,2016 - 2017,9.0,2.0,0.22,,,,,,
,,2017 - 2018,8.0,2.0,0.25,,,,,,
,,2018 - 2019,7.0,1.0,0.14,,,,,,
,,2020 - 2021,3.0,1.0,0.33,,,,,,
,Raipur,2000 - 2001,83.0,19.0,0.23,,,,,,
,,2001 - 2002,88.0,21.0,0.24,,,,,,
,,2002 - 2003,78.0,16.0,0.21,,,,,,
,,2003 - 2004,93.0,20.0,0.22,,,,,,
,,2004 - 2005,124.0,25.0,0.2,,,,,,
,,2005 - 2006,97.0,20.0,0.21,,,,,,
,,2006 - 2007,109.0,23.0,0.21,,,,,,
,,2007 - 2008,44.0,9.0,0.2,,,,,,
,,2008 - 2009,84.0,34.0,0.4,,,,,,
,,2009 - 2010,99.0,23.0,0.23,,,,,,
,,2010 - 2011,190.0,46.0,0.24,,,,,,
,,2011 - 2012,75.0,19.0,0.25,,,,,,
,,2012 - 2013,66.0,19.0,0.29,,,,,,
,,2013 - 2014,37.0,9.0,0.24,,,,,,
,,2014 - 2015,804.0,230.0,0.29,,,,,,
,,2015 - 2016,34.0,12.0,0.35,,,,,,
,,2016 - 2017,17.0,7.0,0.41,,,,,,
,,2017 - 2018,29.0,11.0,0.38,,,,,,
,,2018 - 2019,29.0,11.0,0.38,,,,,,
,,2019 - 2020,20.0,6.0,0.3,,,,,,
,,2020 - 2021,9.0,3.0,0.33,,,,,,
,,2021 - 2022,16.0,6.0,0.38,,,,,,
,,2022 - 2023,17.0,6.0,0.35,,,,,,
,Rajnandgaon,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2001 - 2002,3.0,1.0,0.33,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,11.0,4.0,0.36,,,,,,
,,2004 - 2005,8.0,3.0,0.38,,,,,,
,,2005 - 2006,10.0,3.0,0.3,,,,,,
,,2006 - 2007,6.0,2.0,0.33,,,,,,
,,2007 - 2008,13.0,4.0,0.31,,,,,,
,,2008 - 2009,22.0,9.0,0.41,,,,,,
,,2009 - 2010,19.0,7.0,0.37,,,,,,
,,2010 - 2011,7.0,3.0,0.43,,,,,,
,,2011 - 2012,2.0,1.0,0.5,,,,,,
,,2012 - 2013,12.0,6.0,0.5,,,,,,
,,2013 - 2014,5.0,2.0,0.4,,,,,,
,,2014 - 2015,6.0,2.0,0.33,,,,,,
,,2015 - 2016,189.0,65.0,0.34,,,,,,
,,2016 - 2017,14.0,6.0,0.43,,,,,,
,,2017 - 2018,187.0,89.0,0.48,,,,,,
,,2018 - 2019,81.0,36.0,0.44,,,,,,
,,2019 - 2020,32.0,15.0,0.47,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,
,,2021 - 2022,18.0,14.0,0.78,,,,,,
,,2022 - 2023,13.0,6.0,0.46,,,,,,
,Surguja,2001 - 2002,1.0,,0.0,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,
,,2003 - 2004,1.0,,0.0,,,,,,
,,2005 - 2006,7.0,1.0,0.14,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,
Jharkhand,Bokaro,2022 - 2023,11.0,18.0,1.64,,,,,,
,Chatra,2021 - 2022,20.0,6.0,0.3,,,,,,
,Deoghar,2017 - 2018,9.0,5.0,0.56,,,,,,
,Dumka,2017 - 2018,81.0,47.0,0.58,,,,,,
,,2018 - 2019,23.0,12.0,0.52,,,,,,
,,2019 - 2020,210.0,105.0,0.5,,,,,,
,,2020 - 2021,64.0,32.0,0.5,,,,,,
,East singhbum,2017 - 2018,30.0,15.0,0.5,,,,,,
,,2018 - 2019,45.0,23.0,0.51,,,,,,
,,2019 - 2020,50.0,23.0,0.46,,,,,,
,,2020 - 2021,130.0,59.0,0.45,,,,,,
,,2021 - 2022,75.0,34.0,0.45,,,,,,
,,2022 - 2023,5.0,2.0,0.4,,,,,,
,Giridih,2017 - 2018,13.0,5.0,0.38,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,
,,2019 - 2020,10.0,4.0,0.4,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,,2021 - 2022,3.0,1.0,0.33,,,,,,
,,2022 - 2023,4.0,2.0,0.5,,,,,,
,Godda,2017 - 2018,498.0,339.0,0.68,,,,,,
,,2018 - 2019,276.0,174.0,0.63,,,,,,
,Gumla,2019 - 2020,10.0,4.0,0.4,,,,,,
,,2020 - 2021,30.0,11.0,0.37,,,,,,
,,2021 - 2022,30.0,9.0,0.3,,,,,,
,,2022 - 2023,35.0,14.0,0.4,,,,,,
,Hazaribagh,2017 - 2018,58.0,28.0,0.48,,,,,,
,,2021 - 2022,11.0,4.0,0.36,,,,,,
,,2022 - 2023,6.0,0.0,0.0,,,,,,
,Khunti,2017 - 2018,368.0,184.0,0.5,,,,,,
,,2018 - 2019,44.0,18.0,0.41,,,,,,
,,2019 - 2020,10.0,5.0,0.5,,,,,,
,,2020 - 2021,501.0,351.0,0.7,,,,,,
,Koderma,2017 - 2018,112.0,78.0,0.7,,,,,,
,,2021 - 2022,1.0,0.0,0.0,,,,,,
,,2022 - 2023,1.0,0.0,0.0,,,,,,
,Pakur,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,
,Palamu,2017 - 2018,305.0,,0.0,,,,,,
,,2019 - 2020,10.0,5.0,0.5,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,,2021 - 2022,16.0,20.0,1.25,,,,,,
,,2022 - 2023,11.0,0.0,0.0,,,,,,
,Ramgarh,2017 - 2018,41.0,19.0,0.46,,,,,,
,Ranchi,2017 - 2018,263.0,132.0,0.5,,,,,,
,,2021 - 2022,255.0,78.0,0.31,,,,,,
,Saraikela kharsawan,2018 - 2019,378.0,219.0,0.58,,,,,,
,,2021 - 2022,42.0,13.0,0.31,,,,,,
,Simdega,2017 - 2018,225.0,259.0,1.15,,,,,,
,,2018 - 2019,5.0,6.0,1.2,,,,,,
,,2019 - 2020,19.0,12.0,0.63,,,,,,
,,2021 - 2022,15.0,4.0,0.27,,,,,,
Karnataka,Bagalkot,2000 - 2001,,,0.92,,,,,,
,,2001 - 2002,,,0.59,,,,,,
,,2002 - 2003,,,0.69,,,,,,
,,2003 - 2004,,343.0,0.12,,,,,,
,,2004 - 2005,,943.0,0.33,,,,,,
