state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
,,2001 - 2002,146.0,85.0,0.58,,,,,,
,,2002 - 2003,51.0,33.0,0.65,,,,,,
,,2003 - 2004,49.0,34.0,0.69,,,,,,
,,2004 - 2005,13.0,9.0,0.69,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,Katihar,2000 - 2001,53.0,25.0,0.47,,,,,,
,,2001 - 2002,37.0,21.0,0.57,,,,,,
,,2002 - 2003,43.0,27.0,0.63,,,,,,
,,2004 - 2005,10.0,7.0,0.7,,,,,,
,,2005 - 2006,19.0,15.0,0.79,,,,,,
,,2007 - 2008,10.0,7.0,0.7,,,,,,
,,2016 - 2017,12.0,11.0,0.92,,,,,,
,,2017 - 2018,31.0,28.0,0.9,,,,,,
,,2018 - 2019,2.0,2.0,1.0,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,20.0,18.0,0.9,,,,,,
,,2021 - 2022,22.0,20.0,0.91,,,,,,
,,2022 - 2023,20.0,18.0,0.9,,,,,,
,Khagaria,2000 - 2001,63.0,30.0,0.48,,,,,,
,,2001 - 2002,58.0,34.0,0.59,,,,,,
,,2002 - 2003,108.0,70.0,0.65,,,,,,
,,2003 - 2004,99.0,69.0,0.7,,,,,,
,,2004 - 2005,88.0,58.0,0.66,,,,,,
,,2005 - 2006,99.0,64.0,0.65,,,,,,
,,2007 - 2008,115.0,84.0,0.73,,,,,,
,,2016 - 2017,181.0,159.0,0.88,,,,,,
,,2017 - 2018,174.0,157.0,0.9,,,,,,
,,2018 - 2019,157.0,141.0,0.9,,,,,,
,,2019 - 2020,160.0,143.0,0.89,,,,,,
,,2020 - 2021,164.0,147.0,0.9,,,,,,
,,2021 - 2022,71.0,86.0,1.21,,,,,,
,,2022 - 2023,113.0,138.0,1.22,,,,,,
,Kishanganj,2000 - 2001,16.0,8.0,0.5,,,,,,
,,2001 - 2002,43.0,24.0,0.56,,,,,,
,,2002 - 2003,12.0,7.0,0.58,,,,,,
,,2003 - 2004,8.0,6.0,0.75,,,,,,
,,2004 - 2005,14.0,9.0,0.64,,,,,,
,,2005 - 2006,47.0,37.0,0.79,,,,,,
,,2007 - 2008,32.0,23.0,0.72,,,,,,
,,2016 - 2017,33.0,29.0,0.88,,,,,,
,,2017 - 2018,34.0,30.0,0.88,,,,,,
,,2018 - 2019,37.0,33.0,0.89,,,,,,
,,2019 - 2020,33.0,29.0,0.88,,,,,,
,,2020 - 2021,36.0,32.0,0.89,,,,,,
,,2021 - 2022,29.0,26.0,0.9,,,,,,
,,2022 - 2023,28.0,25.0,0.89,,,,,,
,Lakhisarai,2002 - 2003,14.0,9.0,0.64,,,,,,
,,2021 - 2022,15.0,16.0,1.07,,,,,,
,,2022 - 2023,26.0,27.0,1.04,,,,,,
,Madhepura,2000 - 2001,4.0,2.0,0.5,,,,,,
,,2001 - 2002,6.0,3.0,0.5,,,,,,
,,2002 - 2003,33.0,21.0,0.64,,,,,,
,,2003 - 2004,54.0,37.0,0.69,,,,,,
,,2004 - 2005,31.0,20.0,0.65,,,,,,
,,2005 - 2006,25.0,22.0,0.88,,,,,,
,,2007 - 2008,31.0,24.0,0.77,,,,,,
,,2016 - 2017,17.0,15.0,0.88,,,,,,
,,2017 - 2018,12.0,11.0,0.92,,,,,,
,,2018 - 2019,38.0,34.0,0.89,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,6.0,5.0,0.83,,,,,,
,Madhubani,2000 - 2001,21.0,8.0,0.38,,,,,,
,,2001 - 2002,28.0,17.0,0.61,,,,,,
,,2002 - 2003,106.0,71.0,0.67,,,,,,
,,2003 - 2004,53.0,37.0,0.7,,,,,,
,,2004 - 2005,29.0,19.0,0.66,,,,,,
,,2005 - 2006,25.0,20.0,0.8,,,,,,
,,2007 - 2008,35.0,25.0,0.71,,,,,,
,,2016 - 2017,24.0,21.0,0.88,,,,,,
,,2017 - 2018,35.0,32.0,0.91,,,,,,
,,2018 - 2019,23.0,21.0,0.91,,,,,,
,,2019 - 2020,24.0,22.0,0.92,,,,,,
,,2020 - 2021,30.0,27.0,0.9,,,,,,
,,2021 - 2022,30.0,27.0,0.9,,,,,,
,,2022 - 2023,29.0,26.0,0.9,,,,,,
,Muzaffarpur,2000 - 2001,69.0,33.0,0.48,,,,,,
,,2001 - 2002,86.0,50.0,0.58,,,,,,
,,2002 - 2003,29.0,19.0,0.66,,,,,,
,,2003 - 2004,65.0,45.0,0.69,,,,,,
,,2004 - 2005,49.0,32.0,0.65,,,,,,
,,2005 - 2006,30.0,23.0,0.77,,,,,,
,,2007 - 2008,9.0,6.0,0.67,,,,,,
,,2016 - 2017,93.0,85.0,0.91,,,,,,
,,2017 - 2018,97.0,89.0,0.92,,,,,,
,,2018 - 2019,90.0,82.0,0.91,,,,,,
,,2019 - 2020,93.0,85.0,0.91,,,,,,
,,2020 - 2021,91.0,83.0,0.91,,,,,,
,,2021 - 2022,114.0,104.0,0.91,,,,,,
,,2022 - 2023,120.0,110.0,0.92,,,,,,
,Nalanda,2000 - 2001,104.0,61.0,0.59,,,,,,
,,2001 - 2002,42.0,24.0,0.57,,,,,,
,,2002 - 2003,58.0,37.0,0.64,,,,,,
,,2003 - 2004,30.0,21.0,0.7,,,,,,
,,2004 - 2005,30.0,20.0,0.67,,,,,,
,,2005 - 2006,45.0,35.0,0.78,,,,,,
,,2007 - 2008,54.0,39.0,0.72,,,,,,
,,2016 - 2017,,,0.89,,,,,,
,,2017 - 2018,645.0,584.0,0.91,,,,,,
,,2018 - 2019,,,0.9,,,,,,
,,2019 - 2020,946.0,850.0,0.9,,,,,,
,,2020 - 2021,968.0,873.0,0.9,,,,,,
,,2021 - 2022,868.0,782.0,0.9,,,,,,
,,2022 - 2023,937.0,844.0,0.9,,,,,,
,Nawada,2000 - 2001,12.0,7.0,0.58,,,,,,
,,2001 - 2002,3.0,2.0,0.67,,,,,,
,,2002 - 2003,5.0,3.0,0.6,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,
,,2005 - 2006,6.0,5.0,0.83,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,
,Pashchim champaran,2000 - 2001,657.0,263.0,0.4,,,,,,
,,2001 - 2002,415.0,241.0,0.58,,,,,,
,,2002 - 2003,649.0,422.0,0.65,,,,,,
,,2003 - 2004,637.0,441.0,0.69,,,,,,
,,2004 - 2005,638.0,418.0,0.66,,,,,,
,,2005 - 2006,636.0,499.0,0.78,,,,,,
,,2007 - 2008,639.0,454.0,0.71,,,,,,
,,2016 - 2017,66.0,60.0,0.91,,,,,,
,,2017 - 2018,61.0,56.0,0.92,,,,,,
,,2018 - 2019,52.0,48.0,0.92,,,,,,
,,2019 - 2020,48.0,44.0,0.92,,,,,,
,,2020 - 2021,50.0,46.0,0.92,,,,,,
,,2021 - 2022,46.0,42.0,0.91,,,,,,
,,2022 - 2023,46.0,42.0,0.91,,,,,,
,Patna,2000 - 2001,78.0,46.0,0.59,,,,,,
,,2001 - 2002,127.0,74.0,0.58,,,,,,
,,2002 - 2003,117.0,75.0,0.64,,,,,,
,,2003 - 2004,119.0,82.0,0.69,,,,,,
,,2004 - 2005,87.0,57.0,0.66,,,,,,
,,2005 - 2006,97.0,76.0,0.78,,,,,,
,,2007 - 2008,79.0,57.0,0.72,,,,,,
,,2016 - 2017,263.0,240.0,0.91,,,,,,
,,2017 - 2018,274.0,250.0,0.91,,,,,,
,,2018 - 2019,343.0,313.0,0.91,,,,,,
,,2019 - 2020,284.0,259.0,0.91,,,,,,
,,2020 - 2021,277.0,253.0,0.91,,,,,,
,,2021 - 2022,522.0,476.0,0.91,,,,,,
,,2022 - 2023,488.0,445.0,0.91,,,,,,
,Purbi champaran,2000 - 2001,53.0,22.0,0.42,,,,,,
,,2001 - 2002,248.0,144.0,0.58,,,,,,
,,2003 - 2004,46.0,32.0,0.7,,,,,,
,,2004 - 2005,73.0,48.0,0.66,,,,,,
,,2005 - 2006,75.0,59.0,0.79,,,,,,
,,2007 - 2008,82.0,59.0,0.72,,,,,,
,,2016 - 2017,32.0,29.0,0.91,,,,,,
,Purnia,2000 - 2001,36.0,17.0,0.47,,,,,,
,,2001 - 2002,40.0,22.0,0.55,,,,,,
,,2002 - 2003,3.0,2.0,0.67,,,,,,
,,2003 - 2004,3.0,2.0,0.67,,,,,,
,,2004 - 2005,9.0,6.0,0.67,,,,,,
,,2005 - 2006,3.0,2.0,0.67,,,,,,
,,2007 - 2008,5.0,4.0,0.8,,,,,,
,Rohtas,2000 - 2001,66.0,39.0,0.59,,,,,,
,,2001 - 2002,58.0,34.0,0.59,,,,,,
,,2002 - 2003,43.0,28.0,0.65,,,,,,
,,2003 - 2004,70.0,48.0,0.69,,,,,,
,,2004 - 2005,53.0,35.0,0.66,,,,,,
,,2005 - 2006,6.0,5.0,0.83,,,,,,
,,2007 - 2008,29.0,21.0,0.72,,,,,,
,,2016 - 2017,14.0,13.0,0.93,,,,,,
,,2017 - 2018,14.0,13.0,0.93,,,,,,
,,2018 - 2019,13.0,12.0,0.92,,,,,,
,,2019 - 2020,13.0,12.0,0.92,,,,,,
,Saharsa,2000 - 2001,99.0,61.0,0.62,,,,,,
,,2001 - 2002,68.0,39.0,0.57,,,,,,
,,2002 - 2003,116.0,76.0,0.66,,,,,,
,,2003 - 2004,136.0,94.0,0.69,,,,,,
,,2004 - 2005,108.0,71.0,0.66,,,,,,
,,2005 - 2006,101.0,87.0,0.86,,,,,,
,,2007 - 2008,63.0,48.0,0.76,,,,,,
,Samastipur,2000 - 2001,187.0,72.0,0.39,,,,,,
,,2001 - 2002,102.0,62.0,0.61,,,,,,
,,2002 - 2003,151.0,101.0,0.67,,,,,,
,,2003 - 2004,161.0,111.0,0.69,,,,,,
,,2004 - 2005,151.0,99.0,0.66,,,,,,
,,2005 - 2006,155.0,122.0,0.79,,,,,,
,,2007 - 2008,176.0,128.0,0.73,,,,,,
,,2016 - 2017,213.0,187.0,0.88,,,,,,
,,2017 - 2018,219.0,200.0,0.91,,,,,,
,,2018 - 2019,217.0,197.0,0.91,,,,,,
,,2019 - 2020,244.0,219.0,0.9,,,,,,
,,2020 - 2021,244.0,221.0,0.91,,,,,,
,,2021 - 2022,247.0,223.0,0.9,,,,,,
,,2022 - 2023,250.0,226.0,0.9,,,,,,
,Saran,2004 - 2005,2.0,1.0,0.5,,,,,,
,Sheikhpura,2007 - 2008,10.0,7.0,0.7,,,,,,
,,2016 - 2017,201.0,183.0,0.91,,,,,,
,,2017 - 2018,73.0,67.0,0.92,,,,,,
,,2018 - 2019,71.0,65.0,0.92,,,,,,
,,2019 - 2020,59.0,54.0,0.92,,,,,,
,,2020 - 2021,57.0,52.0,0.91,,,,,,
,,2021 - 2022,60.0,55.0,0.92,,,,,,
,,2022 - 2023,62.0,57.0,0.92,,,,,,
,Sheohar,2000 - 2001,12.0,5.0,0.42,,,,,,
,,2001 - 2002,10.0,6.0,0.6,,,,,,
,,2002 - 2003,10.0,7.0,0.7,,,,,,
