state,district,year,black_pepper_whole_year_area_hectare,black_pepper_whole_year_production_tonne,black_pepper_whole_year_yield_tonne_per_hectare,black_pepper_rabi_area_hectare,black_pepper_rabi_production_tonne,black_pepper_rabi_yield_tonne_per_hectare,black_pepper_kharif_area_hectare,black_pepper_kharif_production_tonne,black_pepper_kharif_yield_tonne_per_hectare
,,2005 - 2006,656.45,35.95,0.05,,,,,,
,,2006 - 2007,413.1,20.18,0.05,,,,,,
,,2010 - 2011,,,,409.0,98.0,0.24,,,
,,2011 - 2012,,,,407.1,28.0,0.07,,,
,,2012 - 2013,,,,407.1,88.8,0.22,,,
,,2013 - 2014,,,,405.5,61.3,0.15,,,
,,2014 - 2015,,,,385.5,62.8,0.16,,,
,,2015 - 2016,,,,300.0,39.0,0.13,,,
,,2016 - 2017,,,,225.0,47.11,0.21,,,
,,2017 - 2018,,,,69.46,349.72,5.03,,,
,,2018 - 2019,,,,70.0,4.57,0.07,,,
,,2019 - 2020,,,,66.9,18.05,0.27,,,
,,2020 - 2021,,,,40.16,45.96,1.14,,,
,,2021 - 2022,,,,38.16,43.46,1.14,,,
,,2022 - 2023,,,,38.2,42.57,1.11,,,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,382.0,235.0,0.62,,,,,,
,Anantapur,2019 - 2020,5.0,5.0,1.0,,,,,,
,East godavari,2013 - 2014,,,,,,,4.0,3.0,0.75
,,2022 - 2023,6.0,3.0,0.5,,,,,,
,Eluru,2022 - 2023,90.0,10.0,0.11,,,,,,
,Visakhapatanam,2019 - 2020,,,1.0,,,,,,
,,2021 - 2022,,,,,,,845.0,483.0,0.57
,West godavari,2019 - 2020,425.0,425.0,1.0,,,,,,
,,2021 - 2022,,,,,,,37.0,3.0,0.08
Assam,Baksa,2007 - 2008,46.0,68.0,1.48,,,,,,
,,2008 - 2009,91.0,171.0,1.88,,,,,,
,,2009 - 2010,69.0,116.0,1.68,,,,,,
,,2010 - 2011,85.0,147.0,1.73,,,,,,
,,2011 - 2012,82.0,142.0,1.73,,,,,,
,,2012 - 2013,85.0,151.0,1.78,,,,,,
,,2013 - 2014,90.0,160.0,1.78,,,,,,
,,2014 - 2015,92.0,165.0,1.79,,,,,,
,,2015 - 2016,97.0,174.0,1.79,,,,,,
,,2016 - 2017,97.0,182.0,1.88,,,,,,
,,2017 - 2018,99.0,191.0,1.93,,,,,,
,,2018 - 2019,100.0,197.0,1.97,,,,,,
,,2019 - 2020,100.0,201.0,2.01,,,,,,
,,2020 - 2021,109.0,219.0,2.01,,,,,,
,,2021 - 2022,119.0,239.0,2.01,,,,,,
,,2022 - 2023,126.0,266.0,2.11,,,,,,
,Barpeta,2007 - 2008,52.0,73.0,1.4,,,,,,
,,2008 - 2009,30.0,42.0,1.4,,,,,,
,,2009 - 2010,39.0,55.0,1.41,,,,,,
,,2010 - 2011,58.0,81.0,1.4,,,,,,
,,2011 - 2012,46.0,64.0,1.39,,,,,,
,,2012 - 2013,46.0,70.0,1.52,,,,,,
,,2013 - 2014,47.0,72.0,1.53,,,,,,
,,2014 - 2015,43.0,65.0,1.51,,,,,,
,,2015 - 2016,17.0,26.0,1.53,,,,,,
,,2016 - 2017,41.0,69.0,1.68,,,,,,
,,2017 - 2018,39.0,70.0,1.79,,,,,,
,,2018 - 2019,39.0,73.0,1.87,,,,,,
,,2019 - 2020,37.0,72.0,1.95,,,,,,
,,2020 - 2021,34.0,66.0,1.94,,,,,,
,,2021 - 2022,31.0,60.0,1.94,,,,,,
,,2022 - 2023,29.0,66.0,2.28,,,,,,
,Biswanath,2020 - 2021,63.0,113.0,1.79,,,,,,
,,2021 - 2022,86.0,153.0,1.78,,,,,,
,,2022 - 2023,167.0,329.0,1.97,,,,,,
,Bongaigaon,2007 - 2008,18.0,33.0,1.83,,,,,,
,,2008 - 2009,18.0,33.0,1.83,,,,,,
,,2009 - 2010,27.0,47.0,1.74,,,,,,
,,2010 - 2011,27.0,50.0,1.85,,,,,,
,,2011 - 2012,30.0,55.0,1.83,,,,,,
,,2012 - 2013,27.0,50.0,1.85,,,,,,
,,2013 - 2014,29.0,54.0,1.86,,,,,,
,,2014 - 2015,26.0,49.0,1.88,,,,,,
,,2015 - 2016,33.0,62.0,1.88,,,,,,
,,2016 - 2017,35.0,72.0,2.06,,,,,,
,,2017 - 2018,34.0,75.0,2.21,,,,,,
,,2018 - 2019,37.0,83.0,2.24,,,,,,
,,2019 - 2020,32.0,75.0,2.34,,,,,,
,,2020 - 2021,35.0,82.0,2.34,,,,,,
,,2021 - 2022,50.0,118.0,2.36,,,,,,
,,2022 - 2023,52.0,141.0,2.71,,,,,,
,Cachar,2007 - 2008,39.0,76.0,1.95,,,,,,
,,2008 - 2009,45.0,87.0,1.93,,,,,,
,,2009 - 2010,26.0,50.0,1.92,,,,,,
,,2010 - 2011,38.0,74.0,1.95,,,,,,
,,2011 - 2012,43.0,102.0,2.37,,,,,,
,,2012 - 2013,44.0,88.0,2.0,,,,,,
,,2013 - 2014,45.0,90.0,2.0,,,,,,
,,2014 - 2015,47.0,94.0,2.0,,,,,,
,,2015 - 2016,43.0,86.0,2.0,,,,,,
,,2016 - 2017,42.0,90.0,2.14,,,,,,
,,2017 - 2018,40.0,88.0,2.2,,,,,,
,,2018 - 2019,38.0,86.0,2.26,,,,,,
,,2019 - 2020,38.0,89.0,2.34,,,,,,
,,2020 - 2021,44.0,102.0,2.32,,,,,,
,,2021 - 2022,49.0,114.0,2.33,,,,,,
,,2022 - 2023,49.0,126.0,2.57,,,,,,
,Charaideo,2020 - 2021,31.0,48.0,1.55,,,,,,
,,2021 - 2022,39.0,60.0,1.54,,,,,,
,,2022 - 2023,41.0,78.0,1.9,,,,,,
,Chirang,2007 - 2008,15.0,22.0,1.47,,,,,,
,,2008 - 2009,14.0,27.0,1.93,,,,,,
,,2009 - 2010,15.0,25.0,1.67,,,,,,
,,2010 - 2011,12.0,20.0,1.67,,,,,,
,,2011 - 2012,14.0,24.0,1.71,,,,,,
,,2012 - 2013,17.0,29.0,1.71,,,,,,
,,2013 - 2014,16.0,28.0,1.75,,,,,,
,,2014 - 2015,14.0,24.0,1.71,,,,,,
,,2015 - 2016,4.0,8.0,2.0,,,,,,
,,2016 - 2017,7.0,14.0,2.0,,,,,,
,,2017 - 2018,35.0,60.0,1.71,,,,,,
,,2018 - 2019,15.0,27.0,1.8,,,,,,
,,2019 - 2020,21.0,107.0,5.1,,,,,,
,,2020 - 2021,35.0,178.0,5.09,,,,,,
,,2021 - 2022,27.0,137.0,5.07,,,,,,
,,2022 - 2023,27.0,139.0,5.15,,,,,,
,Darrang,2007 - 2008,34.0,52.0,1.53,,,,,,
,,2008 - 2009,45.0,69.0,1.53,,,,,,
,,2009 - 2010,45.0,69.0,1.53,,,,,,
,,2010 - 2011,38.0,59.0,1.55,,,,,,
,,2011 - 2012,33.0,51.0,1.55,,,,,,
,,2012 - 2013,34.0,57.0,1.68,,,,,,
,,2013 - 2014,38.0,63.0,1.66,,,,,,
,,2014 - 2015,33.0,55.0,1.67,,,,,,
,,2015 - 2016,35.0,59.0,1.69,,,,,,
,,2016 - 2017,37.0,68.0,1.84,,,,,,
,,2017 - 2018,35.0,70.0,2.0,,,,,,
,,2018 - 2019,35.0,72.0,2.06,,,,,,
,,2019 - 2020,36.0,78.0,2.17,,,,,,
,,2020 - 2021,33.0,71.0,2.15,,,,,,
,,2021 - 2022,33.0,71.0,2.15,,,,,,
,,2022 - 2023,33.0,82.0,2.48,,,,,,
,Dhemaji,2007 - 2008,68.0,87.0,1.28,,,,,,
,,2008 - 2009,28.0,36.0,1.29,,,,,,
,,2009 - 2010,28.0,36.0,1.29,,,,,,
,,2010 - 2011,32.0,41.0,1.28,,,,,,
,,2011 - 2012,29.0,36.0,1.24,,,,,,
,,2012 - 2013,25.0,35.0,1.4,,,,,,
,,2013 - 2014,25.0,35.0,1.4,,,,,,
,,2014 - 2015,25.0,36.0,1.44,,,,,,
,,2015 - 2016,25.0,36.0,1.44,,,,,,
,,2016 - 2017,24.0,50.0,2.08,,,,,,
,,2017 - 2018,22.0,48.0,2.18,,,,,,
,,2018 - 2019,24.0,40.0,1.67,,,,,,
,,2019 - 2020,42.0,73.0,1.74,,,,,,
,,2020 - 2021,40.0,70.0,1.75,,,,,,
,,2021 - 2022,69.0,121.0,1.75,,,,,,
,,2022 - 2023,80.0,162.0,2.03,,,,,,
,Dhubri,2007 - 2008,3.0,6.0,2.0,,,,,,
,,2009 - 2010,3.0,4.0,1.33,,,,,,
,,2010 - 2011,2.0,4.0,2.0,,,,,,
,,2011 - 2012,2.0,4.0,2.0,,,,,,
,,2012 - 2013,2.0,4.0,2.0,,,,,,
,,2013 - 2014,2.0,4.0,2.0,,,,,,
,,2014 - 2015,2.0,4.0,2.0,,,,,,
,,2015 - 2016,6.0,12.0,2.0,,,,,,
,,2016 - 2017,7.0,18.0,2.57,,,,,,
,,2017 - 2018,5.0,14.0,2.8,,,,,,
,,2018 - 2019,3.0,9.0,3.0,,,,,,
,,2019 - 2020,5.0,15.0,3.0,,,,,,
,,2020 - 2021,3.0,9.0,3.0,,,,,,
,,2021 - 2022,3.0,9.0,3.0,,,,,,
,,2022 - 2023,18.0,56.0,3.11,,,,,,
,Dibrugarh,2007 - 2008,61.0,103.0,1.69,,,,,,
,,2008 - 2009,44.0,87.0,1.98,,,,,,
,,2009 - 2010,47.0,87.0,1.85,,,,,,
,,2010 - 2011,64.0,117.0,1.83,,,,,,
,,2011 - 2012,65.0,119.0,1.83,,,,,,
,,2012 - 2013,81.0,150.0,1.85,,,,,,
,,2013 - 2014,103.0,191.0,1.85,,,,,,
,,2014 - 2015,95.0,177.0,1.86,,,,,,
,,2015 - 2016,81.0,151.0,1.86,,,,,,
,,2016 - 2017,84.0,225.0,2.68,,,,,,
,,2017 - 2018,87.0,237.0,2.72,,,,,,
,,2018 - 2019,91.0,250.0,2.75,,,,,,
,,2019 - 2020,93.0,259.0,2.78,,,,,,
,,2020 - 2021,93.0,259.0,2.78,,,,,,
,,2021 - 2022,89.0,248.0,2.79,,,,,,
,,2022 - 2023,85.0,246.0,2.89,,,,,,
,Dima hasao,2007 - 2008,44.0,50.0,1.14,,,,,,
,,2008 - 2009,44.0,73.0,1.66,,,,,,
,,2009 - 2010,46.0,64.0,1.39,,,,,,
,,2010 - 2011,46.0,64.0,1.39,,,,,,
,,2011 - 2012,48.0,68.0,1.42,,,,,,
,,2012 - 2013,48.0,73.0,1.52,,,,,,
,,2013 - 2014,48.0,73.0,1.52,,,,,,
,,2014 - 2015,44.0,68.0,1.55,,,,,,
,,2015 - 2016,52.0,85.0,1.63,,,,,,
,,2016 - 2017,48.0,72.0,1.5,,,,,,
,,2017 - 2018,52.0,80.0,1.54,,,,,,
,,2018 - 2019,51.0,80.0,1.57,,,,,,
,,2019 - 2020,50.0,99.0,1.98,,,,,,
,,2020 - 2021,50.0,100.0,2.0,,,,,,
,,2021 - 2022,55.0,125.0,2.27,,,,,,
,,2022 - 2023,55.0,138.0,2.51,,,,,,
,Goalpara,2007 - 2008,30.0,37.0,1.23,,,,,,
,,2008 - 2009,32.0,73.0,2.28,,,,,,
,,2009 - 2010,82.0,144.0,1.76,,,,,,
,,2010 - 2011,90.0,159.0,1.77,,,,,,
,,2011 - 2012,100.0,177.0,1.77,,,,,,
,,2012 - 2013,105.0,194.0,1.85,,,,,,
,,2013 - 2014,110.0,204.0,1.85,,,,,,
,,2014 - 2015,115.0,214.0,1.86,,,,,,
,,2015 - 2016,90.0,169.0,1.88,,,,,,
,,2016 - 2017,131.0,250.0,1.91,,,,,,
,,2017 - 2018,153.0,296.0,1.93,,,,,,
,,2018 - 2019,161.0,314.0,1.95,,,,,,
,,2019 - 2020,171.0,418.0,2.44,,,,,,
,,2020 - 2021,178.0,435.0,2.44,,,,,,
,,2021 - 2022,183.0,447.0,2.44,,,,,,
,,2022 - 2023,176.0,441.0,2.51,,,,,,
,Golaghat,2007 - 2008,200.0,227.0,1.14,,,,,,
,,2008 - 2009,218.0,248.0,1.14,,,,,,
,,2009 - 2010,330.0,363.0,1.1,,,,,,
,,2010 - 2011,359.0,414.0,1.15,,,,,,
,,2011 - 2012,370.0,495.0,1.34,,,,,,
,,2012 - 2013,366.0,528.0,1.44,,,,,,
,,2013 - 2014,295.0,426.0,1.44,,,,,,
,,2014 - 2015,335.0,806.0,2.41,,,,,,
,,2015 - 2016,336.0,810.0,2.41,,,,,,
,,2016 - 2017,335.0,958.0,2.86,,,,,,
,,2017 - 2018,334.0,814.0,2.44,,,,,,
,,2018 - 2019,334.0,816.0,2.44,,,,,,
,,2019 - 2020,333.0,815.0,2.45,,,,,,
,,2020 - 2021,328.0,804.0,2.45,,,,,,
,,2021 - 2022,360.0,881.0,2.45,,,,,,
,,2022 - 2023,295.0,735.0,2.49,,,,,,
,Hailakandi,2007 - 2008,58.0,112.0,1.93,,,,,,
,,2008 - 2009,20.0,39.0,1.95,,,,,,
,,2009 - 2010,39.0,75.0,1.92,,,,,,
,,2010 - 2011,100.0,193.0,1.93,,,,,,
,,2011 - 2012,22.0,43.0,1.95,,,,,,
,,2012 - 2013,33.0,65.0,1.97,,,,,,
,,2013 - 2014,34.0,67.0,1.97,,,,,,
,,2014 - 2015,36.0,71.0,1.97,,,,,,
,,2015 - 2016,30.0,59.0,1.97,,,,,,
,,2016 - 2017,33.0,73.0,2.21,,,,,,
,,2017 - 2018,9.0,22.0,2.44,,,,,,
,,2018 - 2019,26.0,64.0,2.46,,,,,,
,,2019 - 2020,23.0,59.0,2.57,,,,,,
,,2020 - 2021,31.0,80.0,2.58,,,,,,
,,2021 - 2022,28.0,72.0,2.57,,,,,,
,,2022 - 2023,28.0,81.0,2.89,,,,,,
,Hojai,2020 - 2021,23.0,47.0,2.04,,,,,,
,,2021 - 2022,20.0,41.0,2.05,,,,,,
,,2022 - 2023,20.0,50.0,2.5,,,,,,
,Jorhat,2007 - 2008,419.0,522.0,1.25,,,,,,
,,2008 - 2009,647.0,807.0,1.25,,,,,,
,,2009 - 2010,107.0,133.0,1.24,,,,,,
,,2010 - 2011,119.0,148.0,1.24,,,,,,
,,2011 - 2012,95.0,117.0,1.23,,,,,,
,,2012 - 2013,122.0,178.0,1.46,,,,,,
,,2013 - 2014,103.0,151.0,1.47,,,,,,
,,2014 - 2015,108.0,158.0,1.46,,,,,,
,,2015 - 2016,120.0,176.0,1.47,,,,,,
,,2016 - 2017,103.0,157.0,1.52,,,,,,
,,2017 - 2018,107.0,168.0,1.57,,,,,,
,,2018 - 2019,153.0,247.0,1.61,,,,,,
,,2019 - 2020,127.0,210.0,1.65,,,,,,
,,2020 - 2021,96.0,159.0,1.66,,,,,,
,,2021 - 2022,97.0,161.0,1.66,,,,,,
,,2022 - 2023,94.0,167.0,1.78,,,,,,
,Kamrup,2007 - 2008,76.0,115.0,1.51,,,,,,
,,2008 - 2009,83.0,126.0,1.52,,,,,,
,,2009 - 2010,97.0,147.0,1.52,,,,,,
,,2010 - 2011,92.0,139.0,1.51,,,,,,
,,2011 - 2012,102.0,155.0,1.52,,,,,,
,,2012 - 2013,130.0,211.0,1.62,,,,,,
,,2013 - 2014,119.0,193.0,1.62,,,,,,
,,2014 - 2015,158.0,258.0,1.63,,,,,,
,,2015 - 2016,119.0,195.0,1.64,,,,,,
,,2016 - 2017,123.0,209.0,1.7,,,,,,
,,2017 - 2018,115.0,201.0,1.75,,,,,,
,,2018 - 2019,112.0,200.0,1.79,,,,,,
,,2019 - 2020,111.0,202.0,1.82,,,,,,
,,2020 - 2021,167.0,303.0,1.81,,,,,,
,,2021 - 2022,191.0,347.0,1.82,,,,,,
,,2022 - 2023,135.0,254.0,1.88,,,,,,
,Kamrup metro,2007 - 2008,34.0,50.0,1.47,,,,,,
,,2008 - 2009,37.0,74.0,2.0,,,,,,
,,2009 - 2010,33.0,57.0,1.73,,,,,,
,,2010 - 2011,47.0,81.0,1.72,,,,,,
,,2011 - 2012,48.0,84.0,1.75,,,,,,
,,2012 - 2013,53.0,98.0,1.85,,,,,,
,,2013 - 2014,53.0,98.0,1.85,,,,,,
,,2014 - 2015,50.0,93.0,1.86,,,,,,
,,2015 - 2016,58.0,108.0,1.86,,,,,,
,,2016 - 2017,58.0,115.0,1.98,,,,,,
,,2017 - 2018,49.0,101.0,2.06,,,,,,
,,2018 - 2019,16.0,34.0,2.13,,,,,,
,,2019 - 2020,16.0,35.0,2.19,,,,,,
,,2020 - 2021,29.0,63.0,2.17,,,,,,
,,2021 - 2022,35.0,77.0,2.2,,,,,,
,,2022 - 2023,104.0,263.0,2.53,,,,,,
,Karbi anglong,2007 - 2008,299.0,482.0,1.61,,,,,,
,,2008 - 2009,303.0,489.0,1.61,,,,,,
,,2009 - 2010,316.0,510.0,1.61,,,,,,
,,2010 - 2011,302.0,486.0,1.61,,,,,,
,,2011 - 2012,320.0,199.0,0.62,,,,,,
,,2012 - 2013,243.0,362.0,1.49,,,,,,
,,2013 - 2014,264.0,393.0,1.49,,,,,,
,,2014 - 2015,269.0,402.0,1.49,,,,,,
,,2015 - 2016,279.0,422.0,1.51,,,,,,
,,2016 - 2017,321.0,861.0,2.68,,,,,,
,,2017 - 2018,341.0,,3.68,,,,,,
,,2018 - 2019,347.0,,3.68,,,,,,
,,2019 - 2020,348.0,,3.68,,,,,,
,,2020 - 2021,321.0,,3.69,,,,,,
,,2021 - 2022,296.0,,3.69,,,,,,
,,2022 - 2023,315.0,,3.71,,,,,,
,Karimganj,2007 - 2008,75.0,86.0,1.15,,,,,,
,,2008 - 2009,222.0,408.0,1.84,,,,,,
,,2009 - 2010,230.0,343.0,1.49,,,,,,
,,2010 - 2011,253.0,402.0,1.59,,,,,,
,,2011 - 2012,275.0,439.0,1.6,,,,,,
,,2012 - 2013,279.0,465.0,1.67,,,,,,
,,2013 - 2014,279.0,465.0,1.67,,,,,,
,,2014 - 2015,283.0,473.0,1.67,,,,,,
,,2015 - 2016,255.0,426.0,1.67,,,,,,
,,2016 - 2017,250.0,424.0,1.7,,,,,,
,,2017 - 2018,240.0,412.0,1.72,,,,,,
,,2018 - 2019,246.0,425.0,1.73,,,,,,
,,2019 - 2020,255.0,445.0,1.75,,,,,,
,,2020 - 2021,260.0,454.0,1.75,,,,,,
,,2021 - 2022,245.0,428.0,1.75,,,,,,
,,2022 - 2023,240.0,509.0,2.12,,,,,,
,Kokrajhar,2007 - 2008,15.0,24.0,1.6,,,,,,
,,2008 - 2009,34.0,56.0,1.65,,,,,,
,,2009 - 2010,335.0,545.0,1.63,,,,,,
,,2010 - 2011,250.0,407.0,1.63,,,,,,
,,2011 - 2012,344.0,395.0,1.15,,,,,,
,,2012 - 2013,345.0,435.0,1.26,,,,,,
,,2013 - 2014,348.0,439.0,1.26,,,,,,
,,2014 - 2015,337.0,430.0,1.28,,,,,,
,,2015 - 2016,358.0,461.0,1.29,,,,,,
,,2016 - 2017,364.0,,2.79,,,,,,
,,2017 - 2018,305.0,855.0,2.8,,,,,,
,,2018 - 2019,300.0,842.0,2.81,,,,,,
,,2019 - 2020,301.0,848.0,2.82,,,,,,
,,2020 - 2021,280.0,789.0,2.82,,,,,,
,,2021 - 2022,289.0,814.0,2.82,,,,,,
,,2022 - 2023,161.0,460.0,2.86,,,,,,
,Lakhimpur,2007 - 2008,64.0,97.0,1.52,,,,,,
,,2008 - 2009,70.0,107.0,1.53,,,,,,
,,2009 - 2010,73.0,110.0,1.51,,,,,,
,,2010 - 2011,178.0,271.0,1.52,,,,,,
,,2011 - 2012,554.0,865.0,1.56,,,,,,
,,2012 - 2013,537.0,899.0,1.67,,,,,,
,,2013 - 2014,534.0,,2.67,,,,,,
,,2014 - 2015,485.0,817.0,1.68,,,,,,
,,2015 - 2016,475.0,,2.69,,,,,,
,,2016 - 2017,471.0,885.0,1.88,,,,,,
,,2017 - 2018,510.0,965.0,1.89,,,,,,
,,2018 - 2019,494.0,937.0,1.9,,,,,,
,,2019 - 2020,492.0,938.0,1.91,,,,,,
,,2020 - 2021,492.0,938.0,1.91,,,,,,
,,2021 - 2022,317.0,605.0,1.91,,,,,,
,,2022 - 2023,328.0,633.0,1.93,,,,,,
,Majuli,2020 - 2021,35.0,58.0,1.66,,,,,,
,,2021 - 2022,70.0,116.0,1.66,,,,,,
,,2022 - 2023,70.0,138.0,1.97,,,,,,
,Marigaon,2007 - 2008,131.0,224.0,1.71,,,,,,
,,2008 - 2009,81.0,138.0,1.7,,,,,,
,,2009 - 2010,106.0,181.0,1.71,,,,,,
,,2010 - 2011,107.0,183.0,1.71,,,,,,
,,2011 - 2012,83.0,143.0,1.72,,,,,,
,,2012 - 2013,85.0,157.0,1.85,,,,,,
,,2013 - 2014,90.0,166.0,1.84,,,,,,
,,2014 - 2015,66.0,123.0,1.86,,,,,,
,,2015 - 2016,76.0,143.0,1.88,,,,,,
,,2016 - 2017,92.0,180.0,1.96,,,,,,
,,2017 - 2018,78.0,155.0,1.99,,,,,,
,,2018 - 2019,73.0,148.0,2.03,,,,,,
,,2019 - 2020,74.0,153.0,2.07,,,,,,
,,2020 - 2021,75.0,125.0,1.67,,,,,,
,,2021 - 2022,51.0,85.0,1.67,,,,,,
,,2022 - 2023,52.0,94.0,1.81,,,,,,
,Nagaon,2007 - 2008,141.0,201.0,1.43,,,,,,
,,2008 - 2009,268.0,383.0,1.43,,,,,,
,,2009 - 2010,249.0,356.0,1.43,,,,,,
,,2010 - 2011,77.0,111.0,1.44,,,,,,
,,2011 - 2012,276.0,479.0,1.74,,,,,,
,,2012 - 2013,275.0,436.0,1.59,,,,,,
,,2013 - 2014,280.0,443.0,1.58,,,,,,
,,2014 - 2015,282.0,450.0,1.6,,,,,,
,,2015 - 2016,148.0,237.0,1.6,,,,,,
,,2016 - 2017,154.0,251.0,1.63,,,,,,
,,2017 - 2018,194.0,471.0,2.43,,,,,,
,,2018 - 2019,128.0,212.0,1.66,,,,,,
,,2019 - 2020,129.0,215.0,1.67,,,,,,
,,2020 - 2021,101.0,169.0,1.67,,,,,,
,,2021 - 2022,114.0,191.0,1.68,,,,,,
,,2022 - 2023,121.0,216.0,1.79,,,,,,
,Nalbari,2007 - 2008,10.0,19.0,1.9,,,,,,
,,2008 - 2009,25.0,48.0,1.92,,,,,,
,,2009 - 2010,10.0,19.0,1.9,,,,,,
,,2010 - 2011,26.0,50.0,1.92,,,,,,
,,2011 - 2012,28.0,54.0,1.93,,,,,,
,,2012 - 2013,28.0,55.0,1.96,,,,,,
,,2013 - 2014,28.0,55.0,1.96,,,,,,
,,2014 - 2015,22.0,44.0,2.0,,,,,,
,,2015 - 2016,15.0,30.0,2.0,,,,,,
,,2016 - 2017,16.0,35.0,2.19,,,,,,
,,2017 - 2018,18.0,42.0,2.33,,,,,,
,,2018 - 2019,16.0,38.0,2.38,,,,,,
,,2019 - 2020,19.0,47.0,2.47,,,,,,
,,2020 - 2021,13.0,32.0,2.46,,,,,,
,,2021 - 2022,24.0,60.0,2.5,,,,,,
,,2022 - 2023,24.0,77.0,3.21,,,,,,
,Sivasagar,2007 - 2008,292.0,532.0,1.82,,,,,,
,,2008 - 2009,296.0,539.0,1.82,,,,,,
,,2009 - 2010,42.0,76.0,1.81,,,,,,
,,2010 - 2011,55.0,99.0,1.8,,,,,,
,,2011 - 2012,69.0,125.0,1.81,,,,,,
,,2012 - 2013,78.0,144.0,1.85,,,,,,
,,2013 - 2014,72.0,134.0,1.86,,,,,,
,,2014 - 2015,78.0,145.0,1.86,,,,,,
,,2015 - 2016,86.0,161.0,1.87,,,,,,
,,2016 - 2017,81.0,110.0,1.36,,,,,,
,,2017 - 2018,99.0,136.0,1.37,,,,,,
,,2018 - 2019,112.0,278.0,2.48,,,,,,
,,2019 - 2020,98.0,150.0,1.53,,,,,,
,,2020 - 2021,45.0,69.0,1.53,,,,,,
,,2021 - 2022,50.0,76.0,1.52,,,,,,
,,2022 - 2023,37.0,65.0,1.76,,,,,,
,Sonitpur,2007 - 2008,369.0,579.0,1.57,,,,,,
,,2008 - 2009,376.0,590.0,1.57,,,,,,
,,2009 - 2010,255.0,400.0,1.57,,,,,,
,,2010 - 2011,255.0,399.0,1.56,,,,,,
,,2011 - 2012,229.0,358.0,1.56,,,,,,
,,2012 - 2013,99.0,166.0,1.68,,,,,,
,,2013 - 2014,111.0,187.0,1.68,,,,,,
,,2014 - 2015,125.0,211.0,1.69,,,,,,
,,2015 - 2016,115.0,194.0,1.69,,,,,,
,,2016 - 2017,120.0,207.0,1.73,,,,,,
,,2017 - 2018,122.0,254.0,2.08,,,,,,
,,2018 - 2019,108.0,191.0,1.77,,,,,,
,,2019 - 2020,142.0,253.0,1.78,,,,,,
,,2020 - 2021,75.0,134.0,1.79,,,,,,
,,2021 - 2022,115.0,217.0,1.89,,,,,,
,,2022 - 2023,135.0,261.0,1.93,,,,,,
,South salmara mancachar,2020 - 2021,2.0,6.0,3.0,,,,,,
,,2021 - 2022,2.0,6.0,3.0,,,,,,
,Tinsukia,2007 - 2008,58.0,62.0,1.07,,,,,,
,,2008 - 2009,268.0,287.0,1.07,,,,,,
,,2009 - 2010,255.0,273.0,1.07,,,,,,
,,2010 - 2011,270.0,289.0,1.07,,,,,,
,,2011 - 2012,285.0,310.0,1.09,,,,,,
,,2012 - 2013,288.0,344.0,1.19,,,,,,
,,2013 - 2014,287.0,343.0,1.2,,,,,,
