state,district,year,maize_rabi_area_hectare,maize_rabi_production_tonne,maize_rabi_yield_tonne_per_hectare,maize_kharif_area_hectare,maize_kharif_production_tonne,maize_kharif_yield_tonne_per_hectare,maize_summer_area_hectare,maize_summer_production_tonne,maize_summer_yield_tonne_per_hectare,maize_autumn_area_hectare,maize_autumn_production_tonne,maize_autumn_yield_tonne_per_hectare,maize_winter_area_hectare,maize_winter_production_tonne,maize_winter_yield_tonne_per_hectare,maize_whole_year_area_hectare,maize_whole_year_production_tonne,maize_whole_year_yield_tonne_per_hectare
,,2004 - 2005,700.0,,1.43,700.0,700.0,1.0,100.0,100.0,1.0,,,,,,,,,
,,2005 - 2006,700.0,,2.14,600.0,500.0,0.83,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,800.0,,2.38,300.0,300.0,1.0,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,700.0,,2.71,500.0,400.0,0.8,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,200.0,400.0,2.0,700.0,600.0,0.86,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,500.0,200.0,0.4,600.0,700.0,1.17,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,400.0,800.0,2.0,700.0,600.0,0.86,,,,,,,,,,,,
,,2011 - 2012,400.0,,2.5,500.0,600.0,1.2,200.0,200.0,1.0,,,,,,,,,
,,2012 - 2013,300.0,700.0,2.33,500.0,500.0,1.0,,,,,,,,,,,,
,,2013 - 2014,100.0,100.0,1.0,400.0,500.0,1.25,,,0.95,,,,,,,,,
,,2014 - 2015,200.0,100.0,0.5,700.0,300.0,0.43,,,1.17,,,,,,,,,
,,2015 - 2016,,,0.99,700.0,200.0,0.29,300.0,400.0,1.33,,,,,,,,,
,,2016 - 2017,,,2.07,400.0,200.0,0.5,,,1.59,,,,,,,,,
,,2017 - 2018,,,2.05,500.0,400.0,0.8,,,0.97,,,,,,,,,
,,2018 - 2019,,,0.71,398.0,197.0,0.49,,,0.95,,,,,,,,,
,,2019 - 2020,,,1.8,416.0,247.0,0.59,,,1.24,,,,,,,,,
,,2020 - 2021,,,1.29,415.95,443.24,1.07,,,1.16,,,,,,,,,
,,2021 - 2022,,,4.7,697.0,597.33,0.86,,,1.16,,,,,,,,,
,,2022 - 2023,,,3.05,555.0,548.0,0.99,,,1.18,,,,,,,,,
,Nandurbar,2000 - 2001,200.0,200.0,1.0,,,0.62,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.44,,,,,,,,,,,,
,,2002 - 2003,200.0,300.0,1.5,,,1.25,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,800.0,,1.63,,,1.97,,,,,,,,,,,,
,,2004 - 2005,300.0,700.0,2.33,,,1.4,100.0,100.0,1.0,,,,,,,,,
,,2005 - 2006,300.0,700.0,2.33,,,2.0,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,500.0,900.0,1.8,,,1.23,400.0,500.0,1.25,,,,,,,,,
,,2007 - 2008,500.0,,2.6,,,2.34,500.0,700.0,1.4,,,,,,,,,
,,2008 - 2009,600.0,,2.83,,,2.0,200.0,300.0,1.5,,,,,,,,,
,,2009 - 2010,800.0,,3.0,,,2.23,600.0,800.0,1.33,,,,,,,,,
,,2010 - 2011,,,2.9,,,2.54,,,1.27,,,,,,,,,
,,2011 - 2012,,,2.85,,,3.02,,,1.29,,,,,,,,,
,,2012 - 2013,,,2.75,,,2.65,,,,,,,,,,,,
,,2013 - 2014,,,2.26,,,1.67,700.0,900.0,1.29,,,,,,,,,
,,2014 - 2015,,,3.76,,,1.57,,,1.33,,,,,,,,,
,,2015 - 2016,,,2.57,,,1.25,,,1.32,,,,,,,,,
,,2016 - 2017,,,3.18,,,2.54,,,2.47,,,,,,,,,
,,2017 - 2018,,,4.0,,,2.68,,,2.37,,,,,,,,,
,,2018 - 2019,,,2.65,,,1.37,800.0,,1.29,,,,,,,,,
,,2019 - 2020,,,2.88,,,1.9,,,1.63,,,,,,,,,
,,2020 - 2021,,,2.75,,,2.13,,,1.75,,,,,,,,,
,,2021 - 2022,,,4.77,,,1.75,,,1.75,,,,,,,,,
,,2022 - 2023,,,3.35,,,2.76,939.54,,1.9,,,,,,,,,
,Nashik,2000 - 2001,,,1.06,,,0.62,,,,,,,,,,,,
,,2001 - 2002,,,1.86,,,2.27,,,,,,,,,,,,
,,2002 - 2003,900.0,,1.67,,,2.64,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,,,1.91,,,2.44,,,,,,,,,,,,
,,2004 - 2005,900.0,,1.56,,,2.19,200.0,400.0,2.0,,,,,,,,,
,,2005 - 2006,,,2.22,,,2.02,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,,,1.77,,,1.61,800.0,,1.38,,,,,,,,,
,,2007 - 2008,,,2.31,,,2.9,400.0,500.0,1.25,,,,,,,,,
,,2008 - 2009,,,2.83,,,2.89,200.0,300.0,1.5,,,,,,,,,
,,2009 - 2010,,,2.85,,,2.26,700.0,900.0,1.29,,,,,,,,,
,,2010 - 2011,,,2.69,,,3.26,,,1.36,,,,,,,,,
,,2011 - 2012,,,2.07,,,3.19,700.0,900.0,1.29,,,,,,,,,
,,2012 - 2013,900.0,,1.89,,,2.95,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,,,3.41,,,3.86,300.0,400.0,1.33,,,,,,,,,
,,2014 - 2015,,,4.72,,,2.64,200.0,200.0,1.0,,,,,,,,,
,,2015 - 2016,,,1.53,,,2.42,100.0,100.0,1.0,,,,,,,,,
,,2016 - 2017,,,3.17,,,4.65,800.0,,3.38,,,,,,,,,
,,2017 - 2018,,,5.0,,,4.72,984.0,,2.34,,,,,,,,,
,,2018 - 2019,,,1.48,,,2.69,169.0,220.0,1.3,,,,,,,,,
,,2019 - 2020,,,2.89,,,1.54,358.0,903.0,2.52,,,,,,,,,
,,2020 - 2021,,,3.71,,,4.41,413.42,807.58,1.95,,,,,,,,,
,,2021 - 2022,,,5.21,,,4.1,392.01,765.75,1.95,,,,,,,,,
,,2022 - 2023,,,4.6,,,4.3,,,2.33,,,,,,,,,
,Palghar,2015 - 2016,30.0,100.0,3.33,,,,,,,,,,,,,,,
,,2016 - 2017,28.0,100.0,3.57,,,,,,,,,,,,,,,
,,2018 - 2019,2.0,5.0,2.5,,,,,,,,,,,,,,,
,,2019 - 2020,4.0,14.0,3.5,,,,,,,,,,,,,,,
,,2021 - 2022,28.1,69.23,2.46,,,,12.0,24.01,2.0,,,,,,,,,
,,2022 - 2023,12.1,33.26,2.75,,,,,,,,,,,,,,,
,Parbhani,2000 - 2001,900.0,,1.22,,,0.93,,,,,,,,,,,,
,,2001 - 2002,500.0,900.0,1.8,,,1.85,300.0,400.0,1.33,,,,,,,,,
,,2002 - 2003,600.0,700.0,1.17,,900.0,0.69,200.0,300.0,1.5,,,,,,,,,
,,2003 - 2004,500.0,900.0,1.8,,600.0,0.38,,,,,,,,,,,,
,,2004 - 2005,600.0,800.0,1.33,,,0.94,,,,,,,,,,,,
,,2005 - 2006,500.0,,2.2,,900.0,0.75,300.0,300.0,1.0,,,,,,,,,
,,2006 - 2007,800.0,,2.38,,,0.94,300.0,200.0,0.67,,,,,,,,,
,,2007 - 2008,800.0,,2.75,,,0.8,200.0,300.0,1.5,,,,,,,,,
,,2008 - 2009,900.0,,1.78,,,0.8,200.0,300.0,1.5,,,,,,,,,
,,2009 - 2010,900.0,400.0,0.44,,,1.14,,,,,,,,,,,,
,,2010 - 2011,400.0,800.0,2.0,,,0.86,700.0,700.0,1.0,,,,,,,,,
,,2011 - 2012,800.0,,2.63,,,1.21,200.0,200.0,1.0,,,,,,,,,
,,2012 - 2013,400.0,200.0,0.5,,,0.95,,,1.0,,,,,,,,,
,,2013 - 2014,200.0,500.0,2.5,,,1.37,800.0,800.0,1.0,,,,,,,,,
,,2014 - 2015,,,,,600.0,0.4,400.0,300.0,0.75,,,,,,,,,
,,2015 - 2016,,,0.85,,400.0,0.25,200.0,100.0,0.5,,,,,,,,,
,,2016 - 2017,,,1.75,,442.0,0.36,,,1.56,,,,,,,,,
,,2017 - 2018,,,1.04,,,0.79,971.0,600.0,0.62,,,,,,,,,
,,2018 - 2019,,,0.73,411.0,203.0,0.49,450.0,,0.0,,,,,,,,,
,,2019 - 2020,,,1.26,,742.0,0.72,763.0,927.0,1.21,,,,,,,,,
,,2020 - 2021,,,1.29,,,1.07,762.86,531.41,0.7,,,,,,,,,
,,2021 - 2022,,,2.18,,,0.86,984.76,685.98,0.7,,,,,,,,,
,,2022 - 2023,,,1.98,954.0,941.0,0.99,871.9,894.7,1.03,,,,,,,,,
,Pune,2000 - 2001,,,1.11,,,0.62,,,,,,,,,,,,
,,2001 - 2002,,,1.84,,,1.53,,,1.43,,,,,,,,,
,,2002 - 2003,,,1.56,,,2.45,,,1.83,,,,,,,,,
,,2003 - 2004,,,1.16,,,2.25,,,,,,,,,,,,
,,2004 - 2005,,,2.68,,,1.94,,,1.67,,,,,,,,,
,,2005 - 2006,,,2.3,,,2.22,,,1.69,,,,,,,,,
,,2006 - 2007,,,2.46,,,2.31,,,1.67,,,,,,,,,
,,2007 - 2008,,,2.78,,,2.8,,,1.7,,,,,,,,,
,,2008 - 2009,,,2.56,,,2.35,,,1.69,,,,,,,,,
,,2009 - 2010,,,2.79,,,2.06,700.0,,1.71,,,,,,,,,
,,2010 - 2011,,,3.22,,,2.33,,,1.71,,,,,,,,,
,,2011 - 2012,,,3.56,,,2.99,,,1.7,,,,,,,,,
,,2012 - 2013,,,2.76,,,2.45,500.0,900.0,1.8,,,,,,,,,
,,2013 - 2014,,,3.0,,,2.8,,,1.73,,,,,,,,,
,,2014 - 2015,,,3.58,,,4.1,,,1.45,,,,,,,,,
,,2015 - 2016,,,2.68,,,2.39,,,1.51,,,,,,,,,
,,2016 - 2017,,,7.89,,,4.21,,,2.44,,,,,,,,,
,,2017 - 2018,,,3.53,,,2.73,,,1.09,,,,,,,,,
,,2018 - 2019,,,2.57,,,2.7,,,1.1,,,,,,,,,
,,2019 - 2020,,,4.2,,,3.56,,,2.5,,,,,,,,,
,,2020 - 2021,,,3.12,,,3.1,,,1.54,,,,,,,,,
,,2021 - 2022,,,2.78,,,2.74,,,1.54,,,,,,,,,
,,2022 - 2023,,,5.08,,,3.7,,,1.75,,,,,,,,,
,Raigad,2005 - 2006,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2007 - 2008,200.0,500.0,2.5,,,,,,,,,,,,,,,
,,2008 - 2009,200.0,600.0,3.0,,,,,,,,,,,,,,,
,,2011 - 2012,200.0,600.0,3.0,,,,,,,,,,,,,,,
,Ratnagiri,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2003 - 2004,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2007 - 2008,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2008 - 2009,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2009 - 2010,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2010 - 2011,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2011 - 2012,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2015 - 2016,50.0,100.0,2.0,,,,,,,,,,,,,,,
,,2019 - 2020,23.0,60.0,2.61,,,,,,,,,,,,,,,
,,2020 - 2021,9.7,26.64,2.75,,,,,,,,,,,,,,,
,,2021 - 2022,35.4,87.21,2.46,,,,,,,,,,,,,,,
,,2022 - 2023,34.5,94.83,2.75,,,,,,,,,,,,,,,
,Sangli,2000 - 2001,,,1.64,,,0.63,,,,,,,,,,,,
,,2001 - 2002,,,1.64,,,2.14,,,1.36,,,,,,,,,
,,2002 - 2003,,,1.83,,,1.13,,,1.75,,,,,,,,,
,,2003 - 2004,,,2.68,,,1.9,,,,,,,,,,,,
,,2004 - 2005,,,1.87,,,2.18,,,1.5,,,,,,,,,
,,2005 - 2006,,,1.96,,,2.61,,,1.62,,,,,,,,,
,,2006 - 2007,,,2.31,,,0.59,800.0,,1.5,,,,,,,,,
,,2007 - 2008,,,2.71,,,2.29,,,1.58,,,,,,,,,
,,2008 - 2009,,,2.59,,,2.07,,,1.54,,,,,,,,,
,,2009 - 2010,,,2.55,,,2.43,,,1.56,,,,,,,,,
,,2010 - 2011,,,3.15,,,3.11,,,1.53,,,,,,,,,
,,2011 - 2012,,,1.78,,,2.23,,,1.54,,,,,,,,,
,,2012 - 2013,,,1.93,,,1.81,,,,,,,,,,,,
,,2013 - 2014,,,2.83,,,2.17,,,1.57,,,,,,,,,
,,2014 - 2015,,,3.87,,,3.95,,,1.54,,,,,,,,,
,,2015 - 2016,,,2.01,,,1.88,600.0,900.0,1.5,,,,,,,,,
,,2016 - 2017,,,3.03,,,3.14,,,1.6,,,,,,,,,
,,2017 - 2018,,,2.59,,,2.33,,,2.19,,,,,,,,,
,,2018 - 2019,,,2.38,,,1.81,,,1.56,,,,,,,,,
,,2019 - 2020,,,2.1,,,1.85,,,2.0,,,,,,,,,
,,2020 - 2021,,,3.25,,,2.41,,,3.04,,,,,,,,,
,,2021 - 2022,,,4.36,,,2.53,,,2.1,,,,,,,,,
,,2022 - 2023,,,3.13,,,2.87,,,2.82,,,,,,,,,
,Satara,2000 - 2001,,,1.53,,,0.62,,,,,,,,,,,,
,,2001 - 2002,,,1.83,,,2.14,600.0,800.0,1.33,,,,,,,,,
,,2002 - 2003,,,2.88,,,1.61,400.0,700.0,1.75,,,,,,,,,
,,2003 - 2004,,,1.68,,,2.12,,,,,,,,,,,,
,,2004 - 2005,,,2.84,,,1.35,,,1.69,,,,,,,,,
,,2005 - 2006,,,2.48,,,0.74,500.0,800.0,1.6,,,,,,,,,
,,2006 - 2007,,,2.77,,,0.64,600.0,,1.67,,,,,,,,,
,,2007 - 2008,,,2.63,,,1.18,800.0,,1.63,,,,,,,,,
,,2008 - 2009,,,2.52,,,1.65,900.0,,1.56,,,,,,,,,
,,2009 - 2010,,,3.08,,,2.25,,,1.58,,,,,,,,,
,,2010 - 2011,,,3.09,,,1.41,,,1.62,,,,,,,,,
,,2011 - 2012,,,2.91,,,1.67,,,1.62,,,,,,,,,
,,2012 - 2013,,,2.35,,,1.16,,,1.62,,,,,,,,,
,,2013 - 2014,,,2.91,,,2.44,500.0,800.0,1.6,,,,,,,,,
,,2014 - 2015,,,2.12,,,1.91,,,1.59,,,,,,,,,
,,2015 - 2016,,,2.22,,,1.91,,,1.6,,,,,,,,,
,,2016 - 2017,,,2.19,,,2.21,,,1.7,,,,,,,,,
,,2017 - 2018,,,2.76,,,3.1,,,1.59,,,,,,,,,
,,2018 - 2019,,,2.7,,,2.19,,,1.4,,,,,,,,,
,,2019 - 2020,,,3.41,,,1.4,,,1.85,,,,,,,,,
,,2020 - 2021,,,3.46,,,2.59,,,2.1,,,,,,,,,
,,2021 - 2022,,,4.3,,,3.32,,,3.05,,,,,,,,,
,,2022 - 2023,,,1.72,,,2.41,,,2.1,,,,,,,,,
,Sindhudurg,2000 - 2001,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2001 - 2002,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2003 - 2004,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2007 - 2008,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2008 - 2009,200.0,600.0,3.0,,,,,,,,,,,,,,,
,,2009 - 2010,200.0,600.0,3.0,,,,,,,,,,,,,,,
,,2010 - 2011,300.0,900.0,3.0,,,,,,,,,,,,,,,
,,2014 - 2015,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2015 - 2016,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,57.0,200.0,3.51,,,,,,,,,,,,,,,
,,2019 - 2020,286.0,907.0,3.17,,,,,,,,,,,,,,,
,,2020 - 2021,339.0,930.9,2.75,,,,,,,,,,,,,,,
,,2021 - 2022,383.0,943.56,2.46,,,,,,,,,,,,,,,
,,2022 - 2023,404.0,,2.75,,,,163.0,379.51,2.33,,,,,,,,,
,Solapur,2000 - 2001,,,1.16,,,0.63,,,,,,,,,,,,
,,2001 - 2002,,,1.84,,10.0,0.0,,,1.38,,,,,,,,,
,,2002 - 2003,,,2.08,,,1.4,,,1.78,,,,,,,,,
,,2003 - 2004,,,0.35,,,0.29,,,,,,,,,,,,
,,2004 - 2005,,,1.65,,,1.11,,,1.56,,,,,,,,,
,,2005 - 2006,,,1.98,,,1.27,,,1.68,,,,,,,,,
,,2006 - 2007,,,1.86,,,0.99,700.0,,1.57,,,,,,,,,
,,2007 - 2008,,,2.14,,,1.32,900.0,,1.67,,,,,,,,,
,,2008 - 2009,,,2.02,,,2.31,,,1.67,,,,,,,,,
,,2009 - 2010,,,3.38,,,1.62,,,1.67,,,,,,,,,
,,2010 - 2011,,,2.51,,,1.7,,,1.64,,,,,,,,,
,,2011 - 2012,,,1.82,,,2.49,,,1.63,,,,,,,,,
,,2012 - 2013,,,1.89,,,0.97,,,1.64,,,,,,,,,
,,2013 - 2014,,,2.41,,,1.74,,,1.65,,,,,,,,,
,,2014 - 2015,,,2.93,,,1.89,,,1.55,,,,,,,,,
,,2015 - 2016,,,1.44,,,1.02,,,1.51,,,,,,,,,
,,2016 - 2017,,,1.76,,,1.13,,,2.62,,,,,,,,,
,,2017 - 2018,,,2.01,,,2.46,,,0.6,,,,,,,,,
,,2018 - 2019,,,1.42,,,0.93,,,0.83,,,,,,,,,
,,2019 - 2020,,,2.33,,,1.23,,,2.6,,,,,,,,,
,,2020 - 2021,,,1.58,,,2.26,,,1.41,,,,,,,,,
,,2021 - 2022,,,2.23,,,2.31,,,1.41,,,,,,,,,
,,2022 - 2023,,,2.48,,,2.25,,,1.61,,,,,,,,,
,Thane,2001 - 2002,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2003 - 2004,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2005 - 2006,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2007 - 2008,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2008 - 2009,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2009 - 2010,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2010 - 2011,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2011 - 2012,100.0,300.0,3.0,,,,,,,,,,,,,,,
,,2015 - 2016,10.0,20.0,2.0,,,,,,,,,,,,,,,
,,2017 - 2018,1.0,4.0,4.0,,,,,,,,,,,,,,,
,,2021 - 2022,101.8,250.79,2.46,,,,15.0,30.01,2.0,,,,,,,,,
,,2022 - 2023,103.85,285.44,2.75,,,,75.0,174.62,2.33,,,,,,,,,
,Wardha,2000 - 2001,100.0,100.0,1.0,,,,,,,,,,,,,,,
,,2001 - 2002,100.0,200.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2007 - 2008,,,,100.0,300.0,3.0,,,,,,,,,,,,
,,2008 - 2009,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2011 - 2012,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2013 - 2014,,,,,,,500.0,500.0,1.0,,,,,,,,,
,,2014 - 2015,,,,,,,,,1.0,,,,,,,,,
,,2015 - 2016,,,,,,,300.0,300.0,1.0,,,,,,,,,
,,2016 - 2017,100.0,100.0,1.0,30.0,100.0,3.33,,,,,,,,,,,,
,,2017 - 2018,18.0,,0.0,,,,208.0,100.0,0.48,,,,,,,,,
,,2018 - 2019,30.0,,0.0,,,,490.0,180.0,0.37,,,,,,,,,
,,2019 - 2020,449.0,472.0,1.05,13.0,21.0,1.62,,,,,,,,,,,,
,,2020 - 2021,177.7,229.22,1.29,6.3,21.52,3.42,33.0,42.98,1.3,,,,,,,,,
,,2021 - 2022,375.68,817.67,2.18,0.82,2.42,2.95,33.0,22.44,0.68,,,,,,,,,
,,2022 - 2023,,,,1.0,2.0,2.0,37.81,25.49,0.67,,,,,,,,,
,Washim,2000 - 2001,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2001 - 2002,,,,100.0,300.0,3.0,,,,,,,,,,,,
,,2002 - 2003,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2003 - 2004,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2006 - 2007,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2007 - 2008,,,,200.0,600.0,3.0,,,,,,,,,,,,
,,2008 - 2009,,,,100.0,300.0,3.0,,,,,,,,,,,,
,,2009 - 2010,,,,300.0,700.0,2.33,,,,,,,,,,,,
,,2010 - 2011,,,,400.0,,2.5,,,,,,,,,,,,
,,2011 - 2012,,,,200.0,600.0,3.0,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,100.0,200.0,2.0,400.0,400.0,1.0,,,,,,,,,
,,2013 - 2014,,,,300.0,900.0,3.0,100.0,100.0,1.0,,,,,,,,,
,,2014 - 2015,300.0,,0.0,500.0,900.0,1.8,,,,,,,,,,,,
,,2015 - 2016,,,,600.0,800.0,1.33,500.0,900.0,1.8,,,,,,,,,
,,2016 - 2017,,,,400.0,,2.5,,,,,,,,,,,,
,,2017 - 2018,100.0,100.0,1.0,500.0,,2.6,,,,,,,,,,,,
,,2018 - 2019,,,,911.0,,1.43,,,,,,,,,,,,
,,2019 - 2020,147.0,50.0,0.34,,,1.84,,,,,,,,,,,,
,,2020 - 2021,193.14,249.13,1.29,,,3.42,,,,,,,,,,,,
,,2021 - 2022,304.23,662.16,2.18,453.06,,2.95,185.0,320.42,1.73,,,,,,,,,
,,2022 - 2023,312.83,618.45,1.98,362.0,,2.99,192.18,252.14,1.31,,,,,,,,,
,Yavatmal,2000 - 2001,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2001 - 2002,,,,200.0,500.0,2.5,,,,,,,,,,,,
,,2002 - 2003,,,,200.0,400.0,2.0,,,,,,,,,,,,
,,2003 - 2004,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2005 - 2006,,,,100.0,200.0,2.0,,,,,,,,,,,,
,,2006 - 2007,,,,400.0,700.0,1.75,,,,,,,,,,,,
,,2007 - 2008,,,,200.0,600.0,3.0,,,,,,,,,,,,
,,2008 - 2009,,,,500.0,,3.0,,,,,,,,,,,,
,,2009 - 2010,,,,,,2.18,,,,,,,,,,,,
,,2010 - 2011,,,,400.0,,2.5,400.0,500.0,1.25,,,,,,,,,
,,2011 - 2012,,,,500.0,,2.8,,,,,,,,,,,,
,,2012 - 2013,,,,500.0,,2.2,800.0,,0.0,,,,,,,,,
,,2013 - 2014,,,,,,,400.0,500.0,1.25,,,,,,,,,
,,2014 - 2015,,200.0,0.15,,,,,,,,,,,,,,,
,,2015 - 2016,,,0.85,,,,100.0,200.0,2.0,,,,,,,,,
,,2016 - 2017,,,1.71,,,2.73,200.0,300.0,1.5,,,,,,,,,
,,2017 - 2018,700.0,700.0,1.0,,,2.47,,,,,,,,,,,,
,,2018 - 2019,,800.0,0.74,840.0,,1.43,,,,,,,,,,,,
,,2019 - 2020,823.0,774.0,0.94,644.0,97.0,0.15,,,,,,,,,,,,
,,2020 - 2021,349.31,450.58,1.29,644.0,,3.42,,,,,,,,,,,,
,,2021 - 2022,349.31,760.27,2.18,644.0,,2.95,959.0,,1.73,,,,,,,,,
,,2022 - 2023,509.68,,1.98,410.0,,2.99,671.3,355.12,0.53,,,,,,,,,
Manipur,Bishnupur,2008 - 2009,210.0,280.0,1.33,800.0,,1.81,,,,,,,,,,,,
,,2009 - 2010,710.0,,1.48,860.0,,1.69,,,,,,,,,,,,
,,2010 - 2011,360.0,700.0,1.94,850.0,,1.6,,,,,,,,,,,,
,,2011 - 2012,380.0,780.0,2.05,,,1.56,,,,,,,,,,,,
,,2012 - 2013,680.0,,2.78,410.0,750.0,1.83,,,,,,,,,,,,
,,2013 - 2014,650.0,,2.38,920.0,,2.21,,,,,,,,,,,,
,,2014 - 2015,690.0,,2.32,920.0,,2.28,,,,,,,,,,,,
,,2015 - 2016,710.0,,2.49,920.0,,2.39,,,,,,,,,,,,
,,2016 - 2017,710.0,,2.35,920.0,,2.12,,,,,,,,,,,,
,,2017 - 2018,710.0,,2.37,880.0,,2.18,,,,,,,,,,,,
,,2018 - 2019,710.0,,2.37,700.0,,2.0,,,,,,,,,,,,
,,2021 - 2022,710.0,,2.39,500.0,,2.5,,,,,,,,,,,,
,,2022 - 2023,720.0,,1.69,500.0,,2.02,,,,,,,,,,,,
,Chandel,2000 - 2001,,,,140.0,460.0,3.29,,,,,,,,,,,,
,,2001 - 2002,,,,360.0,,3.14,,,,,,,,,,,,
,,2002 - 2003,,,,430.0,,2.98,,,,,,,,,,,,
,,2003 - 2004,,,,210.0,660.0,3.14,,,,,,,,,,,,
,,2004 - 2005,,,,280.0,870.0,3.11,,,,,,,,,,,,
,,2005 - 2006,,,,400.0,,3.03,,,,,,,,,,,,
,,2006 - 2007,,,,480.0,,2.21,,,,,,,,,,,,
,,2007 - 2008,,,,410.0,,2.8,,,,,,,,,,,,
,,2008 - 2009,250.0,330.0,1.32,,,2.01,,,,,,,,,,,,
,,2009 - 2010,,,1.76,,,1.78,,,,,,,,,,,,
,,2010 - 2011,450.0,940.0,2.09,,,1.95,,,,,,,,,,,,
,,2011 - 2012,560.0,,2.05,,,1.76,,,,,,,,,,,,
,,2012 - 2013,780.0,,2.76,,,2.08,,,,,,,,,,,,
,,2013 - 2014,720.0,,2.36,,,2.15,,,,,,,,,,,,
,,2014 - 2015,750.0,,2.33,,,2.17,,,,,,,,,,,,
,,2015 - 2016,790.0,,2.53,,,2.31,,,,,,,,,,,,
,,2016 - 2017,800.0,,2.5,,,2.18,,,,,,,,,,,,
,,2017 - 2018,820.0,,2.51,,,2.48,,,,,,,,,,,,
,,2018 - 2019,850.0,,2.39,,,2.52,,,,,,,,,,,,
,,2021 - 2022,840.0,,2.39,,,2.27,,,,,,,,,,,,
,,2022 - 2023,850.0,,2.36,,,2.25,,,,,,,,,,,,
,Churachandpur,2000 - 2001,,,,,,2.14,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.52,,,,,,,,,,,,
,,2003 - 2004,,,,230.0,270.0,1.17,,,,,,,,,,,,
,,2004 - 2005,,,,160.0,220.0,1.38,,,,,,,,,,,,
,,2005 - 2006,,,,260.0,370.0,1.42,,,,,,,,,,,,
,,2006 - 2007,,,,340.0,920.0,2.71,,,,,,,,,,,,
,,2007 - 2008,,,,170.0,450.0,2.65,,,,,,,,,,,,
,,2008 - 2009,350.0,410.0,1.17,,,1.92,,,,,,,,,,,,
,,2009 - 2010,,,1.64,,,2.2,,,,,,,,,,,,
,,2010 - 2011,550.0,,2.35,,,1.78,,,,,,,,,,,,
