state,district,year,sweet_potato_whole_year_area_hectare,sweet_potato_whole_year_production_tonne,sweet_potato_whole_year_yield_tonne_per_hectare,sweet_potato_rabi_area_hectare,sweet_potato_rabi_production_tonne,sweet_potato_rabi_yield_tonne_per_hectare,sweet_potato_kharif_area_hectare,sweet_potato_kharif_production_tonne,sweet_potato_kharif_yield_tonne_per_hectare
,,2019 - 2020,,,,1.0,17.0,17.0,,,
,Annamayya,2022 - 2023,,,,22.0,413.0,18.77,61.0,,18.79
,Bapatla,2022 - 2023,,,,113.0,,18.44,,,
,Chittoor,2000 - 2001,163.0,,13.52,,,,,,
,,2001 - 2002,188.0,,13.27,,,,,,
,,2002 - 2003,160.0,,10.87,,,,,,
,,2003 - 2004,177.0,,7.23,,,,,,
,,2004 - 2005,211.0,434.0,2.06,,,,,,
,,2005 - 2006,249.0,,4.43,,,,,,
,,2006 - 2007,246.0,,5.49,,,,,,
,,2008 - 2009,110.0,628.0,5.71,,,,,,
,,2009 - 2010,226.0,,5.89,,,,,,
,,2010 - 2011,239.0,,12.81,,,,,,
,,2011 - 2012,288.0,,12.12,,,,,,
,,2012 - 2013,,,,186.0,,11.44,44.0,503.0,11.43
,,2013 - 2014,,,,217.0,,11.74,57.0,669.0,11.74
,,2014 - 2015,,,,200.0,,11.29,47.0,530.0,11.28
,,2015 - 2016,,,,150.0,,12.13,19.0,230.0,12.11
,,2016 - 2017,,,,196.0,,12.31,40.0,492.0,12.3
,,2017 - 2018,,,,97.0,,15.73,66.0,,15.73
,,2018 - 2019,,,,54.0,,20.28,32.0,649.0,20.28
,,2019 - 2020,,,,102.0,,28.04,12.0,336.0,28.0
,,2020 - 2021,,,,16.0,326.0,20.38,11.0,224.0,20.36
,,2021 - 2022,,,,9.0,192.0,21.33,32.0,681.0,21.28
,,2022 - 2023,,,,7.0,131.0,18.71,6.0,113.0,18.83
,East godavari,2000 - 2001,60.0,811.0,13.52,,,,,,
,,2001 - 2002,60.0,797.0,13.28,,,,,,
,,2002 - 2003,75.0,810.0,10.8,,,,,,
,,2003 - 2004,53.0,383.0,7.23,,,,,,
,,2004 - 2005,60.0,549.0,9.15,,,,,,
,,2005 - 2006,53.0,514.0,9.7,,,,,,
,,2006 - 2007,48.0,517.0,10.77,,,,,,
,,2008 - 2009,83.0,,13.6,,,,,,
,,2009 - 2010,60.0,771.0,12.85,,,,,,
,,2010 - 2011,49.0,627.0,12.8,,,,,,
,,2011 - 2012,35.0,450.0,12.86,,,,,,
,,2012 - 2013,,,,,,,9.0,87.0,9.67
,,2013 - 2014,,,,12.0,105.0,8.75,22.0,193.0,8.77
,,2014 - 2015,,,,33.0,364.0,11.03,10.0,110.0,11.0
,,2015 - 2016,,,,16.0,195.0,12.19,5.0,61.0,12.2
,,2016 - 2017,,,,9.0,138.0,15.33,13.0,200.0,15.38
,,2017 - 2018,,,,43.0,504.0,11.72,3.0,35.0,11.67
,,2018 - 2019,,,,17.0,345.0,20.29,3.0,61.0,20.33
,,2019 - 2020,,,,15.0,261.0,17.4,2.0,35.0,17.5
,,2020 - 2021,,,,8.0,104.0,13.0,9.0,117.0,13.0
,,2021 - 2022,,,,6.0,154.0,25.67,,,
,Guntur,2000 - 2001,90.0,,28.26,,,,,,
,,2001 - 2002,55.0,,28.07,,,,,,
,,2002 - 2003,58.0,,28.19,,,,,,
,,2003 - 2004,33.0,239.0,7.24,,,,,,
,,2004 - 2005,48.0,439.0,9.15,,,,,,
,,2005 - 2006,60.0,582.0,9.7,,,,,,
,,2006 - 2007,11.0,118.0,10.73,,,,,,
,,2008 - 2009,21.0,286.0,13.62,,,,,,
,,2009 - 2010,15.0,193.0,12.87,,,,,,
,,2010 - 2011,14.0,179.0,12.79,,,,,,
,,2011 - 2012,21.0,270.0,12.86,,,,,,
,,2012 - 2013,,,,9.0,87.0,9.67,,,
,,2014 - 2015,,,,9.0,99.0,11.0,,,
,,2015 - 2016,,,,10.0,122.0,12.2,,,
,,2016 - 2017,,,,4.0,61.0,15.25,,,
,,2017 - 2018,,,,4.0,47.0,11.75,,,
,,2019 - 2020,,,,2.0,35.0,17.5,,,
,,2020 - 2021,,,,20.0,260.0,13.0,,,
,,2021 - 2022,,,,22.0,565.0,25.68,,,
,Kadapa,2000 - 2001,46.0,622.0,13.52,,,,,,
,,2001 - 2002,62.0,823.0,13.27,,,,,,
,,2002 - 2003,40.0,432.0,10.8,,,,,,
,,2003 - 2004,77.0,557.0,7.23,,,,,,
,,2004 - 2005,88.0,181.0,2.06,,,,,,
,,2005 - 2006,37.0,428.0,11.57,,,,,,
,,2006 - 2007,25.0,137.0,5.48,,,,,,
,,2008 - 2009,31.0,177.0,5.71,,,,,,
,,2009 - 2010,59.0,348.0,5.9,,,,,,
,,2010 - 2011,72.0,922.0,12.81,,,,,,
,,2011 - 2012,49.0,630.0,12.86,,,,,,
,,2012 - 2013,,,,67.0,645.0,9.63,,,
,,2013 - 2014,,,,67.0,588.0,8.78,21.0,184.0,8.76
,,2014 - 2015,,,,51.0,523.0,10.25,1.0,10.0,10.0
,,2015 - 2016,,,,24.0,294.0,12.25,19.0,233.0,12.26
,,2016 - 2017,,,,67.0,,22.61,19.0,430.0,22.63
,,2017 - 2018,,,,80.0,968.0,12.1,52.0,629.0,12.1
,,2018 - 2019,,,,23.0,334.0,14.52,5.0,73.0,14.6
,,2019 - 2020,,,,32.0,512.0,16.0,1.0,16.0,16.0
,,2020 - 2021,,,,28.0,297.0,10.61,1.0,11.0,11.0
,,2021 - 2022,,,,9.0,75.0,8.33,4.0,33.0,8.25
,,2022 - 2023,,,,,,,9.0,169.0,18.78
,Kakinada,2022 - 2023,,,,5.0,94.0,18.8,,,
,Krishna,2000 - 2001,35.0,474.0,13.54,,,,,,
,,2001 - 2002,12.0,160.0,13.33,,,,,,
,,2002 - 2003,12.0,130.0,10.83,,,,,,
,,2003 - 2004,22.0,159.0,7.23,,,,,,
,,2004 - 2005,16.0,146.0,9.13,,,,,,
,,2009 - 2010,3.0,39.0,13.0,,,,,,
,,2010 - 2011,1.0,13.0,13.0,,,,,,
,,2011 - 2012,10.0,128.0,12.8,,,,,,
,,2012 - 2013,,,,8.0,77.0,9.63,,,
,,2013 - 2014,,,,9.0,79.0,8.78,,,
,,2014 - 2015,,,,7.0,77.0,11.0,1.0,11.0,11.0
,,2015 - 2016,,,,6.0,73.0,12.17,7.0,85.0,12.14
,,2016 - 2017,,,,8.0,123.0,15.38,7.0,107.0,15.29
,,2017 - 2018,,,,5.0,59.0,11.8,7.0,82.0,11.71
,,2018 - 2019,,,,4.0,81.0,20.25,7.0,142.0,20.29
,,2019 - 2020,,,,5.0,87.0,17.4,,,
,,2020 - 2021,,,,,,,7.0,91.0,13.0
,,2021 - 2022,,,,2.0,51.0,25.5,3.0,77.0,25.67
,,2022 - 2023,,,,,,,10.0,188.0,18.8
,Kurnool,2000 - 2001,5.0,68.0,13.6,,,,,,
,,2001 - 2002,16.0,212.0,13.25,,,,,,
,,2002 - 2003,17.0,184.0,10.82,,,,,,
,,2003 - 2004,15.0,108.0,7.2,,,,,,
,,2004 - 2005,26.0,53.0,2.04,,,,,,
,,2005 - 2006,8.0,42.0,5.25,,,,,,
,,2006 - 2007,6.0,33.0,5.5,,,,,,
,,2008 - 2009,7.0,40.0,5.71,,,,,,
,,2009 - 2010,74.0,436.0,5.89,,,,,,
,,2010 - 2011,6.0,77.0,12.83,,,,,,
,,2011 - 2012,41.0,527.0,12.85,,,,,,
,,2015 - 2016,,,,17.0,207.0,12.18,,,
,,2019 - 2020,,,,,,,4.0,64.0,16.0
,Nandyal,2022 - 2023,,,,,,,1.0,19.0,19.0
,Prakasam,2000 - 2001,542.0,,18.69,,,,,,
,,2001 - 2002,605.0,,16.25,,,,,,
,,2002 - 2003,425.0,,10.95,,,,,,
,,2003 - 2004,317.0,,6.62,,,,,,
,,2004 - 2005,215.0,,10.17,,,,,,
,,2005 - 2006,245.0,,12.91,,,,,,
,,2006 - 2007,159.0,,15.64,,,,,,
,,2008 - 2009,204.0,,20.98,,,,,,
,,2009 - 2010,129.0,,19.26,,,,,,
,,2010 - 2011,137.0,,14.0,,,,,,
,,2011 - 2012,99.0,,15.87,,,,,,
,,2012 - 2013,,,,58.0,558.0,9.62,,,
,,2013 - 2014,,,,81.0,711.0,8.78,,,
,,2014 - 2015,,,,170.0,,14.32,,,
,,2015 - 2016,,,,74.0,,17.31,,,
,,2016 - 2017,,,,58.0,,22.47,,,
,,2017 - 2018,,,,150.0,,9.9,,,
,,2018 - 2019,,,,191.0,,24.72,,,
,,2019 - 2020,,,,149.0,,11.69,,,
,,2020 - 2021,,,,123.0,,12.11,,,
,,2021 - 2022,,,,210.0,,27.64,2.0,55.0,27.5
,,2022 - 2023,,,,4.0,147.0,36.75,,,
,Spsr nellore,2000 - 2001,234.0,,10.0,,,,,,
,,2001 - 2002,260.0,,17.08,,,,,,
,,2002 - 2003,112.0,,10.48,,,,,,
,,2003 - 2004,85.0,806.0,9.48,,,,,,
,,2004 - 2005,138.0,,12.83,,,,,,
,,2005 - 2006,27.0,348.0,12.89,,,,,,
,,2006 - 2007,135.0,,10.77,,,,,,
,,2008 - 2009,41.0,558.0,13.61,,,,,,
,,2009 - 2010,61.0,359.0,5.89,,,,,,
,,2010 - 2011,40.0,512.0,12.8,,,,,,
,,2011 - 2012,175.0,,12.86,,,,,,
,,2012 - 2013,,,,183.0,,7.79,,,
,,2013 - 2014,,,,127.0,,8.77,12.0,105.0,8.75
,,2014 - 2015,,,,112.0,660.0,5.89,,,
,,2015 - 2016,,,,24.0,173.0,7.21,19.0,137.0,7.21
,,2016 - 2017,,,,36.0,553.0,15.36,,,
,,2017 - 2018,,,,33.0,387.0,11.73,,,
,,2018 - 2019,,,,13.0,264.0,20.31,,,
,,2019 - 2020,,,,18.0,314.0,17.44,,,
,,2020 - 2021,,,,7.0,115.0,16.43,,,
,,2021 - 2022,,,,34.0,873.0,25.68,,,
,,2022 - 2023,,,,9.0,136.0,15.11,,,
,Sri sathya sai,2022 - 2023,,,,1.0,19.0,19.0,,,
,Srikakulam,2000 - 2001,52.0,703.0,13.52,,,,,,
,,2001 - 2002,42.0,558.0,13.29,,,,,,
,,2002 - 2003,47.0,508.0,10.81,,,,,,
,,2003 - 2004,36.0,260.0,7.22,,,,,,
,,2004 - 2005,24.0,220.0,9.17,,,,,,
,,2005 - 2006,43.0,418.0,9.72,,,,,,
,,2006 - 2007,26.0,280.0,10.77,,,,,,
,,2008 - 2009,106.0,,13.6,,,,,,
,,2009 - 2010,40.0,305.0,7.63,,,,,,
,,2010 - 2011,50.0,641.0,12.82,,,,,,
,,2011 - 2012,60.0,771.0,12.85,,,,,,
,,2012 - 2013,,,,6.0,58.0,9.67,23.0,221.0,9.61
,,2013 - 2014,,,,,,,13.0,114.0,8.77
,,2014 - 2015,,,,,,,9.0,99.0,11.0
,,2015 - 2016,,,,1.0,12.0,12.0,1.0,12.0,12.0
,,2016 - 2017,,,,1.0,15.0,15.0,,,
,,2020 - 2021,,,,10.0,130.0,13.0,,,
,,2021 - 2022,,,,9.0,231.0,25.67,,,
,,2022 - 2023,,,,6.0,113.0,18.83,,,
,Tirupati,2022 - 2023,,,,,,,1.0,19.0,19.0
,Visakhapatanam,2000 - 2001,445.0,,4.44,,,,,,
,,2001 - 2002,428.0,,4.83,,,,,,
,,2002 - 2003,177.0,353.0,1.99,,,,,,
,,2003 - 2004,196.0,,7.23,,,,,,
,,2004 - 2005,149.0,369.0,2.48,,,,,,
,,2005 - 2006,157.0,404.0,2.57,,,,,,
,,2006 - 2007,128.0,334.0,2.61,,,,,,
,,2008 - 2009,152.0,394.0,2.59,,,,,,
,,2009 - 2010,68.0,167.0,2.46,,,,,,
,,2010 - 2011,121.0,,12.8,,,,,,
,,2011 - 2012,95.0,,12.86,,,,,,
,,2012 - 2013,,,,61.0,587.0,9.62,52.0,501.0,9.63
,,2013 - 2014,,,,52.0,456.0,8.77,45.0,395.0,8.78
,,2014 - 2015,,,,48.0,529.0,11.02,35.0,386.0,11.03
,,2015 - 2016,,,,62.0,507.0,8.18,60.0,491.0,8.18
,,2016 - 2017,,,,62.0,952.0,15.35,64.0,983.0,15.36
,,2017 - 2018,,,,64.0,532.0,8.31,49.0,407.0,8.31
,,2018 - 2019,,,,67.0,831.0,12.4,42.0,521.0,12.4
,,2019 - 2020,,,,32.0,392.0,12.25,35.0,444.0,12.69
,,2020 - 2021,,,,35.0,489.0,13.97,68.0,950.0,13.97
,,2021 - 2022,,,,17.0,222.0,13.06,37.0,482.0,13.03
,,2022 - 2023,,,,9.0,169.0,18.78,3.0,56.0,18.67
,Vizianagaram,2000 - 2001,53.0,716.0,13.51,,,,,,
,,2001 - 2002,54.0,717.0,13.28,,,,,,
,,2002 - 2003,44.0,475.0,10.8,,,,,,
,,2003 - 2004,38.0,275.0,7.24,,,,,,
,,2004 - 2005,32.0,293.0,9.16,,,,,,
,,2005 - 2006,38.0,368.0,9.68,,,,,,
,,2006 - 2007,38.0,410.0,10.79,,,,,,
,,2008 - 2009,20.0,272.0,13.6,,,,,,
,,2009 - 2010,15.0,,0.0,,,,,,
,,2010 - 2011,35.0,448.0,12.8,,,,,,
,,2011 - 2012,26.0,334.0,12.85,,,,,,
,,2012 - 2013,,,,63.0,607.0,9.63,3.0,29.0,9.67
,,2013 - 2014,,,,50.0,439.0,8.78,,,
,,2014 - 2015,,,,40.0,441.0,11.03,,,
,,2015 - 2016,,,,73.0,891.0,12.21,5.0,61.0,12.2
,,2016 - 2017,,,,43.0,359.0,8.35,6.0,50.0,8.33
,,2017 - 2018,,,,37.0,507.0,13.7,2.0,27.0,13.5
,,2018 - 2019,,,,34.0,503.0,14.79,2.0,30.0,15.0
,,2019 - 2020,,,,4.0,51.0,12.75,,,
,,2020 - 2021,,,,7.0,91.0,13.0,23.0,299.0,13.0
,,2021 - 2022,,,,10.0,257.0,25.7,8.0,205.0,25.63
,,2022 - 2023,,,,9.0,169.0,18.78,6.0,113.0,18.83
,West godavari,2000 - 2001,28.0,379.0,13.54,,,,,,
,,2001 - 2002,13.0,173.0,13.31,,,,,,
,,2002 - 2003,11.0,119.0,10.82,,,,,,
,,2003 - 2004,24.0,173.0,7.21,,,,,,
,,2004 - 2005,20.0,183.0,9.15,,,,,,
,,2005 - 2006,12.0,116.0,9.67,,,,,,
,,2006 - 2007,1.0,11.0,11.0,,,,,,
,,2008 - 2009,42.0,571.0,13.6,,,,,,
,,2009 - 2010,2.0,26.0,13.0,,,,,,
,,2012 - 2013,,,,2.0,19.0,9.5,,,
Assam,Baksa,2005 - 2006,137.0,771.0,5.63,,,,,,
,,2006 - 2007,299.0,,5.63,,,,,,
,,2007 - 2008,295.0,,5.63,,,,,,
,,2008 - 2009,181.0,,5.63,,,,,,
,,2009 - 2010,258.0,,5.63,,,,,,
,,2010 - 2011,116.0,653.0,5.63,,,,,,
,,2011 - 2012,185.0,,5.77,,,,,,
,,2012 - 2013,110.0,745.0,6.77,,,,,,
,,2013 - 2014,84.0,569.0,6.77,,,,,,
,,2014 - 2015,70.0,475.0,6.79,,,,,,
,,2015 - 2016,60.0,407.0,6.78,,,,,,
,,2016 - 2017,55.0,380.0,6.91,,,,,,
,,2017 - 2018,45.0,312.0,6.93,,,,,,
,,2018 - 2019,45.0,241.0,5.36,,,,,,
,,2019 - 2020,48.0,265.0,5.52,,,,,,
,,2020 - 2021,51.0,281.0,5.51,,,,,,
,,2021 - 2022,44.0,243.0,5.52,,,,,,
,,2022 - 2023,40.0,225.0,5.63,,,,,,
,Barpeta,2000 - 2001,645.0,,2.5,,,,,,
,,2001 - 2002,650.0,,2.5,,,,,,
,,2002 - 2003,650.0,,2.5,,,,,,
,,2003 - 2004,670.0,,2.5,,,,,,
,,2004 - 2005,590.0,,2.5,,,,,,
,,2005 - 2006,335.0,838.0,2.5,,,,,,
,,2006 - 2007,626.0,,2.5,,,,,,
,,2007 - 2008,630.0,,2.5,,,,,,
,,2008 - 2009,436.0,,2.5,,,,,,
,,2009 - 2010,656.0,,2.5,,,,,,
,,2010 - 2011,644.0,,2.5,,,,,,
,,2011 - 2012,653.0,,2.57,,,,,,
,,2012 - 2013,626.0,,3.57,,,,,,
,,2013 - 2014,579.0,,3.57,,,,,,
,,2014 - 2015,570.0,,3.58,,,,,,
,,2015 - 2016,563.0,,3.58,,,,,,
,,2016 - 2017,563.0,,3.98,,,,,,
,,2017 - 2018,560.0,,3.99,,,,,,
,,2018 - 2019,554.0,,3.23,,,,,,
,,2019 - 2020,545.0,,3.6,,,,,,
,,2020 - 2021,515.0,,4.15,,,,,,
,,2021 - 2022,438.0,,4.16,,,,,,
,,2022 - 2023,438.0,,4.17,,,,,,
,Biswanath,2020 - 2021,100.0,734.0,7.34,,,,,,
,,2021 - 2022,81.0,595.0,7.35,,,,,,
,,2022 - 2023,115.0,847.0,7.37,,,,,,
,Bongaigaon,2000 - 2001,375.0,,3.0,,,,,,
,,2001 - 2002,346.0,,3.0,,,,,,
,,2002 - 2003,327.0,981.0,3.0,,,,,,
,,2003 - 2004,249.0,747.0,3.0,,,,,,
,,2004 - 2005,308.0,924.0,3.0,,,,,,
,,2005 - 2006,229.0,687.0,3.0,,,,,,
,,2006 - 2007,222.0,666.0,3.0,,,,,,
,,2007 - 2008,228.0,684.0,3.0,,,,,,
,,2008 - 2009,204.0,612.0,3.0,,,,,,
,,2009 - 2010,202.0,606.0,3.0,,,,,,
,,2010 - 2011,189.0,567.0,3.0,,,,,,
,,2011 - 2012,176.0,535.0,3.04,,,,,,
,,2012 - 2013,174.0,564.0,3.24,,,,,,
,,2013 - 2014,187.0,605.0,3.24,,,,,,
,,2014 - 2015,161.0,524.0,3.25,,,,,,
,,2015 - 2016,150.0,488.0,3.25,,,,,,
,,2016 - 2017,161.0,542.0,3.37,,,,,,
,,2017 - 2018,157.0,530.0,3.38,,,,,,
,,2018 - 2019,157.0,669.0,4.26,,,,,,
,,2019 - 2020,177.0,774.0,4.37,,,,,,
,,2020 - 2021,161.0,705.0,4.38,,,,,,
,,2021 - 2022,172.0,752.0,4.37,,,,,,
,,2022 - 2023,175.0,775.0,4.43,,,,,,
,Cachar,2000 - 2001,155.0,814.0,5.25,,,,,,
,,2001 - 2002,155.0,814.0,5.25,,,,,,
,,2002 - 2003,160.0,840.0,5.25,,,,,,
,,2003 - 2004,176.0,924.0,5.25,,,,,,
,,2004 - 2005,182.0,956.0,5.25,,,,,,
,,2005 - 2006,187.0,982.0,5.25,,,,,,
,,2006 - 2007,195.0,,5.25,,,,,,
,,2007 - 2008,178.0,935.0,5.25,,,,,,
,,2008 - 2009,174.0,914.0,5.25,,,,,,
,,2009 - 2010,161.0,846.0,5.25,,,,,,
,,2010 - 2011,151.0,793.0,5.25,,,,,,
,,2011 - 2012,160.0,,9.68,,,,,,
,,2012 - 2013,160.0,,9.86,,,,,,
,,2013 - 2014,163.0,,9.87,,,,,,
,,2014 - 2015,164.0,,9.66,,,,,,
,,2015 - 2016,149.0,,9.88,,,,,,
,,2016 - 2017,135.0,,10.0,,,,,,
,,2017 - 2018,143.0,,10.01,,,,,,
,,2018 - 2019,156.0,,9.83,,,,,,
,,2019 - 2020,159.0,,6.8,,,,,,
,,2020 - 2021,166.0,684.0,4.12,,,,,,
,,2021 - 2022,166.0,684.0,4.12,,,,,,
,,2022 - 2023,182.0,763.0,4.19,,,,,,
,Charaideo,2020 - 2021,50.0,230.0,4.6,,,,,,
,,2021 - 2022,34.0,157.0,4.62,,,,,,
,,2022 - 2023,30.0,149.0,4.97,,,,,,
,Chirang,2005 - 2006,136.0,408.0,3.0,,,,,,
,,2006 - 2007,139.0,417.0,3.0,,,,,,
,,2007 - 2008,130.0,390.0,3.0,,,,,,
,,2008 - 2009,118.0,354.0,3.0,,,,,,
,,2009 - 2010,129.0,387.0,3.0,,,,,,
,,2010 - 2011,130.0,390.0,3.0,,,,,,
,,2011 - 2012,126.0,429.0,3.4,,,,,,
,,2012 - 2013,127.0,449.0,3.54,,,,,,
,,2013 - 2014,125.0,442.0,3.54,,,,,,
,,2014 - 2015,239.0,846.0,3.54,,,,,,
,,2015 - 2016,230.0,816.0,3.55,,,,,,
,,2016 - 2017,138.0,555.0,4.02,,,,,,
,,2017 - 2018,142.0,572.0,4.03,,,,,,
,,2018 - 2019,138.0,633.0,4.59,,,,,,
,,2019 - 2020,144.0,676.0,4.69,,,,,,
,,2020 - 2021,142.0,668.0,4.7,,,,,,
,,2021 - 2022,156.0,733.0,4.7,,,,,,
,,2022 - 2023,150.0,714.0,4.76,,,,,,
,Darrang,2000 - 2001,430.0,,2.5,,,,,,
,,2001 - 2002,440.0,,2.5,,,,,,
,,2002 - 2003,460.0,,2.5,,,,,,
,,2003 - 2004,460.0,,2.5,,,,,,
,,2004 - 2005,500.0,,2.5,,,,,,
,,2005 - 2006,235.0,588.0,2.5,,,,,,
,,2006 - 2007,206.0,515.0,2.5,,,,,,
,,2007 - 2008,125.0,312.0,2.5,,,,,,
,,2008 - 2009,185.0,463.0,2.5,,,,,,
,,2009 - 2010,183.0,458.0,2.5,,,,,,
,,2010 - 2011,200.0,500.0,2.5,,,,,,
,,2011 - 2012,256.0,655.0,2.56,,,,,,
,,2012 - 2013,160.0,425.0,2.66,,,,,,
,,2013 - 2014,154.0,409.0,2.66,,,,,,
,,2014 - 2015,133.0,355.0,2.67,,,,,,
,,2015 - 2016,132.0,353.0,2.67,,,,,,
,,2016 - 2017,115.0,323.0,2.81,,,,,,
,,2017 - 2018,127.0,360.0,2.83,,,,,,
,,2018 - 2019,102.0,421.0,4.13,,,,,,
,,2019 - 2020,106.0,451.0,4.25,,,,,,
,,2020 - 2021,107.0,456.0,4.26,,,,,,
,,2021 - 2022,104.0,443.0,4.26,,,,,,
,,2022 - 2023,105.0,447.0,4.26,,,,,,
,Dhemaji,2000 - 2001,155.0,503.0,3.25,,,,,,
,,2001 - 2002,153.0,503.0,3.29,,,,,,
,,2002 - 2003,143.0,468.0,3.27,,,,,,
,,2003 - 2004,146.0,475.0,3.25,,,,,,
,,2004 - 2005,107.0,332.0,3.1,,,,,,
,,2005 - 2006,139.0,447.0,3.22,,,,,,
,,2006 - 2007,106.0,326.0,3.08,,,,,,
,,2007 - 2008,116.0,363.0,3.13,,,,,,
,,2008 - 2009,117.0,365.0,3.12,,,,,,
,,2009 - 2010,105.0,324.0,3.09,,,,,,
,,2010 - 2011,108.0,331.0,3.06,,,,,,
,,2011 - 2012,91.0,637.0,7.0,,,,,,
,,2012 - 2013,92.0,656.0,7.13,,,,,,
,,2013 - 2014,185.0,,7.12,,,,,,
,,2014 - 2015,57.0,407.0,7.14,,,,,,
,,2015 - 2016,53.0,379.0,7.15,,,,,,
,,2016 - 2017,55.0,398.0,7.24,,,,,,
,,2017 - 2018,26.0,189.0,7.27,,,,,,
,,2018 - 2019,27.0,142.0,5.26,,,,,,
,,2019 - 2020,31.0,169.0,5.45,,,,,,
,,2020 - 2021,28.0,152.0,5.43,,,,,,
,,2021 - 2022,64.0,348.0,5.44,,,,,,
,,2022 - 2023,70.0,396.0,5.66,,,,,,
,Dhubri,2000 - 2001,,,4.2,,,,,,
,,2001 - 2002,,,4.2,,,,,,
,,2002 - 2003,,,4.2,,,,,,
,,2003 - 2004,,,4.2,,,,,,
,,2004 - 2005,,,4.2,,,,,,
,,2005 - 2006,,,4.2,,,,,,
,,2006 - 2007,,,4.2,,,,,,
,,2007 - 2008,,,4.2,,,,,,
,,2008 - 2009,,,4.2,,,,,,
,,2009 - 2010,,,4.2,,,,,,
,,2010 - 2011,,,4.2,,,,,,
,,2011 - 2012,,,3.09,,,,,,
,,2012 - 2013,,,2.58,,,,,,
,,2013 - 2014,,,2.58,,,,,,
