state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
,,2010 - 2011,,,56.12,,,,,,,,,
,,2011 - 2012,,,65.68,,,,,,,,,
,,2013 - 2014,,,59.01,,,,,,,,,
,,2014 - 2015,,,54.51,,,,,,,,,
,,2015 - 2016,,,71.67,,,,,,,,,
,,2016 - 2017,,,74.68,,,,,,,,,
,,2017 - 2018,,,165.86,,,,,,,,,
,,2018 - 2019,,,123.22,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Krishna,2000 - 2001,,,19.23,,,,,,,,,
,,2001 - 2002,,,2.54,,,,,,,,,
,,2002 - 2003,,,15.29,,,,,,,,,
,,2003 - 2004,,,12.47,,,,,,,,,
,,2004 - 2005,,,12.46,,,,,,,,,
,,2005 - 2006,,,16.9,,,,,,,,,
,,2006 - 2007,,,19.22,,,,,,,,,
,,2008 - 2009,,,27.34,,,,,,,,,
,,2009 - 2010,,,21.52,,,,,,,,,
,,2010 - 2011,,,23.1,,,,,,,,,
,,2011 - 2012,,,30.46,,,,,,,,,
,,2013 - 2014,,,36.13,,,,,,,,,
,,2014 - 2015,,,39.75,,,,,,,,,
,,2015 - 2016,,,65.06,,,,,,,,,
,,2016 - 2017,,,37.94,,,,,,,,,
,,2017 - 2018,,,213.96,,,,,,,,,
,,2018 - 2019,,,258.07,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Kurnool,2000 - 2001,,,13.87,,,,,,,,,
,,2001 - 2002,,,11.04,,,,,,,,,
,,2002 - 2003,,,26.4,,,,,,,,,
,,2003 - 2004,,,8.05,,,,,,,,,
,,2004 - 2005,,,29.01,,,,,,,,,
,,2005 - 2006,,,23.45,,,,,,,,,
,,2006 - 2007,,,21.49,,,,,,,,,
,,2008 - 2009,,,26.51,,,,,,,,,
,,2009 - 2010,,,24.83,,,,,,,,,
,,2010 - 2011,,,27.23,,,,,,,,,
,,2011 - 2012,612.0,,30.43,,,,,,,,,
,,2013 - 2014,,,31.58,,,,,,,,,
,,2014 - 2015,,,45.69,,,,,,,,,
,,2015 - 2016,,,50.53,,,,,,,,,
,,2016 - 2017,,,57.49,,,,,,,,,
,,2017 - 2018,,,97.18,,,,,,,,,
,,2018 - 2019,,,83.77,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Prakasam,2000 - 2001,615.0,,19.65,,,,,,,,,
,,2001 - 2002,511.0,,16.38,,,,,,,,,
,,2002 - 2003,538.0,,19.38,,,,,,,,,
,,2003 - 2004,82.0,794.0,9.68,,,,,,,,,
,,2004 - 2005,89.0,,20.15,,,,,,,,,
,,2005 - 2006,90.0,,16.78,,,,,,,,,
,,2006 - 2007,95.0,,19.89,,,,,,,,,
,,2008 - 2009,452.0,,20.62,,,,,,,,,
,,2009 - 2010,382.0,,23.02,,,,,,,,,
,,2010 - 2011,292.0,,25.49,,,,,,,,,
,,2011 - 2012,430.0,,26.64,,,,,,,,,
,,2013 - 2014,487.0,,19.63,,,,,,,,,
,,2014 - 2015,479.0,,21.28,,,,,,,,,
,,2015 - 2016,688.0,,26.26,,,,,,,,,
,,2016 - 2017,401.0,,26.96,,,,,,,,,
,,2017 - 2018,426.0,,56.48,,,,,,,,,
,,2018 - 2019,204.0,,102.94,,,,,,,,,
,,2019 - 2020,380.0,,60.0,,,,,,,,,
,Spsr nellore,2000 - 2001,567.0,,14.38,,,,,,,,,
,,2001 - 2002,479.0,,16.76,,,,,,,,,
,,2002 - 2003,521.0,,19.38,,,,,,,,,
,,2003 - 2004,485.0,,9.69,,,,,,,,,
,,2004 - 2005,458.0,,18.52,,,,,,,,,
,,2005 - 2006,470.0,,16.78,,,,,,,,,
,,2006 - 2007,667.0,,19.9,,,,,,,,,
,,2008 - 2009,860.0,,20.62,,,,,,,,,
,,2009 - 2010,,,23.02,,,,,,,,,
,,2010 - 2011,,,25.49,,,,,,,,,
,,2011 - 2012,,,15.53,,,,,,,,,
,,2013 - 2014,816.0,,31.57,,,,,,,,,
,,2014 - 2015,551.0,,21.28,,,,,,,,,
,,2015 - 2016,726.0,,26.26,,,,,,,,,
,,2016 - 2017,813.0,,26.96,,,,,,,,,
,,2017 - 2018,763.0,,121.49,,,,,,,,,
,,2018 - 2019,670.0,,144.36,,,,,,,,,
,,2019 - 2020,962.0,,60.0,,,,,,,,,
,Srikakulam,2000 - 2001,,,14.14,,,,,,,,,
,,2001 - 2002,,,12.56,,,,,,,,,
,,2002 - 2003,765.0,,19.38,,,,,,,,,
,,2003 - 2004,535.0,,5.61,,,,,,,,,
,,2004 - 2005,,,12.84,,,,,,,,,
,,2005 - 2006,,,16.78,,,,,,,,,
,,2006 - 2007,,,19.9,,,,,,,,,
,,2008 - 2009,,,20.62,,,,,,,,,
,,2009 - 2010,,,23.02,,,,,,,,,
,,2010 - 2011,853.0,,25.49,,,,,,,,,
,,2011 - 2012,,,26.64,,,,,,,,,
,,2013 - 2014,,,19.63,,,,,,,,,
,,2014 - 2015,,798.0,0.32,,,,,,,,,
,,2015 - 2016,,,21.53,,,,,,,,,
,,2016 - 2017,,,33.15,,,,,,,,,
,,2017 - 2018,,,120.58,,,,,,,,,
,,2018 - 2019,,,113.45,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,18.46,,,,,,,,,
,,2001 - 2002,,,7.73,,,,,,,,,
,,2002 - 2003,,,17.08,,,,,,,,,
,,2003 - 2004,,,12.33,,,,,,,,,
,,2004 - 2005,,,21.69,,,,,,,,,
,,2005 - 2006,,,14.62,,,,,,,,,
,,2006 - 2007,,,7.57,,,,,,,,,
,,2008 - 2009,,,10.31,,,,,,,,,
,,2009 - 2010,,,29.48,,,,,,,,,
,,2010 - 2011,,,15.62,,,,,,,,,
,,2011 - 2012,,,16.85,,,,,,,,,
,,2013 - 2014,,,19.63,,,,,,,,,
,,2014 - 2015,,,21.28,,,,,,,,,
,,2015 - 2016,,,24.02,,,,,,,,,
,,2016 - 2017,,,31.75,,,,,,,,,
,,2017 - 2018,,,89.47,,,,,,,,,
,,2018 - 2019,,,94.44,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,Vizianagaram,2000 - 2001,,,9.89,,,,,,,,,
,,2001 - 2002,,,12.55,,,,,,,,,
,,2002 - 2003,,,20.77,,,,,,,,,
,,2003 - 2004,,,22.96,,,,,,,,,
,,2004 - 2005,,,24.47,,,,,,,,,
,,2005 - 2006,,,24.29,,,,,,,,,
,,2006 - 2007,,,20.1,,,,,,,,,
,,2008 - 2009,,,17.49,,,,,,,,,
,,2009 - 2010,,,18.78,,,,,,,,,
,,2010 - 2011,,,21.35,,,,,,,,,
,,2011 - 2012,,,17.98,,,,,,,,,
,,2013 - 2014,,,10.86,,,,,,,,,
,,2014 - 2015,,,7.95,,,,,,,,,
,,2015 - 2016,,,18.48,,,,,,,,,
,,2016 - 2017,,,12.87,,,,,,,,,
,,2017 - 2018,,,35.39,,,,,,,,,
,,2018 - 2019,,,96.28,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
,West godavari,2000 - 2001,,,14.37,,,,,,,,,
,,2001 - 2002,,,12.08,,,,,,,,,
,,2002 - 2003,,,22.2,,,,,,,,,
,,2003 - 2004,,,4.24,,,,,,,,,
,,2004 - 2005,,,25.86,,,,,,,,,
,,2005 - 2006,,,9.44,,,,,,,,,
,,2006 - 2007,,,19.48,,,,,,,,,
,,2008 - 2009,,,19.43,,,,,,,,,
,,2009 - 2010,,,28.73,,,,,,,,,
,,2010 - 2011,,,25.29,,,,,,,,,
,,2011 - 2012,,,34.49,,,,,,,,,
,,2013 - 2014,,,21.71,,,,,,,,,
,,2014 - 2015,,,28.99,,,,,,,,,
,,2015 - 2016,,,32.68,,,,,,,,,
,,2016 - 2017,,,41.31,,,,,,,,,
,,2017 - 2018,,,117.56,,,,,,,,,
,,2018 - 2019,,,98.56,,,,,,,,,
,,2019 - 2020,,,60.0,,,,,,,,,
Assam,Baksa,2005 - 2006,,,14.64,,,,,,,,,
,,2006 - 2007,,,14.64,,,,,,,,,
,,2007 - 2008,,,14.64,,,,,,,,,
,,2008 - 2009,,,14.64,,,,,,,,,
,,2009 - 2010,,,14.64,,,,,,,,,
,,2010 - 2011,680.0,,14.64,,,,,,,,,
,,2011 - 2012,,,15.54,,,,,,,,,
,,2012 - 2013,695.0,,16.54,,,,,,,,,
,,2013 - 2014,,,16.54,,,,,,,,,
,,2014 - 2015,,,16.54,,,,,,,,,
,,2015 - 2016,,,16.55,,,,,,,,,
,,2016 - 2017,,,17.02,,,,,,,,,
,,2017 - 2018,,,17.03,,,,,,,,,
,,2018 - 2019,,,18.04,,,,,,,,,
,,2019 - 2020,,,18.17,,,,,,,,,
,,2020 - 2021,,,17.91,,,,,,,,,
,,2021 - 2022,,,18.38,,,,,,,,,
,,2022 - 2023,,,18.39,,,,,,,,,
,Barpeta,2000 - 2001,,,15.05,,,,,,,,,
,,2001 - 2002,,,15.05,,,,,,,,,
,,2002 - 2003,,,15.05,,,,,,,,,
,,2003 - 2004,,,15.05,,,,,,,,,
,,2005 - 2006,,,15.05,,,,,,,,,
,,2006 - 2007,,,15.05,,,,,,,,,
,,2007 - 2008,,,15.05,,,,,,,,,
,,2008 - 2009,,,14.95,,,,,,,,,
,,2009 - 2010,,,15.02,,,,,,,,,
,,2010 - 2011,,,15.01,,,,,,,,,
,,2011 - 2012,,,15.42,,,,,,,,,
,,2012 - 2013,,,15.64,,,,,,,,,
,,2013 - 2014,,,15.64,,,,,,,,,
,,2014 - 2015,,,15.64,,,,,,,,,
,,2015 - 2016,,,15.64,,,,,,,,,
,,2016 - 2017,,,15.89,,,,,,,,,
,,2017 - 2018,,,15.9,,,,,,,,,
,,2018 - 2019,,,16.66,,,,,,,,,
,,2019 - 2020,,,17.49,,,,,,,,,
,,2020 - 2021,,,17.32,,,,,,,,,
,,2021 - 2022,,,18.17,,,,,,,,,
,,2022 - 2023,,,20.48,,,,,,,,,
,Biswanath,2020 - 2021,,,18.64,,,,,,,,,
,,2021 - 2022,,,18.92,,,,,,,,,
,,2022 - 2023,,,18.93,,,,,,,,,
,Bongaigaon,2000 - 2001,867.0,,12.17,,,,,,,,,
,,2001 - 2002,892.0,,12.16,,,,,,,,,
,,2002 - 2003,906.0,,12.16,,,,,,,,,
,,2003 - 2004,942.0,,12.16,,,,,,,,,
,,2005 - 2006,817.0,,12.11,,,,,,,,,
,,2006 - 2007,631.0,,12.09,,,,,,,,,
,,2007 - 2008,665.0,,12.11,,,,,,,,,
,,2008 - 2009,647.0,,13.0,,,,,,,,,
,,2009 - 2010,638.0,,12.45,,,,,,,,,
,,2010 - 2011,660.0,,12.57,,,,,,,,,
,,2011 - 2012,670.0,,13.46,,,,,,,,,
,,2012 - 2013,695.0,,14.46,,,,,,,,,
,,2013 - 2014,708.0,,14.46,,,,,,,,,
,,2014 - 2015,780.0,,14.46,,,,,,,,,
,,2015 - 2016,830.0,,14.47,,,,,,,,,
,,2016 - 2017,813.0,,15.17,,,,,,,,,
,,2017 - 2018,709.0,,15.18,,,,,,,,,
,,2018 - 2019,786.0,,16.89,,,,,,,,,
,,2019 - 2020,778.0,,17.13,,,,,,,,,
,,2020 - 2021,820.0,,16.73,,,,,,,,,
,,2021 - 2022,839.0,,17.79,,,,,,,,,
,,2022 - 2023,853.0,,17.81,,,,,,,,,
,Cachar,2000 - 2001,,,12.21,,,,,,,,,
,,2001 - 2002,,,12.21,,,,,,,,,
,,2002 - 2003,,,12.21,,,,,,,,,
,,2003 - 2004,,,12.0,,,,,,,,,
,,2005 - 2006,,,12.14,,,,,,,,,
,,2006 - 2007,,,12.14,,,,,,,,,
,,2007 - 2008,,,12.14,,,,,,,,,
,,2008 - 2009,,,13.5,,,,,,,,,
,,2009 - 2010,,,12.59,,,,,,,,,
,,2010 - 2011,,,12.73,,,,,,,,,
,,2011 - 2012,,,17.65,,,,,,,,,
,,2012 - 2013,,,17.79,,,,,,,,,
,,2013 - 2014,,,17.79,,,,,,,,,
,,2014 - 2015,,,17.79,,,,,,,,,
,,2015 - 2016,,,17.8,,,,,,,,,
,,2016 - 2017,,,17.98,,,,,,,,,
,,2017 - 2018,,,17.99,,,,,,,,,
,,2018 - 2019,,,18.44,,,,,,,,,
,,2019 - 2020,,,17.05,,,,,,,,,
,,2020 - 2021,,,16.95,,,,,,,,,
,,2021 - 2022,,,17.31,,,,,,,,,
,,2022 - 2023,,,18.02,,,,,,,,,
,Charaideo,2020 - 2021,560.0,,21.49,,,,,,,,,
,,2021 - 2022,570.0,,21.25,,,,,,,,,
,,2022 - 2023,578.0,,21.5,,,,,,,,,
,Chirang,2005 - 2006,527.0,,12.11,,,,,,,,,
,,2006 - 2007,525.0,,12.09,,,,,,,,,
,,2007 - 2008,532.0,,12.11,,,,,,,,,
,,2008 - 2009,571.0,,13.15,,,,,,,,,
,,2009 - 2010,578.0,,12.45,,,,,,,,,
,,2010 - 2011,418.0,,12.58,,,,,,,,,
,,2011 - 2012,512.0,,13.5,,,,,,,,,
,,2012 - 2013,647.0,,16.46,,,,,,,,,
,,2013 - 2014,763.0,,16.46,,,,,,,,,
,,2014 - 2015,872.0,,16.46,,,,,,,,,
,,2015 - 2016,911.0,,16.47,,,,,,,,,
,,2016 - 2017,817.0,,17.15,,,,,,,,,
,,2017 - 2018,,,17.16,,,,,,,,,
,,2018 - 2019,,,19.57,,,,,,,,,
,,2019 - 2020,,,19.61,,,,,,,,,
,,2020 - 2021,,,19.5,,,,,,,,,
,,2021 - 2022,,,14.34,,,,,,,,,
,,2022 - 2023,905.0,,14.36,,,,,,,,,
,Darrang,2000 - 2001,,,12.97,,,,,,,,,
,,2001 - 2002,,,12.97,,,,,,,,,
,,2002 - 2003,,,12.97,,,,,,,,,
,,2003 - 2004,,,12.97,,,,,,,,,
,,2005 - 2006,,,13.0,,,,,,,,,
,,2006 - 2007,257.0,,13.0,,,,,,,,,
,,2007 - 2008,,,13.0,,,,,,,,,
,,2008 - 2009,,,14.2,,,,,,,,,
,,2009 - 2010,,,13.4,,,,,,,,,
,,2010 - 2011,,,13.51,,,,,,,,,
,,2011 - 2012,,,14.52,,,,,,,,,
,,2012 - 2013,,,14.63,,,,,,,,,
,,2013 - 2014,,,14.63,,,,,,,,,
,,2014 - 2015,,,14.63,,,,,,,,,
,,2015 - 2016,,,14.63,,,,,,,,,
,,2016 - 2017,,,15.0,,,,,,,,,
,,2017 - 2018,,,19.07,,,,,,,,,
,,2018 - 2019,,,19.07,,,,,,,,,
,,2019 - 2020,,,14.22,,,,,,,,,
,,2020 - 2021,,,18.02,,,,,,,,,
,,2021 - 2022,,,18.54,,,,,,,,,
,,2022 - 2023,,,18.55,,,,,,,,,
,Dhemaji,2000 - 2001,999.0,,14.97,,,,,,,,,
,,2001 - 2002,,,15.17,,,,,,,,,
,,2002 - 2003,,,15.11,,,,,,,,,
,,2003 - 2004,,,15.24,,,,,,,,,
,,2005 - 2006,937.0,,15.36,,,,,,,,,
,,2006 - 2007,,,15.67,,,,,,,,,
,,2007 - 2008,983.0,,15.59,,,,,,,,,
,,2008 - 2009,,,14.04,,,,,,,,,
,,2009 - 2010,,,15.39,,,,,,,,,
,,2010 - 2011,,,15.11,,,,,,,,,
,,2011 - 2012,,,8.16,,,,,,,,,
,,2012 - 2013,800.0,,16.47,,,,,,,,,
,,2013 - 2014,,,16.47,,,,,,,,,
,,2014 - 2015,,,16.47,,,,,,,,,
,,2015 - 2016,,,16.47,,,,,,,,,
,,2016 - 2017,,,10.52,,,,,,,,,
,,2017 - 2018,,,12.74,,,,,,,,,
,,2018 - 2019,,,14.17,,,,,,,,,
,,2019 - 2020,,,18.7,,,,,,,,,
,,2020 - 2021,,,19.36,,,,,,,,,
,,2021 - 2022,,,19.63,,,,,,,,,
,,2022 - 2023,,,19.72,,,,,,,,,
,Dhubri,2000 - 2001,,,15.33,,,,,,,,,
,,2001 - 2002,,,15.28,,,,,,,,,
,,2002 - 2003,,,15.29,,,,,,,,,
,,2003 - 2004,,,15.3,,,,,,,,,
,,2005 - 2006,,,15.32,,,,,,,,,
,,2006 - 2007,921.0,,15.29,,,,,,,,,
,,2007 - 2008,926.0,,15.29,,,,,,,,,
,,2008 - 2009,853.0,,14.32,,,,,,,,,
,,2009 - 2010,870.0,,14.99,,,,,,,,,
,,2010 - 2011,965.0,,14.88,,,,,,,,,
,,2011 - 2012,,,14.54,,,,,,,,,
,,2012 - 2013,,,15.45,,,,,,,,,
,,2013 - 2014,,,15.45,,,,,,,,,
,,2014 - 2015,,,15.45,,,,,,,,,
,,2015 - 2016,,,15.46,,,,,,,,,
,,2016 - 2017,,,15.99,,,,,,,,,
,,2017 - 2018,,,15.99,,,,,,,,,
,,2018 - 2019,,,17.25,,,,,,,,,
,,2019 - 2020,,,17.41,,,,,,,,,
,,2020 - 2021,885.0,,17.13,,,,,,,,,
,,2021 - 2022,885.0,,18.03,,,,,,,,,
,,2022 - 2023,988.0,,18.05,,,,,,,,,
,Dibrugarh,2000 - 2001,614.0,,13.14,,,,,,,,,
,,2001 - 2002,,,13.15,,,,,,,,,
,,2002 - 2003,,,13.14,,,,,,,,,
,,2003 - 2004,,,13.15,,,,,,,,,
,,2005 - 2006,,,13.15,,,,,,,,,
,,2006 - 2007,,,13.15,,,,,,,,,
,,2007 - 2008,525.0,,13.14,,,,,,,,,
,,2008 - 2009,516.0,,15.99,,,,,,,,,
,,2009 - 2010,502.0,,14.09,,,,,,,,,
,,2010 - 2011,646.0,,14.4,,,,,,,,,
,,2011 - 2012,621.0,,16.24,,,,,,,,,
,,2012 - 2013,720.0,,17.33,,,,,,,,,
,,2013 - 2014,705.0,,17.33,,,,,,,,,
,,2014 - 2015,735.0,,17.33,,,,,,,,,
,,2015 - 2016,720.0,,16.47,,,,,,,,,
,,2016 - 2017,740.0,,17.26,,,,,,,,,
,,2017 - 2018,746.0,,17.27,,,,,,,,,
,,2018 - 2019,922.0,,18.92,,,,,,,,,
,,2019 - 2020,852.0,,19.11,,,,,,,,,
,,2020 - 2021,852.0,,18.67,,,,,,,,,
,,2021 - 2022,758.0,,19.21,,,,,,,,,
,,2022 - 2023,767.0,,19.31,,,,,,,,,
,Dima hasao,2000 - 2001,430.0,,14.5,,,,,,,,,
,,2001 - 2002,537.0,,14.5,,,,,,,,,
,,2002 - 2003,550.0,,14.5,,,,,,,,,
,,2003 - 2004,600.0,,14.5,,,,,,,,,
,,2005 - 2006,605.0,,14.5,,,,,,,,,
,,2006 - 2007,610.0,,14.5,,,,,,,,,
,,2007 - 2008,730.0,,14.5,,,,,,,,,
,,2008 - 2009,720.0,,14.5,,,,,,,,,
,,2009 - 2010,790.0,,14.5,,,,,,,,,
,,2010 - 2011,875.0,,14.5,,,,,,,,,
,,2011 - 2012,876.0,,15.0,,,,,,,,,
,,2012 - 2013,847.0,,16.21,,,,,,,,,
,,2013 - 2014,,,16.21,,,,,,,,,
,,2014 - 2015,,,16.21,,,,,,,,,
,,2015 - 2016,,,18.46,,,,,,,,,
,,2016 - 2017,,,18.76,,,,,,,,,
,,2017 - 2018,,,18.77,,,,,,,,,
,,2018 - 2019,,,19.34,,,,,,,,,
,,2019 - 2020,,,20.34,,,,,,,,,
,,2020 - 2021,,,20.12,,,,,,,,,
,,2021 - 2022,,,20.06,,,,,,,,,
,,2022 - 2023,,,20.26,,,,,,,,,
,Goalpara,2000 - 2001,,,15.6,,,,,,,,,
,,2001 - 2002,,,15.52,,,,,,,,,
,,2002 - 2003,,,15.53,,,,,,,,,
,,2003 - 2004,,,15.55,,,,,,,,,
,,2005 - 2006,,,15.54,,,,,,,,,
,,2006 - 2007,,,15.54,,,,,,,,,
,,2007 - 2008,,,15.54,,,,,,,,,
,,2008 - 2009,,,14.0,,,,,,,,,
,,2009 - 2010,,,15.03,,,,,,,,,
,,2010 - 2011,,,14.88,,,,,,,,,
