state,district,year,barley_rabi_area_hectare,barley_rabi_production_tonne,barley_rabi_yield_tonne_per_hectare,barley_kharif_area_hectare,barley_kharif_production_tonne,barley_kharif_yield_tonne_per_hectare,barley_summer_area_hectare,barley_summer_production_tonne,barley_summer_yield_tonne_per_hectare,barley_whole_year_area_hectare,barley_whole_year_production_tonne,barley_whole_year_yield_tonne_per_hectare
,,2009 - 2010,844.0,577.0,0.68,,,,,,,,,
,,2010 - 2011,,818.0,0.77,,,,,,,,,
,,2011 - 2012,,876.0,0.77,,,,,,,,,
,,2012 - 2013,,,1.04,,,,,,,,,
,,2013 - 2014,936.0,,1.32,,,,,,,,,
,,2014 - 2015,,,1.14,,,,,,,,,
,,2015 - 2016,,,1.24,,,,,,,,,
,,2016 - 2017,704.0,833.0,1.18,,,,,,,,,
,,2017 - 2018,676.0,,2.14,,,,,,,,,
,,2018 - 2019,424.0,676.0,1.59,,,,,,,,,
,,2019 - 2020,539.0,529.0,0.98,,,,,,,,,
,,2020 - 2021,547.0,766.0,1.4,,,,,,,,,
,,2021 - 2022,369.0,630.0,1.71,,,,,,,,,
,,2022 - 2023,334.0,342.0,1.02,,,,,,,,,
,Banka,2000 - 2001,,,1.26,,,,,,,,,
,,2001 - 2002,,,0.99,,,,,,,,,
,,2002 - 2003,,578.0,0.52,,,,,,,,,
,,2003 - 2004,863.0,886.0,1.03,,,,,,,,,
,,2004 - 2005,595.0,344.0,0.58,,,,,,,,,
,,2005 - 2006,,919.0,0.73,,,,,,,,,
,,2006 - 2007,9.0,10.0,1.11,,,,,,,,,
,,2007 - 2008,,,0.82,,,,,,,,,
,,2008 - 2009,,,0.95,,,,,,,,,
,,2009 - 2010,621.0,548.0,0.88,,,,,,,,,
,,2010 - 2011,365.0,409.0,1.12,,,,,,,,,
,,2011 - 2012,502.0,728.0,1.45,,,,,,,,,
,,2012 - 2013,374.0,354.0,0.95,,,,,,,,,
,,2013 - 2014,364.0,775.0,2.13,,,,,,,,,
,,2014 - 2015,180.0,56.0,0.31,,,,,,,,,
,,2015 - 2016,310.0,358.0,1.15,,,,,,,,,
,,2016 - 2017,190.0,460.0,2.42,,,,,,,,,
,,2017 - 2018,197.0,201.0,1.02,,,,,,,,,
,,2018 - 2019,113.0,274.0,2.42,,,,,,,,,
,,2019 - 2020,113.0,131.0,1.16,,,,,,,,,
,,2020 - 2021,114.0,212.0,1.86,,,,,,,,,
,,2021 - 2022,107.0,92.0,0.86,,,,,,,,,
,,2022 - 2023,74.0,77.0,1.04,,,,,,,,,
,Begusarai,2000 - 2001,60.0,57.0,0.95,,,,,,,,,
,,2001 - 2002,461.0,275.0,0.6,,,,,,,,,
,,2002 - 2003,11.0,10.0,0.91,,,,,,,,,
,,2003 - 2004,34.0,30.0,0.88,,,,,,,,,
,,2004 - 2005,39.0,41.0,1.05,,,,,,,,,
,,2005 - 2006,29.0,25.0,0.86,,,,,,,,,
,,2006 - 2007,27.0,41.0,1.52,,,,,,,,,
,,2007 - 2008,17.0,19.0,1.12,,,,,,,,,
,,2008 - 2009,14.0,9.0,0.64,,,,,,,,,
,,2009 - 2010,38.0,30.0,0.79,,,,,,,,,
,,2010 - 2011,32.0,30.0,0.94,,,,,,,,,
,,2011 - 2012,31.0,21.0,0.68,,,,,,,,,
,,2012 - 2013,14.0,20.0,1.43,,,,,,,,,
,,2013 - 2014,46.0,64.0,1.39,,,,,,,,,
,,2014 - 2015,45.0,50.0,1.11,,,,,,,,,
,,2015 - 2016,48.0,63.0,1.31,,,,,,,,,
,,2016 - 2017,48.0,72.0,1.5,,,,,,,,,
,,2017 - 2018,45.0,71.0,1.58,,,,,,,,,
,,2018 - 2019,47.0,94.0,2.0,,,,,,,,,
,Bhagalpur,2000 - 2001,,,0.99,,,,,,,,,
,,2001 - 2002,,,0.91,,,,,,,,,
,,2002 - 2003,,,0.78,,,,,,,,,
,,2003 - 2004,,,0.97,,,,,,,,,
,,2004 - 2005,,,0.58,,,,,,,,,
,,2005 - 2006,,,0.66,,,,,,,,,
,,2006 - 2007,,,0.87,,,,,,,,,
,,2007 - 2008,,,0.74,,,,,,,,,
,,2008 - 2009,,,0.95,,,,,,,,,
,,2009 - 2010,,,0.91,,,,,,,,,
,,2010 - 2011,,,1.16,,,,,,,,,
,,2011 - 2012,,,1.6,,,,,,,,,
,,2012 - 2013,,,0.95,,,,,,,,,
,,2013 - 2014,,,1.49,,,,,,,,,
,,2014 - 2015,,384.0,0.31,,,,,,,,,
,,2015 - 2016,,,0.94,,,,,,,,,
,,2016 - 2017,,950.0,0.76,,,,,,,,,
,,2017 - 2018,,815.0,0.68,,,,,,,,,
,,2018 - 2019,,,0.87,,,,,,,,,
,,2019 - 2020,,,1.06,,,,,,,,,
,,2020 - 2021,,,1.86,,,,,,,,,
,,2021 - 2022,,,0.86,,,,,,,,,
,,2022 - 2023,,,1.05,,,,,,,,,
,Bhojpur,2000 - 2001,,,1.32,,,,,,,,,
,,2001 - 2002,,,1.69,,,,,,,,,
,,2002 - 2003,,,1.43,,,,,,,,,
,,2003 - 2004,,884.0,0.83,,,,,,,,,
,,2004 - 2005,,,1.37,,,,,,,,,
,,2005 - 2006,,,1.32,,,,,,,,,
,,2006 - 2007,,,1.18,,,,,,,,,
,,2007 - 2008,,,1.46,,,,,,,,,
,,2008 - 2009,,,1.28,,,,,,,,,
,,2009 - 2010,,,1.61,,,,,,,,,
,,2010 - 2011,,,1.51,,,,,,,,,
,,2011 - 2012,,,1.58,,,,,,,,,
,,2012 - 2013,,,1.52,,,,,,,,,
,,2013 - 2014,,,1.05,,,,,,,,,
,,2014 - 2015,,,0.94,,,,,,,,,
,,2015 - 2016,,,1.32,,,,,,,,,
,,2016 - 2017,,,1.45,,,,,,,,,
,,2017 - 2018,,,2.01,,,,,,,,,
,,2018 - 2019,,,2.86,,,,,,,,,
,,2019 - 2020,,,1.69,,,,,,,,,
,,2020 - 2021,,,2.15,,,,,,,,,
,,2021 - 2022,,,2.36,,,,,,,,,
,,2022 - 2023,893.0,,2.08,,,,,,,,,
,Buxar,2000 - 2001,,,1.63,,,,,,,,,
,,2001 - 2002,,,1.86,,,,,,,,,
,,2002 - 2003,,,1.42,,,,,,,,,
,,2003 - 2004,,,1.42,,,,,,,,,
,,2004 - 2005,,,1.26,,,,,,,,,
,,2005 - 2006,,,0.96,,,,,,,,,
,,2006 - 2007,,,1.13,,,,,,,,,
,,2007 - 2008,,,1.91,,,,,,,,,
,,2008 - 2009,,,1.8,,,,,,,,,
,,2009 - 2010,,,1.19,,,,,,,,,
,,2010 - 2011,,,1.64,,,,,,,,,
,,2011 - 2012,,,1.81,,,,,,,,,
,,2012 - 2013,,,1.33,,,,,,,,,
,,2013 - 2014,,,1.47,,,,,,,,,
,,2014 - 2015,,,0.9,,,,,,,,,
,,2015 - 2016,,,1.27,,,,,,,,,
,,2016 - 2017,,,2.08,,,,,,,,,
,,2017 - 2018,,,1.86,,,,,,,,,
,,2018 - 2019,,,2.22,,,,,,,,,
,,2019 - 2020,,,1.43,,,,,,,,,
,,2020 - 2021,,,2.29,,,,,,,,,
,,2021 - 2022,,,2.43,,,,,,,,,
,,2022 - 2023,,,2.45,,,,,,,,,
,Darbhanga,2000 - 2001,116.0,136.0,1.17,,,,,,,,,
,,2001 - 2002,119.0,149.0,1.25,,,,,,,,,
,,2002 - 2003,242.0,164.0,0.68,,,,,,,,,
,,2003 - 2004,203.0,227.0,1.12,,,,,,,,,
,,2004 - 2005,176.0,186.0,1.06,,,,,,,,,
,,2005 - 2006,146.0,151.0,1.03,,,,,,,,,
,,2006 - 2007,147.0,157.0,1.07,,,,,,,,,
,,2007 - 2008,129.0,155.0,1.2,,,,,,,,,
,,2008 - 2009,26.0,28.0,1.08,,,,,,,,,
,,2009 - 2010,61.0,69.0,1.13,,,,,,,,,
,,2010 - 2011,14.0,19.0,1.36,,,,,,,,,
,,2011 - 2012,12.0,19.0,1.58,,,,,,,,,
,,2012 - 2013,13.0,19.0,1.46,,,,,,,,,
,,2013 - 2014,4.0,6.0,1.5,,,,,,,,,
,,2014 - 2015,4.0,4.0,1.0,,,,,,,,,
,,2015 - 2016,8.0,10.0,1.25,,,,,,,,,
,,2016 - 2017,15.0,23.0,1.53,,,,,,,,,
,,2017 - 2018,15.0,24.0,1.6,,,,,,,,,
,,2018 - 2019,15.0,30.0,2.0,,,,,,,,,
,Gaya,2000 - 2001,,,1.14,,,,,,,,,
,,2001 - 2002,,,1.34,,,,,,,,,
,,2002 - 2003,,,0.74,,,,,,,,,
,,2003 - 2004,,,1.03,,,,,,,,,
,,2004 - 2005,,,0.77,,,,,,,,,
,,2005 - 2006,,,0.85,,,,,,,,,
,,2006 - 2007,856.0,,1.37,,,,,,,,,
,,2007 - 2008,991.0,949.0,0.96,,,,,,,,,
,,2008 - 2009,892.0,752.0,0.84,,,,,,,,,
,,2009 - 2010,573.0,561.0,0.98,,,,,,,,,
,,2010 - 2011,611.0,704.0,1.15,,,,,,,,,
,,2011 - 2012,647.0,740.0,1.14,,,,,,,,,
,,2012 - 2013,647.0,,1.87,,,,,,,,,
,,2013 - 2014,889.0,828.0,0.93,,,,,,,,,
,,2014 - 2015,714.0,743.0,1.04,,,,,,,,,
,,2015 - 2016,725.0,954.0,1.32,,,,,,,,,
,,2016 - 2017,666.0,,1.52,,,,,,,,,
,,2017 - 2018,682.0,925.0,1.36,,,,,,,,,
,,2018 - 2019,615.0,760.0,1.24,,,,,,,,,
,,2019 - 2020,180.0,400.0,2.22,,,,,,,,,
,,2020 - 2021,191.0,220.0,1.15,,,,,,,,,
,,2021 - 2022,192.0,245.0,1.28,,,,,,,,,
,,2022 - 2023,193.0,245.0,1.27,,,,,,,,,
,Gopalganj,2000 - 2001,167.0,281.0,1.68,,,,,,,,,
,,2001 - 2002,134.0,143.0,1.07,,,,,,,,,
,,2002 - 2003,164.0,199.0,1.21,,,,,,,,,
,,2003 - 2004,150.0,254.0,1.69,,,,,,,,,
,,2004 - 2005,213.0,318.0,1.49,,,,,,,,,
,,2005 - 2006,92.0,140.0,1.52,,,,,,,,,
,,2006 - 2007,82.0,87.0,1.06,,,,,,,,,
,,2007 - 2008,112.0,165.0,1.47,,,,,,,,,
,,2008 - 2009,72.0,79.0,1.1,,,,,,,,,
,,2009 - 2010,77.0,87.0,1.13,,,,,,,,,
,,2010 - 2011,25.0,33.0,1.32,,,,,,,,,
,,2011 - 2012,15.0,23.0,1.53,,,,,,,,,
,,2022 - 2023,,,1.73,,,,,,,,,
,Jamui,2000 - 2001,691.0,658.0,0.95,,,,,,,,,
,,2001 - 2002,668.0,399.0,0.6,,,,,,,,,
,,2002 - 2003,,,0.87,,,,,,,,,
,,2003 - 2004,,,0.88,,,,,,,,,
,,2004 - 2005,,,1.05,,,,,,,,,
,,2005 - 2006,291.0,251.0,0.86,,,,,,,,,
,,2006 - 2007,462.0,705.0,1.53,,,,,,,,,
,,2007 - 2008,537.0,612.0,1.14,,,,,,,,,
,,2008 - 2009,562.0,371.0,0.66,,,,,,,,,
,,2009 - 2010,24.0,19.0,0.79,,,,,,,,,
,,2010 - 2011,51.0,47.0,0.92,,,,,,,,,
,,2011 - 2012,51.0,35.0,0.69,,,,,,,,,
,,2012 - 2013,47.0,69.0,1.47,,,,,,,,,
,,2013 - 2014,44.0,62.0,1.41,,,,,,,,,
,,2014 - 2015,141.0,156.0,1.11,,,,,,,,,
,,2015 - 2016,345.0,450.0,1.3,,,,,,,,,
,,2016 - 2017,208.0,313.0,1.5,,,,,,,,,
,,2017 - 2018,186.0,295.0,1.59,,,,,,,,,
,,2018 - 2019,306.0,609.0,1.99,,,,,,,,,
,,2019 - 2020,152.0,208.0,1.37,,,,,,,,,
,,2020 - 2021,187.0,220.0,1.18,,,,,,,,,
,,2021 - 2022,55.0,47.0,0.85,,,,,,,,,
,,2022 - 2023,146.0,252.0,1.73,,,,,,,,,
,Jehanabad,2000 - 2001,703.0,766.0,1.09,,,,,,,,,
,,2001 - 2002,457.0,527.0,1.15,,,,,,,,,
,,2002 - 2003,,,0.92,,,,,,,,,
,,2003 - 2004,195.0,200.0,1.03,,,,,,,,,
,,2004 - 2005,215.0,126.0,0.59,,,,,,,,,
,,2005 - 2006,295.0,253.0,0.86,,,,,,,,,
,,2006 - 2007,330.0,394.0,1.19,,,,,,,,,
,,2007 - 2008,266.0,275.0,1.03,,,,,,,,,
,,2008 - 2009,94.0,69.0,0.73,,,,,,,,,
,,2009 - 2010,93.0,749.0,8.05,,,,,,,,,
,,2010 - 2011,88.0,80.0,0.91,,,,,,,,,
,,2011 - 2012,108.0,98.0,0.91,,,,,,,,,
,,2012 - 2013,114.0,153.0,1.34,,,,,,,,,
,,2013 - 2014,114.0,129.0,1.13,,,,,,,,,
,,2014 - 2015,104.0,115.0,1.11,,,,,,,,,
,,2015 - 2016,103.0,130.0,1.26,,,,,,,,,
,,2016 - 2017,104.0,140.0,1.35,,,,,,,,,
,,2017 - 2018,93.0,162.0,1.74,,,,,,,,,
,,2018 - 2019,89.0,123.0,1.38,,,,,,,,,
,,2019 - 2020,86.0,111.0,1.29,,,,,,,,,
,,2020 - 2021,83.0,111.0,1.34,,,,,,,,,
,,2021 - 2022,79.0,123.0,1.56,,,,,,,,,
,,2022 - 2023,68.0,76.0,1.12,,,,,,,,,
,Kaimur (bhabua),2000 - 2001,951.0,990.0,1.04,,,,,,,,,
,,2001 - 2002,,,1.14,,,,,,,,,
,,2002 - 2003,,,1.54,,,,,,,,,
,,2003 - 2004,,,1.29,,,,,,,,,
,,2004 - 2005,,,1.01,,,,,,,,,
,,2005 - 2006,,,1.17,,,,,,,,,
,,2006 - 2007,907.0,,1.54,,,,,,,,,
,,2007 - 2008,633.0,699.0,1.1,,,,,,,,,
,,2008 - 2009,,960.0,0.91,,,,,,,,,
,,2009 - 2010,788.0,750.0,0.95,,,,,,,,,
,,2010 - 2011,964.0,,1.16,,,,,,,,,
,,2011 - 2012,530.0,659.0,1.24,,,,,,,,,
,,2012 - 2013,,,1.45,,,,,,,,,
,,2013 - 2014,,,1.53,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,,,1.52,,,,,,,,,
,,2016 - 2017,,,1.33,,,,,,,,,
,,2017 - 2018,,,1.17,,,,,,,,,
,,2018 - 2019,,,1.55,,,,,,,,,
,,2019 - 2020,425.0,618.0,1.45,,,,,,,,,
,,2020 - 2021,416.0,553.0,1.33,,,,,,,,,
,,2021 - 2022,382.0,659.0,1.73,,,,,,,,,
,,2022 - 2023,311.0,520.0,1.67,,,,,,,,,
,Katihar,2000 - 2001,152.0,178.0,1.17,,,,,,,,,
,,2001 - 2002,165.0,207.0,1.25,,,,,,,,,
,,2002 - 2003,115.0,133.0,1.16,,,,,,,,,
,,2003 - 2004,50.0,56.0,1.12,,,,,,,,,
,,2004 - 2005,99.0,104.0,1.05,,,,,,,,,
,,2005 - 2006,92.0,95.0,1.03,,,,,,,,,
,,2006 - 2007,161.0,246.0,1.53,,,,,,,,,
,,2007 - 2008,58.0,70.0,1.21,,,,,,,,,
,,2008 - 2009,61.0,67.0,1.1,,,,,,,,,
,,2009 - 2010,60.0,64.0,1.07,,,,,,,,,
,,2010 - 2011,76.0,100.0,1.32,,,,,,,,,
,,2011 - 2012,83.0,128.0,1.54,,,,,,,,,
,,2012 - 2013,73.0,107.0,1.47,,,,,,,,,
,,2013 - 2014,73.0,102.0,1.4,,,,,,,,,
,,2014 - 2015,30.0,33.0,1.1,,,,,,,,,
,,2015 - 2016,26.0,34.0,1.31,,,,,,,,,
,,2016 - 2017,71.0,107.0,1.51,,,,,,,,,
,,2018 - 2019,786.0,,1.99,,,,,,,,,
,,2020 - 2021,407.0,923.0,2.27,,,,,,,,,
,,2021 - 2022,379.0,674.0,1.78,,,,,,,,,
,,2022 - 2023,322.0,696.0,2.16,,,,,,,,,
,Khagaria,2000 - 2001,126.0,120.0,0.95,,,,,,,,,
,,2001 - 2002,98.0,59.0,0.6,,,,,,,,,
,,2002 - 2003,87.0,76.0,0.87,,,,,,,,,
,,2003 - 2004,80.0,71.0,0.89,,,,,,,,,
,,2004 - 2005,86.0,91.0,1.06,,,,,,,,,
,,2005 - 2006,117.0,101.0,0.86,,,,,,,,,
,,2006 - 2007,,,0.77,,,,,,,,,
,,2007 - 2008,154.0,175.0,1.14,,,,,,,,,
,,2008 - 2009,134.0,88.0,0.66,,,,,,,,,
,,2009 - 2010,147.0,116.0,0.79,,,,,,,,,
,,2010 - 2011,156.0,145.0,0.93,,,,,,,,,
,,2011 - 2012,49.0,34.0,0.69,,,,,,,,,
,,2012 - 2013,49.0,72.0,1.47,,,,,,,,,
,,2013 - 2014,121.0,169.0,1.4,,,,,,,,,
,,2014 - 2015,120.0,133.0,1.11,,,,,,,,,
,,2015 - 2016,89.0,116.0,1.3,,,,,,,,,
,,2016 - 2017,68.0,102.0,1.5,,,,,,,,,
,,2017 - 2018,62.0,98.0,1.58,,,,,,,,,
,,2018 - 2019,59.0,117.0,1.98,,,,,,,,,
,,2019 - 2020,44.0,60.0,1.36,,,,,,,,,
,,2020 - 2021,55.0,65.0,1.18,,,,,,,,,
,,2021 - 2022,79.0,68.0,0.86,,,,,,,,,
,,2022 - 2023,59.0,102.0,1.73,,,,,,,,,
,Kishanganj,2000 - 2001,18.0,21.0,1.17,,,,,,,,,
,,2002 - 2003,39.0,45.0,1.15,,,,,,,,,
,,2003 - 2004,39.0,44.0,1.13,,,,,,,,,
,,2004 - 2005,39.0,41.0,1.05,,,,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,,,,
,,2018 - 2019,36.0,72.0,2.0,,,,,,,,,
,,2019 - 2020,33.0,45.0,1.36,,,,,,,,,
,,2020 - 2021,29.0,66.0,2.28,,,,,,,,,
,,2021 - 2022,13.0,23.0,1.77,,,,,,,,,
,,2022 - 2023,12.0,26.0,2.17,,,,,,,,,
,Lakhisarai,2000 - 2001,,,0.95,,,,,,,,,
,,2002 - 2003,68.0,59.0,0.87,,,,,,,,,
,,2003 - 2004,21.0,19.0,0.9,,,,,,,,,
,,2004 - 2005,35.0,37.0,1.06,,,,,,,,,
,,2005 - 2006,22.0,19.0,0.86,,,,,,,,,
,,2006 - 2007,67.0,102.0,1.52,,,,,,,,,
,,2012 - 2013,9.0,13.0,1.44,,,,,,,,,
,,2021 - 2022,40.0,35.0,0.88,,,,,,,,,
,,2022 - 2023,15.0,26.0,1.73,,,,,,,,,
,Madhepura,2000 - 2001,16.0,19.0,1.19,,,,,,,,,
,,2001 - 2002,11.0,14.0,1.27,,,,,,,,,
,,2002 - 2003,36.0,42.0,1.17,,,,,,,,,
,,2004 - 2005,5.0,5.0,1.0,,,,,,,,,
,,2005 - 2006,27.0,28.0,1.04,,,,,,,,,
,,2006 - 2007,4.0,4.0,1.0,,,,,,,,,
,,2007 - 2008,5.0,6.0,1.2,,,,,,,,,
,,2017 - 2018,2.0,2.0,1.0,,,,,,,,,
,,2018 - 2019,2.0,4.0,2.0,,,,,,,,,
,,2019 - 2020,2.0,3.0,1.5,,,,,,,,,
,,2020 - 2021,1.0,2.0,2.0,,,,,,,,,
,Madhubani,2000 - 2001,204.0,239.0,1.17,,,,,,,,,
,,2001 - 2002,187.0,234.0,1.25,,,,,,,,,
,,2002 - 2003,86.0,99.0,1.15,,,,,,,,,
,,2003 - 2004,67.0,75.0,1.12,,,,,,,,,
,,2004 - 2005,95.0,100.0,1.05,,,,,,,,,
,,2005 - 2006,74.0,77.0,1.04,,,,,,,,,
,,2006 - 2007,84.0,90.0,1.07,,,,,,,,,
,,2007 - 2008,48.0,58.0,1.21,,,,,,,,,
,,2008 - 2009,46.0,50.0,1.09,,,,,,,,,
,,2009 - 2010,47.0,53.0,1.13,,,,,,,,,
,,2010 - 2011,47.0,62.0,1.32,,,,,,,,,
,,2011 - 2012,69.0,106.0,1.54,,,,,,,,,
,,2012 - 2013,88.0,128.0,1.45,,,,,,,,,
,,2013 - 2014,74.0,103.0,1.39,,,,,,,,,
,,2014 - 2015,101.0,112.0,1.11,,,,,,,,,
,,2015 - 2016,77.0,100.0,1.3,,,,,,,,,
,,2016 - 2017,12.0,18.0,1.5,,,,,,,,,
,,2017 - 2018,77.0,122.0,1.58,,,,,,,,,
,,2018 - 2019,33.0,66.0,2.0,,,,,,,,,
,,2019 - 2020,7.0,10.0,1.43,,,,,,,,,
,,2020 - 2021,10.0,19.0,1.9,,,,,,,,,
,,2021 - 2022,12.0,21.0,1.75,,,,,,,,,
,,2022 - 2023,12.0,21.0,1.75,,,,,,,,,
,Munger,2000 - 2001,82.0,78.0,0.95,,,,,,,,,
,,2001 - 2002,84.0,50.0,0.6,,,,,,,,,
,,2002 - 2003,91.0,79.0,0.87,,,,,,,,,
,,2003 - 2004,49.0,43.0,0.88,,,,,,,,,
,,2004 - 2005,38.0,40.0,1.05,,,,,,,,,
,,2005 - 2006,26.0,22.0,0.85,,,,,,,,,
,,2006 - 2007,13.0,20.0,1.54,,,,,,,,,
,,2007 - 2008,12.0,14.0,1.17,,,,,,,,,
,,2008 - 2009,24.0,16.0,0.67,,,,,,,,,
,,2009 - 2010,49.0,39.0,0.8,,,,,,,,,
,,2010 - 2011,39.0,36.0,0.92,,,,,,,,,
,,2011 - 2012,41.0,28.0,0.68,,,,,,,,,
,,2012 - 2013,118.0,172.0,1.46,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,,,,
,Muzaffarpur,2000 - 2001,456.0,757.0,1.66,,,,,,,,,
,,2001 - 2002,508.0,913.0,1.8,,,,,,,,,
,,2002 - 2003,245.0,398.0,1.62,,,,,,,,,
,,2003 - 2004,661.0,,1.53,,,,,,,,,
,,2004 - 2005,239.0,305.0,1.28,,,,,,,,,
,,2005 - 2006,300.0,271.0,0.9,,,,,,,,,
,,2006 - 2007,424.0,354.0,0.83,,,,,,,,,
,,2007 - 2008,136.0,183.0,1.35,,,,,,,,,
,,2008 - 2009,31.0,34.0,1.1,,,,,,,,,
,,2009 - 2010,5.0,6.0,1.2,,,,,,,,,
,,2010 - 2011,885.0,,1.51,,,,,,,,,
,,2011 - 2012,834.0,,2.06,,,,,,,,,
,,2012 - 2013,214.0,327.0,1.53,,,,,,,,,
,,2013 - 2014,2.0,3.0,1.5,,,,,,,,,
,,2014 - 2015,568.0,558.0,0.98,,,,,,,,,
,,2015 - 2016,127.0,166.0,1.31,,,,,,,,,
,,2016 - 2017,320.0,474.0,1.48,,,,,,,,,
,,2017 - 2018,288.0,457.0,1.59,,,,,,,,,
,,2018 - 2019,276.0,258.0,0.93,,,,,,,,,
,,2019 - 2020,282.0,131.0,0.46,,,,,,,,,
,,2020 - 2021,274.0,521.0,1.9,,,,,,,,,
,,2021 - 2022,279.0,496.0,1.78,,,,,,,,,
,,2022 - 2023,279.0,482.0,1.73,,,,,,,,,
,Nalanda,2000 - 2001,410.0,524.0,1.28,,,,,,,,,
,,2001 - 2002,385.0,547.0,1.42,,,,,,,,,
,,2002 - 2003,391.0,631.0,1.61,,,,,,,,,
,,2003 - 2004,387.0,437.0,1.13,,,,,,,,,
,,2004 - 2005,333.0,397.0,1.19,,,,,,,,,
,,2005 - 2006,284.0,379.0,1.33,,,,,,,,,
,,2006 - 2007,271.0,320.0,1.18,,,,,,,,,
,,2007 - 2008,451.0,709.0,1.57,,,,,,,,,
,,2008 - 2009,503.0,706.0,1.4,,,,,,,,,
,,2009 - 2010,140.0,189.0,1.35,,,,,,,,,
,,2010 - 2011,256.0,378.0,1.48,,,,,,,,,
,,2011 - 2012,99.0,167.0,1.69,,,,,,,,,
,,2012 - 2013,99.0,162.0,1.64,,,,,,,,,
,,2013 - 2014,91.0,130.0,1.43,,,,,,,,,
,,2014 - 2015,51.0,50.0,0.98,,,,,,,,,
,,2015 - 2016,98.0,138.0,1.41,,,,,,,,,
,,2016 - 2017,101.0,167.0,1.65,,,,,,,,,
,,2017 - 2018,141.0,245.0,1.74,,,,,,,,,
,,2018 - 2019,67.0,151.0,2.25,,,,,,,,,
,,2019 - 2020,67.0,104.0,1.55,,,,,,,,,
,,2020 - 2021,141.0,292.0,2.07,,,,,,,,,
,,2021 - 2022,54.0,122.0,2.26,,,,,,,,,
,,2022 - 2023,58.0,128.0,2.21,,,,,,,,,
,Nawada,2000 - 2001,486.0,530.0,1.09,,,,,,,,,
,,2001 - 2002,375.0,433.0,1.15,,,,,,,,,
,,2002 - 2003,393.0,363.0,0.92,,,,,,,,,
,,2003 - 2004,358.0,349.0,0.97,,,,,,,,,
,,2004 - 2005,178.0,155.0,0.87,,,,,,,,,
,,2005 - 2006,141.0,100.0,0.71,,,,,,,,,
,,2006 - 2007,283.0,290.0,1.02,,,,,,,,,
,,2007 - 2008,124.0,128.0,1.03,,,,,,,,,
,,2008 - 2009,124.0,91.0,0.73,,,,,,,,,
