state,district,year,moth_kharif_area_hectare,moth_kharif_production_tonne,moth_kharif_yield_tonne_per_hectare,moth_rabi_area_hectare,moth_rabi_production_tonne,moth_rabi_yield_tonne_per_hectare
,Junagadh,2014 - 2015,257.0,111.0,0.43,,,
,,2018 - 2019,350.0,29.0,0.08,,,
,Kachchh,2000 - 2001,,600.0,0.03,,,
,,2001 - 2002,,,0.17,,,
,,2002 - 2003,,500.0,0.05,,,
,,2003 - 2004,,,0.54,,,
,,2004 - 2005,,,0.26,,,
,,2005 - 2006,,,0.52,,,
,,2006 - 2007,,,0.41,,,
,,2007 - 2008,,,0.51,,,
,,2008 - 2009,,,0.19,,,
,,2009 - 2010,,,0.4,,,
,,2010 - 2011,,,0.45,,,
,,2011 - 2012,,,0.42,,,
,,2012 - 2013,,,0.3,,,
,,2013 - 2014,,,0.34,,,
,,2014 - 2015,,,0.28,,,
,,2015 - 2016,,,0.41,,,
,,2016 - 2017,,,0.48,,,
,,2017 - 2018,,,0.62,,,
,,2018 - 2019,,103.0,0.02,,,
,,2019 - 2020,,,0.46,,,
,,2020 - 2021,,,0.5,,,
,,2021 - 2022,,,0.44,,,
,,2022 - 2023,,,0.55,,,
,Kheda,2000 - 2001,,100.0,0.09,,,
,,2001 - 2002,,200.0,0.18,,,
,,2002 - 2003,,700.0,0.7,,,
,,2003 - 2004,,600.0,0.55,,,
,,2004 - 2005,700.0,300.0,0.43,,,
,,2005 - 2006,500.0,300.0,0.6,,,
,,2006 - 2007,500.0,200.0,0.4,,,
,,2007 - 2008,400.0,300.0,0.75,,,
,,2008 - 2009,500.0,100.0,0.2,,,
,,2009 - 2010,500.0,200.0,0.4,,,
,,2010 - 2011,300.0,200.0,0.67,,,
,,2011 - 2012,200.0,200.0,1.0,,,
,,2012 - 2013,100.0,100.0,1.0,,,
,,2013 - 2014,78.0,38.0,0.49,,,
,,2014 - 2015,290.0,125.0,0.43,,,
,,2015 - 2016,289.0,138.0,0.48,,,
,,2016 - 2017,191.0,90.0,0.47,,,
,,2017 - 2018,275.0,179.0,0.65,,,
,,2018 - 2019,159.0,13.0,0.08,,,
,,2019 - 2020,292.0,135.0,0.46,,,
,,2020 - 2021,96.0,50.0,0.52,,,
,,2021 - 2022,121.0,53.0,0.44,,,
,,2022 - 2023,206.0,103.0,0.5,,,
,Mahesana,2000 - 2001,,200.0,0.08,,,
,,2001 - 2002,,600.0,0.29,,,
,,2002 - 2003,,400.0,0.17,,,
,,2003 - 2004,800.0,400.0,0.5,,,
,,2004 - 2005,500.0,200.0,0.4,,,
,,2005 - 2006,,,0.5,,,
,,2006 - 2007,,500.0,0.28,,,
,,2007 - 2008,,,0.61,,,
,,2008 - 2009,,400.0,0.2,,,
,,2009 - 2010,,400.0,0.33,,,
,,2010 - 2011,,,0.61,,,
,,2011 - 2012,,800.0,0.67,,,
,,2012 - 2013,600.0,300.0,0.5,,,
,,2013 - 2014,956.0,564.0,0.59,,,
,,2014 - 2015,359.0,155.0,0.43,,,
,,2015 - 2016,80.0,38.0,0.48,,,
,,2016 - 2017,,959.0,0.47,,,
,,2017 - 2018,489.0,319.0,0.65,,,
,,2018 - 2019,342.0,28.0,0.08,,,
,,2019 - 2020,335.0,155.0,0.46,,,
,,2020 - 2021,618.0,322.0,0.52,,,
,,2021 - 2022,549.0,242.0,0.44,,,
,,2022 - 2023,405.0,203.0,0.5,,,
,Mahisagar,2014 - 2015,21.0,9.0,0.43,,,
,,2015 - 2016,194.0,92.0,0.47,,,
,Narmada,2003 - 2004,300.0,200.0,0.67,,,
,,2004 - 2005,200.0,100.0,0.5,,,
,,2007 - 2008,100.0,100.0,1.0,,,
,,2008 - 2009,200.0,100.0,0.5,,,
,,2013 - 2014,35.0,17.0,0.49,,,
,,2018 - 2019,131.0,11.0,0.08,,,
,,2019 - 2020,139.0,64.0,0.46,,,
,Panch mahals,2001 - 2002,100.0,,0.0,,,
,,2002 - 2003,100.0,100.0,1.0,,,
,,2010 - 2011,100.0,100.0,1.0,,,
,,2012 - 2013,100.0,100.0,1.0,,,
,,2013 - 2014,8.0,4.0,0.5,,,
,,2014 - 2015,44.0,19.0,0.43,,,
,,2015 - 2016,190.0,90.0,0.47,,,
,,2019 - 2020,5.0,2.0,0.4,,,
,,2021 - 2022,7.0,3.0,0.43,,,
,Patan,2003 - 2004,,,0.74,,,
,,2004 - 2005,,,0.7,,,
,,2005 - 2006,,,0.61,,,
,,2006 - 2007,,500.0,0.13,,,
,,2007 - 2008,,,0.45,,,
,,2008 - 2009,,,0.33,,,
,,2009 - 2010,,,0.21,,,
,,2010 - 2011,,,0.61,,,
,,2011 - 2012,,,0.48,,,
,,2012 - 2013,,600.0,0.43,,,
,,2013 - 2014,,,0.75,,,
,,2014 - 2015,877.0,550.0,0.63,,,
,,2015 - 2016,85.0,37.0,0.44,,,
,,2016 - 2017,575.0,376.0,0.65,,,
,,2017 - 2018,,,0.65,,,
,,2018 - 2019,532.0,44.0,0.08,,,
,,2019 - 2020,128.0,59.0,0.46,,,
,,2020 - 2021,198.0,14.0,0.07,,,
,,2021 - 2022,141.0,62.0,0.44,,,
,,2022 - 2023,210.0,105.0,0.5,,,
,Porbandar,2007 - 2008,400.0,300.0,0.75,,,
,Rajkot,2000 - 2001,700.0,100.0,0.14,,,
,,2001 - 2002,,300.0,0.3,,,
,,2002 - 2003,,700.0,0.64,,,
,,2003 - 2004,800.0,500.0,0.63,,,
,,2004 - 2005,600.0,200.0,0.33,,,
,,2005 - 2006,500.0,300.0,0.6,,,
,,2006 - 2007,500.0,100.0,0.2,,,
,,2007 - 2008,400.0,200.0,0.5,,,
,,2008 - 2009,600.0,100.0,0.17,,,
,,2009 - 2010,,300.0,0.3,,,
,,2010 - 2011,900.0,600.0,0.67,,,
,,2011 - 2012,400.0,300.0,0.75,,,
,,2012 - 2013,100.0,100.0,1.0,,,
,,2013 - 2014,114.0,55.0,0.48,,,
,,2014 - 2015,25.0,11.0,0.44,,,
,,2015 - 2016,31.0,15.0,0.48,,,
,,2016 - 2017,170.0,80.0,0.47,,,
,,2017 - 2018,142.0,93.0,0.65,,,
,,2018 - 2019,208.0,17.0,0.08,,,
,,2019 - 2020,227.0,105.0,0.46,,,
,,2020 - 2021,124.0,65.0,0.52,,,
,,2021 - 2022,46.0,20.0,0.43,,,
,,2022 - 2023,13.0,7.0,0.54,,,
,Sabar kantha,2000 - 2001,100.0,,0.0,,,
,,2001 - 2002,,900.0,0.35,,,
,,2002 - 2003,100.0,,0.0,,,
,,2003 - 2004,200.0,100.0,0.5,,,
,,2004 - 2005,300.0,100.0,0.33,,,
,,2005 - 2006,300.0,200.0,0.67,,,
,,2006 - 2007,300.0,100.0,0.33,,,
,,2007 - 2008,400.0,200.0,0.5,,,
,,2008 - 2009,400.0,100.0,0.25,,,
,,2009 - 2010,300.0,100.0,0.33,,,
,,2011 - 2012,100.0,100.0,1.0,,,
,,2012 - 2013,100.0,100.0,1.0,,,
,,2013 - 2014,40.0,19.0,0.48,,,
,,2014 - 2015,20.0,9.0,0.45,,,
,,2015 - 2016,44.0,21.0,0.48,,,
,,2016 - 2017,43.0,20.0,0.47,,,
,,2017 - 2018,9.0,6.0,0.67,,,
,,2018 - 2019,4.0,,0.0,,,
,,2019 - 2020,2.0,1.0,0.5,,,
,Surat,2000 - 2001,400.0,,0.0,,,
,,2001 - 2002,100.0,,0.0,,,
,,2002 - 2003,100.0,100.0,1.0,,,
,,2003 - 2004,600.0,300.0,0.5,,,
,,2008 - 2009,700.0,100.0,0.14,,,
,,2009 - 2010,400.0,100.0,0.25,,,
,,2010 - 2011,400.0,200.0,0.5,,,
,,2012 - 2013,100.0,100.0,1.0,,,
,,2013 - 2014,,,0.48,,,
,,2014 - 2015,10.0,4.0,0.4,,,
,,2015 - 2016,813.0,387.0,0.48,,,
,Surendranagar,2000 - 2001,,600.0,0.13,,,
,,2001 - 2002,,,0.57,,,
,,2002 - 2003,,,0.28,,,
,,2003 - 2004,,,0.5,,,
,,2004 - 2005,,,0.44,,,
,,2005 - 2006,,,0.37,,,
,,2006 - 2007,,,0.46,,,
,,2007 - 2008,,,0.61,,,
,,2008 - 2009,,,0.62,,,
,,2009 - 2010,,300.0,0.27,,,
,,2010 - 2011,,900.0,0.38,,,
,,2011 - 2012,,,0.59,,,
,,2012 - 2013,700.0,200.0,0.29,,,
,,2013 - 2014,,594.0,0.48,,,
,,2014 - 2015,20.0,9.0,0.45,,,
,,2015 - 2016,475.0,226.0,0.48,,,
,,2016 - 2017,832.0,390.0,0.47,,,
,,2017 - 2018,476.0,310.0,0.65,,,
,,2018 - 2019,94.0,8.0,0.09,,,
,,2019 - 2020,4.0,2.0,0.5,,,
,,2020 - 2021,88.0,46.0,0.52,,,
,,2021 - 2022,52.0,23.0,0.44,,,
,Tapi,2014 - 2015,10.0,4.0,0.4,,,
,,2015 - 2016,,919.0,0.48,,,
,,2020 - 2021,1.0,1.0,1.0,,,
,Vadodara,2000 - 2001,400.0,,0.0,,,
,,2001 - 2002,400.0,100.0,0.25,,,
,,2002 - 2003,500.0,300.0,0.6,,,
,,2003 - 2004,300.0,200.0,0.67,,,
,,2004 - 2005,300.0,100.0,0.33,,,
,,2005 - 2006,400.0,200.0,0.5,,,
,,2006 - 2007,300.0,100.0,0.33,,,
,,2008 - 2009,,300.0,0.25,,,
,,2009 - 2010,500.0,200.0,0.4,,,
,,2010 - 2011,400.0,200.0,0.5,,,
,,2011 - 2012,200.0,100.0,0.5,,,
,,2012 - 2013,300.0,100.0,0.33,,,
,,2013 - 2014,315.0,152.0,0.48,,,
,,2014 - 2015,35.0,15.0,0.43,,,
,,2015 - 2016,35.0,17.0,0.49,,,
,,2016 - 2017,10.0,5.0,0.5,,,
,,2017 - 2018,7.0,5.0,0.71,,,
,,2019 - 2020,3.0,1.0,0.33,,,
,,2022 - 2023,11.0,6.0,0.55,,,
,Valsad,2007 - 2008,900.0,500.0,0.56,,,
,,2010 - 2011,100.0,100.0,1.0,,,
Haryana,Ambala,2001 - 2002,1.0,0.0,0.0,,,
,,2004 - 2005,1.0,,0.0,,,
,,2021 - 2022,55.0,11.0,0.2,,,
,Bhiwani,2000 - 2001,62.0,0.0,0.0,,,
,,2001 - 2002,374.0,100.0,0.27,,,
,,2002 - 2003,,200.0,0.07,,,
,,2003 - 2004,,200.0,0.07,,,
,,2004 - 2005,,700.0,0.11,,,
,,2005 - 2006,919.0,100.0,0.11,,,
,,2007 - 2008,,100.0,0.1,,,
,,2008 - 2009,,200.0,0.14,,,
,,2009 - 2010,,200.0,0.17,,,
,,2010 - 2011,,700.0,0.22,,,
,,2011 - 2012,,300.0,0.23,,,
,,2012 - 2013,239.0,60.0,0.25,,,
,,2013 - 2014,100.0,,0.0,,,
,,2014 - 2015,100.0,100.0,1.0,,,
,,2015 - 2016,200.0,100.0,0.5,,,
,,2016 - 2017,400.0,50.0,0.13,,,
,,2017 - 2018,150.0,40.0,0.27,,,
,,2019 - 2020,155.0,19.0,0.12,,,
,,2021 - 2022,135.0,16.9,0.13,,,
,Charki dadri,2017 - 2018,20.0,10.0,0.5,,,
,,2018 - 2019,1.0,1.0,1.0,,,
,,2021 - 2022,9.0,1.8,0.2,,,
,Faridabad,2009 - 2010,601.0,300.0,0.5,,,
,,2019 - 2020,56.0,11.0,0.2,,,
,Fatehabad,2000 - 2001,1.0,0.0,0.0,,,
,,2001 - 2002,90.0,0.0,0.0,,,
,,2002 - 2003,914.0,100.0,0.11,,,
,,2003 - 2004,246.0,0.0,0.0,,,
,,2004 - 2005,260.0,100.0,0.38,,,
,,2005 - 2006,100.0,,0.0,,,
,,2006 - 2007,190.0,100.0,0.53,,,
,,2007 - 2008,134.0,100.0,0.75,,,
,,2008 - 2009,180.0,100.0,0.56,,,
,,2009 - 2010,206.0,100.0,0.49,,,
,,2010 - 2011,79.0,,0.0,,,
,,2011 - 2012,98.0,,0.0,,,
,,2012 - 2013,77.0,37.0,0.48,,,
,,2013 - 2014,100.0,100.0,1.0,,,
,,2014 - 2015,100.0,,0.0,,,
,,2019 - 2020,4.0,1.0,0.25,,,
,,2021 - 2022,12.0,2.4,0.2,,,
,Gurgaon,2001 - 2002,171.0,0.0,0.0,,,
,Hisar,2001 - 2002,213.0,0.0,0.0,,,
,,2002 - 2003,,100.0,0.07,,,
,,2003 - 2004,,100.0,0.05,,,
,,2004 - 2005,,200.0,0.12,,,
,,2005 - 2006,778.0,100.0,0.13,,,
,,2006 - 2007,624.0,,0.0,,,
,,2007 - 2008,627.0,,0.0,,,
,,2008 - 2009,682.0,100.0,0.15,,,
,,2009 - 2010,527.0,100.0,0.19,,,
,,2010 - 2011,,300.0,0.26,,,
,,2011 - 2012,276.0,100.0,0.36,,,
,,2014 - 2015,100.0,,0.0,,,
,,2015 - 2016,100.0,,0.0,,,
,,2016 - 2017,100.0,20.0,0.2,,,
,,2017 - 2018,620.0,150.0,0.24,,,
,,2018 - 2019,43.0,24.0,0.56,,,
,,2019 - 2020,96.0,19.0,0.2,,,
,,2020 - 2021,34.0,7.0,0.21,,,
,,2021 - 2022,16.0,3.2,0.2,,,
,Jind,2008 - 2009,2.0,,0.0,,,
,,2011 - 2012,3.0,,0.0,,,
,,2012 - 2013,86.0,43.0,0.5,,,
,Kaithal,2020 - 2021,12.0,2.0,0.17,,,
,Karnal,2001 - 2002,25.0,0.0,0.0,,,
,,2002 - 2003,26.0,0.0,0.0,,,
,,2003 - 2004,24.0,0.0,0.0,,,
,Kurukshetra,2021 - 2022,2.0,0.4,0.2,,,
,Mahendragarh,2002 - 2003,12.0,0.0,0.0,,,
,,2005 - 2006,3.0,,0.0,,,
,,2009 - 2010,52.0,,0.0,,,
,,2010 - 2011,106.0,100.0,0.94,,,
,,2011 - 2012,3.0,,0.0,,,
,,2019 - 2020,31.0,6.0,0.19,,,
,Mewat,2010 - 2011,3.0,,0.0,,,
,,2011 - 2012,18.0,,0.0,,,
,,2012 - 2013,35.0,19.0,0.54,,,
,Palwal,2008 - 2009,2.0,,0.0,,,
,,2021 - 2022,4.0,0.8,0.2,,,
,Panchkula,2010 - 2011,4.0,,0.0,,,
,,2021 - 2022,136.0,27.2,0.2,,,
,Panipat,2002 - 2003,1.0,0.0,0.0,,,
,Rewari,2002 - 2003,2.0,0.0,0.0,,,
,,2003 - 2004,3.0,0.0,0.0,,,
,,2004 - 2005,1.0,,0.0,,,
,,2008 - 2009,1.0,,0.0,,,
,,2009 - 2010,2.0,,0.0,,,
,,2011 - 2012,26.0,,0.0,,,
,Rohtak,2002 - 2003,,0.0,0.0,,,
,,2007 - 2008,6.0,,0.0,,,
,Sirsa,2000 - 2001,59.0,0.0,0.0,,,
,,2001 - 2002,967.0,100.0,0.1,,,
,,2002 - 2003,,600.0,0.17,,,
,,2003 - 2004,,500.0,0.1,,,
,,2004 - 2005,,400.0,0.16,,,
,,2005 - 2006,,300.0,0.22,,,
,,2006 - 2007,,200.0,0.18,,,
,,2007 - 2008,,200.0,0.2,,,
,,2008 - 2009,872.0,200.0,0.23,,,
,,2009 - 2010,247.0,,0.0,,,
,,2010 - 2011,,300.0,0.25,,,
,,2011 - 2012,737.0,200.0,0.27,,,
,,2012 - 2013,154.0,63.0,0.41,,,
,,2013 - 2014,100.0,,0.0,,,
,,2014 - 2015,100.0,100.0,1.0,,,
,,2016 - 2017,100.0,30.0,0.3,,,
,,2017 - 2018,90.0,40.0,0.44,,,
,,2018 - 2019,57.0,33.0,0.58,,,
,,2019 - 2020,68.0,20.0,0.29,,,
,,2020 - 2021,32.0,10.0,0.31,,,
,Sonipat,2002 - 2003,43.0,0.0,0.0,,,
,,2006 - 2007,6.0,,0.0,,,
,Yamunanagar,2001 - 2002,6.0,0.0,0.0,,,
,,2003 - 2004,14.0,0.0,0.0,,,
,,2011 - 2012,1.0,,0.0,,,
,,2021 - 2022,49.0,9.8,0.2,,,
Himachal Pradesh,Bilaspur,2020 - 2021,4.0,3.0,0.75,,,
,Chamba,2005 - 2006,5.0,1.0,0.2,,,
,,2006 - 2007,7.0,2.0,0.29,,,
,,2008 - 2009,7.0,2.0,0.29,,,
,,2010 - 2011,5.0,1.0,0.2,,,
,,2011 - 2012,5.0,1.0,0.2,,,
,,2012 - 2013,5.0,1.0,0.2,,,
,,2013 - 2014,5.0,2.0,0.4,,,
,,2014 - 2015,5.0,1.0,0.2,,,
,,2015 - 2016,5.0,1.0,0.2,,,
,,2016 - 2017,5.0,1.0,0.2,,,
,,2017 - 2018,5.0,3.0,0.6,,,
,,2018 - 2019,5.0,3.0,0.6,,,
,,2019 - 2020,8.0,6.0,0.75,,,
,,2020 - 2021,40.0,26.0,0.65,,,
,,2021 - 2022,27.0,18.0,0.67,,,
,,2022 - 2023,2.0,1.0,0.5,,,
,Kangra,2007 - 2008,6.0,2.0,0.33,,,
,,2019 - 2020,9.0,7.65,0.85,,,
,Mandi,2006 - 2007,1.0,,0.0,,,
,,2007 - 2008,1.0,,0.0,,,
,,2008 - 2009,1.0,,0.0,,,
,,2010 - 2011,1.0,,0.0,,,
,,2011 - 2012,1.0,,0.0,,,
,,2012 - 2013,1.0,,0.0,,,
,,2013 - 2014,3.0,1.0,0.33,,,
,,2014 - 2015,2.0,0.5,0.25,,,
,,2015 - 2016,1.0,,0.0,,,
,,2016 - 2017,1.0,,0.0,,,
,,2017 - 2018,1.0,0.5,0.5,,,
,,2018 - 2019,2.0,1.0,0.5,,,
,,2019 - 2020,3.0,2.0,0.67,,,
,Shimla,2021 - 2022,13.0,8.0,0.62,,,
,,2022 - 2023,11.0,7.0,0.64,,,
,Solan,2006 - 2007,1.0,,0.0,,,
,,2021 - 2022,6.0,4.0,0.67,,,
,,2022 - 2023,38.0,25.0,0.66,,,
,Una,2005 - 2006,1.0,,0.0,,,
,,2006 - 2007,3.0,1.0,0.33,,,
,,2007 - 2008,2.0,1.0,0.5,,,
,,2008 - 2009,15.0,5.0,0.33,,,
,,2010 - 2011,10.0,3.0,0.3,,,
,,2011 - 2012,10.0,3.0,0.3,,,
,,2012 - 2013,8.0,3.0,0.38,,,
,,2013 - 2014,19.0,7.0,0.37,,,
,,2014 - 2015,7.0,2.0,0.29,,,
,,2015 - 2016,11.0,5.0,0.45,,,
,,2016 - 2017,9.0,3.0,0.33,,,
,,2017 - 2018,11.0,7.0,0.64,,,
,,2018 - 2019,9.0,6.0,0.67,,,
,,2019 - 2020,8.0,6.0,0.75,,,
,,2020 - 2021,16.0,10.0,0.63,,,
,,2021 - 2022,25.0,18.0,0.72,,,
,,2022 - 2023,21.0,14.0,0.67,,,
Jammu and Kashmir,Anantnag,2002 - 2003,695.0,363.0,0.52,,,
,,2006 - 2007,235.0,122.9,0.52,,,
,,2009 - 2010,,574.0,0.52,,,
,,2010 - 2011,,564.6,0.52,,,
,,2011 - 2012,921.0,481.5,0.52,,,
,,2012 - 2013,921.0,481.5,0.52,,,
,,2015 - 2016,144.0,75.3,0.52,,,
,,2016 - 2017,160.0,83.6,0.52,,,
,,2017 - 2018,160.0,83.7,0.52,,,
,,2018 - 2019,156.0,81.6,0.52,,,
,,2019 - 2020,155.0,81.1,0.52,,,
,,2020 - 2021,141.0,73.8,0.52,,,
,Badgam,2002 - 2003,859.0,687.0,0.8,,,
,,2006 - 2007,524.0,419.2,0.8,6.0,4.8,0.8
,,2009 - 2010,224.0,179.2,0.8,,,
,,2010 - 2011,222.0,177.6,0.8,,,
,,2011 - 2012,238.0,190.4,0.8,,,
,,2012 - 2013,185.0,148.0,0.8,,,
,,2015 - 2016,159.0,127.2,0.8,,,
,,2016 - 2017,158.0,126.4,0.8,,,
,,2017 - 2018,151.0,120.8,0.8,,,
