state,district,year,arecanut_kharif_area_hectare,arecanut_kharif_production_tonne,arecanut_kharif_yield_tonne_per_hectare,arecanut_whole_year_area_hectare,arecanut_whole_year_production_tonne,arecanut_whole_year_yield_tonne_per_hectare,arecanut_rabi_area_hectare,arecanut_rabi_production_tonne,arecanut_rabi_yield_tonne_per_hectare
,,2015 - 2016,20.0,63.0,3.15,,,,,,
,,2016 - 2017,39.0,124.0,3.18,,,,,,
,,2017 - 2018,109.0,302.0,2.77,,,,,,
,,2018 - 2019,106.0,106.0,1.0,,,,,,
,,2019 - 2020,120.0,206.0,1.72,,,,,,
,,2020 - 2021,158.0,243.0,1.54,,,,,,
,,2021 - 2022,165.0,366.0,2.22,,,,,,
,,2022 - 2023,56.0,515.0,9.2,,,,,,
,Eluru,2022 - 2023,196.0,,9.2,,,,,,
,Konaseema,2022 - 2023,203.0,227.0,1.12,,,,,,
,Krishna,2000 - 2001,,,,4.0,11.0,2.75,,,
,,2001 - 2002,,,,4.0,7.0,1.75,,,
,,2002 - 2003,,,,18.0,26.0,1.44,,,
,,2003 - 2004,,,,18.0,13.0,0.72,,,
,,2010 - 2011,,,,9.0,4.0,0.44,,,
,,2021 - 2022,4.0,28.0,7.0,,,,,,
,Ntr,2022 - 2023,5.0,46.0,9.2,,,,,,
,Prakasam,2020 - 2021,14.0,0.0,0.0,,,,,,
,Sri sathya sai,2022 - 2023,,,9.89,,,,,,
,Visakhapatanam,2021 - 2022,8.0,57.0,7.13,,,,,,
,Vizianagaram,2002 - 2003,,,,8.0,12.0,1.5,,,
,,2003 - 2004,,,,12.0,9.0,0.75,,,
,,2005 - 2006,,,,10.0,8.0,0.8,,,
,,2006 - 2007,,,,10.0,7.0,0.7,,,
,,2008 - 2009,,,,5.0,5.0,1.0,,,
,,2009 - 2010,,,,1.0,1.0,1.0,,,
,,2011 - 2012,,,,1.0,,0.0,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,
,,2016 - 2017,5.0,21.0,4.2,,,,,,
,,2017 - 2018,3.0,19.0,6.33,,,,,,
,,2021 - 2022,8.0,57.0,7.13,,,,,,
,West godavari,2003 - 2004,,,,9.0,6.0,0.67,,,
,,2005 - 2006,,,,9.0,7.0,0.78,,,
,,2006 - 2007,,,,9.0,6.0,0.67,,,
,,2008 - 2009,,,,9.0,9.0,1.0,,,
,,2009 - 2010,,,,9.0,9.0,1.0,,,
,,2010 - 2011,,,,20.0,9.0,0.45,,,
,,2016 - 2017,1.0,4.0,4.0,,,,,,
,,2017 - 2018,14.0,88.0,6.29,,,,,,
,,2018 - 2019,31.0,169.0,5.45,,,,,,
,,2019 - 2020,76.0,722.0,9.5,,,,,,
,,2020 - 2021,52.0,148.0,2.85,,,,,,
,,2021 - 2022,98.0,381.0,3.89,,,,,,
Assam,Baksa,2006 - 2007,,,,,,0.77,,,
,,2007 - 2008,,,,,,0.84,,,
,,2008 - 2009,,,,,,1.08,,,
,,2009 - 2010,,,,,,0.96,,,
,,2010 - 2011,,,,,,,,,0.96
,,2011 - 2012,,,,,,,,,0.91
,,2012 - 2013,,,,,,,,,0.81
,,2013 - 2014,,,,,,,,,0.68
,,2014 - 2015,,,,,,,,,0.93
,,2015 - 2016,,,,,,,,,0.75
,,2016 - 2017,,,,,,,,,0.81
,,2017 - 2018,,,,,,,,,0.81
,,2018 - 2019,,,,,,,,,0.79
,,2019 - 2020,,,,,,,,,0.8
,,2020 - 2021,,,,,,,,,0.8
,,2021 - 2022,,,,,,,,,0.8
,,2022 - 2023,,,,,,,,,0.8
,Barpeta,2000 - 2001,,,,,,0.82,,,
,,2001 - 2002,,,,,,0.81,,,
,,2002 - 2003,,,,,,0.71,,,
,,2003 - 2004,,,,,,1.17,,,
,,2005 - 2006,,,,,,1.15,,,
,,2006 - 2007,,,,,,0.65,,,
,,2007 - 2008,,,,,,0.76,,,
,,2008 - 2009,,,,,,0.73,,,
,,2009 - 2010,,,,,,0.68,,,
,,2010 - 2011,,,,,,,,,0.68
,,2011 - 2012,,,,,,,,,1.05
,,2012 - 2013,,,,,,,,,1.12
,,2013 - 2014,,,,,,,,,0.61
,,2014 - 2015,,,,,,,,,0.83
,,2015 - 2016,,,,,,,,,0.69
,,2016 - 2017,,,,,,,,,0.98
,,2017 - 2018,,,,,,,,,0.75
,,2018 - 2019,,,,,,,,,0.48
,,2019 - 2020,,,,,,,,,0.66
,,2020 - 2021,,,,,,,,,0.84
,,2021 - 2022,,,,,,,,,0.84
,,2022 - 2023,,,,,,,,,0.84
,Biswanath,2019 - 2020,,,,,,,,,0.77
,,2020 - 2021,,,,,,,,,0.8
,,2021 - 2022,,,,,,,,,0.8
,,2022 - 2023,,,,,,,,,0.8
,Bongaigaon,2000 - 2001,,,,,,1.66,,,
,,2001 - 2002,,,,,,1.33,,,
,,2002 - 2003,,,,,,0.92,,,
,,2003 - 2004,,,,,,1.46,,,
,,2005 - 2006,,,,,,1.64,,,
,,2006 - 2007,,,,,,0.91,,,
,,2007 - 2008,,,,,,1.02,,,
,,2008 - 2009,,,,,,1.3,,,
,,2009 - 2010,,,,,,1.1,,,
,,2010 - 2011,,,,,,,,,1.1
,,2011 - 2012,,,,,,,,,1.49
,,2012 - 2013,,,,,,,,,1.38
,,2013 - 2014,,,,,,,,,0.87
,,2014 - 2015,,,,,,,,936.0,0.6
,,2015 - 2016,,,,,,,,952.0,0.6
,,2016 - 2017,,,,,,,,763.0,0.48
,,2017 - 2018,,,,,,,,902.0,0.57
,,2018 - 2019,,,,,,,,854.0,0.54
,,2019 - 2020,,,,,,,,848.0,0.53
,,2020 - 2021,,,,,,,,723.0,0.45
,,2021 - 2022,,,,,,,,723.0,0.45
,,2022 - 2023,,,,,,,,690.0,0.45
,Cachar,2000 - 2001,,,,,,0.68,,,
,,2001 - 2002,,,,,,0.47,,,
,,2002 - 2003,,,,,,0.34,,,
,,2003 - 2004,,,,,,0.27,,,
,,2005 - 2006,,,,,,0.27,,,
,,2006 - 2007,,,,,,0.23,,,
,,2007 - 2008,,,,,,0.42,,,
,,2008 - 2009,,,,,,0.63,,,
,,2009 - 2010,,,,,,0.54,,,
,,2010 - 2011,,,,,,,,,0.54
,,2011 - 2012,,,,,,,,,0.57
,,2012 - 2013,,,,,,,,,0.52
,,2013 - 2014,,,,,,,,,0.36
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.6
,,2016 - 2017,,,,,,,,,0.38
,,2017 - 2018,,,,,,,,,0.38
,,2018 - 2019,,,,,,,,,0.32
,,2019 - 2020,,,,,,,,,0.35
,,2020 - 2021,,,,,,,,,0.42
,,2021 - 2022,,,,,,,,,0.42
,,2022 - 2023,,,,,,,,,0.42
,Charaideo,2019 - 2020,,,,,,,,831.0,0.68
,,2020 - 2021,,,,,,,,784.0,0.65
,,2021 - 2022,,,,,,,,784.0,0.65
,,2022 - 2023,,,,,,,,282.0,0.23
,Chirang,2006 - 2007,,,,,,0.77,,,
,,2007 - 2008,,,,,,0.85,,,
,,2008 - 2009,,,,,,1.08,,,
,,2009 - 2010,,,,,,0.96,,,
,,2010 - 2011,,,,,,,,,0.96
,,2011 - 2012,,,,,,,,,0.87
,,2012 - 2013,,,,,,,,,0.98
,,2013 - 2014,,,,,,,,,0.68
,,2014 - 2015,,,,,,,,,0.93
,,2015 - 2016,,,,,,,,,0.75
,,2016 - 2017,,,,,,,,,0.81
,,2017 - 2018,,,,,,,,,1.39
,,2018 - 2019,,,,,,,,,0.47
,,2019 - 2020,,,,,,,,,1.37
,,2020 - 2021,,,,,,,,,0.58
,,2021 - 2022,,,,,,,,,0.58
,,2022 - 2023,,,,,,,,,0.58
,Darrang,2000 - 2001,,,,,,0.63,,,
,,2001 - 2002,,,,,,0.8,,,
,,2002 - 2003,,,,,,0.6,,,
,,2003 - 2004,,,,,,0.6,,,
,,2005 - 2006,,,,,,0.72,,,
,,2006 - 2007,,,,,,1.13,,,
,,2007 - 2008,,,,,797.0,0.7,,,
,,2008 - 2009,,,,,673.0,0.4,,,
,,2009 - 2010,,,,,,0.6,,,
,,2010 - 2011,,,,,,,,,0.6
,,2011 - 2012,,,,,,,,762.0,0.42
,,2012 - 2013,,,,,,,,,0.57
,,2013 - 2014,,,,,,,,,0.62
,,2014 - 2015,,,,,,,,780.0,0.51
,,2015 - 2016,,,,,,,,,0.89
,,2016 - 2017,,,,,,,,561.0,0.37
,,2017 - 2018,,,,,,,,772.0,0.51
,,2018 - 2019,,,,,,,,597.0,0.39
,,2019 - 2020,,,,,,,,643.0,0.42
,,2020 - 2021,,,,,,,,665.0,0.43
,,2021 - 2022,,,,,,,,665.0,0.43
,,2022 - 2023,,,,,,,,665.0,0.43
,Dhemaji,2000 - 2001,,,,836.0,,1.35,,,
,,2001 - 2002,,,,852.0,,1.86,,,
,,2002 - 2003,,,,852.0,765.0,0.9,,,
,,2003 - 2004,,,,861.0,729.0,0.85,,,
,,2005 - 2006,,,,978.0,,1.19,,,
,,2006 - 2007,,,,,,1.01,,,
,,2007 - 2008,,,,960.0,795.0,0.83,,,
,,2008 - 2009,,,,257.0,444.0,1.73,,,
,,2009 - 2010,,,,960.0,747.0,0.78,,,
,,2010 - 2011,,,,,,,960.0,747.0,0.78
,,2011 - 2012,,,,,,,975.0,952.0,0.98
,,2012 - 2013,,,,,,,990.0,967.0,0.98
,,2013 - 2014,,,,,,,962.0,352.0,0.37
,,2014 - 2015,,,,,,,945.0,583.0,0.62
,,2015 - 2016,,,,,,,960.0,954.0,0.99
,,2016 - 2017,,,,,,,362.0,154.0,0.43
,,2017 - 2018,,,,,,,758.0,934.0,1.23
,,2018 - 2019,,,,,,,777.0,566.0,0.73
,,2019 - 2020,,,,,,,778.0,417.0,0.54
,,2020 - 2021,,,,,,,783.0,655.0,0.84
,,2021 - 2022,,,,,,,783.0,655.0,0.84
,,2022 - 2023,,,,,,,519.0,425.0,0.82
,Dhubri,2000 - 2001,,,,,,0.83,,,
,,2001 - 2002,,,,,,0.83,,,
,,2002 - 2003,,,,,,1.06,,,
,,2003 - 2004,,,,,,0.67,,,
,,2005 - 2006,,,,,,1.64,,,
,,2006 - 2007,,,,,,0.87,,,
,,2007 - 2008,,,,,,0.78,,,
,,2008 - 2009,,,,,,1.31,,,
,,2009 - 2010,,,,,602.0,0.51,,,
,,2010 - 2011,,,,,,,,602.0,0.51
,,2011 - 2012,,,,,,,,866.0,0.69
,,2012 - 2013,,,,,,,,,1.88
,,2013 - 2014,,,,,,,,610.0,0.48
,,2014 - 2015,,,,,,,,991.0,0.79
,,2015 - 2016,,,,,,,,986.0,0.79
,,2016 - 2017,,,,,,,,,1.16
,,2017 - 2018,,,,,,,,,0.88
,,2018 - 2019,,,,,,,,,1.0
,,2019 - 2020,,,,,,,,,1.31
,,2020 - 2021,,,,,,,,859.0,0.83
,,2021 - 2022,,,,,,,,859.0,0.83
,,2022 - 2023,,,,,,,985.0,804.0,0.82
,Dibrugarh,2000 - 2001,,,,,,0.82,,,
,,2001 - 2002,,,,,,0.8,,,
,,2002 - 2003,,,,,,0.86,,,
,,2003 - 2004,,,,,,1.55,,,
,,2005 - 2006,,,,,,0.97,,,
,,2006 - 2007,,,,982.0,,1.49,,,
,,2007 - 2008,,,,,,1.27,,,
,,2008 - 2009,,,,,,1.07,,,
,,2009 - 2010,,,,,,1.43,,,
,,2010 - 2011,,,,,,,,,1.43
,,2011 - 2012,,,,,,,,,1.14
,,2012 - 2013,,,,,,,,,1.26
,,2013 - 2014,,,,,,,,,0.78
,,2014 - 2015,,,,,,,,508.0,0.35
,,2015 - 2016,,,,,,,,994.0,0.67
,,2016 - 2017,,,,,,,,498.0,0.31
,,2017 - 2018,,,,,,,,852.0,0.56
,,2018 - 2019,,,,,,,,631.0,0.42
,,2019 - 2020,,,,,,,,457.0,0.3
,,2020 - 2021,,,,,,,,,0.82
,,2021 - 2022,,,,,,,,,0.82
,,2022 - 2023,,,,,,,,851.0,0.58
,Dima hasao,2000 - 2001,,,,350.0,299.0,0.85,,,
,,2001 - 2002,,,,320.0,283.0,0.88,,,
,,2002 - 2003,,,,350.0,233.0,0.67,,,
,,2003 - 2004,,,,395.0,443.0,1.12,,,
,,2005 - 2006,,,,387.0,357.0,0.92,,,
,,2006 - 2007,,,,490.0,283.0,0.58,,,
,,2007 - 2008,,,,482.0,181.0,0.38,,,
,,2008 - 2009,,,,91.0,52.0,0.57,,,
,,2009 - 2010,,,,269.0,166.0,0.62,,,
,,2010 - 2011,,,,,,,269.0,166.0,0.62
,,2011 - 2012,,,,,,,,,1.0
,,2012 - 2013,,,,,,,,903.0,0.57
,,2013 - 2014,,,,,,,,583.0,0.33
,,2014 - 2015,,,,,,,,,0.71
,,2015 - 2016,,,,,,,,,0.61
,,2016 - 2017,,,,,,,,,0.77
,,2017 - 2018,,,,,,,,,0.74
,,2018 - 2019,,,,,,,,,0.97
,,2019 - 2020,,,,,,,,,0.64
,,2020 - 2021,,,,,,,,,0.72
,,2021 - 2022,,,,,,,,,0.72
,,2022 - 2023,,,,,,,,,0.72
,Goalpara,2000 - 2001,,,,,,1.79,,,
,,2001 - 2002,,,,,,0.7,,,
,,2002 - 2003,,,,,,1.06,,,
,,2003 - 2004,,,,,,1.0,,,
,,2005 - 2006,,,,,,1.31,,,
,,2006 - 2007,,,,,,1.26,,,
,,2007 - 2008,,,,,,1.2,,,
,,2008 - 2009,,,,,,1.32,,,
,,2009 - 2010,,,,,,1.44,,,
,,2010 - 2011,,,,,,,,,1.44
,,2011 - 2012,,,,,,,,,1.21
,,2012 - 2013,,,,,,,,,1.35
,,2013 - 2014,,,,,,,,,0.93
,,2014 - 2015,,,,,,,,,1.17
,,2015 - 2016,,,,,,,,,1.11
,,2016 - 2017,,,,,,,,,1.21
,,2017 - 2018,,,,,,,,,1.59
,,2018 - 2019,,,,,,,,,1.54
,,2019 - 2020,,,,,,,,,1.22
,,2020 - 2021,,,,,,,,,1.07
,,2021 - 2022,,,,,,,,,1.07
,,2022 - 2023,,,,,,,,30.0,0.01
,Golaghat,2000 - 2001,,,,,,0.75,,,
,,2001 - 2002,,,,,,0.7,,,
,,2002 - 2003,,,,,,0.73,,,
,,2003 - 2004,,,,,,0.58,,,
,,2005 - 2006,,,,,,0.8,,,
,,2006 - 2007,,,,,,0.76,,,
,,2007 - 2008,,,,,,0.89,,,
,,2008 - 2009,,,,,,0.78,,,
,,2009 - 2010,,,,,,0.84,,,
,,2010 - 2011,,,,,,,,,0.84
,,2011 - 2012,,,,,,,,,0.89
,,2012 - 2013,,,,,,,,,0.79
,,2013 - 2014,,,,,,,,,0.7
,,2014 - 2015,,,,,,,,,0.63
,,2015 - 2016,,,,,,,,,0.86
,,2016 - 2017,,,,,,,,,0.58
,,2017 - 2018,,,,,,,,,0.63
,,2018 - 2019,,,,,,,,,0.66
,,2019 - 2020,,,,,,,,,0.62
,,2020 - 2021,,,,,,,,,0.82
,,2021 - 2022,,,,,,,,,0.82
,,2022 - 2023,,,,,,,,,0.63
,Hailakandi,2000 - 2001,,,,,,0.62,,,
,,2001 - 2002,,,,,,1.54,,,
,,2002 - 2003,,,,,916.0,0.34,,,
,,2003 - 2004,,,,,548.0,0.2,,,
,,2005 - 2006,,,,,,0.41,,,
,,2006 - 2007,,,,,,0.41,,,
,,2007 - 2008,,,,,783.0,0.27,,,
,,2008 - 2009,,,,,,0.51,,,
,,2009 - 2010,,,,,,0.72,,,
,,2010 - 2011,,,,,,,,,0.72
,,2011 - 2012,,,,,,,,,0.54
,,2012 - 2013,,,,,,,,,0.44
,,2013 - 2014,,,,,,,,,2.96
,,2014 - 2015,,,,,,,,,3.54
,,2015 - 2016,,,,,,,,,1.05
,,2016 - 2017,,,,,,,,,1.73
,,2017 - 2018,,,,,,,,,1.51
,,2018 - 2019,,,,,,,,,0.98
,,2019 - 2020,,,,,,,,,1.66
,,2020 - 2021,,,,,,,,,1.17
,,2021 - 2022,,,,,,,,,1.17
,,2022 - 2023,,,,,,,,,1.19
,Hojai,2019 - 2020,,,,,,,684.0,417.0,0.61
,,2020 - 2021,,,,,,,680.0,420.0,0.62
,,2021 - 2022,,,,,,,680.0,420.0,0.62
,,2022 - 2023,,,,,,,675.0,417.0,0.62
,Jorhat,2000 - 2001,,,,,688.0,0.3,,,
,,2001 - 2002,,,,,,0.95,,,
,,2002 - 2003,,,,,,0.55,,,
,,2003 - 2004,,,,,992.0,0.43,,,
,,2005 - 2006,,,,,,0.48,,,
,,2006 - 2007,,,,,,0.57,,,
,,2007 - 2008,,,,,,0.65,,,
,,2008 - 2009,,,,,,0.84,,,
,,2009 - 2010,,,,,,0.63,,,
,,2010 - 2011,,,,,,,,,0.63
,,2011 - 2012,,,,,,,,,0.74
,,2012 - 2013,,,,,,,,,0.64
,,2013 - 2014,,,,,,,,,0.66
,,2014 - 2015,,,,,,,,,0.73
,,2015 - 2016,,,,,,,,,0.64
,,2016 - 2017,,,,,,,,,0.76
,,2017 - 2018,,,,,,,,,0.96
,,2018 - 2019,,,,,,,,,0.84
,,2019 - 2020,,,,,,,,,0.76
,,2020 - 2021,,,,,,,,,0.65
,,2021 - 2022,,,,,,,,,0.65
,,2022 - 2023,,,,,,,,,0.65
,Kamrup,2000 - 2001,,,,,,0.84,,,
,,2001 - 2002,,,,,,0.66,,,
,,2002 - 2003,,,,,,0.42,,,
,,2003 - 2004,,,,,,1.13,,,
,,2005 - 2006,,,,,,1.26,,,
,,2006 - 2007,,,,,,0.62,,,
,,2007 - 2008,,,,,,1.28,,,
,,2008 - 2009,,,,,,1.3,,,
,,2009 - 2010,,,,,,1.73,,,
,,2010 - 2011,,,,,,,,,1.73
,,2011 - 2012,,,,,,,,,1.13
,,2012 - 2013,,,,,,,,,1.09
,,2013 - 2014,,,,,,,,,0.94
,,2014 - 2015,,,,,,,,,1.76
,,2015 - 2016,,,,,,,,,1.17
,,2016 - 2017,,,,,,,,,1.08
,,2017 - 2018,,,,,,,,,0.93
,,2018 - 2019,,,,,,,,,1.26
,,2019 - 2020,,,,,,,,,0.63
,,2020 - 2021,,,,,,,,,0.98
,,2021 - 2022,,,,,,,,,0.98
,,2022 - 2023,,,,,,,,,1.02
,Kamrup metro,2006 - 2007,,,,519.0,304.0,0.59,,,
,,2007 - 2008,,,,540.0,456.0,0.84,,,
,,2008 - 2009,,,,650.0,831.0,1.28,,,
,,2009 - 2010,,,,850.0,,1.64,,,
,,2010 - 2011,,,,,,,850.0,,1.64
,,2011 - 2012,,,,,,,662.0,704.0,1.06
,,2012 - 2013,,,,,,,675.0,91.0,0.13
,,2013 - 2014,,,,,,,684.0,692.0,1.01
,,2014 - 2015,,,,,,,693.0,527.0,0.76
,,2015 - 2016,,,,,,,670.0,559.0,0.83
,,2016 - 2017,,,,,,,639.0,770.0,1.21
,,2017 - 2018,,,,,,,634.0,631.0,1.0
,,2018 - 2019,,,,,,,631.0,517.0,0.82
,,2019 - 2020,,,,,,,629.0,528.0,0.84
,,2020 - 2021,,,,,,,654.0,556.0,0.85
,,2021 - 2022,,,,,,,654.0,556.0,0.85
,,2022 - 2023,,,,,,,759.0,646.0,0.85
,Karbi anglong,2000 - 2001,,,,,739.0,0.62,,,
,,2001 - 2002,,,,,,0.94,,,
,,2002 - 2003,,,,,582.0,0.48,,,
,,2003 - 2004,,,,,,1.25,,,
,,2005 - 2006,,,,,689.0,0.56,,,
,,2006 - 2007,,,,,,1.01,,,
,,2007 - 2008,,,,,984.0,0.76,,,
,,2008 - 2009,,,,,894.0,0.67,,,
,,2009 - 2010,,,,,,1.38,,,
,,2010 - 2011,,,,,,,,,1.38
,,2011 - 2012,,,,,,,,,0.76
,,2012 - 2013,,,,,,,,,0.98
,,2013 - 2014,,,,,,,,460.0,0.31
,,2014 - 2015,,,,,,,,647.0,0.42
,,2015 - 2016,,,,,,,,,0.75
,,2016 - 2017,,,,,,,,842.0,0.54
,,2017 - 2018,,,,,,,,872.0,0.54
,,2018 - 2019,,,,,,,,921.0,0.56
,,2019 - 2020,,,,,,,,584.0,0.52
,,2020 - 2021,,,,,,,,587.0,0.51
,,2021 - 2022,,,,,,,,587.0,0.51
,,2022 - 2023,,,,,,,,889.0,0.51
,Karimganj,2000 - 2001,,,,,827.0,0.38,,,
,,2001 - 2002,,,,,,0.97,,,
,,2002 - 2003,,,,,739.0,0.33,,,
,,2003 - 2004,,,,,992.0,0.44,,,
,,2005 - 2006,,,,,,0.45,,,
,,2006 - 2007,,,,,906.0,0.4,,,
,,2007 - 2008,,,,,,0.47,,,
,,2008 - 2009,,,,,786.0,0.38,,,
,,2009 - 2010,,,,,641.0,0.3,,,
,,2010 - 2011,,,,,,,,641.0,0.3
,,2011 - 2012,,,,,,,,803.0,0.36
,,2012 - 2013,,,,,,,,784.0,0.34
,,2013 - 2014,,,,,,,,938.0,0.4
,,2014 - 2015,,,,,,,,,1.23
,,2015 - 2016,,,,,,,,552.0,0.23
,,2016 - 2017,,,,,,,,242.0,0.1
,,2017 - 2018,,,,,,,,766.0,0.33
,,2018 - 2019,,,,,,,,673.0,0.29
,,2019 - 2020,,,,,,,,,0.48
,,2020 - 2021,,,,,,,,835.0,0.35
,,2021 - 2022,,,,,,,,835.0,0.35
,,2022 - 2023,,,,,,,,164.0,0.07
,Kokrajhar,2000 - 2001,,,,,,2.74,,,
,,2001 - 2002,,,,,,0.93,,,
,,2002 - 2003,,,,,,1.02,,,
,,2003 - 2004,,,,,,2.12,,,
,,2005 - 2006,,,,,935.0,0.63,,,
,,2006 - 2007,,,,,,1.28,,,
,,2007 - 2008,,,,,,2.13,,,
,,2008 - 2009,,,,,,1.87,,,
,,2009 - 2010,,,,,,1.63,,,
,,2010 - 2011,,,,,,,,,1.63
,,2011 - 2012,,,,,,,,,1.69
,,2012 - 2013,,,,,,,,,19.3
,,2013 - 2014,,,,,,,,,0.81
,,2014 - 2015,,,,,,,,,1.48
,,2015 - 2016,,,,,,,,,0.81
,,2016 - 2017,,,,,,,,,0.83
,,2017 - 2018,,,,,,,,807.0,0.51
,,2018 - 2019,,,,,,,,,0.83
,,2019 - 2020,,,,,,,,,0.62
,,2020 - 2021,,,,,,,,,0.63
,,2021 - 2022,,,,,,,,,0.63
,,2022 - 2023,,,,,,,,,0.65
,Lakhimpur,2000 - 2001,,,,,,0.71,,,
,,2001 - 2002,,,,,,0.78,,,
,,2002 - 2003,,,,,,0.46,,,
,,2003 - 2004,,,,,,0.96,,,
,,2005 - 2006,,,,,,1.0,,,
,,2006 - 2007,,,,,,1.06,,,
,,2007 - 2008,,,,,,0.96,,,
,,2008 - 2009,,,,,,0.92,,,
,,2009 - 2010,,,,,,1.32,,,
,,2010 - 2011,,,,,,,,,1.32
,,2011 - 2012,,,,,,,,,0.67
,,2012 - 2013,,,,,,,,,0.65
,,2013 - 2014,,,,,,,,,0.68
,,2014 - 2015,,,,,,,,,0.45
,,2015 - 2016,,,,,,,,,0.49
,,2016 - 2017,,,,,,,,970.0,0.34
,,2017 - 2018,,,,,,,,726.0,0.3
