state,district,year,garlic_rabi_yield_tonne_per_hectare
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Fatehabad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Gurgaon,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hisar,2001 - 2002,
,,2004 - 2005,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Jhajjar,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Jind,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Karnal,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kurukshetra,2001 - 2002,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Mahendragarh,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Mewat,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Palwal,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Panchkula,2000 - 2001,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Panipat,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Rewari,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Rohtak,2000 - 2001,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Sirsa,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Sonipat,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Yamunanagar,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
Himachal Pradesh,Bilaspur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.57
,,2006 - 2007,0.81
,,2007 - 2008,1.39
,,2009 - 2010,1.77
,,2010 - 2011,1.26
,,2012 - 2013,1.43
,,2013 - 2014,1.3
,,2014 - 2015,1.0
,,2015 - 2016,0.33
,,2018 - 2019,0.4
,,2019 - 2020,0.63
,,2020 - 2021,1.68
,,2021 - 2022,1.89
,Chamba,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.09
,,2006 - 2007,0.44
,,2007 - 2008,0.45
,,2008 - 2009,0.56
,,2009 - 2010,1.51
,,2010 - 2011,1.2
,,2011 - 2012,0.64
,,2012 - 2013,0.63
,,2013 - 2014,1.26
,,2014 - 2015,0.78
,,2015 - 2016,0.64
,,2016 - 2017,0.41
,,2017 - 2018,0.43
,,2018 - 2019,0.42
,,2019 - 2020,0.68
,,2020 - 2021,2.17
,,2021 - 2022,2.03
,Hamirpur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,1.28
,,2006 - 2007,1.43
,,2007 - 2008,0.86
,,2008 - 2009,0.24
,,2009 - 2010,1.8
,,2010 - 2011,1.45
,,2011 - 2012,1.11
,,2013 - 2014,1.45
,,2014 - 2015,0.0
,,2015 - 2016,0.64
,,2016 - 2017,0.17
,,2017 - 2018,0.58
,,2018 - 2019,0.56
,,2019 - 2020,0.64
,,2020 - 2021,2.27
,,2021 - 2022,2.24
,Kangra,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.95
,,2006 - 2007,1.13
,,2007 - 2008,1.19
,,2008 - 2009,0.41
,,2009 - 2010,1.75
,,2010 - 2011,1.55
,,2011 - 2012,1.33
,,2012 - 2013,1.32
,,2013 - 2014,1.66
,,2014 - 2015,1.04
,,2015 - 2016,1.62
,,2016 - 2017,0.23
,,2017 - 2018,0.62
,,2018 - 2019,0.61
,,2019 - 2020,0.62
,,2020 - 2021,2.28
,,2021 - 2022,2.34
,Kullu,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.5
,,2006 - 2007,0.8
,,2007 - 2008,1.26
,,2008 - 2009,0.39
,,2009 - 2010,1.54
,,2010 - 2011,1.3
,,2011 - 2012,0.9
,,2012 - 2013,0.93
,,2013 - 2014,1.31
,,2014 - 2015,1.0
,,2015 - 2016,1.21
,,2016 - 2017,0.48
,,2017 - 2018,0.57
,,2018 - 2019,0.57
,,2019 - 2020,0.67
,,2020 - 2021,1.8
,,2021 - 2022,1.8
,Mandi,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,1.51
,,2006 - 2007,1.41
,,2007 - 2008,1.41
,,2008 - 2009,0.26
,,2009 - 2010,1.65
,,2010 - 2011,1.47
,,2011 - 2012,1.24
,,2012 - 2013,1.02
,,2013 - 2014,1.51
,,2014 - 2015,0.98
,,2015 - 2016,1.23
,,2016 - 2017,0.22
,,2017 - 2018,0.44
,,2018 - 2019,0.44
,,2019 - 2020,0.64
,,2020 - 2021,1.37
,,2021 - 2022,1.4
,Shimla,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,1.06
,,2006 - 2007,1.41
,,2007 - 2008,1.41
,,2008 - 2009,0.5
,,2009 - 2010,1.61
,,2010 - 2011,1.42
,,2011 - 2012,1.15
,,2012 - 2013,1.25
,,2013 - 2014,1.43
,,2014 - 2015,1.22
,,2015 - 2016,1.22
,,2016 - 2017,0.4
,,2017 - 2018,0.57
,,2018 - 2019,0.57
,,2019 - 2020,0.67
,,2020 - 2021,2.12
,,2021 - 2022,2.12
,Sirmaur,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.5
,,2006 - 2007,0.74
,,2007 - 2008,1.28
,,2008 - 2009,0.27
,,2009 - 2010,1.84
,,2010 - 2011,1.57
,,2011 - 2012,1.67
,,2012 - 2013,1.68
,,2013 - 2014,1.59
,,2014 - 2015,1.67
,,2015 - 2016,1.67
,,2016 - 2017,0.24
,,2017 - 2018,0.33
,,2018 - 2019,0.35
,,2019 - 2020,0.65
,,2020 - 2021,2.06
,,2021 - 2022,2.06
,Solan,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.62
,,2006 - 2007,1.04
,,2007 - 2008,0.62
,,2008 - 2009,0.71
,,2009 - 2010,1.7
,,2010 - 2011,1.47
,,2012 - 2013,1.5
,,2013 - 2014,1.47
,,2014 - 2015,1.5
,,2015 - 2016,1.43
,,2016 - 2017,0.39
,,2017 - 2018,0.5
,,2018 - 2019,0.48
,,2019 - 2020,0.74
,,2020 - 2021,1.4
,,2021 - 2022,1.4
,Una,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.56
,,2006 - 2007,1.22
,,2007 - 2008,1.38
,,2008 - 2009,1.41
,,2009 - 2010,1.56
,,2010 - 2011,1.41
,,2011 - 2012,1.5
,,2012 - 2013,1.55
,,2013 - 2014,1.35
,,2014 - 2015,1.65
,,2015 - 2016,1.65
,,2016 - 2017,1.22
,,2017 - 2018,1.22
,,2018 - 2019,1.19
,,2019 - 2020,0.78
,,2020 - 2021,2.49
,,2021 - 2022,2.51
Jammu and Kashmir,Anantnag,2008 - 2009,0.8
,,2017 - 2018,0.65
,Badgam,2000 - 2001,
,,2006 - 2007,0.8
,,2007 - 2008,0.8
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Doda,2000 - 2001,
,,2006 - 2007,0.63
,,2007 - 2008,0.63
,,2009 - 2010,0.94
,,2010 - 2011,0.94
,,2011 - 2012,0.94
,,2012 - 2013,0.94
,,2013 - 2014,0.94
,,2015 - 2016,0.94
,,2016 - 2017,0.94
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Jammu,2000 - 2001,
,,2006 - 2007,0.91
,,2007 - 2008,0.91
,,2008 - 2009,0.91
,,2009 - 2010,0.92
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,0.76
,,2022 - 2023,0.3
,Kathua,2000 - 2001,
,,2006 - 2007,0.74
,,2007 - 2008,0.74
,,2008 - 2009,0.73
,,2009 - 2010,0.74
,,2010 - 2011,0.74
,,2011 - 2012,0.74
,,2012 - 2013,0.74
,,2013 - 2014,0.74
,,2015 - 2016,0.74
,,2016 - 2017,0.74
,,2017 - 2018,0.74
,,2018 - 2019,0.74
,,2019 - 2020,0.74
,,2020 - 2021,0.74
,,2021 - 2022,0.74
,,2022 - 2023,0.74
,Kishtwar,2016 - 2017,0.9
,Kulgam,2021 - 2022,0.28
,,2022 - 2023,0.28
,Poonch,2000 - 2001,
,,2006 - 2007,0.86
,,2007 - 2008,0.86
,,2008 - 2009,0.86
,,2009 - 2010,0.86
,,2010 - 2011,0.86
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Pulwama,2016 - 2017,0.65
,Rajauri,2000 - 2001,
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.93
,,2009 - 2010,0.93
,,2010 - 2011,0.93
,,2011 - 2012,0.93
,,2012 - 2013,0.93
,,2013 - 2014,0.93
,,2015 - 2016,0.93
,,2016 - 2017,0.93
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,,2019 - 2020,0.93
,,2020 - 2021,0.93
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Reasi,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.86
,,2010 - 2011,0.86
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2016 - 2017,0.9
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,Srinagar,2000 - 2001,
,,2006 - 2007,0.64
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.64
,,2010 - 2011,0.64
,,2011 - 2012,0.64
,,2012 - 2013,0.64
,,2013 - 2014,0.64
,,2015 - 2016,0.64
,,2016 - 2017,0.64
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2021 - 2022,0.64
,,2022 - 2023,0.64
,Udhampur,2000 - 2001,
,,2006 - 2007,0.9
,,2007 - 2008,0.92
,,2008 - 2009,0.92
,,2009 - 2010,0.92
,,2010 - 2011,0.92
,,2011 - 2012,0.92
,,2012 - 2013,0.92
,,2013 - 2014,0.92
,,2015 - 2016,0.91
,,2016 - 2017,0.91
,,2017 - 2018,0.91
,,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.91
Karnataka,Bagalkot,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Belgaum,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bellary,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bengaluru urban,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bidar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamarajanagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikballapur,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2000 - 2001,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dakshin kannad,2018 - 2019,
,Davangere,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharwad,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gadag,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kodagu,2020 - 2021,
,Kolar,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koppal,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Mandya,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mysore,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raichur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanagara,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimoga,2003 - 2004,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tumkur,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2020 - 2021,
,,2022 - 2023,
,Yadgir,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Kerala,Idukki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Palakkad,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Alirajpur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Anuppur,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Ashoknagar,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Balaghat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Barwani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Bhind,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Bhopal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Burhanpur,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Chhatarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Chhindwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Damoh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
