state,district,year,banana_summer_yield_tonne_per_hectare
,,2018 - 2019,45.85
,,2019 - 2020,46.0
,Shravasti,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.25
,,2009 - 2010,41.13
,,2011 - 2012,43.7
,,2013 - 2014,43.5
,,2014 - 2015,45.14
,,2015 - 2016,44.43
,,2016 - 2017,55.17
,,2017 - 2018,47.87
,,2018 - 2019,47.94
,,2019 - 2020,48.05
,,2020 - 2021,54.71
,,2021 - 2022,54.27
,,2022 - 2023,54.27
,Siddharth nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.0
,,2009 - 2010,41.13
,,2014 - 2015,45.14
,,2015 - 2016,44.5
,,2016 - 2017,55.33
,,2017 - 2018,48.96
,,2018 - 2019,49.04
,,2019 - 2020,49.39
,,2020 - 2021,54.75
,,2021 - 2022,54.25
,,2022 - 2023,54.2
,Sitapur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.14
,,2009 - 2010,41.13
,,2011 - 2012,43.69
,,2012 - 2013,44.66
,,2013 - 2014,43.54
,,2014 - 2015,45.11
,,2015 - 2016,44.39
,,2016 - 2017,55.22
,,2017 - 2018,46.56
,,2018 - 2019,46.54
,,2019 - 2020,46.69
,,2020 - 2021,54.73
,,2021 - 2022,54.22
,,2022 - 2023,54.28
,Sonbhadra,2017 - 2018,43.5
,,2018 - 2019,44.0
,,2019 - 2020,45.5
,Sultanpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,38.1
,,2009 - 2010,41.14
,,2011 - 2012,43.7
,,2014 - 2015,45.09
,,2015 - 2016,44.38
,,2016 - 2017,55.17
,,2017 - 2018,44.35
,,2018 - 2019,44.34
,,2019 - 2020,44.5
,,2020 - 2021,54.75
,,2021 - 2022,54.22
,,2022 - 2023,54.25
,Unnao,2004 - 2005,
,,2006 - 2007,
,,2013 - 2014,43.53
,,2014 - 2015,45.0
,,2015 - 2016,44.5
,,2016 - 2017,55.2
,,2017 - 2018,45.99
,,2018 - 2019,46.0
,,2019 - 2020,46.19
,,2020 - 2021,54.67
,,2021 - 2022,54.17
,,2022 - 2023,54.33
,Varanasi,2017 - 2018,44.17
,,2018 - 2019,44.83
,,2019 - 2020,34.88
