state,district,year,rice_kharif_yield_tonne_per_hectare
,,2012 - 2013,1.37
,,2013 - 2014,1.87
,,2014 - 2015,1.66
,,2015 - 2016,1.97
,,2016 - 2017,2.16
,,2017 - 2018,2.38
,,2018 - 2019,1.83
,,2019 - 2020,1.81
,,2020 - 2021,2.09
,,2021 - 2022,2.79
,,2022 - 2023,2.54
,Raigad,2000 - 2001,2.17
,,2001 - 2002,2.65
,,2002 - 2003,2.05
,,2003 - 2004,2.84
,,2004 - 2005,2.22
,,2005 - 2006,2.26
,,2006 - 2007,2.36
,,2007 - 2008,2.51
,,2008 - 2009,2.71
,,2009 - 2010,2.51
,,2010 - 2011,2.37
,,2011 - 2012,2.41
,,2012 - 2013,2.6
,,2013 - 2014,2.86
,,2014 - 2015,2.76
,,2015 - 2016,2.93
,,2016 - 2017,2.72
,,2017 - 2018,2.71
,,2018 - 2019,2.83
,,2019 - 2020,1.93
,,2020 - 2021,1.84
,,2021 - 2022,2.28
,,2022 - 2023,2.67
,Ratnagiri,2000 - 2001,2.12
,,2001 - 2002,2.67
,,2002 - 2003,1.89
,,2003 - 2004,3.01
,,2004 - 2005,2.36
,,2005 - 2006,2.53
,,2006 - 2007,2.71
,,2007 - 2008,2.56
,,2008 - 2009,2.6
,,2009 - 2010,2.62
,,2010 - 2011,2.86
,,2011 - 2012,2.92
,,2012 - 2013,2.91
,,2013 - 2014,2.96
,,2014 - 2015,3.04
,,2015 - 2016,2.45
,,2016 - 2017,3.14
,,2017 - 2018,2.98
,,2018 - 2019,3.17
,,2019 - 2020,3.16
,,2020 - 2021,2.82
,,2021 - 2022,2.86
,,2022 - 2023,2.98
,Sangli,2000 - 2001,2.17
,,2001 - 2002,2.67
,,2002 - 2003,1.54
,,2003 - 2004,2.53
,,2004 - 2005,2.5
,,2005 - 2006,2.18
,,2006 - 2007,1.6
,,2007 - 2008,2.33
,,2008 - 2009,2.07
,,2009 - 2010,1.88
,,2010 - 2011,2.67
,,2011 - 2012,1.86
,,2012 - 2013,1.93
,,2013 - 2014,1.76
,,2014 - 2015,2.03
,,2015 - 2016,1.92
,,2016 - 2017,2.55
,,2017 - 2018,2.31
,,2018 - 2019,2.63
,,2019 - 2020,1.27
,,2020 - 2021,2.81
,,2021 - 2022,2.48
,,2022 - 2023,2.65
,Satara,2000 - 2001,1.17
,,2001 - 2002,1.73
,,2002 - 2003,1.57
,,2003 - 2004,1.66
,,2004 - 2005,1.65
,,2005 - 2006,1.68
,,2006 - 2007,2.07
,,2007 - 2008,2.06
,,2008 - 2009,2.2
,,2009 - 2010,1.52
,,2010 - 2011,1.62
,,2011 - 2012,1.64
,,2012 - 2013,1.37
,,2013 - 2014,1.5
,,2014 - 2015,1.79
,,2015 - 2016,1.51
,,2016 - 2017,1.75
,,2017 - 2018,1.81
,,2018 - 2019,2.32
,,2019 - 2020,1.44
,,2020 - 2021,2.32
,,2021 - 2022,1.97
,,2022 - 2023,1.95
,Sindhudurg,2000 - 2001,2.48
,,2001 - 2002,2.55
,,2002 - 2003,2.19
,,2003 - 2004,3.17
,,2004 - 2005,2.83
,,2005 - 2006,2.89
,,2006 - 2007,2.95
,,2007 - 2008,2.74
,,2008 - 2009,2.8
,,2009 - 2010,2.63
,,2010 - 2011,2.67
,,2011 - 2012,2.73
,,2012 - 2013,2.79
,,2013 - 2014,3.14
,,2014 - 2015,3.3
,,2015 - 2016,2.94
,,2016 - 2017,3.29
,,2017 - 2018,3.25
,,2018 - 2019,2.94
,,2019 - 2020,2.5
,,2020 - 2021,2.8
,,2021 - 2022,2.59
,,2022 - 2023,2.68
,Solapur,2000 - 2001,1.13
,,2001 - 2002,1.33
,,2002 - 2003,0.6
,,2003 - 2004,0.5
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.29
,,2011 - 2012,0.29
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2014 - 2015,0.25
,,2015 - 2016,0.0
,,2016 - 2017,0.22
,,2017 - 2018,0.12
,,2018 - 2019,0.09
,,2019 - 2020,0.16
,,2020 - 2021,1.89
,,2021 - 2022,0.38
,,2022 - 2023,
,Thane,2000 - 2001,1.22
,,2001 - 2002,2.45
,,2002 - 2003,1.11
,,2003 - 2004,2.83
,,2004 - 2005,2.37
,,2005 - 2006,2.22
,,2006 - 2007,1.83
,,2007 - 2008,2.2
,,2008 - 2009,2.15
,,2009 - 2010,2.1
,,2010 - 2011,2.02
,,2011 - 2012,2.45
,,2012 - 2013,2.59
,,2013 - 2014,2.39
,,2014 - 2015,2.41
,,2015 - 2016,2.26
,,2016 - 2017,2.72
,,2017 - 2018,1.85
,,2018 - 2019,2.54
,,2019 - 2020,2.15
,,2020 - 2021,1.94
,,2021 - 2022,2.35
,,2022 - 2023,2.68
,Wardha,2000 - 2001,0.5
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.67
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,Washim,2000 - 2001,0.4
,,2001 - 2002,1.0
,,2002 - 2003,0.64
,,2003 - 2004,0.33
,,2004 - 2005,0.4
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2011 - 2012,1.0
,Yavatmal,2000 - 2001,0.83
,,2001 - 2002,1.0
,,2002 - 2003,0.65
,,2003 - 2004,0.61
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2008 - 2009,0.4
,,2009 - 2010,1.5
,,2011 - 2012,1.0
,,2012 - 2013,0.4
,,2013 - 2014,0.0
Manipur,Bishnupur,2000 - 2001,2.7
,,2001 - 2002,2.7
,,2002 - 2003,2.84
,,2003 - 2004,3.34
,,2004 - 2005,2.92
,,2005 - 2006,3.01
,,2006 - 2007,2.68
,,2007 - 2008,2.96
,,2008 - 2009,3.5
,,2009 - 2010,3.06
,,2010 - 2011,3.13
,,2011 - 2012,3.74
,,2012 - 2013,2.76
,,2013 - 2014,3.71
,,2014 - 2015,2.76
,,2015 - 2016,2.62
,,2016 - 2017,3.35
,,2017 - 2018,3.6
,,2018 - 2019,3.8
,,2019 - 2020,2.65
,,2020 - 2021,3.71
,,2021 - 2022,2.85
,,2022 - 2023,1.39
,Chandel,2000 - 2001,1.24
,,2001 - 2002,1.39
,,2002 - 2003,1.06
,,2003 - 2004,1.66
,,2004 - 2005,2.28
,,2005 - 2006,1.73
,,2006 - 2007,1.86
,,2007 - 2008,2.03
,,2008 - 2009,1.01
,,2009 - 2010,0.8
,,2010 - 2011,0.93
,,2011 - 2012,1.49
,,2012 - 2013,1.29
,,2013 - 2014,1.24
,,2014 - 2015,1.6
,,2015 - 2016,1.23
,,2016 - 2017,1.52
,,2017 - 2018,1.16
,,2018 - 2019,1.17
,,2019 - 2020,1.74
,,2020 - 2021,3.11
,,2021 - 2022,1.12
,,2022 - 2023,1.08
,Churachandpur,2000 - 2001,1.86
,,2001 - 2002,1.9
,,2002 - 2003,2.08
,,2003 - 2004,1.91
,,2004 - 2005,1.92
,,2005 - 2006,1.84
,,2006 - 2007,1.89
,,2007 - 2008,1.8
,,2008 - 2009,0.83
,,2009 - 2010,0.8
,,2010 - 2011,0.86
,,2011 - 2012,1.16
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2014 - 2015,1.61
,,2015 - 2016,1.14
,,2016 - 2017,1.53
,,2017 - 2018,1.07
,,2018 - 2019,1.17
,,2019 - 2020,1.77
,,2020 - 2021,1.97
,,2021 - 2022,1.11
,,2022 - 2023,0.81
,Imphal east,2000 - 2001,2.81
,,2001 - 2002,2.75
,,2002 - 2003,2.21
,,2003 - 2004,2.55
,,2004 - 2005,2.97
,,2005 - 2006,2.63
,,2006 - 2007,2.92
,,2007 - 2008,2.78
,,2008 - 2009,3.55
,,2009 - 2010,3.1
,,2010 - 2011,2.98
,,2011 - 2012,3.29
,,2012 - 2013,2.81
,,2013 - 2014,3.6
,,2014 - 2015,2.41
,,2015 - 2016,2.95
,,2016 - 2017,2.82
,,2017 - 2018,3.31
,,2018 - 2019,3.17
,,2019 - 2020,2.08
,,2020 - 2021,2.54
,,2021 - 2022,2.65
,,2022 - 2023,1.44
,Imphal west,2000 - 2001,3.24
,,2001 - 2002,3.16
,,2002 - 2003,2.91
,,2003 - 2004,3.22
,,2004 - 2005,3.09
,,2005 - 2006,3.27
,,2006 - 2007,3.05
,,2007 - 2008,3.02
,,2008 - 2009,3.65
,,2009 - 2010,3.17
,,2010 - 2011,3.22
,,2011 - 2012,3.45
,,2012 - 2013,2.72
,,2013 - 2014,3.5
,,2014 - 2015,2.73
,,2015 - 2016,2.56
,,2016 - 2017,3.46
,,2017 - 2018,3.3
,,2018 - 2019,3.19
,,2019 - 2020,2.45
,,2020 - 2021,2.99
,,2021 - 2022,2.28
,,2022 - 2023,1.02
,Senapati,2000 - 2001,2.29
,,2001 - 2002,2.25
,,2002 - 2003,2.04
,,2003 - 2004,2.42
,,2004 - 2005,2.23
,,2005 - 2006,2.02
,,2006 - 2007,2.13
,,2007 - 2008,2.28
,,2008 - 2009,1.17
,,2009 - 2010,0.94
,,2010 - 2011,0.95
,,2011 - 2012,1.51
,,2012 - 2013,1.43
,,2013 - 2014,1.59
,,2014 - 2015,1.6
,,2015 - 2016,1.19
,,2016 - 2017,1.51
,,2017 - 2018,1.26
,,2018 - 2019,1.42
,,2019 - 2020,0.43
,,2020 - 2021,2.9
,,2021 - 2022,1.14
,,2022 - 2023,1.14
,Tamenglong,2000 - 2001,1.19
,,2001 - 2002,1.24
,,2002 - 2003,1.22
,,2003 - 2004,0.95
,,2004 - 2005,1.07
,,2005 - 2006,1.1
,,2006 - 2007,1.32
,,2007 - 2008,1.91
,,2008 - 2009,0.88
,,2009 - 2010,0.8
,,2010 - 2011,0.83
,,2011 - 2012,1.09
,,2012 - 2013,1.17
,,2013 - 2014,1.19
,,2014 - 2015,1.53
,,2015 - 2016,1.25
,,2016 - 2017,1.51
,,2017 - 2018,1.08
,,2018 - 2019,1.11
,,2019 - 2020,1.21
,,2020 - 2021,1.43
,,2021 - 2022,1.0
,,2022 - 2023,0.87
,Thoubal,2000 - 2001,2.6
,,2001 - 2002,2.47
,,2002 - 2003,2.11
,,2003 - 2004,2.39
,,2004 - 2005,2.33
,,2005 - 2006,2.25
,,2006 - 2007,2.32
,,2007 - 2008,2.27
,,2008 - 2009,3.6
,,2009 - 2010,3.72
,,2010 - 2011,3.7
,,2011 - 2012,3.75
,,2012 - 2013,2.79
,,2013 - 2014,3.71
,,2014 - 2015,2.78
,,2015 - 2016,2.74
,,2016 - 2017,3.55
,,2017 - 2018,3.59
,,2018 - 2019,3.7
,,2019 - 2020,2.54
,,2020 - 2021,3.33
,,2021 - 2022,2.39
,,2022 - 2023,2.3
,Ukhrul,2000 - 2001,2.41
,,2001 - 2002,2.25
,,2002 - 2003,1.84
,,2003 - 2004,2.31
,,2004 - 2005,2.14
,,2005 - 2006,2.3
,,2006 - 2007,2.32
,,2007 - 2008,2.36
,,2008 - 2009,1.02
,,2009 - 2010,0.92
,,2010 - 2011,0.91
,,2011 - 2012,1.58
,,2012 - 2013,1.34
,,2013 - 2014,1.52
,,2014 - 2015,1.64
,,2015 - 2016,1.21
,,2016 - 2017,1.57
,,2017 - 2018,1.25
,,2018 - 2019,1.36
,,2019 - 2020,2.11
,,2020 - 2021,2.69
,,2021 - 2022,1.11
,,2022 - 2023,0.92
Meghalaya,East garo hills,2000 - 2001,1.77
,,2001 - 2002,1.77
,,2002 - 2003,1.8
,,2003 - 2004,1.74
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,1.51
,,2001 - 2002,1.52
,,2002 - 2003,1.52
,,2003 - 2004,1.58
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East khasi hills,2000 - 2001,1.89
,,2001 - 2002,1.89
,,2002 - 2003,1.84
,,2003 - 2004,1.84
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,2.56
,,2001 - 2002,2.55
,,2002 - 2003,2.56
,,2003 - 2004,2.63
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South garo hills,2000 - 2001,1.16
,,2001 - 2002,1.17
,,2002 - 2003,1.26
,,2003 - 2004,1.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West garo hills,2000 - 2001,1.38
,,2001 - 2002,1.76
,,2002 - 2003,1.79
,,2003 - 2004,1.91
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West khasi hills,2000 - 2001,1.5
,,2001 - 2002,1.6
,,2002 - 2003,1.6
,,2003 - 2004,1.64
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Mizoram,Aizawl,2000 - 2001,2.19
,,2001 - 2002,2.01
,,2002 - 2003,1.99
,,2003 - 2004,2.0
,,2004 - 2005,1.37
,,2005 - 2006,
,,2006 - 2007,0.03
,,2007 - 2008,0.15
,,2008 - 2009,0.79
,,2009 - 2010,1.28
,,2010 - 2011,1.44
,,2011 - 2012,2.06
,,2012 - 2013,2.86
,,2013 - 2014,2.25
,,2014 - 2015,2.41
,,2015 - 2016,2.4
,,2016 - 2017,2.4
,,2017 - 2018,2.23
,,2018 - 2019,2.28
,,2019 - 2020,2.24
,,2020 - 2021,2.23
,,2021 - 2022,2.21
,,2022 - 2023,2.16
,Champhai,2000 - 2001,1.18
,,2001 - 2002,1.13
,,2002 - 2003,1.12
,,2003 - 2004,2.33
,,2004 - 2005,2.17
,,2005 - 2006,
,,2006 - 2007,0.51
,,2007 - 2008,0.39
,,2008 - 2009,2.0
,,2009 - 2010,2.16
,,2010 - 2011,2.17
,,2011 - 2012,2.02
,,2012 - 2013,2.04
,,2013 - 2014,2.13
,,2014 - 2015,1.99
,,2015 - 2016,2.2
,,2016 - 2017,2.15
,,2017 - 2018,2.3
,,2018 - 2019,2.29
,,2019 - 2020,2.3
,,2020 - 2021,2.6
,,2021 - 2022,2.58
,,2022 - 2023,2.57
,Hnahthial,2020 - 2021,1.74
,,2021 - 2022,2.12
,,2022 - 2023,1.82
,Khawzawl,2020 - 2021,1.76
,,2021 - 2022,2.3
,,2022 - 2023,1.9
,Kolasib,2000 - 2001,2.05
,,2001 - 2002,2.15
,,2002 - 2003,2.11
,,2003 - 2004,2.04
,,2004 - 2005,1.96
,,2005 - 2006,
,,2006 - 2007,0.56
,,2007 - 2008,0.4
,,2008 - 2009,1.2
,,2009 - 2010,1.72
,,2010 - 2011,1.63
,,2011 - 2012,1.87
,,2012 - 2013,1.83
,,2013 - 2014,1.88
,,2014 - 2015,2.08
,,2015 - 2016,2.09
,,2016 - 2017,2.1
,,2017 - 2018,2.11
,,2018 - 2019,2.17
,,2019 - 2020,2.25
,,2020 - 2021,2.4
,,2021 - 2022,2.41
,,2022 - 2023,2.41
,Lawngtlai,2004 - 2005,2.09
,,2005 - 2006,
,,2006 - 2007,0.24
,,2007 - 2008,0.43
,,2008 - 2009,0.78
,,2009 - 2010,0.95
,,2010 - 2011,1.02
,,2011 - 2012,1.85
,,2012 - 2013,1.87
,,2013 - 2014,1.91
,,2014 - 2015,2.52
,,2015 - 2016,2.25
,,2016 - 2017,2.22
,,2017 - 2018,2.22
,,2018 - 2019,2.18
,,2019 - 2020,2.17
,,2020 - 2021,2.17
,,2021 - 2022,2.15
,,2022 - 2023,2.14
,Lunglei,2000 - 2001,2.13
,,2001 - 2002,2.01
,,2002 - 2003,2.34
,,2003 - 2004,1.66
,,2004 - 2005,1.63
,,2005 - 2006,
,,2006 - 2007,1.31
,,2007 - 2008,0.11
,,2008 - 2009,0.99
,,2009 - 2010,1.28
,,2010 - 2011,1.13
,,2011 - 2012,2.28
,,2012 - 2013,2.62
,,2013 - 2014,2.37
,,2014 - 2015,2.37
,,2015 - 2016,1.77
,,2016 - 2017,2.4
,,2017 - 2018,1.95
,,2018 - 2019,2.05
,,2019 - 2020,2.07
,,2020 - 2021,2.11
,,2021 - 2022,2.12
,,2022 - 2023,2.1
,Mamit,2003 - 2004,1.87
,,2004 - 2005,2.19
,,2005 - 2006,
,,2006 - 2007,0.4
,,2007 - 2008,0.24
,,2008 - 2009,1.12
,,2009 - 2010,1.51
,,2010 - 2011,1.54
,,2011 - 2012,1.96
,,2012 - 2013,2.17
,,2013 - 2014,2.27
,,2014 - 2015,2.51
,,2015 - 2016,2.12
,,2016 - 2017,2.13
,,2017 - 2018,2.07
,,2018 - 2019,2.13
,,2019 - 2020,2.13
,,2020 - 2021,1.03
,,2021 - 2022,2.02
,,2022 - 2023,2.1
,Saiha,2003 - 2004,1.65
,,2004 - 2005,1.69
,,2005 - 2006,
,,2006 - 2007,0.29
,,2007 - 2008,0.08
,,2008 - 2009,0.38
,,2009 - 2010,0.86
,,2010 - 2011,1.28
,,2011 - 2012,2.0
,,2012 - 2013,2.58
,,2013 - 2014,2.12
,,2014 - 2015,2.14
,,2015 - 2016,2.17
,,2016 - 2017,2.18
,,2017 - 2018,2.14
,,2018 - 2019,2.21
,,2019 - 2020,2.13
,,2020 - 2021,2.09
,,2021 - 2022,2.08
,,2022 - 2023,2.08
,Saitual,2020 - 2021,1.95
,,2021 - 2022,2.17
,,2022 - 2023,2.2
,Serchhip,2004 - 2005,2.28
,,2005 - 2006,
,,2006 - 2007,0.28
,,2007 - 2008,0.3
,,2008 - 2009,2.39
,,2009 - 2010,0.78
,,2010 - 2011,1.75
,,2011 - 2012,2.21
,,2012 - 2013,2.37
,,2013 - 2014,2.25
,,2014 - 2015,2.24
,,2015 - 2016,2.28
,,2016 - 2017,2.28
,,2017 - 2018,2.23
,,2018 - 2019,2.27
,,2019 - 2020,2.33
,,2020 - 2021,2.33
,,2021 - 2022,2.29
,,2022 - 2023,2.29
Nagaland,Chumoukedima,2022 - 2023,2.86
,Dimapur,2000 - 2001,1.77
,,2001 - 2002,1.82
,,2002 - 2003,1.78
,,2003 - 2004,2.02
,,2004 - 2005,1.86
,,2005 - 2006,1.83
,,2006 - 2007,1.57
,,2007 - 2008,2.26
,,2008 - 2009,2.16
,,2009 - 2010,1.56
,,2010 - 2011,2.29
,,2011 - 2012,2.31
,,2012 - 2013,2.4
,,2013 - 2014,2.47
,,2014 - 2015,2.55
,,2015 - 2016,2.58
,,2016 - 2017,2.64
,,2017 - 2018,2.68
,,2018 - 2019,2.7
,,2019 - 2020,2.72
,,2020 - 2021,2.72
,,2021 - 2022,2.21
,,2022 - 2023,3.06
,Kiphire,2008 - 2009,1.97
,,2009 - 2010,1.26
,,2010 - 2011,1.88
,,2011 - 2012,1.86
,,2012 - 2013,1.94
,,2013 - 2014,1.97
,,2014 - 2015,2.04
,,2015 - 2016,2.12
,,2016 - 2017,2.21
,,2017 - 2018,2.24
,,2018 - 2019,2.26
,,2019 - 2020,2.27
,,2020 - 2021,2.27
,,2021 - 2022,1.44
,,2022 - 2023,2.35
,Kohima,2000 - 2001,1.58
,,2001 - 2002,1.58
,,2002 - 2003,1.54
,,2003 - 2004,1.66
,,2004 - 2005,1.87
,,2005 - 2006,1.86
,,2006 - 2007,1.73
,,2007 - 2008,1.82
,,2008 - 2009,1.96
,,2009 - 2010,1.46
,,2010 - 2011,2.09
,,2011 - 2012,2.19
,,2012 - 2013,2.29
,,2013 - 2014,2.37
,,2014 - 2015,2.42
,,2015 - 2016,2.47
,,2016 - 2017,2.53
,,2017 - 2018,2.57
,,2018 - 2019,2.59
,,2019 - 2020,2.61
,,2020 - 2021,2.62
,,2021 - 2022,1.99
,,2022 - 2023,2.92
,Longleng,2008 - 2009,1.84
,,2009 - 2010,1.25
,,2010 - 2011,1.84
,,2011 - 2012,1.82
,,2012 - 2013,1.93
,,2013 - 2014,1.97
,,2014 - 2015,2.06
,,2015 - 2016,2.14
,,2016 - 2017,2.22
,,2017 - 2018,2.26
,,2018 - 2019,2.28
,,2019 - 2020,2.29
,,2020 - 2021,2.29
,,2021 - 2022,1.76
,,2022 - 2023,2.37
,Mokokchung,2000 - 2001,1.47
,,2001 - 2002,1.4
,,2002 - 2003,1.36
,,2003 - 2004,0.0
,,2004 - 2005,1.57
,,2005 - 2006,1.55
,,2006 - 2007,1.57
,,2007 - 2008,1.74
,,2008 - 2009,1.89
,,2009 - 2010,1.37
,,2010 - 2011,2.02
,,2011 - 2012,2.02
,,2012 - 2013,2.12
,,2013 - 2014,2.17
,,2014 - 2015,2.22
,,2015 - 2016,2.28
,,2016 - 2017,2.34
,,2017 - 2018,2.37
,,2018 - 2019,2.39
,,2019 - 2020,2.4
,,2020 - 2021,2.41
,,2021 - 2022,1.77
,,2022 - 2023,2.46
,Mon,2000 - 2001,1.4
,,2001 - 2002,1.39
,,2002 - 2003,1.36
,,2003 - 2004,1.42
,,2004 - 2005,1.53
,,2005 - 2006,1.52
,,2006 - 2007,1.52
,,2007 - 2008,1.72
,,2008 - 2009,1.81
,,2009 - 2010,1.31
,,2010 - 2011,1.89
,,2011 - 2012,1.9
,,2012 - 2013,2.01
,,2013 - 2014,2.04
,,2014 - 2015,2.07
,,2015 - 2016,2.12
,,2016 - 2017,2.18
,,2017 - 2018,2.2
,,2018 - 2019,2.22
,,2019 - 2020,2.23
,,2020 - 2021,2.23
,,2021 - 2022,1.66
,,2022 - 2023,2.29
,Noklak,2021 - 2022,1.67
,,2022 - 2023,2.3
,Nuiland,2022 - 2023,3.05
,Peren,2008 - 2009,2.18
,,2009 - 2010,1.48
,,2010 - 2011,2.22
,,2011 - 2012,2.15
,,2012 - 2013,2.23
,,2013 - 2014,2.29
,,2014 - 2015,2.37
,,2015 - 2016,2.43
,,2016 - 2017,2.5
,,2017 - 2018,2.53
,,2018 - 2019,2.55
,,2019 - 2020,2.56
,,2020 - 2021,2.57
,,2021 - 2022,1.96
,,2022 - 2023,2.82
,Phek,2000 - 2001,1.76
,,2001 - 2002,1.77
,,2002 - 2003,1.77
,,2003 - 2004,1.65
,,2004 - 2005,1.83
,,2005 - 2006,1.83
,,2006 - 2007,1.65
,,2007 - 2008,1.93
,,2008 - 2009,2.24
,,2009 - 2010,1.65
,,2010 - 2011,2.38
,,2011 - 2012,2.35
,,2012 - 2013,2.45
,,2013 - 2014,2.53
,,2014 - 2015,2.62
,,2015 - 2016,2.65
,,2016 - 2017,2.71
,,2017 - 2018,2.74
,,2018 - 2019,2.79
,,2019 - 2020,2.81
,,2020 - 2021,2.81
,,2021 - 2022,2.23
,,2022 - 2023,2.98
,Shamator,2022 - 2023,2.41
,Tseminyu,2022 - 2023,2.25
,Tuensang,2000 - 2001,1.31
,,2001 - 2002,1.29
,,2002 - 2003,1.26
,,2003 - 2004,1.38
,,2004 - 2005,1.59
,,2005 - 2006,1.58
,,2006 - 2007,1.59
,,2007 - 2008,1.77
,,2008 - 2009,1.81
,,2009 - 2010,1.29
,,2010 - 2011,1.97
,,2011 - 2012,1.95
,,2012 - 2013,2.08
,,2013 - 2014,2.12
,,2014 - 2015,2.19
,,2015 - 2016,2.25
,,2016 - 2017,2.32
,,2017 - 2018,2.34
,,2018 - 2019,2.36
,,2019 - 2020,2.38
,,2020 - 2021,2.38
,,2021 - 2022,1.7
,,2022 - 2023,2.41
,Wokha,2000 - 2001,1.59
,,2001 - 2002,1.53
,,2002 - 2003,1.39
,,2003 - 2004,1.47
,,2004 - 2005,1.51
,,2005 - 2006,1.49
,,2006 - 2007,1.51
,,2007 - 2008,1.77
,,2008 - 2009,1.9
,,2009 - 2010,1.38
,,2010 - 2011,2.04
,,2011 - 2012,2.05
,,2012 - 2013,2.15
,,2013 - 2014,2.21
,,2014 - 2015,2.26
,,2015 - 2016,2.74
,,2016 - 2017,2.38
,,2017 - 2018,2.41
,,2018 - 2019,2.43
,,2019 - 2020,2.44
,,2020 - 2021,2.45
,,2021 - 2022,1.56
,,2022 - 2023,2.55
,Zunheboto,2000 - 2001,1.14
,,2001 - 2002,1.1
,,2002 - 2003,1.25
,,2003 - 2004,1.28
,,2004 - 2005,1.49
,,2005 - 2006,1.48
,,2006 - 2007,1.62
,,2007 - 2008,1.61
,,2008 - 2009,1.85
,,2009 - 2010,1.32
,,2010 - 2011,1.95
,,2011 - 2012,1.94
