State,District,Yield (Ton./Ha.)
Uttar Pradesh,Mau,2.56
Uttar Pradesh,Meerut,2.47
Uttar Pradesh,Mirzapur,3.27
Uttar Pradesh,Moradabad,2.82
Uttar Pradesh,Muzaffarnagar,2.59
Uttar Pradesh,Pilibhit,3.25
Uttar Pradesh,Pratapgarh,2.82
Uttar Pradesh,Rae bareli,2.82
Uttar Pradesh,Rampur,2.75
Uttar Pradesh,Saharanpur,2.46
Uttar Pradesh,Sambhal,2.78
Uttar Pradesh,Sant kabeer nagar,2.87
Uttar Pradesh,Sant ravidas nagar,3.15
Uttar Pradesh,Shahjahanpur,3.33
Uttar Pradesh,Shamli,2.6
Uttar Pradesh,Shravasti,2.16
Uttar Pradesh,Siddharth nagar,2.33
Uttar Pradesh,Sitapur,2.12
Uttar Pradesh,Sonbhadra,2.74
Uttar Pradesh,Sultanpur,2.78
Uttar Pradesh,Unnao,2.36
Uttar Pradesh,Varanasi,2.82
Uttarakhand,Almora,1.1
Uttarakhand,Bageshwar,1.56
Uttarakhand,Chamoli,1.45
Uttarakhand,Champawat,1.29
Uttarakhand,Dehradun,1.97
Uttarakhand,Haridwar,2.26
Uttarakhand,Nainital,3.03
Uttarakhand,Pauri garhwal,1.77
Uttarakhand,Pithoragarh,1.3
Uttarakhand,Rudra prayag,1.42
Uttarakhand,Tehri garhwal,2.06
Uttarakhand,Udam singh nagar,3.26
Uttarakhand,Uttar kashi,1.57
West Bengal,24 paraganas north,3.25
West Bengal,24 paraganas south,2.86
West Bengal,Alipurduar,2.4
West Bengal,Bankura,2.96
West Bengal,Birbhum,3.23
West Bengal,Coochbehar,3.1
West Bengal,Darjeeling,2.42
West Bengal,Dinajpur dakshin,3.18
West Bengal,Dinajpur uttar,2.86
West Bengal,Hooghly,3.31
West Bengal,Howrah,2.84
West Bengal,Jalpaiguri,2.7
West Bengal,Jhargram,2.84
West Bengal,Kalimpong,1.67
West Bengal,Maldah,3.25
West Bengal,Medinipur east,3.16
West Bengal,Medinipur west,3.3
West Bengal,Murshidabad,3.13
West Bengal,Nadia,3.24
West Bengal,Paschim bardhaman,2.91
West Bengal,Purba bardhaman,3.15
West Bengal,Purulia,2.38
