state,district,year,ragi_autumn_yield_tonne_per_hectare
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Beed,2019 - 2020,
,Buldhana,2016 - 2017,
,,2019 - 2020,
,Chhatrapati Sambhajinagar,2019 - 2020,
,Dharashiv,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Dhule,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolhapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nandurbar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nashik,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Palghar,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pune,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raigad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ratnagiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sindhudurg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solapur,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Thane,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tuensang,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.43
,,2005 - 2006,0.48
,,2006 - 2007,0.47
,,2007 - 2008,0.49
,,2008 - 2009,0.51
,,2009 - 2010,0.44
,,2010 - 2011,0.55
,,2011 - 2012,0.57
,,2012 - 2013,0.65
,,2014 - 2015,0.6
,,2015 - 2016,0.7
,,2016 - 2017,0.7
,,2018 - 2019,1.6
,,2021 - 2022,0.83
,,2022 - 2023,0.72
,Balangir,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.37
,,2005 - 2006,0.4
,,2006 - 2007,0.44
,,2007 - 2008,0.5
,,2008 - 2009,0.4
,,2009 - 2010,0.46
,,2010 - 2011,0.43
,,2011 - 2012,0.27
,,2012 - 2013,0.65
,,2013 - 2014,0.99
,,2016 - 2017,0.28
,,2019 - 2020,
,,2020 - 2021,0.19
,,2021 - 2022,0.38
,,2022 - 2023,0.29
,Bargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.55
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.36
,,2009 - 2010,
,,2012 - 2013,0.6
,,2014 - 2015,0.8
,,2016 - 2017,0.6
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.25
,Boudh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.7
,,2005 - 2006,0.51
,,2006 - 2007,0.38
,,2007 - 2008,0.39
,,2008 - 2009,0.6
,,2009 - 2010,0.5
,,2010 - 2011,0.48
,,2011 - 2012,0.4
,,2012 - 2013,0.3
,,2013 - 2014,0.2
,,2022 - 2023,
,Cuttack,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.56
,,2005 - 2006,0.63
,,2006 - 2007,0.73
,,2007 - 2008,0.78
,,2008 - 2009,0.54
,,2009 - 2010,0.71
,,2010 - 2011,0.73
,,2011 - 2012,0.69
,,2012 - 2013,0.89
,,2021 - 2022,0.72
,Deogarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,0.2
,,2010 - 2011,0.4
,,2016 - 2017,0.47
,Dhenkanal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.4
,,2005 - 2006,0.36
,,2006 - 2007,0.48
,,2007 - 2008,0.65
,,2008 - 2009,0.5
,,2009 - 2010,0.43
,,2010 - 2011,0.6
,,2011 - 2012,0.45
,,2012 - 2013,0.8
,,2013 - 2014,0.4
,,2015 - 2016,0.55
,,2016 - 2017,0.6
,,2020 - 2021,0.43
,,2021 - 2022,0.67
,,2022 - 2023,0.6
,Gajapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.83
,,2005 - 2006,0.75
,,2006 - 2007,0.71
,,2007 - 2008,0.75
,,2008 - 2009,0.73
,,2009 - 2010,0.75
,,2010 - 2011,0.8
,,2011 - 2012,0.87
,,2012 - 2013,0.78
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2015 - 2016,0.81
,,2016 - 2017,0.8
,,2017 - 2018,0.91
,,2018 - 2019,0.78
,,2019 - 2020,0.84
,,2020 - 2021,0.92
,,2021 - 2022,0.99
,,2022 - 2023,0.94
,Ganjam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.85
,,2005 - 2006,0.84
,,2006 - 2007,0.89
,,2007 - 2008,0.94
,,2008 - 2009,0.97
,,2009 - 2010,0.99
,,2010 - 2011,0.99
,,2011 - 2012,0.88
,,2012 - 2013,0.94
,,2013 - 2014,0.77
,,2014 - 2015,0.93
,,2015 - 2016,0.95
,,2016 - 2017,0.99
,,2017 - 2018,1.09
,,2018 - 2019,0.91
,,2019 - 2020,0.85
,,2020 - 2021,1.04
,,2021 - 2022,0.87
,,2022 - 2023,1.0
,Jagatsinghapur,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2014 - 2015,
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.45
,,2006 - 2007,0.8
,,2007 - 2008,0.4
,,2008 - 2009,0.63
,,2009 - 2010,0.5
,,2010 - 2011,0.4
,,2012 - 2013,0.45
,,2017 - 2018,0.17
,,2021 - 2022,0.52
,,2022 - 2023,0.71
,Kalahandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.49
,,2005 - 2006,0.38
,,2006 - 2007,0.42
,,2007 - 2008,0.43
,,2008 - 2009,0.46
,,2009 - 2010,0.47
,,2010 - 2011,0.57
,,2011 - 2012,0.45
,,2012 - 2013,0.53
,,2013 - 2014,0.48
,,2014 - 2015,0.51
,,2015 - 2016,0.31
,,2016 - 2017,0.5
,,2017 - 2018,0.58
,,2018 - 2019,0.32
,,2019 - 2020,0.58
,,2020 - 2021,0.35
,,2021 - 2022,0.34
,,2022 - 2023,0.56
,Kandhamal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.53
,,2005 - 2006,0.44
,,2006 - 2007,0.44
,,2007 - 2008,0.33
,,2008 - 2009,0.31
,,2009 - 2010,0.36
,,2010 - 2011,0.45
,,2011 - 2012,0.39
,,2012 - 2013,0.61
,,2013 - 2014,0.66
,,2014 - 2015,0.59
,,2015 - 2016,0.37
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,
,,2002 - 2003,
,,2022 - 2023,0.3
,Kendujhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,0.33
,,2006 - 2007,1.03
,,2016 - 2017,
,,2019 - 2020,0.2
,,2020 - 2021,
,,2021 - 2022,0.19
,,2022 - 2023,0.3
,Khordha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.61
,,2005 - 2006,0.53
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,0.68
,,2009 - 2010,0.6
,,2010 - 2011,0.67
,,2011 - 2012,0.73
,,2012 - 2013,0.62
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.7
,,2016 - 2017,0.72
,,2017 - 2018,
,,2020 - 2021,0.35
,,2021 - 2022,
,Koraput,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.69
,,2005 - 2006,0.64
,,2006 - 2007,0.65
,,2007 - 2008,0.72
,,2008 - 2009,0.7
,,2009 - 2010,0.59
,,2010 - 2011,0.74
,,2011 - 2012,0.67
,,2012 - 2013,0.77
,,2013 - 2014,0.83
,,2014 - 2015,0.72
,,2015 - 2016,0.63
,,2016 - 2017,0.68
,,2017 - 2018,0.79
,,2018 - 2019,0.72
,,2019 - 2020,0.76
,,2020 - 2021,0.81
,,2021 - 2022,0.89
,,2022 - 2023,0.87
,Malkangiri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.54
,,2005 - 2006,0.6
,,2006 - 2007,0.45
,,2007 - 2008,0.56
,,2008 - 2009,0.59
,,2009 - 2010,0.53
,,2010 - 2011,0.59
,,2011 - 2012,0.37
,,2012 - 2013,0.49
,,2013 - 2014,0.51
,,2014 - 2015,0.49
,,2015 - 2016,0.5
,,2016 - 2017,0.59
,,2017 - 2018,0.65
,,2018 - 2019,0.6
,,2019 - 2020,0.54
,,2020 - 2021,0.67
,,2021 - 2022,0.66
,,2022 - 2023,0.83
,Mayurbhanj,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.1
,,2005 - 2006,0.5
,,2006 - 2007,
,,2017 - 2018,0.06
,,2018 - 2019,
,,2019 - 2020,0.72
,,2020 - 2021,0.84
,,2021 - 2022,1.39
,,2022 - 2023,0.98
,Nabarangpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.45
,,2005 - 2006,0.42
,,2006 - 2007,0.44
,,2007 - 2008,0.48
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.46
,,2011 - 2012,0.33
,,2012 - 2013,0.47
,,2013 - 2014,0.51
,,2014 - 2015,0.39
,,2015 - 2016,0.33
,,2016 - 2017,0.4
,,2017 - 2018,0.36
,,2018 - 2019,0.37
,,2019 - 2020,0.4
,,2020 - 2021,0.23
,,2021 - 2022,0.31
,,2022 - 2023,0.39
,Nayagarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.53
,,2005 - 2006,0.64
,,2006 - 2007,0.55
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.58
,,2010 - 2011,0.73
,,2011 - 2012,0.66
,,2012 - 2013,0.59
,,2013 - 2014,0.49
,,2014 - 2015,0.62
,,2015 - 2016,0.92
,,2016 - 2017,0.62
,,2017 - 2018,0.45
,,2021 - 2022,
,,2022 - 2023,1.02
,Nuapada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.36
,,2005 - 2006,0.39
,,2006 - 2007,0.42
,,2007 - 2008,0.55
,,2008 - 2009,0.45
,,2009 - 2010,0.37
,,2010 - 2011,0.62
,,2011 - 2012,0.35
,,2012 - 2013,0.53
,,2013 - 2014,0.52
,,2014 - 2015,0.49
,,2015 - 2016,0.32
,,2016 - 2017,0.45
,,2017 - 2018,0.4
,,2018 - 2019,0.45
,,2019 - 2020,0.52
,,2020 - 2021,0.91
,,2021 - 2022,0.55
,,2022 - 2023,0.69
,Puri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.4
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rayagada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.65
,,2005 - 2006,0.6
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,0.66
,,2009 - 2010,0.59
,,2010 - 2011,0.65
,,2011 - 2012,0.64
,,2012 - 2013,0.71
,,2013 - 2014,0.69
,,2014 - 2015,0.73
,,2015 - 2016,0.62
,,2016 - 2017,0.69
,,2017 - 2018,0.74
,,2018 - 2019,0.66
,,2019 - 2020,0.78
,,2020 - 2021,0.89
,,2021 - 2022,0.81
,,2022 - 2023,0.76
,Sambalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.93
,,2005 - 2006,
,,2006 - 2007,0.3
,,2007 - 2008,0.35
,,2008 - 2009,0.62
,,2009 - 2010,0.53
,,2010 - 2011,0.9
,,2011 - 2012,
,,2012 - 2013,0.65
,,2013 - 2014,0.66
,,2014 - 2015,0.59
,,2016 - 2017,0.4
,,2018 - 2019,0.08
,,2019 - 2020,0.6
,,2020 - 2021,0.55
,,2021 - 2022,0.7
,,2022 - 2023,0.65
,Sonepur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,0.57
,,2006 - 2007,0.61
,,2007 - 2008,0.54
,,2008 - 2009,0.69
,,2009 - 2010,0.57
,,2010 - 2011,0.49
,,2011 - 2012,0.6
,,2012 - 2013,0.61
,,2013 - 2014,0.49
,,2014 - 2015,0.76
,,2015 - 2016,0.66
,,2016 - 2017,0.61
,,2017 - 2018,0.68
,,2018 - 2019,0.56
,,2019 - 2020,0.66
,,2020 - 2021,0.65
,,2021 - 2022,0.61
,,2022 - 2023,0.59
Puducherry,Karaikal,2000 - 2001,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Pondicherry,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yanam,2002 - 2003,
,,2003 - 2004,
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chengalpattu,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuddalore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharmapuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dindigul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kallakurichi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanchipuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madurai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayiladuthurai,2020 - 2021,
,,2021 - 2022,
,Nagapattinam,2003 - 2004,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Namakkal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Perambalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
