state,district,year,maize_kharif_yield_tonne_per_hectare
,,2016 - 2017,2.0
,,2017 - 2018,2.67
,,2018 - 2019,1.44
,,2019 - 2020,2.16
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.98
,Amravati,2000 - 2001,1.0
,,2001 - 2002,2.56
,,2002 - 2003,2.0
,,2003 - 2004,2.17
,,2004 - 2005,1.21
,,2005 - 2006,1.65
,,2006 - 2007,1.63
,,2007 - 2008,3.18
,,2008 - 2009,3.0
,,2009 - 2010,2.21
,,2010 - 2011,2.5
,,2011 - 2012,2.75
,,2012 - 2013,2.25
,,2013 - 2014,2.9
,,2014 - 2015,1.88
,,2015 - 2016,1.33
,,2016 - 2017,2.7
,,2017 - 2018,2.53
,,2018 - 2019,1.43
,,2019 - 2020,2.0
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.99
,Beed,2000 - 2001,0.96
,,2001 - 2002,0.67
,,2002 - 2003,1.03
,,2003 - 2004,0.71
,,2004 - 2005,0.81
,,2005 - 2006,0.98
,,2006 - 2007,1.58
,,2007 - 2008,1.13
,,2008 - 2009,1.06
,,2009 - 2010,0.88
,,2010 - 2011,1.56
,,2011 - 2012,1.24
,,2012 - 2013,0.78
,,2013 - 2014,1.33
,,2014 - 2015,0.76
,,2015 - 2016,0.18
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.5
,,2019 - 2020,0.28
,,2020 - 2021,1.43
,,2021 - 2022,1.23
,,2022 - 2023,1.27
,Bhandara,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2016 - 2017,1.7
,,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Buldhana,2000 - 2001,0.95
,,2001 - 2002,2.47
,,2002 - 2003,2.06
,,2003 - 2004,2.14
,,2004 - 2005,1.22
,,2005 - 2006,1.66
,,2006 - 2007,1.64
,,2007 - 2008,3.19
,,2008 - 2009,3.03
,,2009 - 2010,2.22
,,2010 - 2011,2.48
,,2011 - 2012,2.78
,,2012 - 2013,2.24
,,2013 - 2014,2.86
,,2014 - 2015,1.81
,,2015 - 2016,1.31
,,2016 - 2017,2.76
,,2017 - 2018,2.51
,,2018 - 2019,1.43
,,2019 - 2020,0.55
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.99
,Chandrapur,2000 - 2001,1.0
,,2009 - 2010,2.0
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,2.77
,,2017 - 2018,2.5
,,2019 - 2020,1.71
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chhatrapati Sambhajinagar,2000 - 2001,0.95
,,2001 - 2002,1.97
,,2002 - 2003,2.5
,,2003 - 2004,2.1
,,2004 - 2005,1.88
,,2005 - 2006,2.69
,,2006 - 2007,2.77
,,2007 - 2008,2.81
,,2008 - 2009,2.75
,,2009 - 2010,2.66
,,2010 - 2011,3.67
,,2011 - 2012,3.25
,,2012 - 2013,2.02
,,2013 - 2014,4.53
,,2014 - 2015,0.92
,,2015 - 2016,1.08
,,2016 - 2017,3.49
,,2017 - 2018,1.99
,,2018 - 2019,1.45
,,2019 - 2020,1.08
,,2020 - 2021,3.5
,,2021 - 2022,1.94
,,2022 - 2023,2.09
,Dharashiv,2000 - 2001,0.95
,,2001 - 2002,0.58
,,2002 - 2003,0.65
,,2003 - 2004,0.34
,,2004 - 2005,0.79
,,2005 - 2006,0.76
,,2006 - 2007,0.96
,,2007 - 2008,0.82
,,2008 - 2009,0.81
,,2009 - 2010,1.17
,,2010 - 2011,0.87
,,2011 - 2012,1.09
,,2012 - 2013,0.59
,,2013 - 2014,1.08
,,2014 - 2015,0.38
,,2015 - 2016,0.23
,,2016 - 2017,0.32
,,2017 - 2018,0.82
,,2018 - 2019,0.45
,,2019 - 2020,0.53
,,2020 - 2021,1.16
,,2021 - 2022,0.86
,,2022 - 2023,0.99
,Dhule,2000 - 2001,0.67
,,2001 - 2002,1.8
,,2002 - 2003,1.86
,,2003 - 2004,2.95
,,2004 - 2005,2.37
,,2005 - 2006,1.55
,,2006 - 2007,1.92
,,2007 - 2008,2.49
,,2008 - 2009,1.35
,,2009 - 2010,2.25
,,2010 - 2011,3.4
,,2011 - 2012,2.44
,,2012 - 2013,2.58
,,2013 - 2014,3.23
,,2014 - 2015,1.99
,,2015 - 2016,1.7
,,2016 - 2017,2.65
,,2017 - 2018,3.32
,,2018 - 2019,2.08
,,2019 - 2020,1.08
,,2020 - 2021,2.23
,,2021 - 2022,1.66
,,2022 - 2023,2.92
,Gadchiroli,2000 - 2001,1.33
,,2001 - 2002,2.6
,,2002 - 2003,2.05
,,2003 - 2004,2.13
,,2004 - 2005,1.22
,,2005 - 2006,1.64
,,2006 - 2007,1.64
,,2007 - 2008,3.09
,,2008 - 2009,1.5
,,2009 - 2010,2.23
,,2010 - 2011,2.42
,,2011 - 2012,0.68
,,2012 - 2013,2.26
,,2013 - 2014,2.88
,,2014 - 2015,1.8
,,2015 - 2016,1.31
,,2016 - 2017,2.81
,,2017 - 2018,2.56
,,2018 - 2019,1.43
,,2019 - 2020,1.9
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.99
,Gondia,2000 - 2001,1.0
,,2001 - 2002,2.5
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,3.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,4.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.4
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,3.0
,Hingoli,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.67
,,2003 - 2004,0.38
,,2004 - 2005,1.0
,,2005 - 2006,0.8
,,2006 - 2007,1.0
,,2007 - 2008,0.8
,,2008 - 2009,0.82
,,2009 - 2010,1.13
,,2010 - 2011,0.83
,,2011 - 2012,1.17
,,2012 - 2013,1.0
,,2013 - 2014,1.25
,,2014 - 2015,0.38
,,2015 - 2016,0.25
,,2016 - 2017,0.36
,,2017 - 2018,0.82
,,2018 - 2019,0.49
,,2019 - 2020,0.43
,,2020 - 2021,1.07
,,2021 - 2022,0.86
,,2022 - 2023,0.99
,Jalgaon,2000 - 2001,0.63
,,2001 - 2002,1.83
,,2002 - 2003,2.88
,,2003 - 2004,3.33
,,2004 - 2005,2.06
,,2005 - 2006,3.33
,,2006 - 2007,3.11
,,2007 - 2008,2.89
,,2008 - 2009,2.53
,,2009 - 2010,2.2
,,2010 - 2011,3.32
,,2011 - 2012,3.62
,,2012 - 2013,2.67
,,2013 - 2014,3.83
,,2014 - 2015,2.49
,,2015 - 2016,1.32
,,2016 - 2017,3.71
,,2017 - 2018,3.41
,,2018 - 2019,1.73
,,2019 - 2020,0.76
,,2020 - 2021,3.31
,,2021 - 2022,1.94
,,2022 - 2023,3.07
,Jalna,2000 - 2001,0.95
,,2001 - 2002,1.47
,,2002 - 2003,2.19
,,2003 - 2004,2.67
,,2004 - 2005,1.84
,,2005 - 2006,2.22
,,2006 - 2007,2.19
,,2007 - 2008,3.19
,,2008 - 2009,1.58
,,2009 - 2010,2.08
,,2010 - 2011,2.89
,,2011 - 2012,2.6
,,2012 - 2013,1.76
,,2013 - 2014,2.67
,,2014 - 2015,0.56
,,2015 - 2016,0.82
,,2016 - 2017,2.44
,,2017 - 2018,1.99
,,2018 - 2019,1.34
,,2019 - 2020,3.37
,,2020 - 2021,3.9
,,2021 - 2022,2.79
,,2022 - 2023,3.37
,Kolhapur,2000 - 2001,0.62
,,2001 - 2002,2.17
,,2002 - 2003,1.38
,,2003 - 2004,2.13
,,2004 - 2005,2.36
,,2005 - 2006,1.97
,,2006 - 2007,0.6
,,2007 - 2008,1.96
,,2008 - 2009,1.93
,,2009 - 2010,2.34
,,2010 - 2011,2.59
,,2011 - 2012,2.09
,,2012 - 2013,1.59
,,2013 - 2014,2.27
,,2014 - 2015,3.38
,,2015 - 2016,1.91
,,2016 - 2017,4.03
,,2017 - 2018,2.45
,,2018 - 2019,3.03
,,2019 - 2020,2.69
,,2020 - 2021,3.46
,,2021 - 2022,3.07
,,2022 - 2023,2.93
,Latur,2000 - 2001,0.96
,,2001 - 2002,1.83
,,2002 - 2003,0.71
,,2003 - 2004,0.38
,,2004 - 2005,0.95
,,2005 - 2006,0.77
,,2006 - 2007,0.95
,,2007 - 2008,0.83
,,2008 - 2009,0.81
,,2009 - 2010,1.16
,,2010 - 2011,0.87
,,2011 - 2012,1.46
,,2012 - 2013,2.1
,,2013 - 2014,2.61
,,2014 - 2015,0.61
,,2015 - 2016,0.25
,,2016 - 2017,0.51
,,2017 - 2018,0.66
,,2018 - 2019,0.68
,,2019 - 2020,0.22
,,2020 - 2021,0.77
,,2021 - 2022,0.86
,,2022 - 2023,0.99
,Mumbai suburban,2016 - 2017,
,Nagpur,2000 - 2001,1.0
,,2001 - 2002,2.5
,,2002 - 2003,2.0
,,2003 - 2004,2.25
,,2004 - 2005,1.25
,,2005 - 2006,1.75
,,2006 - 2007,1.75
,,2007 - 2008,3.0
,,2008 - 2009,1.5
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,0.75
,,2012 - 2013,2.25
,,2013 - 2014,3.0
,,2014 - 2015,2.0
,,2015 - 2016,
,,2016 - 2017,2.5
,,2017 - 2018,2.04
,,2018 - 2019,
,,2019 - 2020,2.27
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.98
,Nanded,2000 - 2001,
,,2001 - 2002,1.83
,,2002 - 2003,0.67
,,2003 - 2004,0.43
,,2004 - 2005,1.0
,,2005 - 2006,0.83
,,2006 - 2007,1.0
,,2007 - 2008,0.8
,,2008 - 2009,0.86
,,2009 - 2010,1.17
,,2010 - 2011,0.86
,,2011 - 2012,1.2
,,2012 - 2013,1.0
,,2013 - 2014,1.25
,,2014 - 2015,0.43
,,2015 - 2016,0.29
,,2016 - 2017,0.5
,,2017 - 2018,0.8
,,2018 - 2019,0.49
,,2019 - 2020,0.59
,,2020 - 2021,1.07
,,2021 - 2022,0.86
,,2022 - 2023,0.99
,Nandurbar,2000 - 2001,0.62
,,2001 - 2002,1.44
,,2002 - 2003,1.25
,,2003 - 2004,1.97
,,2004 - 2005,1.4
,,2005 - 2006,2.0
,,2006 - 2007,1.23
,,2007 - 2008,2.34
,,2008 - 2009,2.0
,,2009 - 2010,2.23
,,2010 - 2011,2.54
,,2011 - 2012,3.02
,,2012 - 2013,2.65
,,2013 - 2014,1.67
,,2014 - 2015,1.57
,,2015 - 2016,1.25
,,2016 - 2017,2.54
,,2017 - 2018,2.68
,,2018 - 2019,1.37
,,2019 - 2020,1.9
,,2020 - 2021,2.13
,,2021 - 2022,1.75
,,2022 - 2023,2.76
,Nashik,2000 - 2001,0.62
,,2001 - 2002,2.27
,,2002 - 2003,2.64
,,2003 - 2004,2.44
,,2004 - 2005,2.19
,,2005 - 2006,2.02
,,2006 - 2007,1.61
,,2007 - 2008,2.9
,,2008 - 2009,2.89
,,2009 - 2010,2.26
,,2010 - 2011,3.26
,,2011 - 2012,3.19
,,2012 - 2013,2.95
,,2013 - 2014,3.86
,,2014 - 2015,2.64
,,2015 - 2016,2.42
,,2016 - 2017,4.65
,,2017 - 2018,4.72
,,2018 - 2019,2.69
,,2019 - 2020,1.54
,,2020 - 2021,4.41
,,2021 - 2022,4.1
,,2022 - 2023,4.3
,Palghar,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Parbhani,2000 - 2001,0.93
,,2001 - 2002,1.85
,,2002 - 2003,0.69
,,2003 - 2004,0.38
,,2004 - 2005,0.94
,,2005 - 2006,0.75
,,2006 - 2007,0.94
,,2007 - 2008,0.8
,,2008 - 2009,0.8
,,2009 - 2010,1.14
,,2010 - 2011,0.86
,,2011 - 2012,1.21
,,2012 - 2013,0.95
,,2013 - 2014,1.37
,,2014 - 2015,0.4
,,2015 - 2016,0.25
,,2016 - 2017,0.36
,,2017 - 2018,0.79
,,2018 - 2019,0.49
,,2019 - 2020,0.72
,,2020 - 2021,1.07
,,2021 - 2022,0.86
,,2022 - 2023,0.99
,Pune,2000 - 2001,0.62
,,2001 - 2002,1.53
,,2002 - 2003,2.45
,,2003 - 2004,2.25
,,2004 - 2005,1.94
,,2005 - 2006,2.22
,,2006 - 2007,2.31
,,2007 - 2008,2.8
,,2008 - 2009,2.35
,,2009 - 2010,2.06
,,2010 - 2011,2.33
,,2011 - 2012,2.99
,,2012 - 2013,2.45
,,2013 - 2014,2.8
,,2014 - 2015,4.1
,,2015 - 2016,2.39
,,2016 - 2017,4.21
,,2017 - 2018,2.73
,,2018 - 2019,2.7
,,2019 - 2020,3.56
,,2020 - 2021,3.1
,,2021 - 2022,2.74
,,2022 - 2023,3.7
,Raigad,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,Ratnagiri,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangli,2000 - 2001,0.63
,,2001 - 2002,2.14
,,2002 - 2003,1.13
,,2003 - 2004,1.9
,,2004 - 2005,2.18
,,2005 - 2006,2.61
,,2006 - 2007,0.59
,,2007 - 2008,2.29
,,2008 - 2009,2.07
,,2009 - 2010,2.43
,,2010 - 2011,3.11
,,2011 - 2012,2.23
,,2012 - 2013,1.81
,,2013 - 2014,2.17
,,2014 - 2015,3.95
,,2015 - 2016,1.88
,,2016 - 2017,3.14
,,2017 - 2018,2.33
,,2018 - 2019,1.81
,,2019 - 2020,1.85
,,2020 - 2021,2.41
,,2021 - 2022,2.53
,,2022 - 2023,2.87
,Satara,2000 - 2001,0.62
,,2001 - 2002,2.14
,,2002 - 2003,1.61
,,2003 - 2004,2.12
,,2004 - 2005,1.35
,,2005 - 2006,0.74
,,2006 - 2007,0.64
,,2007 - 2008,1.18
,,2008 - 2009,1.65
,,2009 - 2010,2.25
,,2010 - 2011,1.41
,,2011 - 2012,1.67
,,2012 - 2013,1.16
,,2013 - 2014,2.44
,,2014 - 2015,1.91
,,2015 - 2016,1.91
,,2016 - 2017,2.21
,,2017 - 2018,3.1
,,2018 - 2019,2.19
,,2019 - 2020,1.4
,,2020 - 2021,2.59
,,2021 - 2022,3.32
,,2022 - 2023,2.41
,Sindhudurg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solapur,2000 - 2001,0.63
,,2001 - 2002,0.0
,,2002 - 2003,1.4
,,2003 - 2004,0.29
,,2004 - 2005,1.11
,,2005 - 2006,1.27
,,2006 - 2007,0.99
,,2007 - 2008,1.32
,,2008 - 2009,2.31
,,2009 - 2010,1.62
,,2010 - 2011,1.7
,,2011 - 2012,2.49
,,2012 - 2013,0.97
,,2013 - 2014,1.74
,,2014 - 2015,1.89
,,2015 - 2016,1.02
,,2016 - 2017,1.13
,,2017 - 2018,2.46
,,2018 - 2019,0.93
,,2019 - 2020,1.23
,,2020 - 2021,2.26
,,2021 - 2022,2.31
,,2022 - 2023,2.25
,Thane,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Wardha,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2008 - 2009,2.0
,,2011 - 2012,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,3.33
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.62
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.0
,Washim,2000 - 2001,1.0
,,2001 - 2002,3.0
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,2.33
,,2010 - 2011,2.5
,,2011 - 2012,3.0
,,2012 - 2013,2.0
,,2013 - 2014,3.0
,,2014 - 2015,1.8
,,2015 - 2016,1.33
,,2016 - 2017,2.5
,,2017 - 2018,2.6
,,2018 - 2019,1.43
,,2019 - 2020,1.84
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.99
,Yavatmal,2000 - 2001,1.0
,,2001 - 2002,2.5
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,1.75
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,2.18
,,2010 - 2011,2.5
,,2011 - 2012,2.8
,,2012 - 2013,2.2
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,2.73
,,2017 - 2018,2.47
,,2018 - 2019,1.43
,,2019 - 2020,0.15
,,2020 - 2021,3.42
,,2021 - 2022,2.95
,,2022 - 2023,2.99
Manipur,Bishnupur,2008 - 2009,1.81
,,2009 - 2010,1.69
,,2010 - 2011,1.6
,,2011 - 2012,1.56
,,2012 - 2013,1.83
,,2013 - 2014,2.21
,,2014 - 2015,2.28
,,2015 - 2016,2.39
,,2016 - 2017,2.12
,,2017 - 2018,2.18
,,2018 - 2019,2.0
,,2021 - 2022,2.5
,,2022 - 2023,2.02
,Chandel,2000 - 2001,3.29
,,2001 - 2002,3.14
,,2002 - 2003,2.98
,,2003 - 2004,3.14
,,2004 - 2005,3.11
,,2005 - 2006,3.03
,,2006 - 2007,2.21
,,2007 - 2008,2.8
,,2008 - 2009,2.01
,,2009 - 2010,1.78
,,2010 - 2011,1.95
,,2011 - 2012,1.76
,,2012 - 2013,2.08
,,2013 - 2014,2.15
,,2014 - 2015,2.17
,,2015 - 2016,2.31
,,2016 - 2017,2.18
,,2017 - 2018,2.48
,,2018 - 2019,2.52
,,2021 - 2022,2.27
,,2022 - 2023,2.25
,Churachandpur,2000 - 2001,2.14
,,2001 - 2002,1.52
,,2003 - 2004,1.17
,,2004 - 2005,1.38
,,2005 - 2006,1.42
,,2006 - 2007,2.71
,,2007 - 2008,2.65
,,2008 - 2009,1.92
,,2009 - 2010,2.2
,,2010 - 2011,1.78
,,2011 - 2012,1.86
,,2012 - 2013,1.95
,,2013 - 2014,2.23
,,2014 - 2015,2.26
,,2015 - 2016,2.17
,,2016 - 2017,2.11
,,2017 - 2018,2.27
,,2018 - 2019,1.53
,,2019 - 2020,2.92
,,2020 - 2021,1.75
,,2021 - 2022,2.13
,,2022 - 2023,2.1
,Imphal east,2008 - 2009,1.6
,,2009 - 2010,1.32
,,2010 - 2011,1.6
,,2011 - 2012,1.52
,,2012 - 2013,1.96
,,2013 - 2014,2.24
,,2014 - 2015,2.33
,,2015 - 2016,2.38
,,2016 - 2017,2.0
,,2017 - 2018,2.16
,,2018 - 2019,2.16
,,2021 - 2022,2.17
,,2022 - 2023,2.12
,Imphal west,2008 - 2009,1.69
,,2009 - 2010,1.44
,,2010 - 2011,1.67
,,2011 - 2012,1.52
,,2012 - 2013,2.0
,,2013 - 2014,2.25
,,2014 - 2015,2.35
,,2015 - 2016,2.31
,,2016 - 2017,2.05
,,2017 - 2018,2.18
,,2018 - 2019,2.3
,,2021 - 2022,2.8
,,2022 - 2023,2.37
,Senapati,2000 - 2001,2.43
,,2001 - 2002,2.58
,,2002 - 2003,2.5
,,2003 - 2004,3.56
,,2004 - 2005,2.97
,,2005 - 2006,2.92
,,2006 - 2007,2.65
,,2007 - 2008,2.84
,,2008 - 2009,2.01
,,2009 - 2010,1.98
,,2010 - 2011,1.97
,,2011 - 2012,1.87
,,2012 - 2013,2.06
,,2013 - 2014,2.16
,,2014 - 2015,2.17
,,2015 - 2016,2.2
,,2016 - 2017,2.11
,,2017 - 2018,2.25
,,2018 - 2019,2.25
,,2021 - 2022,1.97
,,2022 - 2023,1.97
,Tamenglong,2008 - 2009,1.13
,,2009 - 2010,1.86
,,2010 - 2011,1.79
,,2011 - 2012,1.74
,,2012 - 2013,2.05
,,2013 - 2014,2.18
,,2014 - 2015,2.24
,,2015 - 2016,2.33
,,2016 - 2017,2.14
,,2017 - 2018,2.36
,,2018 - 2019,2.7
,,2021 - 2022,2.39
,,2022 - 2023,1.97
,Thoubal,2008 - 2009,1.6
,,2009 - 2010,1.45
,,2010 - 2011,1.56
,,2011 - 2012,1.7
,,2012 - 2013,2.05
,,2013 - 2014,2.14
,,2014 - 2015,2.17
,,2015 - 2016,2.24
,,2016 - 2017,2.09
,,2017 - 2018,2.18
,,2018 - 2019,2.35
,,2021 - 2022,2.57
,,2022 - 2023,2.58
,Ukhrul,2000 - 2001,2.34
,,2001 - 2002,0.81
,,2002 - 2003,1.12
,,2003 - 2004,3.17
,,2004 - 2005,2.63
,,2005 - 2006,2.87
,,2006 - 2007,2.35
,,2007 - 2008,2.92
,,2008 - 2009,1.75
,,2009 - 2010,1.63
,,2010 - 2011,1.74
,,2011 - 2012,1.74
,,2012 - 2013,2.01
,,2013 - 2014,2.12
,,2014 - 2015,2.14
,,2015 - 2016,2.26
,,2016 - 2017,2.12
,,2017 - 2018,2.5
,,2018 - 2019,2.47
,,2019 - 2020,1.96
,,2020 - 2021,2.35
,,2021 - 2022,2.6
,,2022 - 2023,2.6
Meghalaya,East garo hills,2000 - 2001,1.25
,,2001 - 2002,1.24
,,2002 - 2003,1.24
,,2003 - 2004,1.23
,,2004 - 2005,1.22
,,2005 - 2006,1.23
,,2006 - 2007,1.23
,,2007 - 2008,1.23
,,2008 - 2009,1.24
,,2009 - 2010,1.25
,,2010 - 2011,1.24
,,2011 - 2012,1.24
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.97
,,2016 - 2017,1.97
,,2017 - 2018,1.97
,,2018 - 2019,1.97
,,2019 - 2020,1.98
,,2020 - 2021,1.98
,,2021 - 2022,1.98
,,2022 - 2023,1.99
,East jaintia hills,2000 - 2001,1.12
,,2001 - 2002,1.13
,,2002 - 2003,1.13
,,2003 - 2004,1.13
,,2004 - 2005,1.18
,,2005 - 2006,1.18
,,2006 - 2007,1.18
,,2007 - 2008,1.18
,,2008 - 2009,1.18
,,2009 - 2010,1.19
,,2010 - 2011,1.19
,,2011 - 2012,1.19
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.25
,,2016 - 2017,2.25
,,2017 - 2018,2.25
,,2018 - 2019,2.25
,,2019 - 2020,2.26
,,2020 - 2021,2.26
,,2021 - 2022,2.27
,,2022 - 2023,2.27
,East khasi hills,2000 - 2001,1.77
,,2001 - 2002,1.78
,,2002 - 2003,1.76
,,2003 - 2004,1.77
,,2004 - 2005,1.77
,,2005 - 2006,1.76
,,2006 - 2007,1.98
,,2007 - 2008,2.04
,,2008 - 2009,2.34
,,2009 - 2010,2.36
,,2010 - 2011,2.35
,,2011 - 2012,2.36
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,3.34
,,2016 - 2017,3.34
,,2017 - 2018,3.34
,,2018 - 2019,3.34
,,2019 - 2020,3.35
,,2020 - 2021,3.35
,,2021 - 2022,3.35
,,2022 - 2023,3.35
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.91
,,2016 - 2017,1.91
,,2017 - 2018,1.91
,,2018 - 2019,1.91
,,2019 - 2020,1.92
,,2020 - 2021,1.92
,,2021 - 2022,1.92
,,2022 - 2023,1.93
,Ri bhoi,2000 - 2001,2.08
,,2001 - 2002,2.08
,,2002 - 2003,2.5
,,2003 - 2004,2.5
,,2004 - 2005,2.51
,,2005 - 2006,2.5
,,2006 - 2007,2.5
,,2007 - 2008,2.26
,,2008 - 2009,2.26
,,2009 - 2010,2.4
,,2010 - 2011,2.25
,,2011 - 2012,2.26
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,3.2
,,2016 - 2017,3.22
,,2017 - 2018,3.22
,,2018 - 2019,3.22
,,2019 - 2020,3.23
,,2020 - 2021,3.23
,,2021 - 2022,3.24
,,2022 - 2023,3.23
,South garo hills,2000 - 2001,1.01
,,2001 - 2002,1.01
,,2002 - 2003,1.01
,,2003 - 2004,1.01
,,2004 - 2005,0.99
,,2005 - 2006,1.02
,,2006 - 2007,1.19
,,2007 - 2008,1.07
,,2008 - 2009,1.08
,,2009 - 2010,1.09
,,2010 - 2011,1.06
,,2011 - 2012,1.07
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.75
,,2016 - 2017,1.75
,,2017 - 2018,1.75
,,2018 - 2019,1.75
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,,2021 - 2022,1.76
,,2022 - 2023,1.82
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.42
,,2016 - 2017,2.42
,,2017 - 2018,2.42
,,2018 - 2019,2.42
,,2019 - 2020,2.43
,,2020 - 2021,2.43
,,2021 - 2022,2.43
,,2022 - 2023,2.44
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.67
,,2016 - 2017,1.68
,,2017 - 2018,1.69
,,2018 - 2019,1.69
,,2019 - 2020,1.69
,,2020 - 2021,1.69
,,2021 - 2022,1.7
,,2022 - 2023,1.7
,West garo hills,2000 - 2001,1.46
,,2001 - 2002,1.47
,,2002 - 2003,1.47
,,2003 - 2004,1.52
,,2004 - 2005,1.52
,,2005 - 2006,1.53
,,2006 - 2007,1.55
,,2007 - 2008,1.6
,,2008 - 2009,1.59
,,2009 - 2010,1.58
,,2010 - 2011,1.57
,,2011 - 2012,1.56
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.34
,,2016 - 2017,2.35
,,2017 - 2018,2.35
,,2018 - 2019,2.35
,,2019 - 2020,2.36
,,2020 - 2021,2.36
,,2021 - 2022,2.36
,,2022 - 2023,1.56
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.86
,,2016 - 2017,1.87
,,2017 - 2018,1.87
,,2018 - 2019,1.87
,,2019 - 2020,1.88
,,2020 - 2021,1.88
,,2021 - 2022,1.88
,,2022 - 2023,1.89
,West khasi hills,2000 - 2001,1.37
,,2001 - 2002,1.59
,,2002 - 2003,1.58
,,2003 - 2004,1.54
,,2004 - 2005,1.07
,,2005 - 2006,1.15
,,2006 - 2007,1.16
,,2007 - 2008,1.15
,,2008 - 2009,1.13
,,2009 - 2010,1.15
,,2010 - 2011,1.27
,,2011 - 2012,1.38
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
