state,district,year,maize_summer_yield_tonne_per_hectare
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagitial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mancherial,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Peddapalli,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vikarabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tripura,Dhalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gomati,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khowai,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sepahijala,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unakoti,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.2
,,2007 - 2008,1.45
,,2008 - 2009,1.49
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.84
,,2013 - 2014,1.83
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Aligarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,3.48
,,2021 - 2022,3.32
,,2022 - 2023,3.15
,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.33
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.5
,,2007 - 2008,1.5
,,2008 - 2009,2.0
,,2009 - 2010,1.43
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.5
,,2022 - 2023,
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Amethi,2010 - 2011,
,,2011 - 2012,1.65
,,2012 - 2013,1.86
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.2
,,2018 - 2019,2.07
,,2019 - 2020,2.46
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Amroha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Auraiya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.98
,,2021 - 2022,2.73
,,2022 - 2023,3.53
,Azamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Baghpat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.5
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.5
,Bahraich,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,1.46
,,2021 - 2022,1.59
,,2022 - 2023,1.51
,Ballia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Balrampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.32
,,2007 - 2008,1.43
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.83
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,1.89
,,2021 - 2022,1.97
,,2022 - 2023,1.69
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Barabanki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Bareilly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.84
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.08
,,2019 - 2020,2.46
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.7
,Basti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.32
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.46
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.83
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Bijnor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.4
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.38
,,2007 - 2008,1.43
,,2008 - 2009,1.47
,,2009 - 2010,1.43
,,2010 - 2011,1.5
,,2011 - 2012,1.63
,,2012 - 2013,1.85
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.92
,,2022 - 2023,2.85
,Budaun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.49
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.7
,Bulandshahr,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,0.58
,Chandauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.5
,,2022 - 2023,
,Chitrakoot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.25
,,2018 - 2019,2.0
,,2019 - 2020,
,,2020 - 2021,3.0
,,2021 - 2022,2.75
,,2022 - 2023,
,Deoria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.45
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Etah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,3.93
,,2021 - 2022,3.32
,,2022 - 2023,3.51
,Etawah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.49
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.98
,,2021 - 2022,2.73
,,2022 - 2023,3.53
,Faizabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,,2009 - 2010,1.46
,,2010 - 2011,1.47
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.89
,,2021 - 2022,2.73
,,2022 - 2023,2.88
,Farrukhabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.32
,,2007 - 2008,1.43
,,2008 - 2009,1.49
,,2009 - 2010,1.45
,,2010 - 2011,1.46
,,2011 - 2012,1.65
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.78
,,2015 - 2016,1.85
,,2016 - 2017,1.88
,,2017 - 2018,2.19
,,2018 - 2019,2.07
,,2019 - 2020,2.47
,,2020 - 2021,2.98
,,2021 - 2022,2.73
,,2022 - 2023,3.53
,Fatehpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.4
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.4
,,2008 - 2009,1.5
,,2009 - 2010,1.5
,,2010 - 2011,
,,2011 - 2012,1.67
,,2012 - 2013,1.84
,,2013 - 2014,1.8
,,2014 - 2015,1.8
,,2015 - 2016,1.9
,,2016 - 2017,1.86
,,2017 - 2018,2.14
,,2018 - 2019,2.0
,,2019 - 2020,2.43
,,2020 - 2021,2.89
,,2021 - 2022,2.75
,,2022 - 2023,2.92
,Firozabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.37
,,2004 - 2005,
,,2005 - 2006,
