state,district,year,groundnut_kharif_yield_tonne_per_hectare
,,2008 - 2009,1.0
,,2009 - 2010,0.65
,,2010 - 2011,0.5
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.75
,,2020 - 2021,1.0
,Shimla,2000 - 2001,0.02
,,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.67
,,2010 - 2011,0.45
,,2011 - 2012,0.88
,,2012 - 2013,0.8
,,2013 - 2014,0.57
,,2014 - 2015,0.57
,,2015 - 2016,0.57
,,2016 - 2017,0.57
,,2017 - 2018,0.76
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,Sirmaur,2000 - 2001,0.0
,,2001 - 2002,0.43
,,2002 - 2003,0.11
,,2005 - 2006,0.46
,,2006 - 2007,0.8
,,2007 - 2008,1.03
,,2008 - 2009,1.0
,,2009 - 2010,0.63
,,2010 - 2011,0.77
,,2011 - 2012,0.95
,,2012 - 2013,0.86
,,2013 - 2014,0.61
,,2014 - 2015,0.69
,,2015 - 2016,0.92
,,2016 - 2017,0.78
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Solan,2000 - 2001,0.91
,,2001 - 2002,1.25
,,2002 - 2003,0.54
,,2005 - 2006,1.38
,,2006 - 2007,1.2
,,2007 - 2008,1.4
,,2021 - 2022,0.95
,,2022 - 2023,1.0
,Una,2000 - 2001,1.0
,,2002 - 2003,1.0
Jammu and Kashmir,Jammu,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.53
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,Kathua,2007 - 2008,0.5
,,2009 - 2010,0.6
,Samba,2007 - 2008,0.5
,,2009 - 2010,0.65
,,2010 - 2011,0.65
,,2011 - 2012,0.66
,,2012 - 2013,0.65
Jharkhand,Bokaro,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,1.3
,,2020 - 2021,1.3
,,2021 - 2022,1.1
,,2022 - 2023,1.3
,Chatra,2017 - 2018,0.94
,,2018 - 2019,0.99
,,2019 - 2020,0.99
,,2020 - 2021,0.98
,,2021 - 2022,0.97
,,2022 - 2023,0.97
,Deoghar,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Dhanbad,2017 - 2018,1.25
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,Dumka,2017 - 2018,0.79
,,2018 - 2019,0.83
,,2019 - 2020,1.05
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,East singhbum,2017 - 2018,0.92
,,2018 - 2019,0.75
,,2019 - 2020,1.0
,,2020 - 2021,0.85
,,2021 - 2022,0.87
,,2022 - 2023,0.87
,Garhwa,2017 - 2018,0.72
,,2018 - 2019,0.84
,,2019 - 2020,0.84
,,2020 - 2021,1.07
,,2021 - 2022,1.07
,,2022 - 2023,1.07
,Giridih,2017 - 2018,1.01
,,2018 - 2019,1.01
,,2019 - 2020,1.02
,,2020 - 2021,1.02
,,2021 - 2022,1.05
,,2022 - 2023,1.02
,Godda,2017 - 2018,1.0
,,2018 - 2019,0.99
,,2019 - 2020,1.04
,,2020 - 2021,1.08
,,2021 - 2022,0.83
,,2022 - 2023,0.78
,Gumla,2017 - 2018,1.85
,,2018 - 2019,1.66
,,2019 - 2020,1.49
,,2020 - 2021,1.49
,,2021 - 2022,1.49
,,2022 - 2023,1.4
,Hazaribagh,2017 - 2018,1.25
,,2018 - 2019,1.25
,,2019 - 2020,1.24
,,2020 - 2021,1.25
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Jamtara,2017 - 2018,0.6
,,2018 - 2019,0.8
,,2019 - 2020,0.77
,,2020 - 2021,0.71
,,2021 - 2022,0.75
,,2022 - 2023,0.73
,Khunti,2017 - 2018,0.94
,,2018 - 2019,0.92
,,2019 - 2020,0.65
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Koderma,2017 - 2018,0.8
,,2018 - 2019,1.0
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,1.3
,,2022 - 2023,1.3
,Latehar,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.87
,,2021 - 2022,0.86
,,2022 - 2023,1.22
,Lohardaga,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Pakur,2017 - 2018,0.71
,,2018 - 2019,0.35
,,2019 - 2020,0.71
,,2021 - 2022,0.36
,Palamu,2017 - 2018,0.79
,,2018 - 2019,0.61
,,2019 - 2020,0.79
,,2020 - 2021,1.11
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Ramgarh,2017 - 2018,1.24
,,2018 - 2019,1.24
,,2019 - 2020,1.24
,,2020 - 2021,1.24
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Ranchi,2017 - 2018,0.8
,,2018 - 2019,0.83
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Sahebganj,2017 - 2018,0.83
,,2018 - 2019,0.88
,,2019 - 2020,0.9
,,2021 - 2022,0.8
,Saraikela kharsawan,2017 - 2018,0.7
,,2018 - 2019,0.89
,,2019 - 2020,0.85
,,2020 - 2021,0.89
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Simdega,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.95
,,2020 - 2021,0.97
,,2021 - 2022,1.35
,,2022 - 2023,1.35
,West singhbhum,2017 - 2018,0.85
,,2018 - 2019,0.89
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.88
,,2022 - 2023,0.92
Karnataka,Bagalkot,2000 - 2001,0.67
,,2001 - 2002,1.22
,,2002 - 2003,0.34
,,2003 - 2004,0.62
,,2004 - 2005,0.59
,,2005 - 2006,0.7
,,2006 - 2007,0.4
,,2007 - 2008,0.77
,,2008 - 2009,0.63
,,2009 - 2010,0.29
,,2010 - 2011,0.71
,,2011 - 2012,0.51
,,2012 - 2013,0.55
,,2013 - 2014,0.7
,,2014 - 2015,0.96
,,2015 - 2016,0.92
,,2016 - 2017,0.83
,,2017 - 2018,0.79
,,2018 - 2019,0.94
,,2019 - 2020,1.04
,,2020 - 2021,1.08
,,2021 - 2022,0.86
,,2022 - 2023,0.95
,Bangalore rural,2000 - 2001,0.93
,,2001 - 2002,1.15
,,2002 - 2003,0.96
,,2003 - 2004,0.89
,,2004 - 2005,1.36
,,2005 - 2006,0.75
,,2006 - 2007,0.52
,,2007 - 2008,0.97
,,2008 - 2009,1.01
,,2009 - 2010,0.66
,,2010 - 2011,1.06
,,2011 - 2012,1.32
,,2012 - 2013,0.53
,,2013 - 2014,0.45
,,2014 - 2015,0.56
,,2015 - 2016,1.25
,,2016 - 2017,0.32
,,2017 - 2018,0.87
,,2018 - 2019,0.65
,,2019 - 2020,1.15
,,2020 - 2021,1.08
,,2021 - 2022,1.27
,,2022 - 2023,1.31
,Belgaum,2000 - 2001,0.96
,,2001 - 2002,0.74
,,2002 - 2003,0.61
,,2003 - 2004,0.66
,,2004 - 2005,0.55
,,2005 - 2006,0.46
,,2006 - 2007,0.47
,,2007 - 2008,0.65
,,2008 - 2009,0.58
,,2009 - 2010,0.55
,,2010 - 2011,0.76
,,2011 - 2012,0.85
,,2012 - 2013,0.71
,,2013 - 2014,1.0
,,2014 - 2015,0.92
,,2015 - 2016,0.49
,,2016 - 2017,0.93
,,2017 - 2018,1.22
,,2018 - 2019,1.05
,,2019 - 2020,0.87
,,2020 - 2021,1.06
,,2021 - 2022,0.91
,,2022 - 2023,1.06
,Bellary,2000 - 2001,0.91
,,2001 - 2002,0.87
,,2002 - 2003,0.58
,,2003 - 2004,0.65
,,2004 - 2005,0.39
,,2005 - 2006,0.42
,,2006 - 2007,0.23
,,2007 - 2008,0.75
,,2008 - 2009,0.26
,,2009 - 2010,0.26
,,2010 - 2011,0.33
,,2011 - 2012,0.47
,,2012 - 2013,0.68
,,2013 - 2014,1.23
,,2014 - 2015,0.99
,,2015 - 2016,0.92
,,2016 - 2017,1.21
,,2017 - 2018,1.51
,,2018 - 2019,1.11
,,2019 - 2020,1.34
,,2020 - 2021,1.31
,,2021 - 2022,1.09
,,2022 - 2023,0.9
,Bengaluru urban,2000 - 2001,1.0
,,2001 - 2002,0.62
,,2002 - 2003,0.57
,,2003 - 2004,0.44
,,2004 - 2005,0.67
,,2005 - 2006,0.52
,,2006 - 2007,0.36
,,2007 - 2008,0.74
,,2008 - 2009,0.36
,,2009 - 2010,0.48
,,2010 - 2011,0.68
,,2011 - 2012,0.63
,,2012 - 2013,0.56
,,2013 - 2014,0.85
,,2014 - 2015,0.73
,,2015 - 2016,0.68
,,2016 - 2017,0.5
,,2017 - 2018,1.1
,,2018 - 2019,0.69
,,2019 - 2020,0.89
,,2020 - 2021,0.95
,,2021 - 2022,0.73
,,2022 - 2023,0.8
,Bidar,2000 - 2001,0.32
,,2001 - 2002,0.75
,,2002 - 2003,0.53
,,2003 - 2004,0.36
,,2004 - 2005,0.32
,,2005 - 2006,0.29
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.39
,,2009 - 2010,0.38
,,2010 - 2011,0.39
,,2011 - 2012,0.57
,,2012 - 2013,0.49
,,2013 - 2014,0.47
,,2014 - 2015,0.26
,,2015 - 2016,0.15
,,2016 - 2017,0.53
,,2017 - 2018,0.6
,,2018 - 2019,0.77
,,2019 - 2020,0.53
,,2020 - 2021,0.37
,,2021 - 2022,0.55
,,2022 - 2023,0.75
,Bijapur,2000 - 2001,0.44
,,2001 - 2002,0.79
,,2002 - 2003,0.36
,,2003 - 2004,0.29
,,2004 - 2005,0.3
,,2005 - 2006,0.42
,,2006 - 2007,0.33
,,2007 - 2008,0.4
,,2008 - 2009,0.52
,,2009 - 2010,0.33
,,2010 - 2011,0.41
,,2011 - 2012,0.29
,,2012 - 2013,0.62
,,2013 - 2014,0.72
,,2014 - 2015,0.65
,,2015 - 2016,0.28
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2018 - 2019,0.53
,,2019 - 2020,0.51
,,2020 - 2021,0.55
,,2021 - 2022,0.75
,,2022 - 2023,0.65
,Chamarajanagar,2000 - 2001,1.28
,,2001 - 2002,1.3
,,2002 - 2003,0.71
,,2003 - 2004,0.48
,,2004 - 2005,1.03
,,2005 - 2006,0.85
,,2006 - 2007,0.56
,,2007 - 2008,0.64
,,2008 - 2009,0.58
,,2009 - 2010,0.55
,,2010 - 2011,0.62
,,2011 - 2012,0.56
,,2012 - 2013,0.5
,,2013 - 2014,0.89
,,2014 - 2015,0.7
,,2015 - 2016,0.78
,,2016 - 2017,0.21
,,2017 - 2018,1.22
,,2018 - 2019,1.17
,,2019 - 2020,1.37
,,2020 - 2021,1.32
,,2021 - 2022,1.1
,,2022 - 2023,1.15
,Chikballapur,2007 - 2008,0.92
,,2008 - 2009,0.65
,,2009 - 2010,0.46
,,2010 - 2011,1.02
,,2011 - 2012,0.6
,,2012 - 2013,0.46
,,2013 - 2014,0.89
,,2014 - 2015,0.52
,,2015 - 2016,0.87
,,2016 - 2017,0.33
,,2017 - 2018,1.29
,,2018 - 2019,0.48
,,2019 - 2020,1.13
,,2020 - 2021,0.99
,,2021 - 2022,0.95
,,2022 - 2023,0.77
,Chikmagalur,2000 - 2001,1.29
,,2001 - 2002,0.89
,,2002 - 2003,0.71
,,2003 - 2004,0.64
,,2004 - 2005,0.69
,,2005 - 2006,0.84
,,2006 - 2007,0.48
,,2007 - 2008,0.72
,,2008 - 2009,0.95
,,2009 - 2010,1.01
,,2010 - 2011,1.13
,,2011 - 2012,0.84
,,2012 - 2013,0.56
,,2013 - 2014,0.76
,,2014 - 2015,0.8
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,1.02
,,2018 - 2019,1.05
,,2019 - 2020,1.07
,,2020 - 2021,1.14
,,2021 - 2022,1.11
,,2022 - 2023,0.93
,Chitradurga,2000 - 2001,1.16
,,2001 - 2002,0.68
,,2002 - 2003,0.73
,,2003 - 2004,0.35
,,2004 - 2005,0.94
,,2005 - 2006,0.6
,,2006 - 2007,0.3
,,2007 - 2008,0.77
,,2008 - 2009,0.21
,,2009 - 2010,0.52
,,2010 - 2011,0.51
,,2011 - 2012,0.48
,,2012 - 2013,0.58
,,2013 - 2014,0.72
,,2014 - 2015,0.65
,,2015 - 2016,0.65
,,2016 - 2017,0.21
,,2017 - 2018,1.03
,,2018 - 2019,0.41
,,2019 - 2020,0.69
,,2020 - 2021,0.85
,,2021 - 2022,0.53
,,2022 - 2023,0.72
,Dakshin kannad,2020 - 2021,1.0
,Davangere,2000 - 2001,1.04
,,2001 - 2002,1.11
,,2002 - 2003,0.73
,,2003 - 2004,0.68
,,2004 - 2005,0.8
,,2005 - 2006,0.78
,,2006 - 2007,0.53
,,2007 - 2008,0.83
,,2008 - 2009,0.71
,,2009 - 2010,0.99
,,2010 - 2011,1.28
,,2011 - 2012,0.82
,,2012 - 2013,0.93
,,2013 - 2014,1.03
,,2014 - 2015,1.07
,,2015 - 2016,1.12
,,2016 - 2017,0.77
,,2017 - 2018,1.52
,,2018 - 2019,1.07
,,2019 - 2020,1.2
,,2020 - 2021,1.32
,,2021 - 2022,1.26
,,2022 - 2023,1.23
,Dharwad,2000 - 2001,1.13
,,2001 - 2002,0.39
,,2002 - 2003,0.7
,,2003 - 2004,0.13
,,2004 - 2005,0.68
,,2005 - 2006,0.47
,,2006 - 2007,0.65
,,2007 - 2008,0.81
,,2008 - 2009,0.46
,,2009 - 2010,0.94
,,2010 - 2011,1.36
,,2011 - 2012,0.85
,,2012 - 2013,0.57
,,2013 - 2014,0.88
,,2014 - 2015,0.82
,,2015 - 2016,0.48
,,2016 - 2017,0.5
,,2017 - 2018,0.79
,,2018 - 2019,0.76
,,2019 - 2020,0.96
,,2020 - 2021,1.02
,,2021 - 2022,1.1
,,2022 - 2023,1.11
,Gadag,2000 - 2001,0.54
,,2001 - 2002,0.35
,,2002 - 2003,0.23
,,2003 - 2004,0.11
,,2004 - 2005,0.45
,,2005 - 2006,0.3
,,2006 - 2007,0.25
,,2007 - 2008,0.53
,,2008 - 2009,0.35
,,2009 - 2010,0.3
,,2010 - 2011,0.73
,,2011 - 2012,0.72
,,2012 - 2013,0.67
,,2013 - 2014,0.82
,,2014 - 2015,0.8
,,2015 - 2016,0.47
,,2016 - 2017,0.6
,,2017 - 2018,0.92
,,2018 - 2019,0.37
,,2019 - 2020,0.83
,,2020 - 2021,0.6
,,2021 - 2022,0.54
,,2022 - 2023,0.59
,Gulbarga,2000 - 2001,0.76
,,2001 - 2002,0.79
,,2002 - 2003,0.58
,,2003 - 2004,0.68
,,2004 - 2005,0.47
,,2005 - 2006,0.5
,,2006 - 2007,0.31
,,2007 - 2008,0.69
,,2008 - 2009,0.68
,,2009 - 2010,0.38
,,2010 - 2011,0.36
,,2011 - 2012,0.6
,,2012 - 2013,0.56
,,2013 - 2014,0.47
,,2014 - 2015,0.36
,,2015 - 2016,0.65
,,2016 - 2017,1.59
,,2017 - 2018,1.37
,,2018 - 2019,0.94
,,2019 - 2020,1.14
,,2020 - 2021,1.25
,,2021 - 2022,0.88
,,2022 - 2023,1.04
,Hassan,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2002 - 2003,0.53
,,2003 - 2004,0.4
,,2004 - 2005,0.71
,,2005 - 2006,0.5
,,2006 - 2007,0.37
,,2007 - 2008,0.82
,,2008 - 2009,0.58
,,2009 - 2010,0.46
,,2010 - 2011,0.64
,,2011 - 2012,0.63
,,2012 - 2013,0.56
,,2013 - 2014,0.84
,,2014 - 2015,0.73
,,2015 - 2016,0.67
,,2016 - 2017,0.76
,,2017 - 2018,0.62
,,2018 - 2019,0.82
,,2019 - 2020,0.28
,,2020 - 2021,0.94
,,2021 - 2022,0.9
,,2022 - 2023,0.51
,Haveri,2000 - 2001,1.15
,,2001 - 2002,0.56
,,2002 - 2003,0.38
,,2003 - 2004,0.32
,,2004 - 2005,0.68
,,2005 - 2006,0.44
,,2006 - 2007,0.66
,,2007 - 2008,0.76
,,2008 - 2009,0.6
,,2009 - 2010,0.65
,,2010 - 2011,1.18
,,2011 - 2012,1.05
,,2012 - 2013,0.59
,,2013 - 2014,1.44
,,2014 - 2015,1.29
,,2015 - 2016,0.84
,,2016 - 2017,0.74
,,2017 - 2018,1.3
,,2018 - 2019,0.76
,,2019 - 2020,0.61
,,2020 - 2021,1.22
,,2021 - 2022,0.96
,,2022 - 2023,0.55
,Kodagu,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,0.67
,,2005 - 2006,0.5
,,2006 - 2007,0.3
,,2007 - 2008,0.75
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,0.73
,,2015 - 2016,0.68
,,2016 - 2017,0.5
,,2017 - 2018,1.11
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Kolar,2000 - 2001,1.42
,,2001 - 2002,0.56
,,2002 - 2003,0.31
,,2003 - 2004,0.71
,,2004 - 2005,0.64
,,2005 - 2006,0.71
,,2006 - 2007,0.31
,,2007 - 2008,1.04
,,2008 - 2009,0.61
,,2009 - 2010,0.9
,,2010 - 2011,0.92
,,2011 - 2012,1.38
,,2012 - 2013,0.64
,,2013 - 2014,1.03
,,2014 - 2015,0.43
,,2015 - 2016,0.66
,,2016 - 2017,0.46
,,2017 - 2018,1.5
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,1.14
,,2021 - 2022,1.03
,,2022 - 2023,1.12
,Koppal,2000 - 2001,0.66
,,2001 - 2002,0.93
,,2002 - 2003,0.35
,,2003 - 2004,0.51
,,2004 - 2005,0.53
,,2005 - 2006,0.51
,,2006 - 2007,0.15
,,2007 - 2008,0.64
,,2008 - 2009,0.53
,,2009 - 2010,0.34
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.8
,,2015 - 2016,0.58
,,2016 - 2017,0.5
,,2017 - 2018,1.23
,,2018 - 2019,0.5
,,2019 - 2020,0.7
,,2020 - 2021,0.97
,,2021 - 2022,0.76
,,2022 - 2023,0.9
,Mandya,2000 - 2001,0.76
,,2001 - 2002,0.78
,,2002 - 2003,0.86
,,2003 - 2004,1.17
,,2004 - 2005,1.15
,,2005 - 2006,0.61
,,2006 - 2007,0.42
,,2007 - 2008,0.75
,,2008 - 2009,0.66
,,2009 - 2010,1.13
,,2010 - 2011,0.8
,,2011 - 2012,0.54
,,2012 - 2013,0.53
,,2013 - 2014,0.79
,,2014 - 2015,0.7
,,2015 - 2016,0.82
,,2016 - 2017,0.05
,,2017 - 2018,0.85
,,2018 - 2019,0.68
,,2019 - 2020,1.04
,,2020 - 2021,1.08
,,2021 - 2022,1.0
,,2022 - 2023,0.9
,Mysore,2000 - 2001,0.95
,,2001 - 2002,0.89
,,2002 - 2003,0.76
,,2003 - 2004,0.59
,,2004 - 2005,0.79
,,2005 - 2006,0.61
,,2006 - 2007,0.41
,,2007 - 2008,0.67
,,2008 - 2009,0.73
,,2009 - 2010,0.74
,,2010 - 2011,0.86
,,2011 - 2012,0.69
,,2012 - 2013,0.46
,,2013 - 2014,0.68
,,2014 - 2015,0.72
,,2015 - 2016,0.66
,,2016 - 2017,0.36
,,2017 - 2018,1.04
,,2018 - 2019,1.06
,,2019 - 2020,0.84
,,2020 - 2021,1.03
,,2021 - 2022,0.89
,,2022 - 2023,1.02
,Raichur,2000 - 2001,0.58
,,2001 - 2002,0.7
,,2002 - 2003,0.39
,,2003 - 2004,0.5
,,2004 - 2005,0.61
,,2005 - 2006,0.82
,,2006 - 2007,0.4
,,2007 - 2008,0.61
,,2008 - 2009,0.71
,,2009 - 2010,0.45
,,2010 - 2011,0.61
,,2011 - 2012,0.55
,,2012 - 2013,0.71
,,2013 - 2014,0.69
,,2014 - 2015,0.55
,,2015 - 2016,0.95
,,2016 - 2017,1.19
,,2017 - 2018,1.23
,,2018 - 2019,0.86
,,2019 - 2020,1.14
,,2020 - 2021,1.35
,,2021 - 2022,1.09
,,2022 - 2023,1.3
,Ramanagara,2007 - 2008,0.74
,,2008 - 2009,0.51
,,2009 - 2010,0.72
,,2010 - 2011,1.08
,,2011 - 2012,0.94
,,2012 - 2013,0.75
,,2013 - 2014,1.31
,,2014 - 2015,1.19
,,2015 - 2016,1.44
,,2016 - 2017,1.07
,,2017 - 2018,1.2
,,2018 - 2019,1.09
,,2019 - 2020,1.32
,,2020 - 2021,1.31
,,2021 - 2022,1.61
,,2022 - 2023,1.77
,Shimoga,2000 - 2001,1.33
,,2001 - 2002,0.89
,,2002 - 2003,0.86
,,2003 - 2004,0.9
,,2004 - 2005,1.15
,,2005 - 2006,0.55
,,2006 - 2007,0.76
,,2007 - 2008,0.89
,,2008 - 2009,1.08
,,2009 - 2010,0.74
,,2010 - 2011,1.42
,,2011 - 2012,0.75
,,2012 - 2013,0.56
,,2013 - 2014,0.85
,,2014 - 2015,0.73
,,2015 - 2016,0.67
,,2016 - 2017,0.5
,,2017 - 2018,1.1
,,2018 - 2019,0.68
,,2019 - 2020,0.89
,,2020 - 2021,0.94
,,2021 - 2022,0.75
,,2022 - 2023,0.81
,Tumkur,2000 - 2001,1.38
,,2001 - 2002,0.38
,,2002 - 2003,0.54
,,2003 - 2004,0.31
,,2004 - 2005,0.66
,,2005 - 2006,0.41
,,2006 - 2007,0.22
,,2007 - 2008,0.85
,,2008 - 2009,0.27
,,2009 - 2010,0.33
,,2010 - 2011,0.49
,,2011 - 2012,0.23
,,2012 - 2013,0.29
,,2013 - 2014,0.5
,,2014 - 2015,0.49
,,2015 - 2016,0.68
,,2016 - 2017,0.32
,,2017 - 2018,0.78
,,2018 - 2019,0.57
,,2019 - 2020,0.89
,,2020 - 2021,0.81
,,2021 - 2022,0.62
,,2022 - 2023,0.71
,Udupi,2000 - 2001,1.0
,,2001 - 2002,1.84
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,1.0
,,2001 - 2002,1.59
,,2002 - 2003,0.53
,,2003 - 2004,0.4
,,2004 - 2005,0.64
,,2005 - 2006,0.49
,,2006 - 2007,0.32
,,2007 - 2008,0.71
,,2008 - 2009,0.36
,,2009 - 2010,0.46
,,2010 - 2011,0.64
,,2011 - 2012,0.55
,,2012 - 2013,0.56
,,2013 - 2014,0.85
,,2014 - 2015,0.73
,,2015 - 2016,0.67
,,2016 - 2017,0.5
,,2017 - 2018,1.11
,,2018 - 2019,0.68
,,2019 - 2020,0.9
,,2020 - 2021,0.94
,,2021 - 2022,0.73
,,2022 - 2023,0.78
,Vijayanagar,2022 - 2023,1.07
,Yadgir,2010 - 2011,0.72
,,2011 - 2012,0.47
,,2012 - 2013,0.69
,,2013 - 2014,0.84
,,2014 - 2015,0.86
,,2015 - 2016,0.64
,,2016 - 2017,0.66
,,2017 - 2018,1.6
,,2018 - 2019,1.12
,,2019 - 2020,1.33
,,2020 - 2021,1.44
,,2021 - 2022,1.25
,,2022 - 2023,1.43
Kerala,Alappuzha,2022 - 2023,
,Kasaragod,2020 - 2021,
,Palakkad,2000 - 2001,0.74
,,2001 - 2002,0.74
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.74
,,2005 - 2006,0.74
,,2006 - 2007,0.74
,,2007 - 2008,0.74
,,2008 - 2009,0.74
,,2009 - 2010,0.74
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvananthapuram,2000 - 2001,0.0
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2020 - 2021,
,,2022 - 2023,
,Thrissur,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,1.06
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2018 - 2019,0.58
,,2019 - 2020,0.7
,,2020 - 2021,1.2
,,2021 - 2022,1.21
,,2022 - 2023,1.33
,Alirajpur,2008 - 2009,1.01
,,2009 - 2010,
,,2010 - 2011,1.22
,,2011 - 2012,1.16
,,2012 - 2013,1.06
,,2013 - 2014,0.86
,,2014 - 2015,1.89
,,2015 - 2016,1.0
,,2016 - 2017,1.2
,,2017 - 2018,1.33
,,2018 - 2019,1.73
,,2019 - 2020,1.17
,,2020 - 2021,2.15
,,2021 - 2022,1.54
,,2022 - 2023,1.98
,Anuppur,2003 - 2004,0.72
,,2004 - 2005,0.83
,,2005 - 2006,0.69
,,2006 - 2007,0.67
,,2007 - 2008,0.53
,,2008 - 2009,0.83
,,2009 - 2010,
,,2010 - 2011,0.77
,,2011 - 2012,1.03
,,2012 - 2013,1.28
,,2013 - 2014,0.93
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.68
,,2018 - 2019,0.97
,,2019 - 2020,1.26
,,2020 - 2021,1.74
,,2021 - 2022,1.75
,,2022 - 2023,1.75
,Ashoknagar,2003 - 2004,1.32
,,2004 - 2005,1.59
,,2005 - 2006,1.36
,,2006 - 2007,1.25
,,2007 - 2008,1.39
,,2008 - 2009,1.41
,,2009 - 2010,
,,2010 - 2011,1.83
,,2011 - 2012,1.94
,,2012 - 2013,1.89
,,2013 - 2014,1.55
,,2015 - 2016,1.0
,,2017 - 2018,1.12
,,2018 - 2019,1.68
,,2019 - 2020,2.11
,,2020 - 2021,2.03
,,2021 - 2022,2.57
,,2022 - 2023,2.3
,Balaghat,2000 - 2001,1.51
,,2001 - 2002,0.93
,,2002 - 2003,0.78
,,2003 - 2004,0.88
,,2004 - 2005,1.34
,,2005 - 2006,1.02
,,2006 - 2007,0.87
,,2007 - 2008,0.92
,,2008 - 2009,0.99
,,2009 - 2010,
,,2010 - 2011,1.31
,,2011 - 2012,1.19
,,2012 - 2013,1.5
,,2013 - 2014,1.06
,,2017 - 2018,1.0
,,2019 - 2020,1.33
,,2020 - 2021,2.67
,,2021 - 2022,
,,2022 - 2023,
,Barwani,2000 - 2001,0.63
,,2001 - 2002,0.78
,,2002 - 2003,0.72
,,2003 - 2004,0.9
,,2004 - 2005,0.57
,,2005 - 2006,0.58
,,2006 - 2007,0.6
,,2007 - 2008,0.71
,,2008 - 2009,0.69
,,2009 - 2010,
,,2010 - 2011,1.04
,,2011 - 2012,1.27
,,2012 - 2013,1.53
,,2013 - 2014,1.19
,,2014 - 2015,1.89
