crop,state,district,location,knn_pred_class,rf_pred_class,xgb_pred_class,knn_high_proba,rf_high_proba,xgb_high_proba,knn_weight,rf_weight,xgb_weight,ensemble_high_proba,votes_for_high,high_class_used,ood_distance,ood_flag
other_cereals,Nagaland,Chumoukedima,Nagaland_Chumoukedima,High,High,High,1.0,0.9367,0.9965,0.3222,0.3388,0.339,0.9774,3,High,6.597,False
turmeric,Andhra Pradesh,Bapatla,Andhra Pradesh_Bapatla,High,High,High,1.0,0.9333,0.9971,0.3372,0.328,0.3347,0.9772,3,High,6.7943,False
soyabean,Telangana,Suryapet,Telangana_Suryapet,High,High,High,1.0,0.93,0.9957,0.34,0.307,0.353,0.977,3,High,4.6838,False
safflower,Uttar Pradesh,Ghazipur,Uttar Pradesh_Ghazipur,High,High,High,1.0,0.93,0.9979,0.3475,0.32,0.3325,0.9769,3,High,5.8017,False
moong,Mizoram,Serchhip,Mizoram_Serchhip,High,High,High,1.0,0.93,0.9927,0.352,0.2937,0.3543,0.9768,3,High,7.7373,False
groundnut,Telangana,Hanumakonda,Telangana_Hanumakonda,Medium,Medium,Medium,1.0,0.93,0.9981,0.3345,0.3232,0.3423,0.9767,3,Medium,4.707,False
turmeric,Andhra Pradesh,Palnadu,Andhra Pradesh_Palnadu,High,High,High,1.0,0.9333,0.9958,0.3372,0.328,0.3347,0.9767,3,High,5.0763,False
potato,Tamil Nadu,Thanjavur,Tamil Nadu_Thanjavur,High,High,High,1.0,0.9233,0.9986,0.3531,0.299,0.348,0.9766,3,High,8.9302,False
linseed,Haryana,Bhiwani,Haryana_Bhiwani,High,High,High,1.0,0.9333,0.9965,0.3244,0.3356,0.34,0.9764,3,High,6.9211,False
potato,Punjab,Bathinda,Punjab_Bathinda,High,High,High,1.0,0.9233,0.9982,0.3531,0.299,0.348,0.9764,3,High,7.3347,False
other_rabi_pulses,Manipur,Tengnoupal,Manipur_Tengnoupal,High,High,High,1.0,0.93,0.9951,0.3453,0.3156,0.3391,0.9763,3,High,6.3664,False
other_rabi_pulses,Haryana,Rohtak,Haryana_Rohtak,High,High,High,1.0,0.9367,0.9886,0.3453,0.3156,0.3391,0.9762,3,High,4.1841,False
arhar_tur,Manipur,Kakching,Manipur_Kakching,High,High,High,1.0,0.9333,0.9866,0.3538,0.2885,0.3577,0.976,3,High,6.196,False
horse_gram,Arunachal Pradesh,Longding,Arunachal Pradesh_Longding,High,High,High,1.0,0.9367,0.9938,0.319,0.3458,0.3352,0.976,3,High,7.9518,False
moong,Mizoram,Khawzawl,Mizoram_Khawzawl,High,High,High,1.0,0.93,0.9904,0.352,0.2937,0.3543,0.976,3,High,7.8646,False
sunflower,Tamil Nadu,Ranipet,Tamil Nadu_Ranipet,High,High,High,1.0,0.9333,0.9926,0.3358,0.3275,0.3367,0.9757,3,High,5.099,False
other_cereals,Manipur,Senapati,Manipur_Senapati,High,High,High,1.0,0.93,0.9969,0.3222,0.3388,0.339,0.9752,3,High,5.9475,False
turmeric,Andhra Pradesh,Sri Sathya Sai,Andhra Pradesh_Sri Sathya Sai,High,High,High,1.0,0.9267,0.9976,0.3372,0.328,0.3347,0.9752,3,High,5.7817,False
coriander,Rajasthan,Kekri,Rajasthan_Kekri,High,High,High,1.0,0.9333,0.9915,0.3354,0.3301,0.3344,0.9751,3,High,7.3444,False
gram,Telangana,Hanumakonda,Telangana_Hanumakonda,High,High,High,1.0,0.9233,0.9926,0.3609,0.2917,0.3474,0.9751,3,High,4.8933,False
niger_seed,Nagaland,Chumoukedima,Nagaland_Chumoukedima,High,High,High,1.0,0.93,0.9942,0.3319,0.3296,0.3385,0.975,3,High,7.4629,False
banana,Maharashtra,Nashik,Maharashtra_Nashik,High,High,High,1.0,0.9233,0.9989,0.3404,0.3245,0.3351,0.9748,3,High,5.2576,False
other_rabi_pulses,Haryana,Jhajjar,Haryana_Jhajjar,High,High,High,1.0,0.93,0.9908,0.3453,0.3156,0.3391,0.9748,3,High,4.453,False
ginger,Telangana,Nagarkurnool,Telangana_Nagarkurnool,High,High,High,1.0,0.9233,0.9988,0.337,0.329,0.334,0.9744,3,High,3.8562,False
moong,Manipur,Kamjong,Manipur_Kamjong,High,High,High,1.0,0.9233,0.9911,0.352,0.2937,0.3543,0.9743,3,High,5.9158,False
coriander,Rajasthan,Kotputli-Behror,Rajasthan_Kotputli-Behror,High,High,High,1.0,0.9233,0.9981,0.3354,0.3301,0.3344,0.9741,3,High,5.1371,False
other_rabi_pulses,Haryana,Gurugram,Haryana_Gurugram,High,High,High,1.0,0.9267,0.9914,0.3453,0.3156,0.3391,0.9739,3,High,4.4018,False
mesta,Assam,Tamulpur,Assam_Tamulpur,High,High,High,1.0,0.9233,0.9966,0.3354,0.3292,0.3354,0.9736,3,High,8.0475,False
sugarcane,Rajasthan,Shahpura,Rajasthan_Shahpura,High,High,High,1.0,0.9333,0.9824,0.3445,0.3097,0.3457,0.9733,3,High,8.3257,False
garlic,Punjab,Malerkotla,Punjab_Malerkotla,High,High,High,1.0,0.9233,0.9962,0.3318,0.3346,0.3336,0.9731,3,High,6.3597,False
other_rabi_pulses,Manipur,Kakching,Manipur_Kakching,High,High,High,1.0,0.9267,0.9889,0.3453,0.3156,0.3391,0.9731,3,High,6.0257,False
potato,Punjab,Sangrur,Punjab_Sangrur,High,High,High,1.0,0.9133,0.9973,0.3531,0.299,0.348,0.9731,3,High,5.5561,False
banana,Uttar Pradesh,Bijnor,Uttar Pradesh_Bijnor,High,High,High,1.0,0.92,0.9961,0.3404,0.3245,0.3351,0.9727,3,High,5.7441,False
linseed,Rajasthan,Gangapurcity,Rajasthan_Gangapurcity,High,High,High,1.0,0.9267,0.9906,0.3244,0.3356,0.34,0.9722,3,High,4.6295,False
ginger,Telangana,Narayanpet,Telangana_Narayanpet,High,High,High,1.0,0.9267,0.9888,0.337,0.329,0.334,0.9721,3,High,5.2939,False
sunflower,Madhya Pradesh,Morena,Madhya Pradesh_Morena,High,High,High,1.0,0.9167,0.998,0.3358,0.3275,0.3367,0.972,3,High,5.2089,False
garlic,Punjab,Ludhiana,Punjab_Ludhiana,High,High,High,1.0,0.92,0.9956,0.3318,0.3346,0.3336,0.9718,3,High,6.1586,False
other_rabi_pulses,Manipur,Kamjong,Manipur_Kamjong,High,High,High,1.0,0.9167,0.9945,0.3453,0.3156,0.3391,0.9718,3,High,5.5777,False
turmeric,Punjab,Sangrur,Punjab_Sangrur,High,High,High,1.0,0.9233,0.9908,0.3372,0.328,0.3347,0.9718,3,High,6.135,False
other_rabi_pulses,Rajasthan,Beawar,Rajasthan_Beawar,High,High,High,1.0,0.92,0.991,0.3453,0.3156,0.3391,0.9717,3,High,5.3795,False
coriander,Rajasthan,Gangapurcity,Rajasthan_Gangapurcity,High,High,High,1.0,0.9167,0.9971,0.3354,0.3301,0.3344,0.9715,3,High,4.4401,False
moong,Mizoram,Hnahthial,Mizoram_Hnahthial,High,High,High,1.0,0.9133,0.9913,0.352,0.2937,0.3543,0.9715,3,High,8.2742,False
sugarcane,Jharkhand,Dhanbad,Jharkhand_Dhanbad,High,High,High,1.0,0.9167,0.991,0.3445,0.3097,0.3457,0.9711,3,High,4.0471,False
other_kharif_pulses,Assam,Dima Hasao,Assam_Dima Hasao,High,High,High,1.0,0.9133,0.9932,0.3445,0.3083,0.3472,0.9709,3,High,6.139,False
horse_gram,Arunachal Pradesh,Tirap,Arunachal Pradesh_Tirap,High,High,High,1.0,0.92,0.9947,0.319,0.3458,0.3352,0.9706,3,High,7.9546,False
linseed,Rajasthan,Neem Ka Thana,Rajasthan_Neem Ka Thana,High,High,High,1.0,0.9167,0.9957,0.3244,0.3356,0.34,0.9706,3,High,6.2059,False
turmeric,Arunachal Pradesh,Longding,Arunachal Pradesh_Longding,High,High,High,1.0,0.9167,0.9937,0.3372,0.328,0.3347,0.9706,3,High,5.291,False
onion,Punjab,Mansa,Punjab_Mansa,High,High,High,1.0,0.9133,0.9966,0.3364,0.3266,0.3371,0.9705,3,High,6.1791,False
safflower,Bihar,Madhubani,Bihar_Madhubani,High,High,High,1.0,0.9167,0.9914,0.3475,0.32,0.3325,0.9705,3,High,7.2129,False
niger_seed,Nagaland,Peren,Nagaland_Peren,High,High,High,1.0,0.9267,0.9828,0.3319,0.3296,0.3385,0.97,3,High,8.6808,False
masoor,Andhra Pradesh,Y.s.r.,Andhra Pradesh_Y.s.r.,High,High,High,1.0,0.9133,0.9933,0.3413,0.3225,0.3361,0.9698,3,High,9.2502,False
garlic,Punjab,Barnala,Punjab_Barnala,High,High,High,1.0,0.9133,0.9961,0.3318,0.3346,0.3336,0.9697,3,High,6.2591,False
other_cereals,Arunachal Pradesh,Namsai,Arunachal Pradesh_Namsai,High,High,High,1.0,0.9133,0.9973,0.3222,0.3388,0.339,0.9697,3,High,8.852,False
banana,Haryana,Palwal,Haryana_Palwal,High,High,High,1.0,0.91,0.9963,0.3404,0.3245,0.3351,0.9696,3,High,5.4546,False
mesta,Jharkhand,Giridih,Jharkhand_Giridih,High,High,High,1.0,0.91,0.9975,0.3354,0.3292,0.3354,0.9695,3,High,6.4749,False
onion,Telangana,Hanumakonda,Telangana_Hanumakonda,High,High,High,1.0,0.91,0.9952,0.3364,0.3266,0.3371,0.969,3,High,4.7618,False
other_rabi_pulses,Rajasthan,Dudu,Rajasthan_Dudu,High,High,High,1.0,0.9033,0.9967,0.3453,0.3156,0.3391,0.9684,3,High,4.8743,False
potato,Punjab,Barnala,Punjab_Barnala,High,High,High,1.0,0.8967,0.9979,0.3531,0.299,0.348,0.9684,3,High,6.3504,False
sweet_potato,Bihar,Kaimur (Bhabua),Bihar_Kaimur (Bhabua),High,High,High,1.0,0.9033,0.9985,0.3413,0.3236,0.3351,0.9682,3,High,3.8089,False
banana,Haryana,Karnal,Haryana_Karnal,High,High,High,1.0,0.9067,0.9951,0.3404,0.3245,0.3351,0.9681,3,High,7.5439,False
small_millets,Meghalaya,Eastern West Khasi Hills,Meghalaya_Eastern West Khasi Hills,High,High,High,1.0,0.9167,0.9855,0.3395,0.3237,0.3369,0.9681,3,High,7.0544,False
sunflower,Rajasthan,Alwar,Rajasthan_Alwar,High,High,High,1.0,0.9067,0.9962,0.3358,0.3275,0.3367,0.9681,3,High,5.7716,False
sunflower,Haryana,Gurugram,Haryana_Gurugram,High,High,High,1.0,0.9033,0.9987,0.3358,0.3275,0.3367,0.9679,3,High,4.423,False
garlic,Punjab,Fatehgarh Sahib,Punjab_Fatehgarh Sahib,High,High,High,1.0,0.9067,0.9966,0.3318,0.3346,0.3336,0.9676,3,High,5.6684,False
linseed,Rajasthan,Kotputli-Behror,Rajasthan_Kotputli-Behror,High,High,High,1.0,0.91,0.9929,0.3244,0.3356,0.34,0.9674,3,High,5.5923,False
onion,Punjab,Sangrur,Punjab_Sangrur,High,High,High,1.0,0.91,0.9905,0.3364,0.3266,0.3371,0.9674,3,High,5.5917,False
mesta,Telangana,Jangoan,Telangana_Jangoan,High,High,High,1.0,0.9033,0.9973,0.3354,0.3292,0.3354,0.9673,3,High,6.5744,False
other_rabi_pulses,Rajasthan,Gangapurcity,Rajasthan_Gangapurcity,High,High,High,1.0,0.9233,0.9749,0.3453,0.3156,0.3391,0.9673,3,High,4.4554,False
coriander,Punjab,Mansa,Punjab_Mansa,High,High,High,1.0,0.9067,0.9937,0.3354,0.3301,0.3344,0.9671,3,High,6.2427,False
mesta,Jharkhand,Bokaro,Jharkhand_Bokaro,High,High,High,1.0,0.91,0.9902,0.3354,0.3292,0.3354,0.9671,3,High,6.0025,False
horse_gram,Uttar Pradesh,Ballia,Uttar Pradesh_Ballia,High,High,High,1.0,0.9067,0.9978,0.319,0.3458,0.3352,0.967,3,High,8.8532,False
other_rabi_pulses,Punjab,S.a.s Nagar,Punjab_S.a.s Nagar,High,High,High,1.0,0.9,0.9956,0.3453,0.3156,0.3391,0.9669,3,High,5.2001,False
tobacco,Uttar Pradesh,Shravasti,Uttar Pradesh_Shravasti,High,High,High,1.0,0.9067,0.9955,0.3325,0.3388,0.3287,0.9669,3,High,4.1716,False
rapeseed_and_mustard,Rajasthan,Didwana Kuchaman,Rajasthan_Didwana Kuchaman,High,High,High,1.0,0.92,0.9793,0.3356,0.3275,0.3369,0.9668,3,High,6.5207,False
peas_and_beans,Karnataka,Yadgir,Karnataka_Yadgir,High,High,High,1.0,0.8967,0.9989,0.3407,0.3185,0.3407,0.9667,3,High,7.6746,False
coriander,Rajasthan,Shahpura,Rajasthan_Shahpura,High,High,High,1.0,0.9033,0.9951,0.3354,0.3301,0.3344,0.9665,3,High,7.7907,False
other_rabi_pulses,Punjab,Bathinda,Punjab_Bathinda,High,High,High,1.0,0.9067,0.9879,0.3453,0.3156,0.3391,0.9665,3,High,7.4669,False
other_cereals,Arunachal Pradesh,Changlang,Arunachal Pradesh_Changlang,High,High,High,1.0,0.9033,0.9975,0.3222,0.3388,0.339,0.9664,3,High,6.3336,False
soyabean,Telangana,Hanumakonda,Telangana_Hanumakonda,High,High,High,1.0,0.8967,0.9943,0.34,0.307,0.353,0.9663,3,High,4.7488,False
moong,Manipur,Kangpokpi,Manipur_Kangpokpi,High,High,High,1.0,0.8967,0.9904,0.352,0.2937,0.3543,0.9662,3,High,6.1679,False
sweet_potato,Haryana,Palwal,Haryana_Palwal,High,High,High,1.0,0.9033,0.9924,0.3413,0.3236,0.3351,0.9662,3,High,3.5241,False
safflower,Bihar,Jehanabad,Bihar_Jehanabad,High,High,High,1.0,0.9,0.9943,0.3475,0.32,0.3325,0.9661,3,High,5.7458,False
sunflower,Punjab,Gurdaspur,Punjab_Gurdaspur,High,High,High,1.0,0.8967,0.9985,0.3358,0.3275,0.3367,0.9657,3,High,6.6842,False
moong,Manipur,Pherzawl,Manipur_Pherzawl,High,High,High,1.0,0.8933,0.9912,0.352,0.2937,0.3543,0.9656,3,High,6.4072,False
mesta,Uttar Pradesh,Maharajganj,Uttar Pradesh_Maharajganj,High,High,High,1.0,0.9,0.9954,0.3354,0.3292,0.3354,0.9655,3,High,6.9661,False
other_rabi_pulses,Rajasthan,Khairthal-Tijara,Rajasthan_Khairthal-Tijara,High,High,High,1.0,0.9,0.991,0.3453,0.3156,0.3391,0.9654,3,High,4.141,False
moong,Manipur,Tengnoupal,Manipur_Tengnoupal,High,High,High,1.0,0.8933,0.9901,0.352,0.2937,0.3543,0.9652,3,High,7.03,False
mesta,Jharkhand,Saraikela Kharsawan,Jharkhand_Saraikela Kharsawan,High,High,High,1.0,0.8967,0.9968,0.3354,0.3292,0.3354,0.9649,3,High,5.5239,False
other_rabi_pulses,Haryana,Rewari,Haryana_Rewari,High,High,High,1.0,0.9067,0.9832,0.3453,0.3156,0.3391,0.9648,3,High,5.5097,False
sunflower,Rajasthan,Khairthal-Tijara,Rajasthan_Khairthal-Tijara,High,High,High,1.0,0.8933,0.9992,0.3358,0.3275,0.3367,0.9648,3,High,4.3414,False
wheat,Rajasthan,Shahpura,Rajasthan_Shahpura,High,High,High,1.0,0.8967,0.9968,0.335,0.3299,0.335,0.9648,3,High,7.8903,False
potato,Gujarat,Morbi,Gujarat_Morbi,High,High,High,1.0,0.8867,0.9958,0.3531,0.299,0.348,0.9647,3,High,6.6085,False
sannhamp,Jharkhand,East Singhbum,Jharkhand_East Singhbum,High,High,High,1.0,0.9033,0.9919,0.3303,0.341,0.3288,0.9644,3,High,5.2559,False
potato,Punjab,Tarn Taran,Punjab_Tarn Taran,High,High,High,1.0,0.8833,0.9975,0.3531,0.299,0.348,0.9643,3,High,6.7206,False
sunflower,Punjab,Ferozepur,Punjab_Ferozepur,High,High,High,1.0,0.8933,0.9973,0.3358,0.3275,0.3367,0.9642,3,High,8.2298,False
sunflower,Madhya Pradesh,Datia,Madhya Pradesh_Datia,High,High,High,1.0,0.8933,0.9967,0.3358,0.3275,0.3367,0.964,3,High,3.8515,False
coriander,Punjab,Bathinda,Punjab_Bathinda,High,High,High,1.0,0.8967,0.9938,0.3354,0.3301,0.3344,0.9638,3,High,7.4047,False
moong,Mizoram,Champhai,Mizoram_Champhai,High,High,High,1.0,0.8833,0.9943,0.352,0.2937,0.3543,0.9637,3,High,8.9145,False
safflower,Bihar,Lakhisarai,Bihar_Lakhisarai,High,High,High,1.0,0.89,0.9961,0.3475,0.32,0.3325,0.9635,3,High,5.11,False
barley,Rajasthan,Salumbar,Rajasthan_Salumbar,High,High,High,1.0,0.89,0.9958,0.3396,0.3208,0.3396,0.9633,3,High,5.523,False
other_cereals,Arunachal Pradesh,Tirap,Arunachal Pradesh_Tirap,High,High,High,1.0,0.9,0.9914,0.3222,0.3388,0.339,0.9632,3,High,6.4637,False
other_cereals,Andhra Pradesh,Chittoor,Andhra Pradesh_Chittoor,High,High,High,1.0,0.9067,0.9845,0.3222,0.3388,0.339,0.9631,3,High,4.1523,False
potato,Andhra Pradesh,Tirupati,Andhra Pradesh_Tirupati,High,High,High,1.0,0.8867,0.9913,0.3531,0.299,0.348,0.9631,3,High,7.0483,False
potato,Punjab,Ludhiana,Punjab_Ludhiana,High,High,High,1.0,0.88,0.9966,0.3531,0.299,0.348,0.963,3,High,6.0266,False
sweet_potato,Punjab,Fatehgarh Sahib,Punjab_Fatehgarh Sahib,High,High,High,1.0,0.89,0.9959,0.3413,0.3236,0.3351,0.963,3,High,8.2897,False
ginger,Manipur,Pherzawl,Manipur_Pherzawl,High,High,High,1.0,0.89,0.997,0.337,0.329,0.334,0.9628,3,High,7.3092,False
sunflower,Bihar,Lakhisarai,Bihar_Lakhisarai,High,High,High,1.0,0.8867,0.9985,0.3358,0.3275,0.3367,0.9624,3,High,3.8137,False
mesta,Telangana,Hanumakonda,Telangana_Hanumakonda,High,High,High,1.0,0.89,0.9956,0.3354,0.3292,0.3354,0.9623,3,High,6.1256,False
peas_and_beans,Karnataka,Bagalkote,Karnataka_Bagalkote,High,High,High,1.0,0.8833,0.9981,0.3407,0.3185,0.3407,0.9622,3,High,7.3405,False
onion,Punjab,Patiala,Punjab_Patiala,High,High,High,1.0,0.8867,0.9969,0.3364,0.3266,0.3371,0.962,3,High,4.953,False
potato,Punjab,Amritsar,Punjab_Amritsar,High,High,High,1.0,0.8767,0.9965,0.3531,0.299,0.348,0.9619,3,High,6.3393,False
garlic,Punjab,Moga,Punjab_Moga,High,High,High,1.0,0.89,0.9959,0.3318,0.3346,0.3336,0.9618,3,High,7.4255,False
onion,Punjab,Bathinda,Punjab_Bathinda,High,High,High,1.0,0.8867,0.9964,0.3364,0.3266,0.3371,0.9618,3,High,7.3501,False
sugarcane,Telangana,Mulugu,Telangana_Mulugu,High,High,High,1.0,0.88,0.9967,0.3445,0.3097,0.3457,0.9617,3,High,5.0031,False
rapeseed_and_mustard,Rajasthan,Salumbar,Rajasthan_Salumbar,High,High,High,1.0,0.89,0.993,0.3356,0.3275,0.3369,0.9616,3,High,4.5933,False
cowpea_lobia,Nagaland,Longleng,Nagaland_Longleng,High,High,High,1.0,0.89,0.9939,0.3351,0.3317,0.3333,0.9615,3,High,6.5622,False
potato,Punjab,Moga,Punjab_Moga,High,High,High,1.0,0.8733,0.9975,0.3531,0.299,0.348,0.9612,3,High,7.3183,False
garlic,Punjab,Jalandhar,Punjab_Jalandhar,High,High,High,1.0,0.8867,0.996,0.3318,0.3346,0.3336,0.9607,3,High,6.123,False
safflower,Bihar,Purbi Champaran,Bihar_Purbi Champaran,High,High,High,1.0,0.89,0.9872,0.3475,0.32,0.3325,0.9606,3,High,4.6056,False
coriander,Punjab,Sangrur,Punjab_Sangrur,High,High,High,1.0,0.8867,0.9937,0.3354,0.3301,0.3344,0.9605,3,High,5.7278,False
potato,Punjab,Faridkot,Punjab_Faridkot,High,High,High,1.0,0.87,0.9979,0.3531,0.299,0.348,0.9604,3,High,8.2898,False
potato,Punjab,Fatehgarh Sahib,Punjab_Fatehgarh Sahib,High,High,High,1.0,0.87,0.997,0.3531,0.299,0.348,0.9601,3,High,5.6273,False
banana,Haryana,Panipat,Haryana_Panipat,High,High,High,1.0,0.8833,0.9936,0.3404,0.3245,0.3351,0.96,3,High,7.4603,False
other_rabi_pulses,Haryana,Charki Dadri,Haryana_Charki Dadri,High,High,High,1.0,0.8867,0.9863,0.3453,0.3156,0.3391,0.9596,3,High,5.4672,False
safflower,Bihar,Arwal,Bihar_Arwal,High,High,High,1.0,0.88,0.9932,0.3475,0.32,0.3325,0.9593,3,High,5.8394,False
potato,Punjab,Malerkotla,Punjab_Malerkotla,High,High,High,1.0,0.8667,0.9969,0.3531,0.299,0.348,0.9591,3,High,6.2061,False
other_cereals,Nagaland,Shamator,Nagaland_Shamator,High,High,High,1.0,0.8867,0.9918,0.3222,0.3388,0.339,0.9588,3,High,6.8482,False
turmeric,Haryana,Rohtak,Haryana_Rohtak,High,High,High,1.0,0.9033,0.971,0.3372,0.328,0.3347,0.9586,3,High,4.3546,False
other_rabi_pulses,Punjab,Mansa,Punjab_Mansa,High,High,High,1.0,0.8833,0.9862,0.3453,0.3156,0.3391,0.9585,3,High,6.3885,False
urad,Manipur,Kangpokpi,Manipur_Kangpokpi,High,High,High,1.0,0.8767,0.9924,0.3411,0.3164,0.3426,0.9584,3,High,5.9099,False
other_cereals,Meghalaya,West Jaintia Hills,Meghalaya_West Jaintia Hills,High,High,High,1.0,0.8833,0.9935,0.3222,0.3388,0.339,0.9583,3,High,8.3367,False
sannhamp,West Bengal,Paschim Bardhaman,West Bengal_Paschim Bardhaman,High,High,High,1.0,0.8833,0.9942,0.3303,0.341,0.3288,0.9583,3,High,5.6598,False
garlic,Punjab,Ferozepur,Punjab_Ferozepur,High,High,High,1.0,0.88,0.995,0.3318,0.3346,0.3336,0.9582,3,High,8.1632,False
garlic,Punjab,Faridkot,Punjab_Faridkot,High,High,High,1.0,0.88,0.9945,0.3318,0.3346,0.3336,0.958,3,High,8.187,False
turmeric,Punjab,Barnala,Punjab_Barnala,High,High,High,1.0,0.8867,0.9852,0.3372,0.328,0.3347,0.9579,3,High,6.9325,False
horse_gram,Bihar,Purbi Champaran,Bihar_Purbi Champaran,High,High,High,1.0,0.88,0.9978,0.319,0.3458,0.3352,0.9578,3,High,4.3555,False
potato,Punjab,Ferozepur,Punjab_Ferozepur,High,High,High,1.0,0.86,0.9982,0.3531,0.299,0.348,0.9575,3,High,8.1069,False
other_rabi_pulses,Haryana,Mahendragarh,Haryana_Mahendragarh,High,High,High,1.0,0.8833,0.9824,0.3453,0.3156,0.3391,0.9572,3,High,5.7521,False
potato,Punjab,Shahid Bhagat Singh Nagar,Punjab_Shahid Bhagat Singh Nagar,High,High,High,1.0,0.87,0.9887,0.3531,0.299,0.348,0.9572,3,High,6.0413,False
other_cereals,Meghalaya,Ri Bhoi,Meghalaya_Ri Bhoi,High,High,High,1.0,0.88,0.9932,0.3222,0.3388,0.339,0.957,3,High,7.9123,False
other_kharif_pulses,Meghalaya,Ri Bhoi,Meghalaya_Ri Bhoi,High,High,High,1.0,0.8633,0.9972,0.3445,0.3083,0.3472,0.9569,3,High,6.5959,False
linseed,Haryana,Mahendragarh,Haryana_Mahendragarh,High,High,High,1.0,0.88,0.9908,0.3244,0.3356,0.34,0.9566,3,High,6.5177,False
turmeric,Punjab,Malerkotla,Punjab_Malerkotla,High,High,High,1.0,0.8833,0.9848,0.3372,0.328,0.3347,0.9566,3,High,6.9226,False
sunflower,Telangana,Hanumakonda,Telangana_Hanumakonda,High,High,High,1.0,0.87,0.9971,0.3358,0.3275,0.3367,0.9565,3,High,4.6113,False
turmeric,Manipur,Kakching,Manipur_Kakching,High,High,High,1.0,0.89,0.9767,0.3372,0.328,0.3347,0.9561,3,High,7.3425,False
peas_and_beans,Telangana,Wanaparthy,Telangana_Wanaparthy,High,High,High,1.0,0.8633,0.9985,0.3407,0.3185,0.3407,0.9559,3,High,7.1171,False
garlic,Punjab,Sri Muktsar Sahib,Punjab_Sri Muktsar Sahib,High,High,High,1.0,0.88,0.9879,0.3318,0.3346,0.3336,0.9558,3,High,8.9274,False
potato,Punjab,Jalandhar,Punjab_Jalandhar,High,High,High,1.0,0.8567,0.9962,0.3531,0.299,0.348,0.9558,3,High,5.9298,False
linseed,Rajasthan,Dudu,Rajasthan_Dudu,High,High,High,1.0,0.88,0.9883,0.3244,0.3356,0.34,0.9557,3,High,5.1417,False
sunflower,Haryana,Jhajjar,Haryana_Jhajjar,High,High,High,1.0,0.8667,0.9981,0.3358,0.3275,0.3367,0.9557,3,High,4.5135,False
other_rabi_pulses,Rajasthan,Kotputli-Behror,Rajasthan_Kotputli-Behror,High,High,High,1.0,0.8733,0.9868,0.3453,0.3156,0.3391,0.9555,3,High,5.3652,False
turmeric,Andhra Pradesh,Ntr,Andhra Pradesh_Ntr,High,High,High,1.0,0.8767,0.988,0.3372,0.328,0.3347,0.9555,3,High,4.7278,False
urad,Bihar,Sheohar,Bihar_Sheohar,High,High,High,1.0,0.8733,0.9867,0.3411,0.3164,0.3426,0.9554,3,High,4.1988,False
turmeric,Punjab,Patiala,Punjab_Patiala,High,High,High,1.0,0.8767,0.9875,0.3372,0.328,0.3347,0.9553,3,High,5.3745,False
onion,Punjab,Barnala,Punjab_Barnala,High,High,High,1.0,0.87,0.9912,0.3364,0.3266,0.3371,0.9546,3,High,6.3418,False
garlic,Punjab,Tarn Taran,Punjab_Tarn Taran,High,High,High,1.0,0.87,0.994,0.3318,0.3346,0.3336,0.9545,3,High,7.0625,False
other_cereals,Arunachal Pradesh,Lohit,Arunachal Pradesh_Lohit,High,High,High,1.0,0.87,0.9958,0.3222,0.3388,0.339,0.9545,3,High,7.3842,False
other_rabi_pulses,Punjab,Rupnagar,Punjab_Rupnagar,High,High,High,1.0,0.88,0.9775,0.3453,0.3156,0.3391,0.9545,3,High,4.8492,False
bajra,Rajasthan,Kotputli-Behror,Rajasthan_Kotputli-Behror,High,High,High,1.0,0.8667,0.992,0.3346,0.3212,0.3441,0.9544,3,High,5.0097,False
onion,Andhra Pradesh,Bapatla,Andhra Pradesh_Bapatla,High,High,High,1.0,0.8633,0.997,0.3364,0.3266,0.3371,0.9543,3,High,6.1521,False
other_rabi_pulses,Haryana,Fatehabad,Haryana_Fatehabad,High,High,High,1.0,0.8767,0.979,0.3453,0.3156,0.3391,0.9539,3,High,6.0501,False
sunflower,Andhra Pradesh,Kakinada,Andhra Pradesh_Kakinada,High,High,High,1.0,0.8733,0.9852,0.3358,0.3275,0.3367,0.9535,3,High,9.2317,False
niger_seed,Arunachal Pradesh,Namsai,Arunachal Pradesh_Namsai,High,High,High,1.0,0.8633,0.9953,0.3319,0.3296,0.3385,0.9534,3,High,8.3195,False
ginger,Telangana,Wanaparthy,Telangana_Wanaparthy,High,High,High,1.0,0.8733,0.9851,0.337,0.329,0.334,0.9533,3,High,4.7281,False
horse_gram,Bihar,Gopalganj,Bihar_Gopalganj,High,High,High,1.0,0.8667,0.9982,0.319,0.3458,0.3352,0.9533,3,High,5.9568,False
peas_and_beans,Telangana,Nagarkurnool,Telangana_Nagarkurnool,High,High,High,1.0,0.8533,0.9986,0.3407,0.3185,0.3407,0.9528,3,High,6.2526,False
other_rabi_pulses,Rajasthan,Neem Ka Thana,Rajasthan_Neem Ka Thana,High,High,High,1.0,0.8667,0.9842,0.3453,0.3156,0.3391,0.9526,3,High,5.8555,False
coriander,Punjab,Patiala,Punjab_Patiala,High,High,High,1.0,0.8633,0.9925,0.3354,0.3301,0.3344,0.9524,3,High,5.3262,False
onion,Andhra Pradesh,Palnadu,Andhra Pradesh_Palnadu,High,High,High,1.0,0.8567,0.9972,0.3364,0.3266,0.3371,0.9523,3,High,4.971,False
linseed,Haryana,Charki Dadri,Haryana_Charki Dadri,High,High,High,1.0,0.8667,0.9904,0.3244,0.3356,0.34,0.952,3,High,6.1344,False
